Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-06-30,9.09200,9.09200,0.60400,8.48800,-4.06100,4.42700,-0.08500,4.51200,,-0.07800,-0.07800,8.64100,8.48800,11.54440,11.54440,-0.01000,-0.01000,0.22860,0.65590,100.00000,93.35680,93.35680,48.69120,-0.85790,0.03500,1.12050,80.31900,-0.05090,-0.05090,-0.03000,-0.05090,13.26900,1.0255,1.0255
2016-03-31,9.29700,9.29700,0.70200,8.59500,-4.19800,4.39700,,4.39700,,1.39700,1.39700,8.74800,8.59500,11.53800,11.53800,0.12000,0.12000,0.21470,0.69430,100.00000,92.44920,92.44920,47.29480,15.02640,0.03410,1.23010,73.16550,0.88860,0.88860,0.51200,0.88860,13.62270,0.54390,0.54390
2015-12-31,8.56000,8.56000,0.56300,7.99700,-3.89300,4.10400,,4.10400,,2.72800,2.72800,8.17500,7.99700,11.18100,11.18100,0.22000,0.22000,0.22310,0.71960,100.00000,93.42290,93.42290,47.94390,31.86920,0.03050,1.36780,65.79670,1.70770,1.70770,0.97120,1.70770,13.84920,0.0808,0.0808
2015-09-30,8.42700,8.42700,0.49100,7.93600,-3.89500,4.04100,-0.02000,4.06100,,3.53800,3.53800,8.14600,7.93600,11.63900,11.63900,0.30000,0.30000,0.16790,0.64290,100.00000,94.17350,94.17350,47.95300,41.98410,0.03090,1.40830,63.90890,2.18060,2.18060,1.29760,2.18060,13.93520,-0.4233,-0.4233
2015-06-30,6.85700,6.85700,0.58600,6.27100,-3.37300,2.89800,0.01000,2.88800,,1.74500,1.74500,6.51600,6.27100,11.63300,11.63300,0.15000,0.15000,0.17000,0.57470,100.00000,91.45400,91.45400,42.26340,25.44850,0.02620,1.21900,73.82970,1.07190,1.07190,0.66550,1.07190,13.99240,-3.0144,-3.0144
2015-03-31,7.26600,7.26600,0.69100,6.57500,-3.62200,2.95300,0.01000,2.94300,,3.84500,3.84500,6.85300,6.57500,9.80700,9.80700,0.39000,0.39000,0.43380,0.45050,100.00000,90.49000,90.49000,40.64140,52.91770,0.02960,1.43680,62.63830,2.33010,2.33010,1.56660,2.33010,14.18730,0.55480,0.55480
2014-12-31,7.28400,7.28400,0.59600,6.68800,-3.45200,3.23600,0.04000,3.19600,,3.10500,3.10500,7.00000,6.68800,9.62100,9.62100,0.32000,0.32000,0.15150,0.59140,100.00000,91.81770,91.81770,44.42610,42.62770,0.03230,1.53090,58.78910,2.24600,2.24600,1.37880,2.24600,14.35900,0.2767,0.2767
2014-09-30,7.73900,7.73900,0.83000,6.90900,-3.66800,3.24100,0.04000,3.20100,,4.76000,4.76000,7.25700,6.90900,9.62300,9.62300,0.50000,0.50000,0.21350,0.63500,100.00000,89.27510,89.27510,41.87880,61.50670,0.03330,1.57780,57.04230,3.43860,3.43860,2.04660,3.43860,14.38200,3.3073,3.3073
2014-06-30,8.69700,8.69700,1.63100,7.06600,-5.19000,1.87600,0.04000,1.83600,,2.43500,2.43500,8.59600,7.06600,9.62000,9.62000,0.25000,0.25000,0.10630,0.78530,100.00000,81.24640,81.24640,21.57070,27.99820,0.03480,1.51730,59.31700,1.77820,1.77820,0.97460,1.77820,14.23150,0.772,0.772
2014-03-31,7.53400,7.53400,1.08500,6.44900,-3.92500,2.52400,0.04000,2.48400,,5.13000,5.13000,6.94100,6.44900,9.61400,9.61400,0.53000,0.53000,0.15590,0.86660,100.00000,85.59860,85.59860,33.50150,68.09130,0.02870,1.39800,64.37620,3.72330,3.72330,1.95700,3.72330,14.32370,-0.54390,-0.54390
2013-12-31,8.77600,8.77600,0.54200,8.23400,-4.74400,3.49000,0.08000,3.41000,,-4.51100,-4.51100,8.81600,8.23400,9.58300,9.58300,-0.47000,-0.47000,0.23130,0.90070,100.00000,93.82410,93.82410,39.76760,-51.40150,0.03330,2.06980,43.48220,-3.32090,-3.32090,-1.71040,-3.32090,14.13620,3.8987,3.8987
2013-09-30,8.71200,8.71200,0.53100,8.18100,-4.61400,3.56700,0.08000,3.48700,,3.88800,3.88800,8.67700,8.18100,9.58400,9.58400,0.41000,0.41000,0.04740,0.92760,100.00000,93.90500,93.90500,40.94350,44.62810,0.03090,2.11510,42.55170,2.71160,2.71160,1.37940,2.71160,14.95300,-1.6941,-1.6941
2013-06-30,8.78700,8.78700,0.63600,8.15100,-4.47000,3.68100,0.08000,3.60100,,1.14800,1.14800,8.37400,8.15100,9.57800,9.57800,0.12000,0.12000,0.18510,0.93210,100.00000,92.76200,92.76200,41.89140,13.06480,0.03120,2.27230,39.60740,0.80460,0.80460,0.40750,0.80460,14.89430,0.3954,0.3954
2013-03-31,7.36800,7.36800,0.60300,6.76500,-3.99200,2.77300,,2.77300,,2.98300,2.98300,6.94800,6.76500,9.57100,9.57100,0.31000,0.31000,0.03460,0.76010,100.00000,91.81600,91.81600,37.63570,40.48590,0.02830,2.09740,42.91120,2.06070,2.06070,1.14670,2.06070,15.12010,-1.92180,-1.92180
2012-12-31,7.93800,7.93800,0.51200,7.42600,-3.77800,3.64800,,3.41700,,-4.41000,-4.41000,7.61100,7.42600,8.48200,8.48200,-0.55000,-0.55000,0.04080,0.61400,100.00000,93.55000,93.55000,45.95620,-55.55560,0.03310,2.82390,31.87080,-3.04200,-3.04200,-1.84010,-3.04200,15.15330,-1.4631,-1.4631
2012-09-30,6.61900,6.61900,0.38000,6.23900,-3.27000,2.96900,,2.96900,,3.64600,3.64600,6.37400,6.23900,9.07800,9.07800,0.40000,0.40000,0.09380,0.48580,100.00000,94.25900,94.25900,44.85570,55.08390,0.02810,1.62790,55.28630,2.32310,2.32310,1.54930,2.32310,16.41180,-1.765,-1.765
2012-06-30,5.48200,5.48200,0.61500,4.86700,-2.60900,2.25800,,2.25800,,2.21600,2.21600,4.96700,4.86700,7.64100,7.64100,0.29000,0.29000,0.05370,0.62860,100.00000,88.78150,88.78150,41.18940,40.42320,0.02610,1.70250,52.86390,1.73310,1.73310,1.05630,1.73310,16.73120,-1.441,-1.441
2012-03-31,6.62500,6.62500,0.51000,6.11500,-2.76300,3.35200,,3.35200,,2.53900,2.53900,6.16600,6.11500,7.63700,7.63700,0.33000,0.33000,0.11330,0.54430,100.00000,92.30190,92.30190,50.59620,38.32450,0.03290,2.64790,33.98940,1.96750,1.96750,1.26070,1.96750,16.89070,0.41430,0.41430
2011-12-31,6.18300,6.18300,0.47200,5.71100,-2.19000,3.52100,,3.31000,,0.78600,0.78600,5.76100,5.71100,7.61100,7.61100,0.10000,0.10000,0.06310,0.49710,100.00000,92.36620,92.36620,56.94650,12.71230,0.03130,2.07140,43.44980,0.60520,0.60520,0.39730,0.60520,17.00720,2.3758,2.3758
2011-09-30,6.44100,6.44100,0.71600,5.72500,-2.73200,2.99300,,2.99300,,2.75900,2.75900,5.75800,5.72500,7.61800,7.61800,0.36000,0.36000,0.41510,0.61860,100.00000,88.88370,88.88370,46.46790,42.83500,0.02970,2.60030,34.61110,2.08420,2.08420,1.27220,2.08420,17.35660,-0.5562,-0.5562
2011-06-30,5.97000,5.97000,0.53600,5.43400,-3.45400,1.98000,,1.98000,,3.82300,3.82300,5.43400,5.43400,7.60100,7.60100,0.50000,0.50000,0.28700,0.55830,100.00000,91.02180,91.02180,33.16580,64.03690,0.02850,2.21030,40.71860,2.88620,2.88620,1.82800,2.88620,17.39640,-0.4698,-0.4698
2011-03-31,5.46000,5.46000,0.52300,4.93700,-2.70900,2.22800,,2.22800,,3.62800,3.62800,5.13100,4.93700,7.59300,7.59300,0.48000,0.48000,0.75860,0.70870,100.00000,90.42130,90.42130,40.80590,66.44690,0.02420,2.39370,37.59890,2.77320,2.77320,1.60930,2.77320,17.22940,-1.87840,-1.87840
2010-12-31,3.25100,3.25100,0.33200,3.01100,-2.24000,2.52000,0.00000,2.52000,,3.41900,3.41900,3.30000,3.01100,7.55600,7.55600,0.45000,0.45000,0.44520,0.68730,152.56850,92.61770,92.61770,77.51460,105.16760,0.01500,1.67750,53.65120,2.68800,2.68800,1.58140,2.68800,16.75160,-1.0693,-1.0693
2010-09-30,5.18900,5.18900,0.06800,5.12100,-1.86400,3.25700,,3.25700,0.32000,5.28800,5.28800,5.41200,5.12100,,,,0.00000,,,100.00000,98.68950,98.68950,62.76740,101.90790,,,,,,,,,0,0
2010-06-30,4.27000,4.27000,0.07800,4.19200,-1.68300,2.50900,,2.50900,0.11600,2.25900,2.25900,4.48200,4.19200,,,,0.00000,,,100.00000,98.17330,98.17330,58.75880,52.90400,,,,,,,,,0,0
2010-03-31,3.79300,3.79300,0.13000,3.66300,-1.55000,2.11300,,2.11300,0.30300,2.61800,2.61800,3.95300,3.66300,,,,0.00000,,,100.00000,96.57260,96.57260,55.70790,69.02190,,,,,,,,,0.00000,
2009-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
