Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-12-31,261.32600,261.32600,10.83300,-36.78900,158.31800,,158.31800,10.97500,147.34300,-6.16100,15.04300,15.04300,223.23600,213.70400,314.00000,314.00000,0.04000,0.04000,1.79550,0.44300,0.79530,100.00000,60.58260,81.77680,60.58260,5.75640,0.02750,1.89370,47.52680,0.29080,0.29080,0.15820,0.16200,16.47450,-1.1117,-1.1117
2015-09-30,260.94800,260.94800,10.47100,-62.49800,131.36100,,131.36100,0.88400,130.47700,,116.85900,116.85900,196.26600,187.97900,314.46900,314.46900,0.37000,0.37000,1.59460,0.40900,0.69190,100.00000,50.33990,72.03700,50.33990,44.78250,0.02840,1.92770,46.68690,2.21330,2.21330,1.27390,1.30820,16.78960,0.0215,0.0215
2015-06-30,249.47900,249.47900,12.28700,-69.65200,111.11900,,111.11900,2.61600,108.50300,,146.52200,146.52200,176.08000,167.54000,314.46900,314.46900,0.47000,0.47000,1.69770,0.40410,0.67810,100.00000,44.54040,67.15600,44.54040,58.73120,0.02730,1.74820,51.48070,2.77380,2.77380,1.60570,1.65290,16.79800,0.4036,0.4036
2015-03-31,253.24700,253.24700,10.40900,-59.06100,125.20200,,125.20200,3.52500,121.67700,-3.83900,100.57600,100.57600,192.41800,183.77700,314.10800,314.10800,0.32000,0.32000,1.41090,0.39490,0.65250,100.00000,49.43870,72.56830,49.43870,39.71460,0.02840,1.28820,69.86320,1.91380,1.91380,1.12790,1.15810,16.71200,1.83310,1.83310
2014-12-31,270.95800,270.95800,11.02500,-73.10700,130.56600,,130.56600,2.18300,128.38300,,153.43800,153.43800,194.86300,186.82600,305.00000,305.00000,0.50000,0.50000,1.23070,0.42620,0.74280,100.00000,48.18680,68.95020,48.18680,56.62800,0.02850,1.67420,53.75590,2.90400,2.90400,1.61550,1.66630,16.82130,-0.1395,-0.1395
2014-09-30,253.39600,253.39600,9.37900,-77.11700,112.80400,,112.80400,7.51400,105.29000,,177.73900,177.73900,175.03800,166.90000,310.56400,310.56400,0.57000,0.57000,1.10900,0.41210,0.70080,100.00000,44.51690,65.86530,44.51690,70.14280,0.02750,1.29130,69.69530,3.38570,3.38570,1.93130,1.99060,16.71290,-1.8516,-1.8516
2014-06-30,224.92700,224.92700,10.42300,-66.43900,94.91400,,94.91400,2.92300,91.99100,,142.83100,142.83100,156.01400,148.06500,298.27000,298.27000,0.48000,0.48000,1.40140,0.40490,0.68050,100.00000,42.19770,65.82800,42.19770,63.50100,0.02630,1.46020,61.63600,2.89500,2.89500,1.66850,1.72270,16.52350,-0.3489,-0.3489
2014-03-31,239.71900,239.71900,10.17300,-59.33700,117.71600,,117.71600,5.38000,112.33600,-0.07200,116.99200,116.99200,178.08500,170.20900,297.97200,297.97200,0.39000,0.39000,1.21690,0.38440,0.62440,100.00000,49.10580,71.00360,49.10580,48.80380,0.02920,1.61790,55.62810,2.38830,2.38830,1.42680,1.47030,16.42330,0.17930,0.17930
2013-12-31,233.74210,233.74210,9.61500,-62.76300,113.90110,,113.90100,2.39100,111.51000,,133.88400,133.88400,168.06200,161.36400,266.93900,266.93900,0.49000,0.49000,1.60370,0.37850,0.60890,100.00000,48.72940,69.03510,48.72930,57.27850,0.02870,0.92550,97.24070,2.72990,2.72990,1.64450,1.69670,16.45950,-0.7398,-0.7398
2013-09-30,246.80100,246.80100,9.49800,-62.66600,130.21300,,130.21300,3.99100,126.22200,,140.79700,140.79700,181.90000,174.63700,268.31200,268.31200,0.52000,0.52000,1.20190,0.41670,0.71440,100.00000,52.76030,70.76030,52.76030,57.04880,0.03180,1.84700,48.72820,3.20550,3.20550,1.81580,1.86980,16.35300,-1.6036,-1.6036
2013-06-30,206.12300,206.12300,10.09000,-58.27600,97.49600,,97.49600,3.91900,93.57700,,133.49800,133.49800,144.67600,137.75700,266.17400,266.17400,0.50000,0.50000,0.99900,0.37080,0.58930,100.00000,47.29990,66.83240,47.29990,64.76620,0.02890,1.72330,52.22610,3.07030,3.07030,1.87210,1.93180,16.20520,-2.2968,-2.2968
2013-03-31,195.05500,195.05500,9.50400,-43.30300,102.90100,,102.90100,3.80400,99.09700,,80.34200,80.34200,149.20600,142.24800,248.65800,248.65800,0.32000,0.32000,1.11850,0.35390,0.54770,100.00000,52.75490,72.92710,52.75490,41.18940,0.03070,1.68090,53.54230,2.01940,2.01940,1.26460,1.30470,15.98500,-0.22080,-0.22080
2012-12-31,212.16000,212.16000,16.93600,-66.90200,97.99900,,97.99900,3.53700,94.46200,,175.14400,175.14400,144.22400,137.47900,230.15100,230.15100,0.72000,0.72000,1.74270,0.35510,0.55060,100.00000,46.19110,64.79970,46.19110,82.55280,0.03310,1.94410,46.29340,4.39140,4.39140,2.73610,2.83210,16.03980,1.21,1.21
2012-09-30,190.57200,190.57200,6.91800,-56.45500,91.49700,,91.49700,2.03700,89.46000,,136.55500,136.55500,133.30100,127.19900,233.12600,233.12600,0.59000,0.59000,1.47620,0.36150,0.56610,100.00000,48.01180,66.74590,48.01180,71.65530,0.03020,1.19120,75.55110,3.49360,3.49360,2.16710,2.23080,15.74100,-1.3008,-1.3008
2012-06-30,177.55500,177.55500,8.23900,-43.54400,90.75400,,90.75400,2.85300,87.90100,-2.67800,90.93200,90.93200,131.98000,125.77200,221.87800,221.87800,0.41000,0.41000,1.21990,0.38910,0.63680,100.00000,51.11320,70.83550,51.11320,51.21340,0.03060,1.75040,51.41790,2.63840,2.63840,1.56580,1.61190,15.51420,-0.9724,-0.9724
2012-03-31,167.73800,167.73800,8.80700,-46.37200,79.78300,,79.78300,2.74500,77.03800,,105.54700,105.54700,118.78300,112.55900,217.04400,217.04400,0.49000,0.49000,2.02310,0.37030,0.58800,100.00000,47.56410,67.10410,47.56410,62.92370,0.02990,1.65680,54.32150,3.07420,3.07420,1.88170,1.93590,15.47390,-0.02710,-0.02710
2011-12-31,187.12300,187.12300,10.38100,-48.67300,95.29600,,95.29600,2.83700,92.45900,0.00000,118.12500,118.12500,134.25000,128.06900,204.86000,204.86000,0.57000,0.57000,1.32320,0.39720,0.65890,100.00000,50.92690,68.44110,50.92690,63.12690,0.03470,1.87820,47.91780,3.75330,3.75330,2.19260,2.26260,15.34280,-0.8716,-0.8716
2011-09-30,167.36500,167.36500,8.87700,-28.47600,99.04100,,99.04100,0.68300,98.35800,,40.63900,40.63900,136.07700,130.01200,205.13000,205.13000,0.20000,0.20000,1.46720,0.36710,0.58010,100.00000,59.17670,77.68170,59.17670,24.28170,0.03320,1.59060,56.58330,1.30960,1.30960,0.80540,0.82880,15.12840,-0.4264,-0.4264
2011-06-30,144.30700,144.30700,10.88400,-59.16000,45.67000,,45.67000,1.90700,43.76300,-10.45800,36.92300,36.92300,80.43000,74.26300,204.75200,204.75200,0.18000,0.18000,1.20980,0.34080,0.51690,100.00000,31.64780,51.46180,31.64780,25.58640,0.02940,1.37190,65.60200,1.17800,1.17800,0.75180,0.77660,15.27950,-1.3383,-1.3383
2011-03-31,135.69100,135.69100,7.97500,-47.67100,49.87000,,49.87000,2.04700,47.82300,-8.86000,123.76600,123.76600,86.71000,80.04500,204.41900,204.41900,0.61000,0.61000,3.07440,0.31100,0.45150,100.00000,36.75260,58.99070,36.75260,91.21170,0.02880,1.22940,73.20730,3.91290,3.91290,2.62940,2.69580,15.44800,0.69880,0.69880
2010-12-31,157.17000,157.17000,11.49700,-52.39700,68.38200,,68.38200,5.03200,63.35000,5.88200,156.88800,156.88800,98.11600,93.27600,176.73200,176.73200,0.90000,0.90000,1.36460,0.31120,0.45190,100.00000,43.50830,59.34720,43.50830,99.82060,0.03440,1.93030,46.62570,5.14300,5.14300,3.43860,3.54230,14.92290,-0.2651,-0.2651
2010-09-30,138.12600,138.12600,11.07400,-33.24100,71.05600,,71.05600,-0.16400,71.22000,-1.57800,128.37700,128.37700,99.12900,93.81100,192.16700,192.16700,0.67000,0.67000,1.71770,0.35420,0.54860,100.00000,51.44290,67.91700,51.44290,92.94200,0.03120,1.56630,57.45880,4.62040,4.62040,2.89650,2.98370,14.42870,-1.1164,-1.1164
2010-06-30,121.59000,121.59000,21.59800,-26.65500,50.22700,,50.22700,0.68600,49.54100,195.49300,330.15400,330.15400,78.27700,73.33700,191.04500,191.04500,1.73000,1.73000,1.85090,0.31470,0.45920,100.00000,41.30850,60.31500,41.30850,271.53050,0.02980,1.54520,58.24580,12.17710,12.17710,8.10450,8.34520,14.10890,-2.0464,-2.0464
2010-03-31,66.51000,66.51000,9.77900,-16.60000,31.54300,,31.54300,-0.16200,31.70500,,76.41500,76.41500,42.98100,40.13100,124.54400,124.54400,0.61000,0.61000,3.31370,0.32960,0.49160,100.00000,47.42600,60.33830,47.42600,114.89250,0.02800,1.46360,61.49260,4.87040,4.87040,3.21160,3.26510,11.77960,-0.28670,-0.28670
2009-12-31,69.26400,69.26400,11.65600,-17.10500,36.22700,,38.36500,0.01300,38.35200,,69.63000,69.63000,43.00000,41.88600,101.72000,101.72000,0.65000,0.65000,1.47680,0.43530,0.77070,100.00000,52.30280,60.47290,55.38950,100.52840,0.02990,2.47200,36.40720,5.53550,5.53550,3.00970,3.12610,11.44110,-1.2418,-1.2418
2009-09-30,60.88100,60.88100,5.15500,-15.86900,33.66800,-0.30800,33.36000,0.45400,32.90600,,63.27600,63.27600,40.41800,39.38900,102.83200,102.83200,0.62000,0.62000,1.10730,0.38580,0.62810,100.00000,55.30130,64.69840,54.79540,103.93390,0.02950,2.87730,31.27920,5.17560,5.17560,3.06410,3.17900,11.15570,0.5394,0.5394
2009-06-30,59.11100,59.11100,3.74100,-15.61700,32.71000,-0.68400,32.02600,0.07800,31.94800,,34.75300,34.75300,40.56000,39.01100,97.15300,97.15300,0.36000,0.36000,0.92780,0.44680,0.80760,100.00000,55.33660,65.99620,54.17940,58.79280,0.02890,2.18350,41.21870,3.19210,3.19210,1.69770,1.76590,11.20630,0.6223,0.6223
2009-03-31,56.01600,56.01600,2.73500,-15.15000,31.37700,-1.14600,30.23100,0.03100,30.20000,26.54300,35.03400,35.03400,39.13600,37.95800,97.15300,97.15300,0.36000,0.36000,1.20910,0.45340,0.82960,100.00000,56.01440,67.76280,53.96850,62.54290,0.02740,3.18930,28.21980,3.21980,3.21980,1.71320,1.75990,11.19960,0.20060,0.20060
