Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-06-30,470.84500,422.66000,48.18500,25.60500,25.60500,22.58000,-2.25300,20.32700,4.39300,15.93400,15.93400,15.93400,26.80100,22.58000,11.71500,11.82800,1.36000,1.35000,1.42490,0.33010,0.52220,10.23370,4.79560,4.79560,4.31710,3.38410,0.52540,,1.33080,67.62980,4.78750,-29.72650,1.77810,3.20720,28.38830,3.023,2.8366
2021-03-31,434.00400,393.64800,40.35600,23.82300,23.82300,16.53300,-1.93200,14.60100,2.55300,12.04800,12.04800,12.04800,20.76300,16.53300,11.64800,11.82700,1.03000,1.02000,1.40220,0.34600,0.55840,9.29850,3.80940,3.80940,3.36430,2.77600,0.50330,,1.20830,74.48410,3.83130,-16.68950,1.39710,2.50560,26.87740,-1.83720,-2.05800
2020-12-31,355.31700,319.63100,35.68600,21.96100,21.96090,13.72510,-0.80500,12.92000,-3.86100,16.78100,16.78100,16.78100,15.91910,13.72510,11.59900,11.75100,1.45000,1.43000,1.41600,0.35620,0.58160,10.04340,3.86280,3.86280,3.63620,4.72280,0.42110,,1.12810,79.77750,5.50310,-20.25000,1.98870,3.54260,26.23120,2.2488,2.1579
2020-09-30,352.41500,320.23400,32.18100,17.34400,17.34400,14.83700,-0.93900,13.89800,3.50700,10.39100,10.39100,10.39100,16.96300,14.83700,11.62100,11.75100,0.89000,0.88000,1.44150,0.16800,0.23020,9.13160,4.21010,4.21010,3.94360,2.94850,0.52920,,1.31430,68.47860,3.66130,106.32380,1.56040,3.04600,24.41960,0.275,0.1813
2020-06-30,336.06300,311.81700,24.24600,21.81600,21.81600,2.43000,-1.34600,1.08400,-0.02700,1.11100,1.11100,1.11100,4.51200,2.43000,11.60700,11.74500,0.10000,0.09000,1.34920,0.18020,0.24770,7.21470,0.72310,0.72310,0.32260,0.33060,0.51090,,1.29110,69.70880,0.41230,-19.83930,0.16890,0.33800,23.18720,2.8326,2.7195
2020-03-31,351.73400,319.69300,32.04100,19.55800,19.55800,12.48300,-1.70300,10.78000,2.11200,8.66800,8.66800,8.66800,14.59300,12.48300,11.54500,11.74500,0.75000,0.74000,1.22850,0.18790,0.69310,9.10940,3.54900,3.54900,3.06480,2.46440,0.47300,,1.33430,67.44900,3.28030,-74.39700,1.16570,2.66390,22.80320,0.09680,0.01870
2019-12-31,365.15700,330.88800,34.26900,18.62000,18.62010,15.64900,-1.65900,13.99000,3.34600,10.64400,10.64400,10.64400,17.74400,15.64900,11.44400,11.61200,0.93000,0.91000,1.30820,0.19580,0.26860,9.38470,4.28560,4.28550,3.83120,2.91490,0.57380,,1.35670,66.33570,4.11180,-58.98910,1.67260,3.30660,22.46310,-0.0629,-0.2146
2019-09-30,359.87300,327.52300,32.35000,19.93400,19.93400,12.41600,-1.90700,10.50900,2.66800,7.84100,7.84100,7.84100,14.19900,12.41600,11.50600,11.67800,0.68000,0.67000,1.26990,0.21110,0.28970,8.98930,3.45010,3.45010,2.92020,2.17880,0.56630,,1.41240,63.72150,3.15740,-27.54030,1.23400,2.49100,21.58310,1.1047,1.3421
2019-06-30,331.58900,300.55300,31.03600,19.84300,19.84300,11.19300,-1.32900,9.86400,2.24700,7.61700,7.61700,7.61700,12.75100,11.19300,11.45500,11.60500,0.66000,0.66000,1.33650,0.21680,0.29970,9.35980,3.37560,3.37560,2.97480,2.29710,0.53970,,1.39770,64.39370,3.17800,-97.70350,1.23970,2.48910,20.83050,1.8915,1.7473
2019-03-31,325.90600,295.59600,30.31000,19.91900,19.91900,10.39100,-1.57500,8.81600,1.74200,7.07400,7.07400,7.07400,11.84900,10.39100,11.29200,11.39900,0.63000,0.62000,1.30510,0.22890,0.31870,9.30020,3.18830,3.18830,2.70510,2.17060,0.54950,,1.33500,67.41340,3.09930,-35.48700,1.19280,2.39000,20.10610,-0.56020,-1.42750
