Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,310.13600,48.40700,261.72900,49.99100,176.90500,226.89600,34.83300,-2.12200,32.71100,0.01900,32.69200,32.69200,32.69200,37.61400,34.83300,84.23050,95.45780,0.39000,0.34000,1.04220,1.03710,84.39170,11.23150,11.23150,10.54730,10.54120,0.15600,3.72980,4.13510,1.64480,3.72980,10.35120,-2.79490,-2.85030
2021-12-31,304.84800,41.04900,263.79900,46.49500,156.89000,203.38500,60.41400,-1.14700,59.26700,0.32300,58.94400,58.94400,58.94400,62.97100,60.41400,78.10600,94.77300,0.73000,0.63000,1.34860,0.99500,86.53460,19.81780,19.81780,19.44150,19.33550,0.16750,7.30340,8.18540,3.23790,7.30340,9.64710,-0.0922,-0.1536
2021-09-30,228.45000,34.97800,193.47200,37.08500,127.78800,164.87300,28.59900,-0.75400,27.84500,-1.26800,29.11300,29.11300,29.11300,30.78400,28.59900,79.39260,96.05720,0.37000,0.30000,1.49990,1.02010,84.68900,12.51870,12.51870,12.18870,12.74370,0.14220,4.04860,4.61200,1.81260,4.04860,8.81890,0.4351,0.3808
2021-06-30,193.94600,24.16400,169.78200,31.43100,102.05700,133.48800,36.29400,0.00200,36.29600,-0.98800,37.28400,37.28400,37.28400,38.27700,36.29400,76.67410,94.80210,0.49000,0.39000,3.69360,0.11590,87.54090,18.71350,18.71350,18.71450,19.22390,0.21440,5.20660,5.94550,4.12170,5.20660,9.22480,0.9623,0.9251
2021-03-31,121.34500,17.38800,103.95700,18.98800,69.39500,88.38300,15.57400,-5.25100,10.32300,0.22100,10.10200,10.10200,10.10200,16.39000,15.57400,73.62910,91.44960,0.14000,0.11000,2.35710,0.30690,85.67060,12.83450,12.83450,8.50710,8.32500,0.24840,3.15110,3.15110,2.06760,3.15110,4.33770,0.47120,0.46460
2020-12-31,86.71000,12.78900,73.92100,14.15100,49.37700,63.52800,10.39300,-8.99500,1.39800,0.37100,1.02700,1.02700,1.02700,11.04000,10.39300,26.00200,26.00200,,0.00000,2.09690,0.36010,85.25080,11.98590,11.98590,1.61230,1.18440,0.18170,0.34200,0.34200,0.21520,0.34200,4.09540,2.5785,2.5218
2020-09-30,65.35900,9.36000,55.99900,9.96600,33.82600,43.79200,12.20700,-2.53800,9.66900,,9.66900,9.66900,2.64200,12.78800,12.20700,14.70770,26.74550,0.12000,0.10000,,,85.67910,18.67690,18.67690,14.79370,4.04230,,,,,,,2.8377,2.854
2020-06-30,17.35300,6.62100,10.73200,7.66700,14.45300,22.12000,-11.38800,5.27900,-6.10900,,-6.10900,-6.10900,-6.19300,-10.85300,-11.38800,14.65740,14.65740,-0.42000,-0.42000,,,61.84520,-65.62550,-65.62550,-35.20430,-35.68840,,,,,,,1.1034,1.0216
2020-03-31,63.99400,8.81100,55.18300,7.01800,47.61200,54.63000,0.55300,0.43900,0.99200,,0.99200,0.99200,1.48000,1.06800,0.55300,14.62530,14.62530,0.10120,0.10120,,,86.23150,0.86410,0.86410,1.55010,2.31270,,,,,,,-5.91590,-6.00930
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
