Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,876.41600,1218.24000,-341.82400,67.90700,92.36400,-434.18790,-434.18800,-36.70700,-397.48100,-397.48100,,-394.64800,-431.56990,-422.23290,43.35700,43.35700,-9.10000,-9.10000,0.16040,0.19110,-49.54130,-48.17720,-49.54130,-45.02980,0.02510,-7.40610,-6.76580,-1.14060,-5.45550,138.41470,3.88010,3.88010
2021-12-31,1393.81900,1024.95600,368.86270,39.67300,61.97100,306.89200,306.89200,18.61600,288.27600,288.27600,,216.35700,314.19500,318.76420,47.17100,47.17100,4.69000,4.70000,0.14990,0.17640,22.01810,22.86990,22.01810,15.52260,0.04100,4.90740,4.51790,0.84890,3.69930,149.04440,8.8293,8.8293
2021-09-30,1544.70300,2126.09300,-581.39000,58.99700,81.11200,-662.50210,-662.50200,-23.63000,-638.87200,-638.87200,,-450.45100,-659.07600,-650.58310,46.22300,46.22300,-9.75000,-9.75000,0.14430,0.16860,-42.88860,-42.11700,-42.88860,-29.16100,0.04610,-10.64870,-9.82200,-1.90500,-8.10000,145.02610,10.3981,10.3981
2021-06-30,1477.28500,805.61100,671.67410,58.20300,80.16100,591.51310,591.51300,13.86200,577.65100,577.65100,,451.00900,593.67210,603.34610,48.16300,48.22600,9.36000,9.35000,0.13610,0.15760,40.04060,40.84160,40.04060,30.52960,0.04510,8.63120,8.28650,1.76510,6.91390,150.28540,2.7842,2.7842
2021-03-31,861.90200,1134.28500,-272.38310,55.31100,77.62800,-350.01110,-350.01100,-19.51600,-330.49500,-330.49500,,-291.06300,-336.35210,-338.09910,49.57900,49.57900,-5.87000,-5.87000,0.13840,0.16060,-40.60920,-39.22710,-40.60910,-33.76990,0.02670,-5.04320,-4.83870,-1.02520,-4.02300,141.65170,4.16580,4.16580
2020-12-31,1395.32300,1139.63600,255.68700,41.10400,73.97600,181.71090,181.71100,-9.92300,191.63400,191.63400,,189.16500,212.12590,193.55210,47.10300,47.17800,3.65000,3.63000,0.13070,0.15030,13.02290,13.87150,13.02290,13.55710,0.04530,2.72390,2.62130,0.62180,2.20360,148.79160,15.693,15.693
2020-09-30,1332.29300,1157.21000,175.08300,49.04500,108.93800,66.14490,66.14500,-8.24400,74.38900,74.38900,,47.21700,84.59190,77.98790,50.00900,50.09400,0.94000,0.94000,0.13320,0.15370,4.96470,5.85370,4.96470,3.54400,0.04300,1.08350,1.04280,0.24000,0.87240,145.46000,7.5033,7.5033
2020-06-30,1548.43600,743.88200,804.55400,49.07700,72.81700,731.73700,731.73700,29.87500,701.86200,701.86200,,568.25200,739.45800,743.57900,44.93900,45.00300,12.64000,12.63000,0.13380,0.15450,47.25650,48.02130,47.25650,36.69850,0.05080,10.28800,9.90130,2.30270,8.27430,144.59810,8.0973,8.0973
2020-03-31,896.26400,781.55800,114.70600,67.46100,98.37900,16.32700,16.32700,-8.84600,25.17300,25.17300,,-82.12000,26.84900,31.25400,43.44100,43.44100,-1.89000,-1.89000,0.16640,0.19960,1.82170,3.48710,1.82170,-9.16250,0.03260,0.48800,0.46420,0.09170,0.36920,129.07130,10.94510,10.94510
2019-12-31,1105.30500,970.71110,134.59410,64.57100,97.70890,36.88530,36.88500,-3.45500,40.34000,40.34000,,33.18800,20.65630,52.38130,43.11900,43.17500,0.70000,0.68000,0.18820,0.23180,3.33710,4.73910,3.33710,3.00260,0.04200,0.75810,0.70660,0.15320,0.54840,135.25790,20.4581,20.4581
2019-09-30,1051.14800,856.70100,194.44690,53.41500,82.83900,111.60790,111.60800,3.66400,107.94400,107.94400,,36.25200,116.47790,127.18790,43.46200,43.53700,0.83000,0.83000,0.18860,0.23250,10.61770,12.09990,10.61770,3.44880,0.04100,2.03620,1.89780,0.42090,1.47170,134.78970,11.0291,11.0291
2019-06-30,1238.38000,680.85500,557.52500,59.81400,99.19500,458.33000,458.33000,9.47500,448.85500,448.85500,,363.46100,460.94100,473.86400,43.48300,43.52100,8.36000,8.35000,0.18950,0.23390,37.01050,38.26480,37.01050,29.34970,0.04750,8.52880,7.94770,1.72060,6.15230,133.88980,9.0533,9.0533
2019-03-31,807.12100,350.98600,456.13500,44.93300,95.47600,360.65900,360.65900,7.53100,353.12800,353.12800,,270.59600,368.80700,372.41300,42.06500,42.09100,6.43000,6.43000,0.17660,0.21450,44.68460,46.14090,44.68460,33.52610,0.03290,7.20080,6.67930,1.43780,5.23500,125.77350,8.96030,8.96030
2018-12-31,547.99690,598.10300,-50.10600,58.85900,82.73200,-132.83800,-132.83800,-8.85200,-123.98600,-123.98600,,-85.73300,-151.88600,-121.07300,39.73200,39.75500,-2.11000,-2.11000,0.16420,0.19650,-24.24070,-22.09370,-24.24070,-15.64480,0.02930,-2.82100,-2.57890,-0.66390,-2.05400,119.53180,8.3142,8.3142
2018-09-30,629.75400,520.27100,109.48300,40.59300,59.20300,50.28000,50.28000,1.45100,48.82900,48.82900,,32.38700,68.24400,62.04900,39.62400,39.63700,0.82000,0.82000,0.16860,0.20280,7.98410,9.85290,7.98410,5.14280,0.03680,1.15260,1.05060,0.28560,0.83080,121.35600,13.6127,13.6127
2018-06-30,479.20400,165.21900,313.98500,37.54300,57.61200,256.37300,256.37300,4.50600,251.86700,251.86700,,191.78800,279.14200,268.14100,39.64100,39.65400,4.78000,4.78000,0.16930,0.20380,53.49980,55.95550,53.49980,40.02220,0.02810,5.98250,5.45180,1.47950,4.30510,120.70790,9.7471,9.7471
2018-03-31,417.98600,269.41400,148.57200,41.27200,59.77200,88.80000,88.80000,-3.40700,92.20700,92.20700,,56.71300,114.30700,100.56700,39.55200,39.59900,1.42000,1.42000,0.18240,0.22320,21.24470,24.05990,21.24470,13.56820,0.02630,2.28450,2.19820,0.57910,1.69930,110.22840,-0.94320,-0.94320
2017-12-31,491.29300,402.66190,88.63110,29.19200,45.20650,43.42460,43.42500,41.22600,2.19900,2.19900,,-2.32400,67.85760,55.20160,39.85400,39.85400,0.09000,0.11000,0.18390,0.22540,8.83880,11.23600,8.83890,-0.47300,0.03230,0.05510,0.05300,0.01440,0.04090,109.71860,10.5406,10.5406
2017-09-30,634.73500,1298.45700,-663.72200,42.53700,58.74900,-722.47090,-722.47100,-18.97700,-703.49400,-703.49400,,-504.81200,-703.58500,-710.67190,39.59100,39.59100,-12.75000,-12.75000,0.18350,0.22470,-113.82250,-111.96360,-113.82250,-79.53110,0.04220,-17.57410,-16.91810,-4.67600,-13.04640,109.99560,7.1772,7.1772
2017-06-30,505.58500,230.83800,274.74700,41.76600,56.49300,218.25400,218.25400,3.90400,214.35000,214.35000,,169.55700,233.45400,228.34500,39.93700,40.02400,4.25000,4.24000,0.16640,0.19960,43.16860,45.16450,43.16860,33.53680,0.03690,4.70560,4.55210,1.56400,3.60610,123.01410,3.0719,3.0719
2017-03-31,472.06600,276.36300,195.70300,47.28300,63.09500,132.60800,132.60800,0.33400,132.27400,132.27400,,92.35200,149.52400,143.13400,40.40800,40.62300,2.26000,2.25000,0.16290,0.19460,28.09100,30.32080,28.09100,19.56340,0.03540,2.96520,2.86770,0.99310,2.27800,119.18200,4.94890,4.94890
2016-12-31,353.96710,198.04700,155.92010,49.94800,72.36990,83.55020,83.55000,-7.70000,91.25000,91.25000,,65.33100,105.04520,94.08410,41.31400,41.55900,1.72000,1.70000,0.16310,0.19490,23.60390,26.57990,23.60390,18.45680,0.02870,2.04300,1.97710,0.73870,1.56920,118.15810,2.3267,2.3267
2016-09-30,442.46600,193.15500,249.31100,40.49300,62.56600,186.74500,186.74500,-1.31600,188.06100,188.06100,,146.82500,204.58800,197.28100,40.51300,40.73300,3.58000,3.56000,0.16520,0.19790,42.20550,44.58670,42.20550,33.18330,0.03500,4.26660,4.13040,1.48550,3.26530,116.81870,6.3479,6.3479
2016-06-30,483.28400,236.75500,246.52900,51.07300,67.36100,179.16800,179.16800,6.61200,172.55600,172.55600,,134.76400,191.98800,189.70400,41.69300,41.88500,3.23000,3.22000,0.16870,0.20300,37.07300,39.25310,37.07300,27.88510,0.03850,4.00990,3.88200,1.37550,3.04990,113.34150,3.0283,3.0283
2016-03-31,448.12000,192.19700,255.92300,56.23500,74.99800,180.92500,180.92500,2.74400,178.18100,178.18100,,127.99500,200.21500,191.46300,42.57700,42.91200,2.97000,2.95000,0.16750,0.20110,40.37420,42.72580,40.37420,28.56270,0.03690,4.08620,3.96050,1.46600,3.11610,110.46740,-0.03820,-0.03820
2015-12-31,377.37500,157.41200,219.96300,64.30000,85.64100,134.32200,134.32200,8.45300,125.86900,125.86900,,90.32900,159.21400,144.87210,43.15700,43.52600,1.90000,1.89000,0.16870,0.20300,35.59380,38.38940,35.59380,23.93610,0.03270,2.90540,2.81770,1.08930,2.21110,108.28550,6.1537,6.1537
2015-09-30,358.24000,178.15400,180.08600,54.51800,72.38200,107.70400,107.70400,-4.57300,112.27700,112.27700,,75.52900,109.68800,118.24600,44.56400,44.91300,1.68000,1.66000,0.17100,0.20630,30.06480,33.00750,30.06480,21.08340,0.03010,2.61250,2.53590,0.94300,1.98130,106.47180,4.2535,4.2535
2015-06-30,397.56700,231.01000,166.55700,54.67300,77.40300,89.15400,89.15400,-1.84200,90.99600,90.99600,,72.41400,106.59800,99.01600,45.30300,45.65700,1.60000,1.59000,0.16740,0.20100,22.42490,24.90550,22.42490,18.21430,0.03300,2.05090,1.99500,0.75500,1.56640,105.12120,2.3203,2.3203
2015-03-31,381.92000,120.25400,261.66600,45.62100,96.47000,165.19600,165.19600,-47.90400,213.10000,213.10000,,165.81800,175.32500,170.51200,39.63100,40.02100,4.18000,4.14000,0.14740,0.17290,43.25410,44.64600,43.25410,43.41690,0.03380,4.86280,4.73460,1.88800,3.79920,103.90410,-2.96360,-2.96360
2014-12-31,318.79800,27.74600,291.05200,55.20200,70.07400,220.97800,220.97800,0.40100,220.57700,220.57700,,164.00700,243.00600,225.50500,39.42500,39.96800,4.44000,4.39000,0.06060,0.06450,69.31600,70.73600,69.31600,51.44540,0.03890,6.36450,5.71770,2.68880,5.36000,100.55970,6.5536,6.5536
2014-09-30,266.49600,107.19700,159.29900,46.97200,55.16700,104.13200,104.13200,0.24500,103.88700,103.88700,,67.81500,123.27300,108.42200,38.97500,39.43300,1.72000,1.70000,0.06260,0.06680,39.07450,40.68430,39.07450,25.44690,0.03190,3.11420,2.78670,1.24310,2.60670,96.06720,5.6838,5.6838
2014-06-30,331.17400,114.86500,216.30900,45.84100,54.08700,162.22200,162.22200,-0.20400,162.42600,162.42600,,120.75200,173.62800,166.51400,39.73600,40.39500,3.00000,2.95000,0.06110,0.06500,48.98390,50.27990,48.98390,36.46180,0.03890,4.72730,4.24320,1.90740,3.97580,94.66080,3.1793,3.1793
2014-03-31,343.60900,92.61500,250.99400,42.62400,51.46200,199.53200,199.53200,0.16600,199.36600,199.36600,,151.00300,212.13000,203.82500,41.23800,41.90300,3.61000,3.56000,0.06220,0.06630,58.06950,59.31890,58.06950,43.94620,0.04210,5.92950,5.31050,2.44210,4.96960,92.08630,1.11300,1.11300
2013-12-31,405.20900,10.17200,395.03700,57.65800,65.25900,329.77810,329.77800,1.33600,328.44200,328.44200,,259.13600,343.24810,334.07510,43.34900,44.12800,6.12000,6.03000,0.06000,0.06390,81.38470,82.44510,81.38470,63.95120,0.04950,9.37230,8.42960,4.01560,7.90700,89.45570,9.2908,9.2908
2013-09-30,391.57200,98.62700,292.94500,44.67200,53.27700,239.66800,239.66800,0.22300,239.44500,239.44500,-9.77900,179.74000,259.66800,243.96600,43.33000,44.13500,4.09000,4.01000,0.06290,0.06710,61.20660,62.30420,61.20660,45.90220,0.04690,7.22430,6.46200,2.86620,6.04070,83.67540,4.7474,4.7474
2013-06-30,250.23500,135.72900,114.50600,42.78900,68.61800,45.88800,45.88800,0.01100,45.87700,45.87700,2.42700,26.80600,63.92000,50.18800,43.37200,44.42300,0.61000,0.60000,0.06550,0.07010,18.33800,20.05630,18.33800,10.71230,0.02960,1.44630,1.28730,0.54180,1.20020,80.47740,1.0925,1.0925
2013-03-31,333.46600,52.26000,281.20600,45.98600,55.50200,225.70400,225.70400,0.12200,225.58200,225.58200,9.77400,190.47400,243.72700,230.73800,43.46100,44.29000,4.32000,4.23000,0.06660,0.07130,67.68430,69.19390,67.68430,57.11950,0.04120,7.12320,6.33930,2.78600,5.90350,80.13600,2.90140,2.90140
2012-12-31,366.76700,226.27800,140.48900,53.00500,62.55900,77.93010,77.93010,0.40800,77.52200,77.52200,-17.53000,41.10900,98.09410,83.70210,48.87300,49.60300,1.02000,0.98000,0.09060,0.09960,21.24780,22.82160,21.24780,11.20850,0.04630,2.49500,2.21580,0.97770,2.01020,77.00710,3.5478,3.5478
2012-09-30,390.49900,97.65300,292.84600,42.35600,52.04300,240.80300,240.80300,0.14400,240.65900,240.65900,-0.16600,177.87300,263.21200,246.69400,48.39400,49.11900,3.67000,3.62000,0.08530,0.09330,61.66550,63.17410,61.66550,45.55020,0.04440,7.30830,6.27640,2.73680,5.72790,79.68270,4.9505,4.9505
2012-06-30,310.49800,75.15900,235.33900,41.40700,51.19000,184.14900,184.14900,0.89800,183.25100,183.25100,1.39300,140.03400,205.06900,189.86500,50.27800,51.01200,2.78000,2.75000,0.08430,0.09210,59.30760,61.14850,59.30760,45.09980,0.03470,5.55820,4.77440,2.04530,4.36190,76.01260,2.5988,2.5988
2012-03-31,356.53100,39.66300,316.86800,42.38300,52.91200,263.95600,263.95600,-0.03700,263.99300,263.99300,-0.17300,198.02500,283.25500,269.67400,50.37700,50.98100,3.93000,3.88000,0.08480,0.09270,74.03450,75.63830,74.03450,55.54220,0.04270,8.12670,6.96670,3.16020,6.36060,73.37890,3.35620,3.35620
2011-12-31,254.76300,28.65200,226.11090,43.36300,57.58300,168.52800,168.52800,13.64500,154.88300,154.88300,-38.97400,75.82600,189.50700,174.24900,50.74700,50.74700,1.41000,1.42000,0.08920,0.09800,66.15090,68.39650,66.15090,29.76340,0.03290,5.06400,4.30270,1.99980,3.90910,70.01020,-0.5457,-0.5457
2011-09-30,217.94700,103.88700,114.06000,42.16900,51.47300,62.58700,62.58700,-1.43500,64.02200,64.02200,-0.96500,48.35200,78.10000,68.30900,50.50100,50.97300,0.96000,0.95000,0.08950,0.09830,28.71660,31.34200,28.71660,22.18520,0.02680,2.13330,1.81020,0.78870,1.64150,68.57010,3.2083,3.2083
2011-06-30,280.92200,165.14400,115.77800,42.29900,52.04000,63.73800,63.73800,-1.77300,65.51100,65.51100,-10.09400,24.30300,76.19400,69.46800,50.49300,51.05000,0.48000,0.48000,0.09030,0.09920,22.68890,24.72860,22.68890,8.65120,0.03440,2.20670,1.86940,0.80220,1.69370,68.00080,0.7295,0.7295
2011-03-31,387.66000,660.87200,-273.21200,41.83000,50.08910,-323.30110,-323.30100,-0.05200,-323.24900,-323.24900,-1.52600,-241.70600,-306.58300,-317.10600,51.50400,51.50400,-4.69000,-4.69000,0.13550,0.15680,-83.39810,-81.80000,-83.39810,-62.35000,0.04840,-10.94620,-9.26610,-4.03300,-7.97700,67.69990,-0.12230,-0.12230
2010-12-31,187.09200,-8.32500,195.41700,45.88200,56.92900,138.48800,138.48800,0.19600,138.29200,138.29200,11.10800,119.47500,164.48400,144.79100,55.14500,55.64100,2.25000,2.22000,0.12240,0.13940,74.02130,77.39030,74.02130,63.85900,0.02300,4.08040,3.52380,1.69930,3.08110,72.80010,-0.308,-0.308
2010-09-30,382.01900,104.07900,277.94000,36.97000,48.72400,229.21600,229.21600,-2.39900,231.61500,231.61500,21.23400,199.60300,248.70300,235.38000,53.46700,53.96500,3.73000,3.70000,0.12140,0.13820,60.00120,61.61470,60.00120,52.24950,0.04420,6.96840,5.93760,2.68060,5.12090,72.41300,4.0512,4.0512
2010-06-30,306.40800,4.77700,301.63100,38.04000,48.73900,252.89200,252.89200,-0.95800,253.85000,253.85000,18.88100,204.91900,271.81400,259.09800,55.53800,56.04400,3.69000,3.66000,0.12700,0.14550,82.53440,84.55980,82.53440,66.87780,0.03580,8.12260,6.85880,2.96790,5.87020,68.81090,1.2323,1.2323
2010-03-31,349.15200,123.77500,225.37700,45.15000,53.61500,171.76200,171.76200,-2.96300,174.72500,174.72500,11.44700,160.85100,188.90500,174.91800,58.40700,58.88700,2.75000,2.73000,0.12650,0.14480,49.19410,50.09800,49.19400,46.06910,0.04400,5.56220,4.70210,2.20180,4.02560,65.47550,3.91580,3.91580
2009-12-31,294.38000,-18.31500,312.69500,43.71200,51.63200,261.06300,261.06300,2.22800,258.83500,258.83500,12.18700,211.76700,271.55400,264.09000,60.60400,61.16100,3.41000,3.38000,0.07250,0.07810,88.68230,89.71060,88.68230,71.93660,0.03710,8.11200,6.76610,3.26560,6.25090,62.20400,2.253,2.253
2009-09-30,438.58700,82.77000,355.81700,45.49800,44.92700,310.89000,310.89000,3.99300,306.89700,306.89700,,252.56100,317.99100,314.63800,60.89800,61.36700,4.15000,4.12000,0.10790,0.12100,70.88450,71.73900,70.88450,57.58520,0.05130,9.99510,8.40520,3.59170,7.35880,59.62290,3.907,3.907
2009-06-30,508.78000,119.31800,389.46200,46.86500,57.40400,332.05800,332.05800,0.65200,331.40600,331.40600,,265.17200,335.39400,336.25800,60.96300,61.32200,4.35000,4.32000,0.11680,0.13220,65.26550,66.09100,65.26550,52.11920,0.05780,12.03540,9.94390,3.76370,8.59990,54.61410,1.1238,1.1238
2009-03-31,323.76400,130.80100,192.96300,39.75700,50.48100,142.48200,142.48200,-0.85200,143.33400,143.33400,,95.47500,145.87800,146.61800,60.63500,60.98900,1.57000,1.57000,0.12600,0.14420,44.00800,45.28550,44.00800,29.48910,0.04020,5.79970,4.70120,1.77840,4.01340,50.08510,2.34470,2.34470
