Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-06-30,0.22200,,0.22200,2.63700,1.34500,,-3.76000,0.16900,-3.59100,-0.62600,-2.96500,-2.96500,,-3.01500,-3.72700,-3.76000,0.01000,0.01000,-302.84860,-302.84860,3.37250,100.00000,-1693.69400,-1693.69400,-1617.56800,-1358.10800,0.01180,,-22.52700,-22.52700,-15.70690,-22.52700,1312.48000,-99.8352,-99.8352
2016-03-31,0.13900,,0.13900,2.49900,1.38400,,-3.74400,0.21000,-3.53400,-0.49300,-3.04100,-3.04100,,-3.09100,-3.70200,-3.74400,0.00990,0.00990,-311.84410,-311.84410,3.94920,100.00000,-2693.52500,-2693.52500,-2542.44600,-2223.74100,0.00650,,-19.12700,-19.12700,-14.16990,-19.12700,1608.41700,-318.25580,-318.25580
2015-12-31,0.42100,,0.42100,2.55600,1.72600,,-3.86100,-0.01100,-3.87200,-0.49800,-3.37400,-3.37400,,-3.42500,-3.80800,-3.86100,0.00900,0.00900,-281.58560,-281.58560,4.27010,100.00000,-917.10210,-917.10220,-919.71470,-813.53910,0.01700,,-17.91350,-17.91350,-13.62460,-17.91350,1904.78100,-375.528,-375.965
2015-09-30,0.71500,,0.71500,2.90400,1.20500,,-3.39400,0.20700,-3.18700,-0.47800,-2.70900,-2.70900,,-2.75900,-3.33900,-3.39400,0.00960,0.00960,-284.85760,-284.85760,5.09100,100.00000,-474.68540,-474.68540,-445.73430,-385.87410,0.02640,,-12.54170,-12.54170,-10.01520,-12.54170,2240.50500,-419.3441,-420.3634
2015-06-30,0.29600,,0.29600,2.58000,1.33300,,-3.61700,-0.13500,-3.75200,-0.40500,-3.34700,-3.34700,,-3.39700,-3.56700,-3.61700,0.00960,0.00960,-356.82160,-356.82160,4.69630,100.00000,-1221.95900,-1221.95900,-1267.56800,-1147.63500,0.00960,,-13.88800,-13.88800,-10.87110,-13.88800,2522.72100,-126.6467,-127.0151
2015-03-31,0.51200,,0.51200,4.34200,1.46800,,-5.29800,-0.37700,-5.67500,-0.76300,-4.91200,-4.91200,,-4.96200,-5.24600,-5.29800,0.00720,0.00720,-683.93180,-683.93180,4.30480,100.00000,-1034.76600,-1034.76600,-1108.39800,-969.14050,0.01450,,-18.17310,-18.17310,-13.89260,-18.17310,2829.32100,-676.65020,-678.58350
2014-12-31,0.24700,,0.24700,4.41600,2.99900,,-5.78200,-0.12500,-5.90700,-1.10800,-4.79900,-4.79900,0.00000,-4.84900,-5.72300,-5.78200,0.00610,0.00610,-719.92840,-719.92840,3.87030,100.00000,-2340.89200,-2340.89200,-2391.49900,-1963.15800,0.00840,,-22.12740,-22.12750,-16.33040,-22.12750,3365.18900,-679.762,-682.484
2014-09-30,0.73500,,0.73500,4.97200,1.43300,,-5.67000,0.00900,-5.66100,-0.75000,-4.91100,-4.91100,0.00400,-4.95700,-5.60100,-5.67000,0.00630,0.00630,-791.92100,-791.92100,4.60770,100.00000,-771.42860,-771.42860,-770.20400,-674.42180,0.02320,,-19.92860,-19.92860,-15.52640,-19.92860,3911.88700,-979.481,-1017.06
2014-06-30,0.35600,,0.35600,4.54500,,,-5.57500,-0.06000,-5.63500,-0.81600,-4.81900,-4.81900,0.00700,-4.86200,-5.55200,-5.57500,0.00630,0.00630,-791.92100,-791.92100,4.79010,100.00000,-1566.01100,-1566.01100,-1582.86500,-1365.73000,0.00950,,-16.28650,-16.28650,-12.81310,-16.28650,4697.02600,-535.9859,-540.6332
2014-03-31,0.39600,,0.39600,4.34400,1.46200,,-5.41000,-0.03600,-5.44600,-0.56900,-4.87700,-4.87700,0.00800,-4.91900,-5.38700,-5.41000,0.00540,0.00540,-899.91020,-899.91020,3.79700,100.00000,-1366.16200,-1366.16200,-1375.25300,-1242.17200,0.01170,,-19.52750,-19.52750,-14.43540,-19.52750,4536.10300,-871.06510,-876.77880
2013-12-31,0.29900,,0.29900,2.49100,1.78200,,-3.97400,-0.05200,-4.02600,-0.45200,-3.57400,-3.57400,0.01500,-3.60900,-3.96200,-3.97400,0.00420,0.00420,395.96040,431.95700,4.84740,100.00000,-1329.09700,-1329.09700,-1346.48900,-1207.02400,0.00840,,-12.75380,-12.75380,-10.06190,-12.75380,5207.94800,-1727.445,-1756.807
2013-09-30,0.30900,,0.30900,4.57500,1.52900,,-5.79500,0.04900,-5.74600,-0.73000,-5.01600,-5.01600,0.01200,-5.72800,-5.77300,-5.79500,0.00490,0.00490,-1151.88500,-1151.88500,4.20130,100.00000,-1875.40500,-1875.40500,-1859.54700,-1853.72200,0.00810,,-17.29000,-17.29000,-13.20380,-17.29000,5586.83800,166.566,170.312
2013-06-30,0.26400,,0.26400,2.63100,1.78700,,-4.15400,5.40200,1.24800,-0.23000,1.47800,1.47800,0.01400,1.42900,-4.14400,-4.15400,0.00390,0.00390,359.96410,359.96410,5.64750,100.00000,-1573.48500,-1573.48500,472.72730,541.28790,0.00700,,4.77840,4.77840,3.94030,4.77840,6285.09700,-787.186,-777.138
2013-03-31,0.21200,,0.21200,1.58000,2.68300,,-4.05100,0.69500,-3.35600,-0.25800,-3.09800,-3.09800,0.01600,-11.57000,-4.02500,-4.05100,0.00270,0.00270,-4247.57600,-4247.57600,2.34830,100.00000,-1910.84900,-1910.84900,-1583.01900,-5457.54700,0.01210,,-30.27160,-30.27160,-17.71700,-30.27160,3385.29000,-1973.73600,-2007.56300
2012-12-31,0.00500,,0.00500,1.99600,2.66300,,-4.65400,-0.41300,-5.06700,-0.63700,-4.43000,-4.43000,-0.33400,-4.94600,-4.63900,-4.65400,0.00230,0.00230,-2087.79200,-2087.79200,2.02160,100.00000,-93080.01000,-93080.01000,-101340.00000,-98920.00000,0.00030,,-44.22040,-44.21600,-22.88930,-44.21600,4152.06100,-1135.1,-1134.747
2012-09-30,0.03800,,0.03800,1.53200,2.02800,,-3.52200,-0.05000,-3.57200,-0.41900,-3.15300,-3.15300,1.26300,-2.07200,-3.50700,-3.52200,0.00230,0.00230,-899.91020,-899.91020,2.73440,100.00000,-9268.42100,-9268.42100,-9400.00000,-5452.63200,0.00190,,-23.83580,-23.83400,-15.36100,-23.83400,5646.15200,-899.851,-900.709
2012-06-30,0.02600,,0.02600,1.71700,2.12100,,-3.81200,0.30600,-3.50600,-0.12700,-3.37900,-3.37900,-0.19800,-3.75900,-3.79700,-3.81200,0.00230,0.00230,-1619.83800,-1619.83800,3.20980,100.00000,-14661.54000,-14661.54000,-13484.61000,-14457.69000,0.00120,,-22.44440,-22.44290,-15.49860,-22.44290,6428.01900,-1457.866,-1442.558
2012-03-31,,,,1.34700,1.76800,,-3.11500,0.15300,-2.96200,-0.16800,-2.79400,-2.79400,-0.16100,-3.13700,-3.10000,-3.11500,0.00220,0.00220,-1439.85600,-1439.85600,3.70070,,,,,,,,-15.07420,-15.07340,-11.02690,-15.07340,7914.84500,-1735.17100,-1728.26900
2011-12-31,,,,2.20100,0.88800,,-2.91100,-0.03700,-3.30800,-0.12200,-3.18600,-3.18600,-0.47200,-3.84000,-2.92000,-3.27100,0.00200,0.00200,-1765.18400,-1765.18400,3.97520,,,,,,,,-16.33930,-16.33850,-12.25480,-16.33850,9061.83800,5026.198,5029.0119
2011-09-30,,,,2.06600,1.81400,,-3.88000,0.47700,-3.40300,-0.12600,-3.27700,-3.27700,-0.16800,-3.62700,-3.80200,-3.88000,0.00210,0.00210,-1691.83100,-1691.83100,4.84940,,,,,,,,-14.24160,-14.24100,-11.32110,-14.24100,10692.07000,-5027.9633,-5030.7773
2011-06-30,0.16800,0.07200,0.09600,1.85900,2.03400,3.89300,-3.79700,0.11900,-3.67800,-0.12600,-3.55200,-3.55200,,-3.73400,-3.71100,-3.79700,0.00180,0.00180,-2015.19400,-2015.19400,3.71670,57.14290,-2260.11900,-2260.11900,-2189.28600,-2222.61900,0.00740,0.48980,-21.32820,-21.32690,-15.65100,-21.32690,0.35790,-0.098,-0.098
2011-03-31,0.19200,0.10600,0.08600,3.08000,1.80600,4.88600,-4.80000,0.02100,-4.77900,-0.19100,-4.58800,-4.58800,,-4.77000,-4.71400,-4.80000,0.00180,0.00180,-2518.99300,-2518.99300,3.94330,44.79170,-2500.00000,-2500.00000,-2489.06200,-2484.37500,0.00710,0.92170,-22.50900,-22.50790,-16.86950,-22.50790,0.43810,-0.08370,-0.08370
2010-12-31,0.13700,0.10800,0.02900,1.44500,2.01500,3.46000,-3.43100,0.11000,-3.32100,-0.15100,-3.17000,-3.17000,,-3.35200,-3.32500,-3.43100,0.00180,0.00180,-1763.29500,-1763.29500,4.75150,21.16790,-2504.38000,-2504.38000,-2424.08800,-2446.71500,0.00440,0.62070,-12.71920,-12.71870,-10.07660,-12.71870,0.53580,-0.0173,-0.0173
2010-09-30,0.15900,0.07600,0.08300,1.46900,2.61200,4.08100,-3.99800,0.04800,-3.95000,-0.14300,-3.80700,-3.80700,,-3.98900,-3.88900,-3.99800,0.00150,0.00150,-2770.89200,-2770.89200,2.47120,52.20130,-2514.46600,-2514.46600,-2484.27700,-2508.80500,0.00780,0.52780,-30.64230,-30.63740,-18.67000,-30.63740,0.32530,-0.0649,-0.0649
2010-06-30,0.11900,0.09200,0.02700,1.32200,3.09100,4.41300,-4.38600,0.22300,-4.16300,-0.23000,-3.93300,-3.93300,,-6.54300,-4.27400,-4.38600,0.00150,0.00150,-4534.18700,-4534.18700,2.63730,22.68910,-3685.71400,-3685.71400,-3498.31900,-5498.31900,0.00530,2.35900,-27.78920,-27.78720,-17.62970,-27.78720,0.38380,-0.117,-0.1173
2010-03-31,0.27100,0.14200,0.12900,2.17800,2.40200,4.58000,-4.45100,-0.79300,-5.24400,-0.13300,-5.11100,-5.11100,,-5.81900,-4.32100,-4.45100,0.00130,0.00130,-4534.18700,-4534.18700,2.71950,47.60150,-1642.43500,-1642.43500,-1935.05500,-2147.23200,0.01010,1.32710,-29.60670,-29.60330,-19.08800,-29.60330,0.48800,-0.15060,-0.14960
2009-12-31,0.18700,0.07400,0.11300,2.59200,1.83500,4.42700,-4.31400,-0.17600,-4.49000,-0.15200,-4.33800,-4.33800,,-4.64500,-4.29800,-4.31400,0.00090,0.00090,-4282.28800,-4282.28800,1.55560,60.42780,-2306.95100,-2306.95200,-2401.06900,-2483.95800,0.01290,0.51030,-73.90130,-73.87600,-29.98760,-73.87600,0.22830,-0.1262,-0.1228
2009-09-30,0.23000,0.16300,0.06700,1.39400,2.18800,3.58200,-3.51500,0.18600,-3.32900,-0.20500,-3.12400,-3.12400,,-3.43100,-3.48300,-3.51500,0.00090,0.00090,-3778.48900,-3778.48900,1.73940,29.13040,-1528.26100,-1528.26100,-1447.39100,-1491.73900,0.01310,1.16430,-39.32030,-39.31040,-17.80870,-39.31040,0.32560,-0.0337,-0.0339
2009-06-30,0.26600,0.19200,0.07400,2.68300,2.28500,5.33400,-5.26000,-2.01800,-7.27800,-0.23300,-7.04500,-7.04500,,-7.35200,-4.84500,-5.26000,0.00080,0.00080,-9068.37400,-9068.37400,1.68140,27.81960,-1977.44400,-1977.44400,-2736.09000,-2763.91000,0.01370,0.62750,-85.43530,-85.41470,-36.20250,-85.41470,0.40410,-0.2766,-0.2769
2009-03-31,0.22800,0.11600,0.11200,3.09700,2.23000,5.32700,-5.21500,-0.20600,-5.42100,-0.35800,-5.06300,-5.06300,,-5.37000,-4.98800,-5.21500,0.00080,0.00080,-6549.38100,-6549.38100,2.74080,49.12280,-2287.28100,-2287.28100,-2377.63200,-2355.26300,0.00910,0.25220,-33.31140,-33.30700,-20.11760,-33.30700,0.74470,-0.23480,-0.23430
