Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-09-30,4.00800,1.54300,,-5.55100,-0.08300,-5.63400,,-5.63400,-5.63400,-5.63400,-5.51400,-5.55100,1.48440,1.48440,-3.74810,-3.74810,0.39070,,83.13410,83.13410,-72.12900,83.13410,-4.49460,-2.3683,-2.4366
2019-06-30,3.55400,1.30300,,-4.85700,-0.04300,-4.90000,,-4.90000,-4.90000,-4.90000,-4.82400,-4.85700,1.44760,1.44760,-3.44830,-3.44830,0.52500,,108.50310,108.50310,-55.27980,108.50310,-3.11890,-2.4017,-2.416
2019-03-31,3.45600,1.47200,,-4.92800,-0.09900,-5.02700,,-5.02700,-5.02700,-5.02700,-4.88400,-4.92800,1.39520,1.39520,-3.59820,-3.59820,0.97370,,-1542.04600,-1542.02300,-42.41840,-1542.02500,0.22740,-0.59850,-0.60140
2018-12-31,3.86000,1.57700,,-5.43700,0.05400,-5.38300,,-5.38300,-5.38300,-5.38300,-5.41600,-5.43700,1.33390,1.33390,-4.04800,-4.04800,1.65330,,-107.31650,-107.31660,-47.94260,-107.31660,3.62280,-3.009,-3.0965
2018-09-30,1.97500,1.25700,,-3.23200,0.05600,-3.17600,,-3.17600,-3.17600,-3.17600,-3.19900,-3.23200,1.38020,1.38020,-2.24890,-2.24890,3.32920,,-31.83000,-31.83000,-23.06630,-31.83000,7.22650,-4.6864,-4.6757
2018-06-30,1.48100,1.60600,,-3.08700,-0.00400,-3.09100,,-3.09100,-3.09100,-3.09100,-3.05600,-3.08700,1.30100,1.30100,-2.39880,-2.39880,2.40130,,-24.01150,-24.01150,-14.70500,-24.01150,9.33710,0.0815,-0.0828
2018-03-31,0.97700,1.33000,,-2.30700,0.00900,-2.29800,,-2.29800,-2.29800,-2.29800,-2.28200,-2.30700,1.27040,1.27040,-1.79910,-1.79910,1.40980,,-59.93740,-59.93740,-24.41310,-59.93740,3.00780,-1.67340,-1.70890
2017-12-31,-1.56700,1.32900,,0.23800,0.03800,0.27600,,0.27600,0.27600,0.27600,0.26600,0.23800,1.25240,1.25240,0.44980,0.44980,1.73610,,4.69390,4.69390,2.41620,4.69390,4.64570,-2.3432,-2.3929
2017-09-30,1.16800,1.22400,,-2.39200,-0.01100,-2.40300,,-2.40300,-2.40300,-2.40300,-2.36900,-2.39200,1.25290,1.25290,-1.94900,-1.94900,1.78360,,-46.25600,-46.25600,-21.19980,-46.25600,4.13340,3.0736,3.0051
2017-06-30,0.43500,0.64000,,-1.07500,0.03500,-1.04000,,-1.04000,-1.04000,-1.04000,-1.05700,-1.07500,1.24990,1.24990,-0.89960,-0.89960,10.80450,,-14.26610,-14.26610,-12.99840,-14.26610,5.83000,-1.3006,-1.3262
2017-03-31,0.94100,0.82900,,-1.77000,-0.01500,-1.78500,,-1.78500,-1.78500,-1.78500,-1.75400,-1.77000,1.24650,1.24650,-1.49930,-1.49930,11.05830,,-21.65470,-21.65470,-19.76310,-21.65470,6.60870,-1.31730,-1.31730
2016-12-31,0.32300,0.32700,,-0.65000,0.02600,-0.62400,,-0.62400,-0.62400,-0.62400,-0.62900,-0.65000,1.24480,1.24480,-0.44980,-0.44980,12.08800,,-6.30180,-6.30180,-5.79600,-6.30180,7.94390,-0.9596,-0.9651
2016-09-30,0.79000,0.84800,,-1.63800,0.03200,-1.60600,,-1.60600,-1.60600,-1.60600,-1.45000,-1.63800,1.24440,1.24440,-1.34930,-1.34930,9.52720,,-15.25600,-15.25600,-13.70070,-15.25600,8.44530,-0.2204,-0.2293
2016-06-30,0.15100,0.83200,,-0.98300,0.02100,-0.96200,,-0.96200,-0.96200,-0.96200,-0.69900,-0.98300,1.24420,1.24420,-0.74960,-0.74960,9.99450,,-8.10310,-8.10310,-7.31340,-8.10310,9.54170,-1.13,-1.1774
2016-03-31,0.98600,0.82600,,-1.81200,0.02200,-1.79000,,-1.79000,-1.79000,-1.79000,-1.59300,-1.81200,1.24420,1.24420,-1.49930,-1.49930,10.87760,,-14.23800,-14.23800,-12.95790,-14.23800,10.10430,-2.39590,-2.41680
2015-12-31,0.82600,0.57100,,-1.39700,0.01300,-1.38400,,-1.38400,-1.38400,-1.38400,-1.50300,-1.39700,1.22770,1.22770,-1.19940,-1.19940,5.68700,,-9.79610,-9.79620,-8.10300,-9.79620,11.36160,-1.0718,-1.0857
2015-09-30,1.50300,1.06800,,-2.57100,-0.03200,-2.60300,,-2.60300,-2.60300,-2.60300,-2.25800,-2.57100,1.23270,1.23270,-2.09900,-2.09900,6.37460,,-16.77080,-16.77080,-14.17830,-16.77080,12.59120,-2.0477,-2.0575
2015-06-30,1.37500,0.98800,,-2.36300,0.09800,-2.26500,,-2.26500,-2.26500,-2.26500,-2.01800,-2.36300,1.23070,1.23070,-1.79910,-1.79910,7.94180,,-12.69830,-12.69830,-11.12310,-12.69830,14.47010,-1.3126,-1.3256
2015-03-31,1.24500,0.96000,,-2.20500,-0.03100,-2.23600,,-2.23600,-2.23600,-2.23600,-1.83500,-2.20500,1.20910,1.20910,-1.79910,-1.79910,8.09900,,-11.37280,-11.37280,-9.98790,-11.37280,16.02520,-1.60200,-1.60200
2014-12-31,1.64300,1.02300,,-1.58600,-1.14400,-2.73000,,-2.73000,-2.73000,-2.73000,-1.11400,-1.58600,0.91130,0.91130,-2.69870,-2.69870,3.07680,,-40.89890,-40.89890,-27.54520,-40.89890,6.54900,-2.4707,-2.5544
2014-09-30,1.57200,0.85800,,-2.43000,0.00900,-2.42100,,-2.42100,-2.42100,-2.42100,-2.12000,-2.43000,1.01100,1.01100,-2.39880,-2.39880,4.63760,,-27.19920,-27.19920,-21.23680,-27.19920,8.76340,-0.8096,-0.7891
2014-06-30,0.87700,0.41700,,-1.29400,-0.69000,-1.98400,,-1.98400,-1.98400,-1.98400,-1.09300,-1.29400,0.82820,0.82820,-2.39880,-2.39880,6.85020,,-18.71700,-18.71700,-15.84160,-18.71700,10.56720,-1.1446,-1.1382
2014-03-31,0.68000,0.35100,-1.08000,-2.11100,,-2.11100,,-2.11100,-2.11100,-2.11100,-1.96400,-2.11100,0.78400,0.78400,-2.69870,-2.69870,2.39760,,-245.46600,-245.46520,-50.34580,-245.46510,1.09330,-0.49870,-0.61860
2013-12-31,0.84900,0.55200,0.16500,-1.23600,,-1.23600,,-1.21700,-1.21700,-1.21700,-1.65500,-1.23600,0.71620,0.71620,-0.90180,-0.90180,3.33780,,-44.43230,-44.43230,-25.75120,-44.43230,3.49460,-2.3106,-2.3285
2013-09-30,0.80400,0.27200,-0.00500,-1.08100,,-1.08100,0.00100,-1.08200,-1.08200,-1.08200,-1.12900,-1.08100,0.73020,0.73020,-1.49930,-1.49930,4.09240,,-23.85890,-23.85890,-17.41790,-23.85890,5.78380,-0.7961,-0.8317
2013-06-30,0.74200,0.74300,-0.01500,-1.50000,,-1.50000,0.01800,-1.51800,-1.51800,-1.51800,-1.17200,-1.50000,0.67870,0.67870,-2.24780,-2.24780,2.74170,,-64.45860,-64.45860,-40.01050,-64.45860,3.46630,-1.5558,-1.6234
2013-03-31,0.52200,0.55900,-0.00100,-1.08200,,-1.08200,,-1.08200,-1.08200,-1.08200,-0.84600,-1.08200,0.67160,0.67160,-2.24780,-2.24780,4.05280,,-31.08300,-31.08300,-22.76940,-31.08300,5.15260,-0.99770,-1.02740
2012-12-31,0.28400,0.35000,0.05600,-0.57800,,-0.57800,0.00000,-0.57800,-0.58200,-0.57800,-0.97700,-0.57800,0.61210,0.61210,2.24780,2.24780,4.21630,,-14.61580,-14.61580,-11.32740,-14.61580,5.96370,-1.3335,-1.3646
2012-09-30,0.73200,0.44000,0.02200,-1.15000,,-1.15000,,-1.15000,-1.15000,-1.15000,-0.98400,-1.15000,0.64690,0.64690,-2.24780,-2.24780,4.81330,,-25.79050,-25.79050,-20.10140,-25.79050,6.67800,-1.4165,-1.4254
2012-06-30,0.38500,0.44800,0.00400,-0.82900,,-0.82900,0.00100,-0.83000,-0.83000,-0.83000,-0.65400,-0.82900,0.56980,0.56980,-2.24780,-2.24780,0.96620,,-328.06040,-328.06320,-44.86490,-328.06330,0.44230,-0.72,-0.7347
2012-03-31,0.36900,0.51000,0.01100,-0.86800,,-0.86800,0.00400,-0.87200,-0.86800,-0.87200,-0.65300,-0.86800,0.56320,0.56320,-2.24780,-2.24780,1.37600,,-106.24220,-106.24230,-38.59490,-106.24230,1.44900,-1.32460,-1.41690
2011-12-31,0.65700,0.55400,-0.21100,-1.42200,,-1.42200,,-1.42200,-1.42200,-1.42200,-1.38500,-1.42200,0.53440,0.53440,,0.00000,2.03000,,-95.56430,-95.56450,-51.82220,-95.56450,2.64520,-0.9993,-1.0205
2011-09-30,0.17600,0.56400,0.04600,-0.69400,,-0.69400,,-0.69400,-0.69400,-0.69400,-0.65400,-0.69400,0.55430,0.55430,-2.24780,-2.24780,3.46160,,-29.70890,-29.70890,-21.38680,-29.70890,4.17990,-1.5756,-1.5757
2011-06-30,0.58600,0.82900,0.32300,-1.09200,,-1.09200,0.00500,-1.09700,-1.09700,-1.09700,-1.05400,-1.09200,0.53940,0.53940,-2.24780,-2.24780,2.45610,,-48.82070,-48.82060,-30.32900,-48.82070,4.12050,-1.4715,-1.4636
2011-03-31,0.27000,0.25800,-0.17700,-0.70500,,-0.70500,,-0.70500,-0.70500,-0.70500,-0.66700,-0.70500,0.48450,0.48450,-2.24780,-2.24780,2.41300,,-26.44410,-26.44410,-16.01180,-26.44410,4.95110,-0.11350,-0.18990
2010-12-31,0.08700,0.64200,0.23800,-0.49100,,-0.49100,-0.00500,-0.48600,-0.48600,-0.48600,-0.45500,-0.49100,0.39640,0.39640,,0.00000,0.40690,-0.29850,105.88240,105.88230,-44.62810,105.88230,-1.07660,-1.4829,-1.4906
2010-09-30,0.37100,0.26400,-0.04500,-0.68000,,-0.68000,0.02400,-0.70400,-0.70400,-0.70400,-0.63800,-0.68000,0.40750,0.40750,-2.24780,-2.24780,0.45520,-0.06580,113.00210,113.00160,-50.90380,113.00160,-1.51660,-0.8883,-0.8932
2010-06-30,0.34800,0.26800,0.00200,-0.61400,,-0.61400,,-0.61400,-0.61400,-0.61400,-0.57200,-0.61400,0.39420,0.39420,-2.24780,-2.24780,0.49760,-0.00210,130.63800,130.63830,-41.62710,130.63830,-1.15790,-1.2006,-1.1896
2010-03-31,0.23900,0.37000,-0.00600,-0.61500,,-0.61500,,-0.61500,-0.61500,-0.61500,-0.57300,-0.61500,0.36290,0.36290,-2.24780,-2.24780,0.73340,3.00000,-20485.21000,-20499.86000,-30.87350,-20500.00000,0.00770,-1.64810,-1.65910
2009-12-31,-0.59300,0.68600,-0.01000,-0.10300,,-0.10300,,-0.10300,-0.10300,-0.10300,0.06100,-0.10300,0.27210,0.27210,,0.00000,0.03640,-0.21230,5.90940,5.90940,-13.60640,5.90940,-5.13420,-1.1232,-1.1232
2009-09-30,0.27500,0.31800,-0.02800,-0.62100,,-0.62100,,-0.62100,-0.62100,-0.62100,-0.48600,-0.62100,0.26870,0.26870,-2.24780,-2.24780,0.02900,-0.10280,24.18220,24.18220,-77.14290,24.18220,-9.53990,-0.7776,-0.7776
2009-06-30,0.21000,0.31400,-0.01900,-0.54300,,-0.54300,,-0.54300,-0.54300,-0.54300,-0.41300,-0.54300,0.26380,0.26380,-2.24780,-2.24780,0.02940,-0.08990,23.69110,23.69110,-65.81820,23.69110,-8.61640,-0.1748,-0.1748
2009-03-31,0.28900,0.25100,0.02600,-0.51400,,-0.51400,,-0.51400,-0.51400,-0.51400,-0.36600,-0.51400,0.24580,0.24580,-2.24780,-2.24780,0.02530,-0.18060,22.53400,22.53400,-61.11770,22.53400,-9.28140,-0.65920,-0.65920
