Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2014-06-30,4.88340,3.19660,1.68680,,2.61380,,3.90210,-2.21530,-0.12350,-2.33880,0.00470,-2.34350,-2.34350,,-2.34350,-0.94440,-2.21530,0.01750,0.01750,-144.14410,-144.14410,1.18310,0.09570,0.13090,34.54070,-45.36470,-45.36470,-47.89270,-47.98970,0.07360,3.47590,2.72820,32.98910,-4.29540,-21.25400,-3.53420,-3.88450,2832.48900,-35.0996,-36.4164
2014-03-31,3.62770,2.19830,1.42950,,3.07420,,4.38750,-2.95810,-0.09230,-3.05040,0.00470,-3.05520,-3.05520,,-3.05520,-1.62740,-2.95810,0.01750,0.01750,-168.16820,-168.16820,2.00240,0.10650,0.12980,39.40390,-81.54130,-81.54130,-84.08610,-84.21670,0.05360,1.79990,3.15040,28.56750,-5.45070,-24.41210,-4.51040,-4.87020,2720.11200,-27.96920,-35.66920
2013-12-31,5.15330,3.20130,1.95200,,3.23950,,4.54490,-2.59290,0.02880,-2.56410,-1.75290,-0.81120,-0.81120,,-0.81120,-1.28710,-2.59290,0.01330,0.01330,168.16820,168.16820,1.36070,0.05020,0.08020,37.87890,-50.31450,-50.31440,-49.75640,-15.74210,0.07650,3.83400,2.39790,37.53330,-1.38940,-5.90410,-1.20470,-1.31960,2838.92100,-164.8811,-118.2589
2013-09-30,4.24940,2.50760,1.74180,,2.67950,-0.51670,4.40310,-2.66130,-0.08230,-2.74370,-9.20550,6.46180,6.46180,,6.46180,-1.43710,-2.66130,0.01740,0.01740,360.36040,360.36040,1.50850,0.05100,0.07950,40.98840,-62.62840,-62.62840,-64.56610,152.06570,0.06560,2.27860,2.45130,36.71480,11.88190,77.82200,9.96860,11.27650,2653.89800,-6.283,-15.5862
2013-06-30,4.27930,2.54110,1.73820,,3.33760,,3.56660,-1.82840,-0.09230,-1.92070,0.00470,-1.92550,-1.92550,,-1.92550,-1.58290,-1.82840,0.00900,0.00900,-216.21620,-216.21620,0.94190,0.22180,0.45350,40.61900,-42.72730,-42.72730,-44.88440,-44.99510,0.32130,3.11710,2.02080,44.53790,-27.26390,-96.14630,-14.45860,-21.21680,779.97020,-65.3539,-72.5228
2013-03-31,3.77050,2.20810,1.56240,,2.40910,,2.63420,-1.07180,-0.05500,-1.12680,0.00470,-1.13160,-1.13160,,-1.13160,-0.83560,-1.07180,0.00900,0.00900,-120.12010,-120.12010,1.17710,0.15140,0.29320,41.43670,-28.42690,-28.42690,-29.88630,-30.01190,0.28600,2.53930,2.08550,43.15530,-14.30100,-40.10860,-8.58480,-12.13630,875.64470,-38.43700,-40.37660
2012-12-31,5.44890,3.41990,2.02910,,2.83210,,3.07790,-1.04890,-0.06220,-1.11110,0.00470,-1.11580,-1.11580,,-1.11580,-0.79070,-1.04890,0.00870,0.00870,-144.14410,-144.14410,1.35130,0.14540,0.30210,37.23820,-19.24970,-19.24970,-20.39130,-20.47820,0.38240,4.18240,2.56660,35.06590,-12.79120,-31.44940,-7.83020,-10.93190,965.51500,-125.0635,-140.7676
2012-09-30,4.16410,2.64060,1.52350,,2.47650,,2.55260,-1.02910,-0.06240,-1.09150,0.00470,-1.09630,-1.09630,,-1.09630,-0.81090,-1.02910,0.00870,0.00870,-120.12010,-120.12010,1.07980,0.22960,0.42410,36.58600,-24.71270,-24.71270,-26.21230,-26.32610,0.31020,2.36710,2.50980,35.85940,-15.32920,-57.39850,-8.16520,-11.80930,823.13750,-74.0495,-74.3474
2012-06-30,3.65940,2.32480,1.33460,0.22340,1.95960,,2.25910,-0.92450,-0.06570,-0.99020,0.00470,-0.99500,-0.99500,,-0.99500,-0.71550,-0.92450,0.00860,0.00860,-120.12010,-120.12010,1.14600,0.22640,0.44480,36.47050,-25.26350,-25.26350,-27.05970,-27.18910,0.26700,3.09040,2.22060,40.52950,-13.21390,-45.04380,-7.26030,-10.22220,873.40680,-106.5016,-112.8504
2012-03-31,3.84280,2.59230,1.25060,0.14770,1.79830,,2.02200,-0.77150,-0.29760,-1.06900,0.00470,-1.07380,-1.07380,,-1.07380,-0.35190,-0.77150,0.00840,0.00840,-120.12010,-120.12010,1.35730,0.21300,0.41430,32.54300,-20.07550,-20.07550,-27.81910,-27.94240,0.25940,3.60700,2.56860,35.03860,-12.77150,-34.44210,-7.24960,-10.05080,975.25230,-59.25380,-65.17540
2011-12-31,4.20670,3.04800,1.15870,0.07700,1.86300,,2.01930,-0.86060,-0.08940,-0.95010,0.00470,-0.95480,-0.95480,,-0.95480,-0.62790,-0.86060,0.00810,0.00810,-120.12010,-120.12010,0.74720,0.33980,0.78060,27.54330,-20.45860,-20.45860,-22.58450,-22.69710,0.32810,3.89050,2.63620,34.14040,-17.35980,-712.39510,-7.44630,-11.46080,677.15380,-13.508,-16.7679
2011-09-30,3.61620,2.34540,1.27080,0.08340,1.97690,,2.13170,-0.86090,-0.06050,-0.92140,-0.16440,-0.75710,-0.75710,,-0.75710,-0.67820,-0.86090,0.00810,0.00810,-96.09610,-96.09610,0.93120,0.32500,0.72410,35.14120,-23.80740,-23.80740,-25.48140,-20.93530,0.26190,2.24700,2.00260,44.94170,-11.94490,-80.66170,-5.48230,-8.06230,780.70480,-14.8078,-75.6497
2011-06-30,2.87550,2.06750,0.80800,0.07380,1.72060,,1.85650,-1.04850,-0.05920,-1.10770,0.00470,-1.11250,-1.11250,,-1.11250,-0.87780,-1.04850,0.00810,0.00810,-144.14410,-144.14410,1.37970,0.25150,0.50870,28.09910,-36.46350,-36.46350,-38.52310,-38.68790,0.26180,2.25540,1.88770,47.67600,-18.77510,-62.97330,-10.12970,-14.05250,732.96610,-123.0637,-123.0635
2011-03-31,2.68520,1.75080,0.93450,0.05130,1.51530,,1.63850,-0.70400,0.31100,-0.39310,0.00470,-0.39780,-0.39780,,-0.39780,-0.52320,-0.70400,0.00810,0.00810,-48.04800,-48.04800,1.51820,0.18870,0.43120,34.79990,-26.21920,-26.21920,-14.63860,-14.81500,0.22110,1.57150,1.75050,51.41270,-5.88830,-13.13800,-3.27610,-4.77750,835.64530,-110.97870,-111.53670
