Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,,7.17000,2.82600,,-9.99600,0.28600,-9.71000,,-9.71000,-9.71000,,-9.71000,-9.99600,-9.99600,86.45500,86.45500,-0.11000,-0.11000,7.14020,,,,,,,,,,-9.89300,-8.02920,-9.89300,1.13560,0.00000,
2021-12-31,,,,5.84300,2.93700,,-8.78000,0.13500,-8.64500,,-8.64500,-8.64500,,-8.64500,-8.78000,-8.78000,84.20400,84.20400,-0.11000,-0.11000,7.20770,,,,,,,,,-8.10270,-8.10270,-6.54120,-8.10270,1.23440,-0.2702,-0.2736
2021-09-30,6.00000,0.68000,5.32000,8.72800,2.92500,11.65300,-6.33300,0.17700,-6.15600,,-6.15600,-6.15600,,-6.15600,-6.33300,-6.33300,83.97700,83.97700,-0.07000,-0.07000,7.36030,88.66670,-105.55000,-105.55000,-102.60000,-102.60000,0.04950,0.59800,150.49500,,-6.22930,-5.07520,-6.22930,1.17760,0.1626,0.1652
2021-06-30,,,,6.79700,2.90000,,-9.69700,0.20000,-9.49700,,-9.49700,-9.49700,,-9.49700,-9.69700,-9.69700,83.80000,83.80000,-0.11000,-0.11000,9.59950,,,,,,,,,-9.18290,-9.18290,-7.73270,-9.18290,1.23240,-0.1626,-0.1652
2021-03-31,,,,7.32600,2.93800,,-10.26400,0.35900,-9.90500,,-9.90500,-9.90500,,-9.90500,-10.26400,-10.26400,83.68030,83.68030,-0.12000,-0.12000,10.64510,,,,,,,,,,-8.93450,-7.62080,-8.93450,1.32490,0.00000,
2020-12-31,,,,8.09900,2.93200,,-11.09100,0.52800,-8.56300,,-8.56300,-8.56300,,-8.56300,-11.09100,-9.09100,79.59100,79.59100,-0.10000,-0.10000,12.26740,,,,,,,,,-7.14880,-7.14880,-6.19090,-7.14880,1.43150,-0.3558,-0.3574
2020-09-30,,,,5.50200,2.72300,,-8.22500,0.46400,-7.76100,,-7.76100,-7.76100,,-7.76100,-8.22500,-8.22500,83.17000,83.17000,-0.09000,-0.09000,16.93270,,,,,,,,,,-6.09970,-5.41370,-6.09970,1.53860,0.1423,0.1436
2020-06-30,,,,4.44700,2.33500,,-6.78200,0.53600,-6.24600,,-6.24600,-6.24600,,-6.24600,-6.78200,-6.78200,81.27320,81.27320,-0.08000,-0.08000,17.01240,,,,,,,,,-4.82440,-4.82440,-4.28040,-4.82440,1.56560,-0.1423,-0.1436
2020-03-31,,,,4.71200,2.68600,,-7.39800,0.27000,-7.12800,,-7.12800,-7.12800,,-7.12800,-7.39800,-7.39800,70.27700,70.27700,-0.10000,-0.10000,14.04450,,,,,,,,,,-6.24640,-5.43520,-6.24640,1.68010,0.00000,
2019-12-31,,,,4.31400,2.37900,,-6.69300,0.23200,-6.46100,,-6.46100,-6.46100,,-6.46100,-6.69300,-6.69300,63.63700,63.63700,-0.09000,-0.09000,6.59920,,,,,,,,,-16.86020,-16.86020,-12.01760,-16.86020,0.56420,-0.4382,-0.4347
2019-09-30,,,,4.29700,2.36800,,-6.66500,0.17400,-6.49100,,-6.49100,-6.49100,,-6.49100,-6.66500,-6.66500,65.40600,65.40600,-0.10000,-0.10000,7.18790,,,,,,,,,,-15.50500,-11.32240,-15.50500,0.67570,0.267,0.2628
2019-06-30,,,,4.87000,2.13700,,-7.00700,0.30800,-6.69900,-0.72200,-5.97700,-5.97700,,-5.97700,-7.00700,-7.00700,61.47900,61.47900,-0.10000,-0.10000,5.38060,,,,,,,,,-18.79860,-18.79860,-12.38370,-18.79860,0.51320,-0.267,-0.2628
2019-03-31,,,,6.33500,2.17900,,-8.51400,0.10600,-8.40800,,-8.40800,-8.40800,,-8.40800,-8.51400,-8.51400,60.01700,60.01700,-0.14000,-0.14000,5.10970,,,,,,,,,,-25.26370,-16.52350,-25.26370,0.55610,0.00000,
2018-12-31,0.00000,0.00000,0.00000,7.46400,2.21200,9.67600,-9.67600,0.27700,-9.39900,,-9.39900,-9.39900,,-9.39900,-9.67600,-9.67600,55.27700,55.27700,-0.17000,-0.17000,4.66290,,,,,,0.00000,0.00000,,-25.23700,-25.23700,-17.67390,-25.23700,0.62230,-0.2404,-0.2433
2018-09-30,7.80000,0.68400,7.11600,7.75900,2.68900,10.44800,-3.33200,0.22100,-3.11100,,-3.11100,-3.11100,,-3.11100,-3.33200,-3.33200,57.20700,57.20700,-0.05000,-0.05000,4.60650,91.23080,-42.71800,-42.71800,-39.88460,-39.88460,0.15290,0.81340,110.64230,,-8.15100,-6.09740,-8.15100,0.66730,0.1495,0.1519
2018-06-30,,,,8.02700,2.30700,,-10.33400,0.14100,-10.19300,,-10.19300,-10.19300,,-10.19300,-10.33400,-10.33400,52.51200,52.51200,-0.19000,-0.19000,5.91860,,,,,,,,,-25.13870,-25.13870,-19.97140,-25.13870,0.70890,-0.1495,-0.1519
2018-03-31,10.00000,0.35000,9.65000,7.06800,2.46700,9.53500,0.11500,-0.01100,0.10400,,0.10400,0.10400,,0.10400,0.11500,0.11500,51.78200,51.97600,0.00000,0.00000,5.80650,96.50000,1.15000,1.15000,1.04000,1.04000,0.25600,0.87330,103.05900,,0.34200,0.26620,0.34200,0.59280,0.00000,
2017-12-31,,,,7.17000,2.21600,,-9.38600,0.07600,-9.31000,,-9.31000,-9.31000,,-9.31000,-9.38600,-9.38600,51.18000,51.18000,-0.18000,-0.18000,5.03370,,,,,,,,,-31.77800,-31.77800,-24.02830,-31.77800,0.57120,-0.599,-0.6065
2017-09-30,,,,7.62000,2.35900,,-9.97900,0.10800,-9.87100,,-9.87100,-9.87100,,-9.87100,-9.97900,-9.97900,51.16300,51.16300,-0.19000,-0.19000,6.72480,,,,,,,,,,-25.97770,-20.96200,-25.97770,0.74310,0.2946,0.2993
2017-06-30,,,,7.06300,2.19400,,-9.25700,0.07900,-9.17800,,-9.17800,-9.17800,,-9.17800,-9.25700,-9.25700,51.13200,51.13200,-0.18000,-0.18000,9.38310,,,,,,,,,-19.43500,-19.43500,-16.50010,-19.43500,0.92360,-0.2946,-0.2993
2017-03-31,,,,6.73000,2.05300,,-8.78300,0.07600,-8.70700,,-8.70700,-8.70700,,-8.70700,-8.78300,-8.78300,51.13200,51.13200,-0.17000,-0.17000,10.63240,,,,,,,,,,-15.61290,-13.56570,-15.61290,1.09070,0.00000,
2016-12-31,0.05300,0.03500,0.01800,6.30800,2.44700,8.75500,-8.73700,0.24500,-8.49200,,-8.49200,-8.49200,,-8.49200,-8.73700,-8.73700,50.85590,50.85590,-0.17000,-0.17000,13.22360,33.96230,-16484.89000,-16484.89000,-16022.63000,-16022.63000,0.00070,0.04600,1957.92400,-13.36920,-13.36920,-11.93720,-13.36920,1.24230,-0.3897,-0.4408
2016-09-30,0.07000,0.02100,0.04900,6.00400,2.01200,8.01600,-7.96700,0.18600,-7.78100,,-7.78100,-7.78100,,-7.78100,-7.96700,-7.96700,50.92780,50.92780,-0.15000,-0.15000,14.90160,70.00000,-11381.43000,-11381.43000,-11115.71000,-11115.71000,0.00090,0.05640,1596.85700,,-11.06010,-9.98760,-11.06010,1.39110,0.1521,0.1659
2016-06-30,0.49600,0.08600,0.41000,5.46300,1.95500,7.41800,-7.00800,0.39600,-6.61200,0.02000,-6.63200,-6.63200,,-6.63200,-7.00800,-7.00800,50.82100,50.82100,-0.13000,-0.13000,16.72850,82.66130,-1412.90300,-1412.90300,-1333.06500,-1337.09700,0.00590,0.28640,314.27420,,-8.59810,-7.85220,-8.59810,1.52520,-0.1521,-0.1659
2016-03-31,0.09300,0.08100,0.01200,6.77400,2.10900,8.88300,-8.87100,0.27000,-8.60100,,-8.60100,-8.60100,,-8.60100,-8.87100,-8.87100,50.62600,50.62600,-0.17000,-0.17000,14.32430,12.90320,-9538.70900,-9538.70900,-9248.38700,-9248.38700,0.00100,0.07880,1141.93500,,-10.37620,-9.40970,-10.37620,1.63910,0.00000,
2015-12-31,8.31300,0.90200,7.41100,5.95500,2.20300,8.15800,-0.74700,0.64900,-0.08000,0.39000,-0.47000,-0.47200,0.00000,-0.47200,-0.06200,-0.74700,50.52700,50.52700,-0.01000,-0.01000,13.27680,89.30590,-8.98590,-8.98590,-0.96230,-5.67790,0.08370,0.90830,99.08340,-0.52500,-0.52500,-0.47530,-0.52500,1.77760,-0.5068,-0.5685
2015-09-30,0.22900,0.20100,0.02800,5.33400,1.60800,6.94200,-6.91400,0.17200,-6.74200,,-6.74200,-6.74200,,-6.74200,-6.91400,-6.91400,50.46960,50.46960,-0.13000,-0.13000,14.99810,12.22710,-3019.21400,-3019.21400,-2944.10500,-2944.10500,0.00240,0.12120,742.79470,,-7.54050,-6.94550,-7.54140,,0,0
2015-06-30,0.22300,0.14800,0.07500,5.18900,1.83900,7.02800,-6.95300,0.14500,-6.80800,,-6.80800,-6.80800,,-6.80800,-6.95300,-6.95300,50.40500,50.40500,-0.14000,-0.14000,18.68950,33.63230,-3117.93700,-3117.93700,-3052.91500,-3052.91500,0.00220,0.15170,593.27360,-7.13630,-7.13550,-6.59370,-7.13550,,0,0
2015-03-31,0.51300,0.38200,0.13100,4.78600,1.66700,6.45300,-6.32200,0.17900,-6.14300,,-6.14300,-6.14300,,-6.14300,-6.32200,-6.32200,50.34400,50.34400,-0.12000,-0.12000,13.10710,25.53610,-1232.35900,-1232.35900,-1197.46600,-1197.46600,0.00470,0.40710,221.05260,,-6.08520,-5.66330,-6.08520,,0.00000,
2014-12-31,6.55200,1.00400,5.54800,4.85000,1.84600,6.69600,-1.14800,-0.05700,-1.20400,0.30000,-1.50400,-1.48200,0.00000,-1.48200,-1.14800,-1.14800,50.14500,50.14500,-0.03000,-0.03000,11.39750,85.16480,-17.52140,-17.52140,-18.37610,-22.61910,0.05700,9.15080,9.83520,-1.39670,-1.39660,-1.28890,-1.39660,2.11160,-0.2222,-0.2598
2014-09-30,1.71800,0.74000,0.97800,3.91000,1.66000,5.57000,-4.59200,-0.80000,-5.39000,,-5.39000,-5.39500,0.00000,-5.39500,-4.59200,-4.59200,49.08900,49.08900,-0.11000,-0.11000,21.58820,56.46100,-267.28750,-267.28750,-313.73690,-314.02790,0.01500,1.35280,66.53090,,-5.07430,-4.70640,-5.07480,,0.1347,0.1347
2014-06-30,1.96400,0.85000,1.11400,3.07000,1.34000,4.41000,-3.29600,1.05000,-2.25000,0.06000,-2.31000,-2.31900,0.00000,-2.31900,-3.29600,-3.29600,48.46200,49.79600,-0.05000,-0.07000,17.20410,56.00820,-167.82080,-167.82080,-114.56210,-118.07540,0.01620,1.03920,86.60900,-2.36320,-2.36320,-1.90800,-2.36340,,-0.1347,-0.1347
2014-03-31,2.13300,0.75000,1.38300,3.24000,1.44000,4.68000,-3.29700,1.41000,-1.89000,,-1.89000,-1.89800,0.00000,-1.89800,-3.29700,-3.29700,43.45200,43.45200,-0.04000,-0.04000,14.55800,64.22880,-154.57110,-154.57110,-88.60760,-88.98270,0.01700,1.90450,47.25740,,-1.89900,-1.50950,-1.89900,,0.00000,
2013-12-31,1.77500,0.89900,0.87600,6.70500,2.89800,9.60300,-8.72700,3.05000,1.77500,0.35000,1.77500,-2.92800,0.00000,-2.92800,-8.72700,1.77500,40.80300,42.73900,-0.07000,-0.09000,6.88360,100.00000,-491.66190,100.00000,100.00000,-164.95770,0.03130,1.02600,87.71830,-9.18440,-9.18160,-5.16310,-9.18440,,-0.1504,-0.1579
2013-09-30,1.59000,1.46000,0.13000,2.84000,1.68000,4.52000,-4.39000,-0.18000,-4.58000,0.15000,-4.73000,-4.74200,0.00000,-4.74200,-4.39000,-4.39000,39.14500,39.14500,-0.12000,-0.12000,5.63590,7.54720,-276.10060,-276.10060,-288.05030,-298.23900,0.02870,0.40560,221.88680,,-17.54350,-8.56270,-17.54350,,0,0
2013-06-30,0.02200,,0.02200,,,,0.02200,,0.02200,,0.02200,-3.03900,0.00000,-3.03900,0.02200,0.02200,37.98800,37.98800,-0.08000,-0.09000,16.25600,100.00000,100.00000,100.00000,100.00000,-13813.64000,0.00060,0.03010,2986.36400,-14.68120,-14.67410,-8.21350,-14.67410,,0,0
2013-03-31,0.16200,0.15000,0.01200,2.73000,1.23000,3.96000,-3.94800,0.59000,-3.37000,,-3.37000,-3.37400,0.00000,-3.37400,-3.94800,-3.94800,37.28400,37.28400,-0.09000,-0.09000,17.12430,6.17280,-2437.03700,-2437.03700,-2080.24700,-2082.71600,0.00480,,,,-15.50550,-10.03270,-15.51260,,0.00000,
2012-12-31,0.13400,0.17000,-0.03600,2.62000,1.21000,3.83000,-3.86600,-1.52000,-5.38000,0.00000,-5.38000,-5.37300,0.00000,-5.37300,-3.86600,-3.86600,36.12500,36.12500,-0.15000,-0.15000,18.52900,-22.38810,-2885.07400,-2885.07400,-4014.92500,-4009.70200,0.00460,0.19420,463.43280,-30.42470,-30.40750,-18.59170,-30.40750,,-0.3001,-0.3278
2012-09-30,0.10800,0.03000,0.07800,2.78000,0.91000,3.69000,-3.61200,0.11000,-3.51000,,-3.51000,-3.51000,0.00000,-3.51000,-3.61200,-3.61200,35.99100,36.79700,-0.10000,-0.10000,11.85710,64.81480,-3344.44400,-3344.44400,-3250.00000,-3250.00000,0.00380,,,,-18.78010,-12.50890,-18.78010,,0.154,0.1627
2012-06-30,,,,1.94000,1.01000,,-2.95000,2.33000,-0.62000,0.00000,-0.62000,-0.62600,0.00000,-0.62600,-2.95000,-2.95000,35.96600,35.96600,-0.02000,-0.02000,14.69480,,,,,,,,,-2.86110,-2.86110,-2.08810,-2.86110,,-0.154,-0.1627
2012-03-31,,,,2.10000,1.01000,,-3.11000,-1.00000,-4.11000,,-4.11000,-4.11900,0.00000,-4.11900,-3.11000,-3.11000,35.29100,35.29100,-0.12000,-0.12000,12.31580,,,,,,,,,,-19.38350,-12.67780,-19.38350,,0.00000,
2011-12-31,,,,1.66000,1.43000,,-3.09000,-1.27000,-4.35000,0.00000,-4.35000,-4.35200,0.00000,-4.35200,-3.09000,-3.09000,34.44700,34.44700,-0.13000,-0.13000,13.52940,,,,,,,,,-22.22680,-22.22680,-14.96560,-22.22680,,-0.2682,-0.2709
2011-09-30,,,,2.31000,0.79000,,-3.10000,-0.49000,-3.60000,,-3.60000,-3.60200,0.00000,-3.60200,-3.10000,-3.10000,34.31800,34.31800,-0.10000,-0.10000,16.27010,,,,,,,,,,-16.22520,-12.62970,-16.22520,,0.113,0.1139
2011-06-30,,,,1.16000,2.19000,,-3.35000,1.21000,-2.15000,0.00000,-2.15000,-2.15000,0.00000,-2.15000,-3.35000,-3.35000,34.24600,34.24600,-0.06000,-0.06000,20.06400,,,,,,,,,-8.33010,-8.33010,-6.68320,-8.33010,,-0.113,-0.1139
2011-03-31,,,,1.64000,0.79000,,-2.43000,0.53000,-1.90000,,-1.90000,-1.90000,0.00000,-1.90000,-2.43000,-2.43000,34.09200,34.09200,-0.06000,-0.06000,16.64780,,,,,,,,,,-7.05800,-5.52000,-7.06060,,0.00000,
2010-12-31,0.19000,0.03000,0.16000,1.56000,0.93000,2.49000,-2.33000,0.29100,-2.03000,0.00000,-2.03000,-2.01400,0.00000,-2.01400,-2.28000,-2.33000,33.53600,33.53600,-0.06000,-0.06000,11.50410,89.47370,-1226.31600,-1226.31600,-1068.42100,-1060.00000,0.00520,0.33930,265.26320,-7.12160,-7.12160,-5.52540,-7.12160,,-0.024,-0.0237
2010-09-30,,,,1.22000,0.69000,,-1.91000,0.34000,-1.57000,0.00000,-1.57000,-1.57400,0.00000,-1.57400,-1.91000,-1.91000,33.31100,33.31100,-0.05000,-0.05000,18.41320,,,,,,,,,-5.86220,-5.86000,-5.30680,-5.86220,,-0.1033,-0.1042
2010-06-30,0.80000,0.19000,0.61000,0.81000,0.72000,1.53000,-0.92000,0.04000,-0.89000,,-0.89000,-0.89600,0.00000,-0.89600,-0.92000,-0.92000,33.27300,33.27300,-0.03000,-0.03000,20.21740,75.00000,-115.00000,-115.00000,-111.25000,-112.00000,0.02760,0.38830,231.75000,,-3.40170,-3.09500,-3.40300,,0,0
2010-03-31,0.12500,,0.12500,1.63000,1.20000,,-2.70500,-0.00100,-2.71000,,-2.71000,-2.71900,0.00000,-2.71900,-2.70500,-2.70500,33.01000,33.01000,-0.08000,-0.08000,15.04400,96.00000,-2164.00000,-2164.00000,-2168.00000,-2175.20000,0.00390,0.15060,597.60000,,-9.49700,-8.57460,-9.50030,,0.00000,
2009-12-31,0.02500,,0.02500,1.24000,0.60000,,-1.81500,-0.23000,-2.04000,0.00000,-2.04000,-2.03900,-0.00200,-2.04100,-1.80500,-1.81500,28.85200,28.85200,-0.07000,-0.07000,16.53740,120.00000,-7260.00000,-7260.00000,-8160.00000,-8163.99900,0.00080,0.00290,30636.00000,-7.44430,-7.44160,-6.75610,-7.44430,,-0.0701,-0.0691
2009-09-30,,,,1.26000,0.75000,,-2.01000,0.15000,-1.86000,0.00000,-1.86000,-1.85300,0.00000,-1.85300,-1.96000,-2.01000,28.55300,28.55300,-0.06000,-0.06000,7.82950,,,,,,,,,,-19.73380,-15.41600,-19.73380,,-0.0344,-0.0337
2009-06-30,0.22500,,0.22500,1.14000,0.62000,,-1.53500,3.89000,2.35000,0.00000,2.35000,2.35900,0.00500,2.36400,-1.33500,-1.53500,28.51200,28.75400,0.08000,0.08000,8.61940,97.77780,-682.22220,-682.22220,1044.44400,1050.66700,0.01670,1.87500,48.00000,21.56310,21.54340,17.47410,21.54340,,-0.1537,-0.1509
2009-03-31,,,,1.41000,0.85000,,-2.26000,-0.03000,-2.29000,0.00000,-2.29000,-2.29600,-0.00500,-2.30100,-2.26000,-2.26000,28.51200,28.51200,-0.08000,-0.08000,6.80710,,,,,,,,,,-25.79780,-19.50720,-25.79780,,0.00000,
