Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.45850,0.56590,-0.63000,-1.65440,-0.00260,-1.65690,-1.65690,-1.65690,-1.65690,-1.65440,-1.65440,1.37470,1.37470,-1.20000,-1.20000,6.37110,6157.51500,-47.70730,-40.23910,-47.70730,2.52640,-0.75300,-0.75300
2021-12-31,0.80370,0.57350,-0.64780,-2.02500,-0.00440,-2.02940,-2.02940,-2.02940,-2.02940,-2.02500,-2.02500,1.34740,1.34740,-1.40000,-1.40000,16.81360,-157.27380,-42.36360,-39.84400,-42.36360,3.48460,-0.8932,-0.8932
2021-09-30,0.22720,0.57350,-0.43710,-1.23770,-0.00100,-1.23870,-1.23870,-1.23870,-1.23870,-1.23770,-1.23770,1.37340,1.37340,-0.90000,-0.90000,24.38030,-48.10890,-20.39110,-19.55820,-20.39110,4.41900,-0.6645,-0.6645
2021-06-30,0.26240,1.06110,-0.40900,-1.73260,-0.00060,-1.73320,-1.73320,-1.73320,-1.73320,-1.73260,-1.73260,1.36330,1.36330,-1.30000,-1.30000,19.24570,-51.48520,-25.24150,-23.93000,-25.24150,5.02550,-0.7132,-0.7132
2021-03-31,0.44350,0.81600,-0.46560,-1.72520,-0.00200,-1.72710,-1.72710,-1.72710,-1.72710,-1.72520,-1.72520,1.27680,1.27680,-1.40000,-1.40000,32.54990,-41.64100,-22.58380,-21.89000,-22.58380,5.64910,-0.80380,-0.80380
2020-12-31,0.21240,0.69400,,-0.90640,-0.00270,-0.90700,-0.90700,-0.90700,-0.90700,-0.90640,-0.90640,1.12770,1.12770,-0.90000,-0.90000,24.14730,-59.98870,-18.09670,-17.34730,-18.09670,4.04120,-0.6436,-0.6436
2020-09-30,0.79940,0.80230,,-1.60170,0.00000,-1.60170,-1.60170,-1.60170,-1.60170,-1.60170,-1.60170,1.11740,1.11740,-1.40000,-1.40000,,,,,,,-0.5582,-0.5582
2020-06-30,0.11790,0.25540,,-0.37340,0.00030,-0.37310,-0.37310,-0.37310,-0.37310,-0.37340,-0.37340,1.11740,1.11740,-0.30000,-0.30000,,,,,,,-0.3174,-0.3174
2020-03-31,0.09470,0.29250,,-0.38720,0.00400,-0.38320,-0.38320,-0.38320,-0.38320,-0.38720,-0.38720,1.11740,1.11740,-0.30000,-0.30000,,,,,,,-0.37050,-0.37050
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2016-09-30,,,,,,,,-0.64700,-0.64700,,,4.78760,4.78760,-0.10000,-0.10000,,,,,,,0,0
2016-06-30,,,,,,,,-0.55500,-0.55500,,,4.78760,4.78760,-0.10000,-0.10000,,,,,,,0,0
2016-03-31,,,,,,,,-0.41700,-0.41700,,,4.78760,4.78760,-0.10000,-0.10000,,,,,,,0.00000,
