Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,596.66100,596.66100,30.23900,-802.35200,-601.71300,,-601.71300,-132.72000,-468.99300,-468.99300,-479.41800,-209.53900,-471.23800,113.89500,113.89500,-4.21000,-4.21000,2.77810,0.73670,2.79840,100.00000,-100.84670,-78.97920,-100.84670,-80.35020,0.02220,-7.36310,-7.36300,-1.74510,-1.93840,57.22020,2.23620,-3.21240
2021-12-31,597.17590,597.17590,48.31200,,188.37990,,188.38000,36.59900,151.78100,151.78100,142.31800,575.31880,318.04390,114.05100,114.44600,1.25000,1.25000,1.81170,0.70840,2.42880,100.00000,31.54510,53.25800,31.54520,23.83180,0.02210,2.16570,2.16560,0.56280,0.63160,61.48570,3.9051,-4.3363
2021-09-30,524.50900,524.50900,37.77400,,134.54500,,134.54500,27.20800,107.33700,107.33700,100.00600,510.64200,261.77500,114.12300,114.38200,0.88000,0.87000,3.49040,0.72800,2.67580,100.00000,25.65160,49.90860,25.65160,19.06660,0.01940,1.63030,1.63030,0.39730,0.44350,57.75910,2.8562,-3.6916
2021-06-30,491.87700,491.87700,33.38700,,114.56200,,114.56200,21.14000,93.42200,93.42200,85.58700,482.48000,240.67300,114.13300,114.37800,0.75000,0.75000,2.31530,0.71780,2.54400,100.00000,23.29080,48.92950,23.29080,17.40010,0.01910,1.43690,1.43690,0.36270,0.40540,56.96210,3.2182,-4.2222
2021-03-31,474.82700,474.82700,32.32200,,103.52900,,103.52900,19.43700,84.09200,84.09200,80.24800,465.32000,233.54000,113.95800,114.23700,0.70000,0.70000,2.99760,0.71550,2.51500,100.00000,21.80350,49.18420,21.80350,16.90050,0.01890,1.30820,1.30820,0.33380,0.37220,56.32800,2.05090,-2.76090
2020-12-31,489.10190,489.10190,23.21400,,137.82090,,137.82100,26.72800,111.09300,111.09300,107.24900,499.23390,274.06500,113.68500,114.01400,0.96000,0.94000,3.56930,0.73120,2.72030,100.00000,28.17840,56.03430,28.17840,21.92770,0.01940,1.82950,1.82950,0.44060,0.49180,53.33490,3.2646,-7.0513
2020-09-30,493.60100,493.60100,26.87400,,153.25500,,153.25500,32.86000,120.39500,120.39500,116.55200,477.65900,260.77400,113.77900,113.95100,1.02000,1.02000,3.14400,0.71750,2.53960,100.00000,31.04840,52.83090,31.04840,23.61260,0.02090,2.01420,2.01420,0.51000,0.56900,52.53450,2.1808,-1.735
2020-06-30,521.34900,521.34900,30.47300,,183.93000,,183.93000,36.30500,147.62500,147.62500,143.78100,511.86500,296.85600,113.69100,113.77300,1.26000,1.26000,1.89270,0.71380,2.49400,100.00000,35.27960,56.94000,35.27960,27.57870,0.02270,2.51500,2.51500,0.64200,0.71980,51.59000,2.0598,0.0354
2020-03-31,511.38700,511.38700,32.75100,,171.67200,,171.67200,34.52100,137.15100,137.15100,133.30700,499.61800,289.74100,113.47200,113.78500,1.17000,1.17000,1.53360,0.71530,2.51280,100.00000,33.56990,56.65790,33.56990,26.06770,0.02250,2.39090,2.39090,0.60470,0.68060,50.47840,2.05670,-3.85200
2019-12-31,548.55600,548.55600,37.27600,,206.41800,,206.41800,41.48300,164.93500,164.93500,161.09200,519.93900,313.05720,111.89500,113.08600,1.43000,1.42000,0.65450,0.70710,2.41460,100.00000,37.62930,57.06930,37.62930,29.36660,0.02530,2.93300,2.93290,0.75970,0.85890,49.61220,3.7355,1.177
2019-09-30,530.90200,530.90200,39.61200,,193.78700,,193.78700,38.00000,155.78700,155.78700,151.94300,500.62900,298.42400,112.13400,113.26300,1.36000,1.34000,0.80020,0.71570,2.51770,100.00000,36.50150,56.21080,36.50150,28.61980,0.02460,2.85220,2.85210,0.72090,0.81080,48.46610,2.7605,-7.9556
2019-06-30,471.39500,471.39500,33.63400,,160.53600,,160.53600,32.23100,128.30500,128.30500,124.03400,445.43200,257.36000,111.37200,112.80700,1.11000,1.10000,0.63520,0.70810,2.42630,100.00000,34.05550,54.59540,34.05550,26.31210,0.02300,2.42090,2.42090,0.62640,0.70660,47.46190,3.4927,-9.2649
2019-03-31,466.05100,466.05100,33.87600,,174.94400,,174.94400,36.85000,138.09400,138.09400,138.09400,439.35500,264.16400,111.01800,112.38100,1.24000,1.23000,0.81300,0.69640,2.29420,100.00000,37.53750,56.68140,37.53750,29.63070,0.02430,2.66910,2.66910,0.72000,0.81020,46.56150,2.32470,-5.63470
2018-12-31,449.98100,449.98100,30.48800,,172.02820,,172.02800,33.62900,138.39900,138.39900,138.39900,458.06510,290.17610,104.71600,112.36300,1.29000,1.24000,0.84530,0.70590,2.40050,100.00000,38.23010,64.48630,38.23010,30.75660,0.02430,2.87920,2.87920,0.74880,0.84670,43.32490,3.4276,-5.4742
2018-09-30,450.69800,450.69800,31.22500,,179.38200,,179.38200,32.80800,146.57400,146.57400,146.57400,423.57600,261.57100,104.06700,112.51000,1.41000,1.32000,0.80230,0.71240,2.47700,100.00000,39.80090,58.03690,39.80090,32.52160,0.02570,3.27250,3.27250,0.83440,0.94120,43.03840,2.5035,-1.7857
2018-06-30,397.81400,397.81400,26.34300,,147.40900,,147.40900,32.19800,115.21100,115.21100,115.21100,379.06100,220.86100,104.00400,112.42500,1.11000,1.04000,0.85320,0.71650,2.52720,100.00000,37.05480,55.51870,37.05480,28.96100,0.02310,2.65600,2.65600,0.66770,0.75300,41.68400,3.0322,-9.6128
2018-03-31,381.20900,381.20900,26.79100,,141.31900,,141.31900,30.66800,110.65100,110.65100,110.65100,361.43800,210.26200,103.74800,112.23000,1.07000,1.00000,0.96620,0.70050,2.33930,100.00000,37.07130,55.15660,37.07130,29.02630,0.02390,2.61800,2.61800,0.69400,0.78400,40.64840,2.19790,-2.09010
2017-12-31,398.47090,398.47090,31.01500,,165.66390,,165.66400,-305.43800,471.10210,471.10210,471.10200,401.87190,259.44390,103.18900,111.65800,4.56000,4.22000,0.99710,0.70150,2.34980,100.00000,41.57490,65.10990,41.57490,118.22740,0.02550,11.41390,11.41390,3.01710,3.40730,39.83170,2.7622,-3.8296
2017-09-30,376.76500,376.76500,24.62000,,154.11900,,154.11900,54.93100,99.18800,99.18800,99.18800,354.97500,217.63300,103.22200,111.71000,0.96000,0.90000,1.05610,0.71650,2.52690,100.00000,40.90590,57.76360,40.90590,26.32620,0.02530,2.71330,2.71330,0.66560,0.76930,35.40890,2.265,0.229
2017-06-30,380.95700,380.95700,29.14700,,155.86900,,155.86900,54.94400,100.92500,100.92500,100.92500,359.24600,218.88300,103.18100,111.56400,0.98000,0.92000,0.95480,0.72330,2.61460,100.00000,40.91510,57.45610,40.91510,26.49250,0.02560,2.83640,2.83640,0.67910,0.78470,34.47510,2.4922,-1.3286
2017-03-31,360.18700,360.18700,26.34500,,133.87800,,133.87800,48.94100,84.93700,84.93700,84.93700,337.87900,200.94100,102.94800,111.43000,0.83000,0.78000,0.77940,0.72460,2.63140,100.00000,37.16900,55.78800,37.16900,23.58140,0.02490,2.45540,2.45540,0.58670,0.67610,33.53140,1.97130,-4.78110
2016-12-31,370.48710,370.48710,27.66300,,149.40310,,149.40300,52.41500,96.98800,96.98800,96.98800,360.53910,215.79210,102.80100,110.79900,0.95000,0.89000,1.13250,0.72040,2.57640,100.00000,40.32610,58.24550,40.32610,26.17850,0.02650,2.86760,2.86760,0.69400,0.80180,32.88660,2.3334,-1.3742
2016-09-30,355.10100,355.10100,24.47600,,144.57300,,144.57300,51.29700,93.27600,93.27600,93.27600,330.62500,209.29300,102.84300,110.78900,0.91000,0.86000,1.03680,0.72230,2.60160,100.00000,40.71320,58.93900,40.71320,26.26750,0.02600,2.83660,2.83660,0.68180,0.78760,31.97390,2.3191,-1.3756
2016-06-30,350.13900,350.13900,25.15400,,142.27100,,142.27100,50.46800,91.80300,91.80300,91.80300,324.98500,205.46100,102.83700,110.83900,0.89000,0.84000,0.86760,0.72420,2.62570,100.00000,40.63270,58.67980,40.63270,26.21900,0.02620,2.87290,2.87290,0.68820,0.79240,31.07220,2.4942,-3.4975
2016-03-31,343.32800,343.32800,22.64100,,143.99100,,143.99100,51.13300,92.85800,92.85800,92.85800,320.68700,204.95100,102.67900,110.56300,0.90000,0.85000,0.93200,0.72090,2.58260,100.00000,41.93980,59.69540,41.93980,27.04640,0.02690,2.99120,2.99120,0.72640,0.83490,30.19000,2.05990,-2.64660
2015-12-31,326.69700,326.69700,25.46100,,125.22790,,125.22800,44.32900,80.89900,80.89900,80.89900,331.74290,217.71790,102.54800,110.62900,0.79000,0.74000,0.80190,0.71860,2.55390,100.00000,38.33150,66.64220,38.33160,24.76270,0.02640,2.67890,2.67890,0.65480,0.75380,29.43870,2.2888,-1.9972
2015-09-30,313.12600,313.12600,23.97100,,119.58700,,119.58700,42.54500,77.04200,77.04200,77.04200,289.15500,179.69000,102.58100,110.62400,0.75000,0.71000,0.77380,0.71840,2.55090,100.00000,38.19130,57.38590,38.19130,24.60420,0.02630,2.62100,2.62100,0.64680,0.73810,28.65490,1.6716,-3.0265
2015-06-30,304.70200,304.70200,22.30700,,118.16400,,118.16400,42.04600,76.11800,76.11800,76.11800,282.39500,176.31200,102.57200,110.73800,0.74000,0.70000,0.47350,0.71620,2.52300,100.00000,38.78020,57.86380,38.78020,24.98110,0.02610,2.65970,2.65970,0.65250,0.75500,27.89860,1.7358,-3.19
2015-03-31,278.31500,278.31500,22.24400,,101.97400,-72.00000,29.97400,10.64200,19.33200,19.33200,19.33200,256.07100,157.37700,102.45000,110.55900,0.19000,0.19000,0.90830,0.71400,2.49710,100.00000,36.63980,56.54640,10.76980,6.94610,0.02500,0.69410,0.69410,0.17350,0.19850,27.15690,1.89490,-3.65490
2014-12-31,285.94410,285.94410,27.50000,,108.11000,,108.11000,37.97900,70.13100,70.13100,70.13100,258.44400,160.65300,102.14300,110.19300,0.69000,0.65000,1.52020,0.70520,2.39200,100.00000,37.80810,56.18340,37.80810,24.52610,0.02670,2.52990,2.52990,0.65600,0.74590,27.07300,1.8078,-0.4319
2014-09-30,261.93900,261.93900,23.53800,,96.27700,,96.27700,33.84400,62.43300,62.43300,62.43300,238.40100,144.85900,102.38300,110.45700,0.61000,0.58000,1.36150,0.71150,2.46620,100.00000,36.75550,55.30260,36.75550,23.83490,0.02480,2.31650,2.31650,0.59200,0.66830,26.32310,1.7413,-3.7709
2014-06-30,256.32500,256.32500,24.84600,,95.68000,,95.68000,33.64300,62.03700,62.03700,62.03700,231.47900,143.01500,101.93500,110.05700,0.61000,0.58000,1.51580,0.70480,2.38780,100.00000,37.32760,55.79440,37.32760,24.20250,0.02550,2.35720,2.35720,0.61720,0.69580,25.70530,1.7917,-4.1042
2014-03-31,246.28500,246.28500,22.58600,,94.70900,,94.70900,33.31200,61.39700,61.39700,61.39700,223.69900,139.06700,101.85700,110.03700,0.60000,0.57000,2.27680,0.69700,2.30040,100.00000,38.45510,56.46590,38.45500,24.92930,0.02580,2.37650,2.37650,0.64270,0.72010,25.34910,1.63800,-1.10050
2013-12-31,242.90100,242.90100,26.59500,,90.57100,,90.57100,31.72400,58.84700,58.84700,58.84700,216.30600,133.67000,101.52900,108.96400,0.59000,0.55000,2.72420,0.69880,2.31960,100.00000,37.28720,55.03070,37.28720,24.22670,0.02600,2.33200,2.33200,0.63060,0.70250,24.78260,1.4924,-3.3014
2013-09-30,215.90500,215.90500,21.24800,,74.88800,,74.88800,26.31000,48.57800,48.57800,48.57800,194.65700,116.83400,101.75400,109.22800,0.48000,0.46000,2.48530,0.68960,2.22130,100.00000,34.68560,54.11360,34.68560,22.49970,0.02450,1.97410,1.97410,0.55150,0.61280,24.18390,1.6821,-2.394
2013-06-30,207.87200,207.87200,23.96100,,66.31100,,66.31100,23.32100,42.99000,42.99000,42.99000,183.91100,109.77900,101.30100,108.81600,0.42000,0.41000,2.77150,0.68430,2.16770,100.00000,31.89990,52.81090,31.89990,20.68100,0.02460,1.78310,1.78310,0.50940,0.56290,23.69490,1.3421,-3.7648
2013-03-31,191.99700,191.99700,21.02200,,61.67200,,61.67200,21.67600,39.99600,39.99600,39.99600,170.97500,101.90200,101.26100,108.34700,0.39000,0.38000,3.15420,0.67180,2.04670,100.00000,32.12130,53.07480,32.12130,20.83160,0.02410,1.68400,1.68400,0.50270,0.55270,23.45010,1.48730,-4.59660
2012-12-31,190.09500,190.09500,22.84300,,61.28600,,61.28600,21.47700,39.80900,39.80900,39.80900,167.25200,100.39700,100.99200,107.65600,0.39000,0.38000,3.73070,0.65270,1.87970,100.00000,32.23970,52.81410,32.23970,20.94160,0.02590,1.70660,1.70660,0.54140,0.59260,23.03890,1.1081,-2.98
2012-09-30,174.92500,174.92500,19.95700,,57.19300,,57.19300,20.18200,37.01100,37.01100,37.01100,154.96800,92.44100,101.24700,107.87500,0.37000,0.36000,5.79030,0.65270,1.87960,100.00000,32.69570,52.84610,32.69570,21.15820,0.02440,1.61930,1.61930,0.51650,0.56230,22.57520,1.2165,-1.9264
2012-06-30,158.17300,158.17300,23.51500,,43.88400,,43.88400,15.71200,28.17200,28.17200,28.17200,134.65800,78.03000,100.75000,107.41100,0.28000,0.28000,6.11750,0.64360,1.80590,100.00000,27.74430,49.33210,27.74430,17.81090,0.02320,1.25720,1.25720,0.41380,0.44810,22.13250,1.2915,-7.6942
2012-03-31,132.55300,132.55300,21.82600,,41.61000,,41.61000,14.68300,26.92700,26.92700,26.92700,110.72700,63.52400,100.71700,107.42700,0.27000,0.26000,17.56160,0.62320,1.65400,100.00000,31.39120,47.92350,31.39120,20.31410,0.02110,1.21760,1.21760,0.42830,0.45880,21.95680,0.94500,-4.61990
2011-12-31,115.05700,115.05700,20.26500,,38.68800,,38.68800,13.92600,24.76200,24.76200,24.76200,94.79200,53.40700,89.59300,90.41600,0.28000,0.28000,6.91630,0.54460,1.19600,100.00000,33.62510,46.41790,33.62510,21.52150,0.02230,1.13780,1.13780,0.47950,0.51810,21.60850,1.3056,-11.2581
2011-09-30,92.12500,92.12500,19.82600,,28.34100,,28.34100,10.07000,18.27100,18.27100,18.27100,72.29900,39.33400,100.71400,100.76800,0.18000,0.18000,8.66650,0.45680,0.84110,100.00000,30.76360,42.69630,30.76360,19.83280,0.02170,0.85250,0.85250,0.43020,0.46300,21.28090,0.6946,-4.6267
2011-06-30,74.34400,74.34400,23.03700,-3.34900,10.88800,,10.88800,3.86500,7.02300,7.02300,7.02300,47.95800,20.97800,91.03900,91.16400,0.08000,0.08000,17.72930,0.39420,0.65070,100.00000,14.64540,28.21750,14.64540,9.44660,0.01980,0.33030,0.33030,0.18710,0.20010,21.11270,0.3635,-5.3362
2011-03-31,55.21500,55.21500,20.77300,,4.92400,,4.92400,1.74800,3.17600,3.17600,3.17600,34.44200,13.98400,65.39300,65.51200,0.05000,0.05000,12.66690,0.52600,1.10960,100.00000,8.91790,25.32650,8.91790,5.75210,0.01980,0.25630,0.25630,0.11390,0.12150,18.94730,0.59120,-8.75150
2010-12-31,36.91000,36.91000,20.91000,,1.29000,-5.36000,-4.07000,-1.38000,-2.69000,-2.69000,-2.69000,21.34700,1.29000,39.51100,39.51100,2.23000,2.23000,17.11690,0.42680,0.74450,85.45110,3.49500,3.49500,-11.02680,-7.28800,0.01620,-0.21960,-0.21960,-0.11820,-0.12590,18.73190,0.8825,-29.5647
2010-09-30,19.75200,19.75200,18.88200,,-11.23700,,-11.23700,-3.49000,-7.74700,-7.74700,-7.74700,0.87000,-7.36600,64.98500,64.98500,-0.12000,-0.12000,,,,100.00000,-56.89040,-37.29240,-56.89040,-39.22130,,,,,,,0.0626,2.943
2010-06-30,1.70900,1.70900,8.01400,,-45.14300,,-45.14300,-4.00200,-41.14100,-41.14100,-41.14100,-43.30500,-43.30500,17.39400,17.39400,-2.37000,-2.37000,,,,100.00000,-2641.48600,-2533.93800,-2641.48600,-2407.31400,,,,,,,-3.9061,-13.7558
2010-03-31,,,0.47700,,-0.47700,,-0.47700,,-0.47700,-0.47700,-0.47700,-0.47700,-0.47700,0.45000,0.45000,-1.06000,-1.06000,,,,,,,,,,,,,,,4.02220,-5.42220
