Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-06-30,125.50100,13.97400,111.52700,76.72300,,83.04900,28.47800,-5.30000,23.17800,5.37700,17.80100,17.80100,,16.99700,36.53500,33.20200,25.42400,26.39800,0.67000,0.64000,2.62340,0.83590,5.68840,88.86540,22.69150,26.45560,18.46840,13.54330,0.06690,,1.83610,49.01770,6.73580,15.83340,0.94830,1.10550,10.13720,-5.9263,-5.9691
2018-03-31,95.77800,11.69300,84.08500,68.09800,,73.48300,10.60200,-4.77100,5.83100,0.98900,4.84200,4.84200,,4.50300,19.10700,15.77000,26.21900,27.27200,0.17000,0.17000,4.34720,0.79690,3.92970,87.79160,11.06940,16.46520,6.08800,4.70150,0.06700,,1.30710,68.85740,1.78230,4.09970,0.33850,0.36210,10.18350,-1.98210,-2.00750
2017-12-31,110.17700,-5.51400,115.69100,95.04800,,101.47400,14.21700,-3.40500,10.81200,16.26300,-5.45100,-5.45100,,-6.11300,23.18800,19.75300,23.18100,24.29100,-0.39000,-0.39000,3.61300,0.79110,3.79630,105.00470,12.90380,17.92840,9.81330,-5.54830,0.07940,,2.13960,42.06380,-2.05040,-4.94970,-0.39300,-0.42830,10.00590,-1.6023,-1.6043
2017-09-30,92.42600,10.26200,82.16400,70.96200,,80.80800,1.35600,-2.59100,-1.23500,-1.35700,0.12200,0.12200,,0.36800,9.72100,6.30600,26.05900,27.64000,0.01000,0.01000,2.99430,0.75440,3.08090,88.89710,1.46710,6.82280,-1.33620,0.39820,0.07540,,2.22690,40.41460,0.04440,0.10700,0.01000,0.01090,10.37850,1.9795,1.9678
2017-06-30,66.67600,18.61500,48.06100,37.72200,,45.50100,2.56000,-1.74400,0.81600,-2.54700,3.36300,3.36300,,3.28000,6.37300,4.12500,21.21700,22.11900,0.15000,0.15000,2.96530,0.80610,4.24150,72.08140,3.83950,6.18660,1.22380,4.91930,0.04970,,2.60290,34.57680,1.40080,2.63330,0.25070,0.27160,9.84820,-1.7646,-1.7407
2017-03-31,52.89700,17.66000,35.23700,24.15200,,24.52600,10.71100,-0.65900,10.05200,-3.84900,13.90100,13.90100,,14.02100,12.75300,10.71100,19.18200,19.62700,0.73000,0.71000,2.24470,0.14630,0.17130,66.61440,20.24880,20.24880,19.00300,26.50620,0.20750,,2.93510,30.66300,8.58060,18.82000,5.45280,7.32560,8.39100,-1.97970,-1.98940
2016-12-31,93.17800,28.13500,65.04300,33.28300,,33.58500,31.45800,-0.31200,31.14600,8.13700,23.00900,23.00900,,12.44000,33.38300,31.45800,18.10700,18.39200,0.71000,0.70000,1.97880,0.15550,0.18420,69.80510,33.76120,33.76120,33.42640,13.35080,0.35210,,4.90690,18.34140,15.29940,38.14300,8.69520,12.91970,7.85750,2.9097,2.89
2016-09-30,56.96600,15.23200,41.73400,22.72700,,26.31200,15.42200,-0.96500,14.45700,6.08300,8.37400,8.37400,,8.93900,17.40400,15.42200,18.97700,19.19100,0.47000,0.47000,1.32220,,0.42360,73.26130,27.07230,27.07230,25.37830,15.69180,0.21800,,3.76960,23.87530,5.83170,16.73230,3.20410,5.83170,7.54050,0.8801,0.8686
2016-06-30,20.26100,5.56000,14.70100,14.52100,,14.52100,0.18000,-0.27200,-0.09200,-0.06500,-0.02700,-0.02700,,-0.10100,0.37600,0.18000,17.93500,17.93500,-0.01000,-0.01000,3.11020,,,72.55810,0.88840,0.88840,-0.45410,-0.49850,0.11950,,2.53360,35.52290,-0.02010,-0.02830,-0.01590,-0.02010,7.05780,0.6382,0.6361
2016-03-31,19.94600,6.68500,13.26100,11.59600,,11.59600,1.66500,-0.12900,1.53600,0.16600,1.37000,1.37000,,0.24800,1.86800,1.66500,16.49000,16.55400,0.02000,0.01000,4.37960,,,66.48450,8.34750,8.34750,7.70080,1.24340,0.15810,,2.51050,35.84930,1.23210,1.90260,1.08600,1.23210,6.69230,-0.06310,-0.06420
