Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,60.75400,51.04300,9.71100,6.57000,,6.62400,3.08700,0.66900,3.75600,0.84100,2.91500,2.91500,,2.91500,3.79900,3.08700,7.07300,7.07300,0.41000,0.41000,6.39420,15.98410,5.08120,5.08120,6.18230,4.79800,0.15640,0.33700,1.69890,52.97430,0.88500,0.93580,0.75030,0.88500,46.69560,0.76880,0.74450
2021-12-31,100.40700,83.27700,17.13000,13.95700,,14.00900,3.12100,0.52000,3.64100,0.40100,3.24000,3.24000,,3.24000,3.87100,3.12100,7.06000,7.06000,0.45000,0.45000,6.54740,17.06060,3.10840,3.10840,3.62620,3.22690,0.23880,0.57890,1.88110,47.84460,0.90600,0.95380,0.77070,0.90600,50.78430,2.8503,2.794
2021-09-30,87.22500,75.99500,11.23000,6.54100,,6.59500,4.63500,0.64500,5.28000,1.15100,4.12900,4.12900,,4.12900,5.39800,4.63500,7.06200,7.06200,0.58000,0.58000,5.64420,12.87480,5.31380,5.31380,6.05330,4.73370,0.20480,0.50470,1.70660,52.73600,1.16620,1.22860,0.96950,1.16620,50.29420,1.1986,1.126
2021-06-30,87.11800,69.44300,17.67500,6.29100,,6.34500,11.33000,0.56500,11.89500,2.60300,9.29200,9.29200,,9.29200,12.06400,11.33000,7.06000,7.06000,1.32000,1.32000,7.03540,20.28860,13.00530,13.00530,13.65390,10.66600,0.21430,0.48520,1.74690,51.51980,2.65720,2.80180,2.28570,2.65720,49.68600,-0.0996,-0.2172
2021-03-31,81.02700,62.66600,18.36100,7.36400,,7.41800,10.94300,0.70000,11.64300,2.65000,8.99300,8.99300,,8.99300,11.67400,10.94300,7.05300,7.05300,1.28000,1.28000,6.20220,22.66040,13.50540,13.50540,14.36930,11.09880,0.20500,0.44410,1.68400,53.44550,2.64410,2.79270,2.27540,2.64410,48.33980,0.96400,0.80460
2020-12-31,105.92200,79.57800,26.34400,9.13900,,9.19200,17.15200,0.76000,17.91200,3.97100,13.94100,13.94100,,13.94100,17.91900,17.15200,7.03800,7.03800,1.98000,1.98000,6.48440,24.87120,16.19300,16.19310,16.91060,13.16160,0.24450,0.58730,1.97370,45.59990,3.72410,3.91390,3.21840,3.72410,53.28800,4.648,4.4884
2020-09-30,93.93700,73.21900,20.71800,6.21200,,6.26600,14.45200,0.81200,15.26400,3.12600,12.13800,12.13800,,12.13800,15.19000,14.45200,7.04100,7.04100,1.72000,1.72000,7.17760,22.05520,15.38480,15.38480,16.24920,12.92140,0.22870,0.53800,1.48720,60.51580,3.37120,3.55080,2.95560,3.37120,51.28140,-0.9054,-1.0141
2020-06-30,87.13200,65.38900,21.74300,6.36000,,6.41400,15.32900,0.95300,16.28200,3.62500,12.65700,12.65700,,12.65700,16.07500,15.32900,7.03800,7.03800,1.80000,1.80000,5.97310,24.95410,17.59290,17.59290,18.68660,14.52620,0.21440,0.49410,1.66350,54.10310,3.64030,3.84210,3.11500,3.64030,49.53630,0.5731,0.5198
2020-03-31,65.63600,49.51900,16.11700,6.79400,,6.85400,9.26300,1.26700,10.53000,2.30800,8.22200,8.22200,,8.22200,10.01700,9.26300,7.02800,7.02800,1.17000,1.17000,6.77680,24.55510,14.11270,14.11270,16.04300,12.52670,0.17110,0.38020,1.50230,59.90630,2.45660,2.59880,2.14300,2.45660,47.68340,1.50600,1.45520
2019-12-31,94.90900,73.99900,20.91000,6.37000,,6.45300,14.45700,1.25800,15.71500,3.99100,11.72400,11.72400,0.00000,11.72400,15.33100,14.45700,7.01800,7.01800,1.68000,1.68000,8.59740,22.03160,15.23250,15.23250,16.55800,12.35290,0.23130,0.57570,2.28890,39.31940,3.18620,3.35370,2.85770,3.18620,52.52030,1.874,2.0431
2019-09-30,78.00600,54.15900,23.84700,6.60900,,6.60900,17.23800,1.39800,18.63600,3.92400,14.71200,14.71200,1.67700,16.38900,18.15400,17.23800,7.02000,7.02000,2.33000,2.33000,7.23380,30.57070,22.09830,22.09830,23.89050,21.00990,0.19300,0.40500,1.88710,47.69290,4.13390,4.36460,3.63910,4.13390,50.81980,-1.6283,-1.6273
2019-06-30,71.74500,57.06900,14.67600,6.03900,,6.03900,8.63700,1.63800,10.27500,2.12200,8.15300,8.15300,0.00300,8.15600,9.58700,8.63700,7.01900,7.01900,1.16000,1.16000,7.59070,20.45580,12.03850,12.03850,14.32160,11.36800,0.18660,0.49850,1.95250,46.09580,2.40360,2.49550,2.12010,2.40360,48.47780,-0.544,-0.6946
2019-03-31,63.85000,51.35800,12.49200,6.44400,,6.44400,6.04800,1.63200,7.68000,1.72900,5.95100,5.95100,,5.95100,6.99700,6.04800,7.01400,7.01400,0.85000,0.85000,7.28710,19.56460,9.47220,9.47220,12.02820,9.32030,0.16960,0.51270,1.74880,51.46420,1.79970,1.87030,1.58040,1.79970,47.27220,1.66380,1.30640
2018-12-31,85.61100,65.14700,20.46400,5.67500,,5.18300,15.28100,1.35600,16.63700,4.75800,11.87900,11.87900,-0.07100,11.80800,16.25500,15.28100,7.00500,7.00500,1.68000,1.68000,7.41680,23.90350,17.84930,17.84930,19.43330,13.79260,0.20700,0.69310,1.63470,55.05700,3.24450,3.35910,2.87200,3.24450,52.44560,0.8978,0.6725
2018-09-30,81.65300,65.95600,15.69700,5.82900,-3.02100,8.85500,6.84200,1.18900,8.03100,1.79100,6.24000,6.24000,0.13100,6.37100,7.86900,6.84200,7.00700,7.00700,0.91000,0.91000,6.61900,19.22400,8.37940,8.37940,9.83550,7.80250,0.20190,0.67560,1.78170,50.51280,1.76290,1.82800,1.54310,1.76290,50.71050,2.8751,2.4315
2018-06-30,79.22700,59.78200,19.44500,5.63100,,7.04700,12.39800,0.99700,13.39500,2.61900,10.77600,10.77600,-0.00100,10.77500,14.81900,12.39800,7.00600,7.00600,1.54000,1.54000,7.46520,24.54340,15.64870,15.64870,16.90710,13.60020,0.20340,0.61220,1.80580,49.83870,3.10240,3.21970,2.76640,3.10240,49.77740,1.1159,0.8008
2018-03-31,76.82600,56.54900,20.27700,6.15100,,6.89600,13.38100,0.89500,14.27600,3.28200,10.99400,10.99400,-0.00800,10.98600,15.17800,13.38100,6.99900,6.99900,1.57000,1.57000,6.33140,26.39340,17.41730,17.41730,18.58230,14.29990,0.19920,0.55780,1.77010,50.84330,3.26950,3.41230,2.85050,3.26950,48.19520,5.99600,5.74020
2017-12-31,115.60400,84.94800,30.65600,5.99300,,6.77200,23.88400,0.85900,24.74300,8.68100,16.06200,16.06200,0.69800,16.76000,26.71000,23.88400,6.98900,6.98900,2.40000,2.40000,7.44020,26.51810,20.66020,20.66020,21.40320,14.49780,0.28070,0.81340,1.77250,50.77510,4.38400,4.56880,3.89970,4.38400,52.57980,4.2536,4.0118
2017-09-30,70.61400,51.72200,18.89200,5.72900,,7.20800,11.68400,0.79200,12.47600,4.13800,8.33800,8.33800,-0.00600,8.33200,14.46200,11.68400,6.99100,6.99100,1.19000,1.19000,7.06540,26.75390,16.54630,16.54630,17.66790,11.79940,0.17940,0.39930,1.58200,56.89140,2.38630,2.49770,2.11820,2.38630,50.16040,-1.5928,-1.7641
2017-06-30,74.56100,57.00100,17.56000,5.41800,,5.42300,12.13700,0.98000,13.11700,4.17600,8.94100,8.94100,0.77100,9.71200,14.31500,12.13700,6.99000,6.99000,1.39000,1.39000,6.23160,23.55120,16.27790,16.27790,17.59230,13.02560,0.19120,0.48760,1.95920,45.93610,2.62330,2.75320,2.29290,2.62330,48.93410,-2.8254,-3.1471
2017-03-31,72.85400,52.72800,20.12600,5.76000,,6.12700,13.99900,0.95000,14.94900,4.97600,9.97300,9.97300,8.18200,18.15500,16.10500,13.99900,6.98100,6.98100,2.60000,2.60000,4.49350,27.62510,19.21510,19.21510,20.51910,24.91970,0.18090,0.48030,1.76610,50.95930,3.01440,3.16840,2.47630,3.01440,47.51440,3.63830,3.31510
2016-12-31,131.91400,96.56100,35.35300,5.32200,,5.47500,29.87800,0.21400,30.09200,10.39000,19.70200,19.70200,1.07300,20.77500,34.60300,29.87800,6.97000,6.97000,2.97000,2.97000,5.29100,26.80000,22.64960,22.64960,22.81180,15.74890,0.31590,1.01210,1.96050,45.90600,5.62540,5.90250,4.71800,5.62540,50.38640,5.7058,5.2734
2016-09-30,74.53300,57.43900,17.09400,5.66600,,5.66600,11.42800,0.22500,11.65300,3.88600,7.76700,7.76700,0.53700,8.30400,14.92100,11.42800,6.97200,6.97200,1.19000,1.19000,4.87630,22.93480,15.33280,15.33280,15.63470,11.14140,0.19280,0.44860,1.20620,74.61620,2.35950,2.48480,2.00910,2.35950,47.37160,0.0147,-0.1799
2016-06-30,69.51600,52.34900,17.16700,5.61400,,5.61400,11.55300,0.18800,11.74100,3.80500,7.93600,7.93600,0.33800,8.27400,15.03900,11.55300,6.97000,6.97000,1.19000,1.19000,4.74670,24.69500,16.61920,16.61920,16.88960,11.90230,0.18460,0.44960,1.20360,74.77730,2.47530,2.60860,2.10790,2.47530,46.15750,1.9288,1.6492
2016-03-31,65.94200,49.89400,16.04800,5.82700,,6.39500,9.65300,0.18300,9.83600,3.32600,6.51000,6.51000,0.70100,7.21100,12.63200,9.65300,6.96400,6.96400,1.04000,1.04000,4.89580,24.33650,14.63860,14.63860,14.91610,10.93540,0.18290,0.46230,1.18130,76.18920,2.08620,2.20180,1.80550,2.08620,44.93820,1.87380,1.78370
2015-12-31,61.37800,32.37800,29.00000,3.16800,,4.70300,24.29700,-0.01500,24.28200,7.46000,16.82200,16.82200,,15.15600,28.55900,24.29700,6.95100,6.95100,2.18000,2.18000,5.43510,47.24820,39.58580,39.58580,39.56140,24.69290,0.15840,0.36420,1.10440,81.49530,4.95850,5.21940,4.34250,4.95850,48.91910,3.5618,3.4321
2015-09-30,90.90100,71.78000,19.12100,6.62400,,6.98000,12.14100,0.23600,12.37700,4.26600,8.11100,8.11100,,8.11100,15.16800,12.14100,6.95300,6.95300,1.17000,1.17000,5.39160,21.03500,13.35630,13.35630,13.61590,8.92290,0.24300,0.61760,1.77530,50.69450,2.50470,2.65640,2.16840,2.50470,46.70840,-0.5992,-0.9879
2015-06-30,102.37100,81.93800,20.43300,5.78200,,6.67000,13.76300,0.10100,13.86400,4.74400,9.12000,9.12000,,9.12000,17.19500,13.76300,6.95100,6.95100,1.31000,1.31000,5.39910,19.95980,13.44420,13.44420,13.54290,8.90880,0.28180,0.84400,2.03630,44.19870,2.89100,3.07470,2.51070,2.89100,45.51450,0.4084,0.2214
2015-03-31,100.99900,80.12000,20.87900,6.16100,,8.55500,12.32400,0.07500,12.39900,4.29000,8.10900,8.10900,,8.10900,17.20300,12.32400,6.94300,6.94300,1.17000,1.17000,4.69500,20.67250,12.20210,12.20210,12.27640,8.02880,0.27870,0.85940,1.96700,45.75430,2.64920,2.83180,2.23760,2.64920,44.17590,3.28630,3.06580
2014-12-31,76.86900,43.59000,33.27900,3.06200,,8.60000,24.67900,0.01400,24.69300,7.92500,16.76800,16.76800,,12.49300,32.84700,24.67900,6.93000,6.93000,1.80000,1.80000,5.05050,43.29310,32.10530,32.10530,32.12350,16.25230,0.20550,0.48950,1.09160,82.44940,5.15240,5.52830,4.48260,5.15240,47.04970,4.8619,4.4098
2014-09-30,95.46300,79.29800,16.16500,5.62500,,8.31700,7.84800,0.04100,7.88900,2.76600,5.12300,5.12300,,5.12300,13.02500,7.84800,6.93200,6.93200,0.74000,0.74000,5.01940,16.93330,8.22100,8.22100,8.26390,5.36650,0.25990,0.69860,1.68200,53.50900,1.63910,1.79830,1.39490,1.63910,45.20520,0.8439,0.3831
2014-06-30,88.31200,72.17000,16.14200,6.44000,,9.82100,6.32100,0.14800,6.46900,2.29800,4.17100,4.17100,,4.17100,12.07800,6.32100,6.92900,6.92900,0.60000,0.60000,5.30580,18.27840,7.15760,7.15760,7.32520,4.72300,0.24740,0.65210,1.80130,49.96510,1.35790,1.50680,1.16830,1.35790,44.44100,1.3228,1.1668
2014-03-31,86.55400,70.83400,15.72000,6.29500,,8.73800,6.98200,0.16400,7.14600,2.45600,4.69000,4.69000,,4.69000,11.76200,6.98200,6.92100,6.92100,0.68000,0.68000,4.76610,18.16210,8.06660,8.06660,8.25610,5.41860,0.24290,0.74080,1.34700,66.81630,1.54930,1.74360,1.31620,1.54930,43.81590,3.53610,3.02050
2013-12-31,134.99000,109.90800,25.08200,4.49400,,4.50100,20.58100,0.22300,20.80400,3.72200,17.08200,17.08200,,17.08200,25.62400,20.58100,6.90700,6.90700,2.47000,2.47000,4.86950,18.58060,15.24630,15.24630,15.41150,12.65430,0.34300,1.18800,1.59690,56.36080,5.13670,5.76380,4.34060,5.13670,48.18180,1.2223,-1.3547
2013-09-30,100.61200,80.96200,19.65000,5.62700,,5.79400,13.85600,0.15300,14.00900,4.99400,9.01500,9.01500,,9.01500,16.08300,13.85600,6.90700,6.90700,1.31000,1.31000,5.00920,19.53050,13.77170,13.77170,13.92380,8.96020,0.26520,0.72780,1.63930,54.90240,2.86060,3.02590,2.37640,2.86060,45.67380,2.1229,1.4531
2013-06-30,101.39600,82.98500,18.41100,5.42600,,5.59200,12.81900,0.14700,12.96600,4.66500,8.30100,8.30100,,8.30100,15.05200,12.81900,6.90500,6.90500,1.20000,1.20000,4.89700,18.15750,12.64250,12.64250,12.78750,8.18670,0.27390,0.80070,1.40000,64.28600,2.71190,2.87520,2.24200,2.71190,44.37520,-1.4064,-2.5142
2013-03-31,83.19000,66.98100,16.20900,5.68400,,5.85100,10.35800,0.20800,10.56600,3.71200,6.85400,6.85400,,6.85400,12.63900,10.35800,6.90300,6.90300,0.99000,0.99000,5.20630,19.48430,12.45100,12.45100,12.70110,8.23900,0.23310,0.69140,1.64640,54.66530,2.30270,2.44700,1.92030,2.30270,43.16270,1.56760,0.73230
2012-12-31,141.79000,109.78000,32.01000,13.90700,,14.95600,17.05400,-0.02400,17.03000,5.60300,11.42700,11.42700,,11.42700,20.67100,17.05400,6.88900,6.88900,1.66000,1.66000,4.83720,22.57560,12.02760,12.02760,12.01070,8.05910,0.40060,1.31690,1.85480,48.52150,3.93260,4.18800,3.22880,3.93260,42.14840,4.0332,3.5027
2012-09-30,116.81300,93.90600,22.90700,8.05800,,8.05800,14.84900,0.23100,15.08000,5.67900,9.40100,9.40100,,9.40100,17.42900,14.84900,6.89100,6.89100,1.36000,1.36000,4.92780,19.61000,12.71180,12.71180,12.90950,8.04790,0.29580,0.92590,1.67160,53.84140,2.90720,3.08640,2.38090,2.90720,46.95990,-0.3495,-0.7964
2012-06-30,117.11400,97.52000,19.59400,6.26800,,6.26800,13.32600,0.23700,13.56300,4.86000,8.70300,8.70300,,8.70300,15.88000,13.32600,6.88900,6.88900,1.26000,1.26000,5.24120,16.73070,11.37870,11.37870,11.58100,7.43120,0.30870,1.11580,2.02480,44.44900,2.77360,2.95010,2.29410,2.77360,45.58120,3.6717,3.331
2012-03-31,96.77300,76.42100,20.35200,5.86200,,5.86200,14.49000,0.26100,14.75100,5.40700,9.34400,9.34400,,9.34400,16.92400,14.49000,6.88300,6.88500,1.36000,1.36000,4.86930,21.03070,14.97320,14.97320,15.24290,9.65560,0.25900,0.80170,1.44800,62.15270,3.06430,3.26190,2.50070,3.06430,44.30820,1.69410,1.04150
2011-12-31,119.00600,91.52300,27.48300,6.51000,,6.51000,20.97300,-0.00100,20.97200,7.57000,13.40200,13.40200,,13.40200,23.40200,20.97300,6.87500,6.87500,1.96000,1.96000,4.98750,23.09380,17.62350,17.62350,17.62260,11.26160,0.28910,0.96840,1.61620,55.68680,3.98530,4.21680,3.25570,3.98530,48.91490,3.3287,2.965
2011-09-30,104.86100,81.20400,23.65700,4.40300,,4.40300,19.25400,0.26400,19.51800,7.13200,12.38600,12.38600,,12.38600,21.59600,19.25400,6.87500,6.87600,1.80000,1.80000,5.75000,22.56030,18.36150,18.36150,18.61320,11.81180,0.27580,0.90860,1.50550,59.77910,3.83740,3.97900,3.25750,3.83740,46.95550,1.3193,0.8259
2011-06-30,98.26800,77.60300,20.66500,4.29400,,4.29400,16.37100,0.48500,16.85600,6.03900,10.81700,10.81700,,10.81700,18.57400,16.37100,6.87100,6.87200,1.57000,1.57000,5.98970,21.02920,16.65960,16.65960,17.15310,11.00770,0.27080,0.88260,1.69530,53.08800,3.48660,3.62070,2.98100,3.48660,45.14580,0.7231,-0.1546
2011-03-31,108.88600,86.93200,21.95400,4.81500,,4.81500,17.13900,0.54000,17.67900,6.31600,11.36300,11.36300,,11.36300,19.20200,17.13900,6.86600,6.86700,1.65000,1.65000,4.86580,20.16240,15.74030,15.74030,16.23630,10.43570,0.29910,1.04120,1.67260,53.80770,3.79720,3.94870,3.12160,3.79720,43.55250,3.16500,2.71850
2010-12-31,141.97800,103.87100,38.10700,4.25300,,4.25300,33.85400,0.14500,33.99900,11.85500,22.14400,22.14400,,22.14400,35.92500,33.85400,6.86400,6.86400,3.23000,3.24000,5.17830,26.84010,23.84450,23.84460,23.94670,15.59680,0.34200,1.24950,1.55820,57.75790,6.43840,6.66080,5.33420,6.43840,50.10010,3.4875,2.8877
2010-09-30,113.54700,89.18400,24.36300,4.23700,,4.23700,20.12600,0.57000,20.69600,7.48300,13.21300,13.21300,,13.21300,22.31700,20.12600,6.86300,6.86500,1.93000,1.92000,5.57310,21.45630,17.72480,17.72480,18.22680,11.63660,0.29570,0.93560,1.73060,52.00480,4.10450,4.25640,3.44040,4.10450,46.89180,-0.2613,-1.346
2010-06-30,117.07500,90.55800,26.51700,3.31100,,3.31100,23.20600,0.63600,23.84200,8.86700,14.97500,14.97500,,14.97500,25.40000,23.20600,6.86200,6.86300,2.18000,2.18000,5.76510,22.64960,19.82150,19.82150,20.36470,12.79100,0.31920,1.10350,2.14230,42.01000,4.85220,5.03980,4.08250,4.85220,44.96880,-0.2499,-0.3116
2010-03-31,106.40000,81.81300,24.58700,4.52200,,4.52200,20.06500,0.75300,20.81800,7.61900,13.19900,13.19900,,13.19900,22.24600,20.06500,6.85800,6.85800,1.92000,1.92000,4.90920,23.10810,18.85810,18.85810,19.56580,12.40510,0.29620,1.08920,1.79030,50.27230,4.49710,4.68030,3.67400,4.49710,42.77150,5.43980,4.76660
2009-12-31,150.98900,113.86300,37.12600,5.37700,,5.37700,31.74900,0.31600,32.06500,10.39400,21.67100,21.67100,,21.67100,33.95000,31.74900,6.85400,6.85400,3.16000,3.16000,5.60290,24.58850,21.02730,21.02740,21.23670,14.35270,0.37520,1.66040,1.63480,55.05240,6.45220,6.68060,5.38540,6.45220,48.97520,5.2006,5.0815
2009-09-30,116.39200,87.44800,28.94400,4.40000,,4.40000,24.54400,0.74900,25.29300,8.58800,16.70500,16.70500,,16.70500,26.70800,24.54400,6.85600,6.85600,2.44000,2.44000,5.92730,24.86770,21.08740,21.08740,21.73090,14.35240,0.31520,0.86210,1.70550,52.77120,5.31960,5.52150,4.52360,5.31960,45.79660,-0.3794,-0.4353
2009-06-30,103.16100,78.79700,24.36400,4.88700,,4.88700,19.47700,0.87600,20.35300,7.00700,13.34600,13.34600,,13.34600,21.68000,19.47700,6.85500,6.85500,1.95000,1.95000,5.75590,23.61750,18.88020,18.88020,19.72940,12.93710,0.29440,0.88390,1.82550,49.30060,4.49040,4.67090,3.80840,4.49040,43.35090,-1.731,-1.9265
2009-03-31,107.92600,88.26800,19.65800,4.08100,,4.08100,15.57700,1.10900,16.68600,5.83200,10.85400,10.85400,,10.85400,17.74700,15.57700,6.84900,6.84900,1.58000,1.58000,4.98220,18.21430,14.43300,14.43300,15.46060,10.05690,0.31440,1.21200,2.11950,42.46330,3.82220,3.98340,3.16210,3.82220,41.42510,5.97680,5.87080
