Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,44.85200,16.48900,28.36300,3.45600,,19.27100,9.09200,15.59900,24.69100,24.69100,,24.69100,22.66500,25.28200,9.09200,43.55400,44.40600,0.52000,0.51000,0.42750,0.74670,20.27110,20.27110,55.04990,50.53290,0.02750,3.18540,3.00430,1.51280,1.59340,20.36840,0.33010,0.20680
2021-12-31,39.67200,14.52800,25.14400,1.72000,,15.02000,10.12400,423.05200,433.17600,433.17600,,433.17600,431.19500,23.94900,10.12400,43.49800,44.14500,9.91000,9.75000,0.42880,0.75080,25.51930,25.51930,1091.89300,1086.90000,0.02480,57.10240,54.03420,27.04790,28.41910,19.98890,0.1495,11.7468
2021-09-30,44.88900,15.18000,29.70900,7.90000,,22.54800,7.16100,-5.91700,1.24400,1.24400,,1.24400,-0.98900,22.05600,7.16100,43.55400,43.55400,-0.02000,-0.02000,0.57470,1.35110,15.95270,15.95270,2.77130,-2.20320,0.03900,0.37180,0.29880,0.10800,0.11850,10.25270,0.6885,1.2793
2021-06-30,39.96400,14.17900,25.78500,3.06800,,18.02200,7.76300,-5.91100,1.85200,1.85200,,1.85200,-0.19300,23.18500,7.76300,43.48200,43.48200,0.00000,0.00000,0.57460,1.35090,19.42500,19.42500,4.63420,-0.48290,0.03540,0.54240,0.44510,0.16420,0.17370,10.41060,0.4682,0.4189
2021-03-31,39.51600,14.11800,25.39800,2.80100,,17.21600,8.18200,40.82700,49.00900,49.00900,,49.00900,46.96200,23.03200,8.18200,43.39700,44.04300,1.08000,1.07000,0.55480,1.24620,20.70550,20.70550,124.02320,118.84300,0.03630,14.09870,11.66960,4.50390,4.74710,10.59090,0.35250,2.32910
2020-12-31,39.84000,14.64800,25.19200,2.66400,,17.80900,7.38300,-6.92200,0.46100,0.46100,,0.46100,-1.48200,22.91400,7.38300,47.22300,47.22300,-0.03000,-0.03000,0.61840,1.62070,18.53160,18.53160,1.15710,-3.71990,0.03440,0.15070,0.12330,0.03980,0.04210,9.62910,0.1867,0.0076
2020-09-30,41.26100,14.88600,26.37500,2.54600,,17.73500,8.64000,-5.60100,3.03900,3.03900,,3.03900,1.03100,24.13500,8.64000,43.59300,44.01400,0.02000,0.02000,0.61480,1.59610,20.93990,20.93990,7.36530,2.49870,0.03520,0.97060,0.81350,0.25910,0.27540,9.79600,0.4231,0.4969
2020-06-30,39.61700,14.08400,25.53300,2.69700,,17.77700,7.75600,-7.13300,0.62300,0.62300,,0.62300,-1.41100,23.11500,7.75600,47.54200,47.54200,-0.03000,-0.03000,0.61530,1.59940,19.57750,19.57750,1.57260,-3.56160,0.03270,0.18960,0.16230,0.05140,0.05440,9.89990,0.4619,0.2011
2020-03-31,40.12200,14.69400,25.42800,2.78300,,17.73600,7.69200,-6.68600,1.00600,1.00600,,1.00600,-1.03100,22.98300,7.69200,54.45800,54.45800,-0.02000,-0.02000,0.57280,1.34110,19.17150,19.17150,2.50740,-2.56970,0.03090,0.24270,0.21660,0.07750,0.08160,9.90070,0.19720,0.13960
2019-12-31,39.06000,14.56200,24.49800,2.63000,,17.73300,6.76500,-3.77700,2.98800,2.98800,,2.98800,0.98700,22.24000,6.76500,43.99700,43.99700,0.03000,0.03000,0.52510,1.10580,17.31950,17.31950,7.64970,2.52690,0.03180,0.68350,0.62040,0.24320,0.25840,10.05900,0.2502,0.4686
2019-09-30,38.94600,14.38400,24.56200,2.77500,,17.81000,6.75200,-7.69900,-0.94700,-0.94700,,-0.94700,-2.96600,22.13300,6.75200,42.59100,42.59100,-0.07000,-0.07000,0.58190,1.39200,17.33680,17.33680,-2.43160,-7.61570,0.03270,-0.26590,-0.23990,-0.07960,-0.08460,9.82560,0.4047,0.2694
2019-06-30,41.17100,14.52600,26.64500,3.36200,,17.96600,8.67900,-7.35800,1.32100,1.32100,,1.32100,-0.69900,23.55300,8.67900,39.64000,39.64000,-0.02000,-0.02000,0.65320,1.88340,21.08040,21.08040,3.20860,-1.69780,0.03580,0.49890,0.43340,0.11490,0.12160,9.50380,0.3988,0.6232
2019-03-31,37.12000,13.84400,23.27600,2.29900,,16.71600,6.56000,-7.48000,-0.92000,-0.92000,,-0.92000,-2.94400,21.28700,6.56000,39.56500,39.56500,-0.07000,-0.07000,0.64270,1.79870,17.67240,17.67240,-2.47850,-7.93100,0.03240,-0.33530,-0.29510,-0.08040,-0.08510,9.74840,0.07140,0.45390
2018-12-31,34.16700,13.24600,20.92100,2.34300,,21.14900,-0.22800,-6.45600,-6.68400,-6.68400,,-6.68400,-8.65600,15.36500,-0.22800,37.32100,37.67000,-0.28000,-0.27000,0.61830,1.62000,-0.66730,-0.66730,-19.56280,-25.33440,0.03100,-2.33400,-2.07010,-0.60740,-0.64040,10.07430,0.3177,0.102
2018-09-30,33.54700,13.25300,20.29400,1.85000,,15.22900,5.06500,-6.22600,-1.16100,-1.16100,,-1.16100,-3.15100,18.75200,5.06500,37.49400,37.49400,-0.08000,-0.08000,0.56770,1.31330,15.09820,15.09820,-3.46080,-9.39280,0.03310,-0.38220,-0.33950,-0.11450,-0.12070,10.51360,0.4878,0.235
2018-06-30,30.23600,11.74800,18.48800,1.96600,,13.73700,4.75100,-5.43500,-0.68400,-0.68400,,-0.68400,-2.65300,16.93700,4.75100,36.13200,36.13200,-0.07000,-0.07000,0.55400,1.24200,15.71310,15.71310,-2.26220,-8.77430,0.03330,-0.24950,-0.21310,-0.07540,-0.07900,10.68690,0.2649,0.1063
2018-03-31,31.53400,11.62500,19.90900,1.97800,,13.87100,6.03800,41.16000,47.19800,47.19800,,47.19800,45.20800,18.36300,6.03800,36.07300,36.43200,1.25000,1.24000,0.51520,1.06260,19.14760,19.14760,149.67340,143.36270,0.03670,16.56420,13.98710,5.48790,5.76480,10.98580,0.04950,2.30270
2017-12-31,31.18100,11.90700,19.27400,1.55600,,14.05500,5.21900,-6.20600,-0.98700,-0.98700,,-0.98700,-2.92000,17.93200,5.21900,30.19800,30.19800,-0.09000,-0.09000,0.57630,1.36040,16.73770,16.73770,-3.16540,-9.36470,0.03480,-0.39830,-0.33490,-0.11010,-0.11620,9.99200,0.3685,0.3499
2017-09-30,24.75000,10.69300,14.05700,1.44600,,10.89500,3.16200,-4.88500,-1.72300,-1.72300,,-1.72300,-3.63000,12.93400,3.16200,30.26200,30.26200,-0.12000,-0.12000,0.63780,1.76120,12.77580,12.77580,-6.96160,-14.66670,0.02820,-0.90620,-0.73710,-0.19610,-0.20650,9.98360,0.4514,0.3869
2017-06-30,25.15700,10.67400,14.48300,1.59700,,10.74500,3.73800,9.42900,13.16700,13.16700,,13.16700,8.20800,13.14400,3.73800,30.25700,30.56300,0.27000,0.27000,0.56780,1.31380,14.85870,14.85870,52.33930,32.62710,0.03320,6.55370,5.00440,1.73860,1.81860,10.34170,0.2902,0.7749
2017-03-31,25.39900,9.61200,15.78700,2.19300,,12.69100,3.09600,-4.39500,-1.29900,-1.29900,,-1.29900,-3.31300,13.91400,3.09600,29.51100,29.51100,-0.11000,-0.11000,0.56180,1.28180,12.18950,12.18950,-5.11440,-13.04380,0.03400,-0.64740,-0.50360,-0.17370,-0.18210,10.33330,0.10030,0.03950
2016-12-31,21.30400,8.88000,12.42400,1.89200,-0.00100,11.23700,1.18700,-4.39000,-3.20300,-3.20300,,-3.20300,-5.08800,10.97700,1.18700,20.46000,20.46000,-0.05000,0.03000,0.59100,1.44520,5.57180,5.57170,-15.03470,-23.88280,0.03220,-2.22340,-1.60270,-0.48420,-0.51160,10.50200,0.4004,0.6022
2016-09-30,18.79100,7.63700,11.15400,1.75200,,9.51500,1.63900,-3.52100,-1.88200,-1.88200,,-1.88200,-1.94400,9.62100,1.63900,23.88400,23.88400,-0.08000,-0.08000,0.65910,1.93340,8.72230,8.72230,-10.01540,-10.34540,0.03860,-1.20180,-1.59510,-0.38610,-0.40970,6.42260,0.4688,0.4422
2016-06-30,16.09200,6.32300,9.76900,1.54400,,8.06400,1.70500,12.54500,14.25000,14.25000,,14.25000,11.52700,8.53400,1.70500,20.72900,24.23500,0.56000,0.48000,0.64050,1.78170,10.59530,10.59530,88.55330,71.63190,0.03380,8.75980,11.47180,2.99320,3.14910,7.67010,-0.2729,1.5941
2016-03-31,16.27400,6.26600,10.00800,1.24100,-7.04400,14.83600,-4.82800,-3.96100,-8.78900,-8.78900,,-8.78900,-7.11900,2.00500,-4.82800,12.76400,12.76400,-0.56000,-0.56000,0.83760,5.15880,-29.66700,-29.66700,-54.00640,-43.74460,0.03710,-13.13770,-30.28700,-2.00180,-2.13320,5.15320,0.33950,-0.00200
2015-12-31,17.54400,7.04300,10.50100,1.01100,-0.31800,8.16500,2.33600,-4.13400,-1.79800,-1.79800,,-1.79800,-1.55100,9.35600,2.33600,12.40900,12.40900,-0.12000,-0.12000,0.82240,4.62940,13.31510,13.31510,-10.24850,-8.84060,0.03990,-2.43900,-5.49340,-0.40840,-0.43330,5.88910,0.1415,-0.0166
2015-09-30,14.61500,7.64500,6.97000,0.89800,-0.17400,6.96000,0.01000,-2.99400,-2.98400,-2.98400,,-2.98400,-2.49900,6.17500,0.01000,12.47300,12.47300,-0.20000,-0.20000,0.81410,4.37800,0.06840,0.06840,-20.41740,-17.09890,0.03240,-3.78730,-8.63800,-0.66120,-0.70420,6.29410,0.5481,0.4078
2015-06-30,11.63400,5.33600,6.29800,1.00200,,5.49600,0.80200,-2.88800,-2.08600,-2.08600,,-2.08600,-1.79800,5.63300,0.80200,12.36500,12.36500,-0.15000,-0.15000,0.74650,2.94410,6.89360,6.89360,-17.93020,-15.45470,0.03350,-2.54730,-4.31820,-0.60100,-0.64590,6.59500,0.2342,0.1317
2015-03-31,11.25900,4.65700,6.60200,0.81700,,5.22300,1.37900,-2.17800,-0.79900,-0.79900,,-0.79900,-0.74300,6.08200,1.37900,12.27900,12.27900,-0.06000,-0.06000,0.68510,2.17570,12.24800,12.24800,-7.09650,-6.59920,0.03800,-0.91650,-1.36560,-0.26940,-0.28860,7.09980,0.21750,0.17800
2014-12-31,10.52200,4.94600,5.57600,0.96700,,5.06200,0.51400,-2.18700,-1.67300,-1.67300,,-1.67300,-3.51300,4.93600,0.51400,8.47600,8.47600,-0.13000,-0.13000,0.67550,2.08190,4.88500,4.88500,-15.90000,-33.38720,0.03490,-1.83370,-2.70520,-0.55490,-0.59500,7.43020,0.1887,0.0087
2014-09-30,9.99900,4.55600,5.44300,0.78900,,4.84700,0.59600,-2.97000,-2.37400,-2.37400,,-2.37400,-1.76700,4.09700,0.59600,8.19300,8.19300,-0.22000,-0.22000,0.77370,3.41910,5.96060,5.96060,-23.74240,-17.67180,0.03970,-4.51930,-9.29720,-0.94140,-1.02270,6.41160,0.3721,0.3059
2014-06-30,8.39300,3.71300,4.68000,0.64900,,4.06500,0.61500,-3.68200,-3.06700,-3.06700,,-3.06700,-1.94400,5.12900,0.61500,8.05800,8.05800,-0.24000,-0.24000,0.73010,2.70560,7.32750,7.32750,-36.54240,-23.16220,0.03660,-5.35340,-9.58170,-1.33780,-1.44470,6.99260,0.3579,0.1138
2014-03-31,7.98200,3.93200,4.05000,,,3.16000,0.89000,1.31400,2.20400,2.20400,,2.20400,2.21400,5.16600,0.89000,,,,0.00000,0.83280,4.97980,11.15010,11.15010,27.61210,27.73740,0.04000,6.88600,27.89360,1.10340,1.15150,4.86280,0.00000,
2013-12-31,5.87200,7.14240,-1.27040,,0.00000,-1.92640,0.65600,-3.65300,-2.98600,-2.98600,0.16300,-2.83500,-0.11000,3.01460,0.65600,,,,0.00000,0.79870,3.96690,11.17170,11.17170,-50.85150,-1.87330,0.04110,-10.23170,-20.31380,-1.98270,-2.06000,,0,0
2013-09-30,6.83240,2.56610,4.26630,,,2.53010,1.73620,-1.66270,0.07350,0.07350,,0.15820,0.17960,4.85720,1.73620,,,,0.00000,,,25.41110,25.41110,1.07530,2.62890,,,,,,,0,0
2013-06-30,4.40890,3.21310,1.19580,,,1.59140,-0.39560,-1.09810,-1.49370,-1.49370,,-1.42240,0.00000,1.39960,-0.39560,,,,0.00000,,,-8.97260,-8.97260,-33.87910,,,,,,,,0,0
2013-03-31,3.38430,1.49260,1.89170,,,1.12390,0.76770,-0.94380,-0.17600,-0.17600,,-0.07670,-0.06300,2.10790,0.76770,,,,0.00000,,,22.68520,22.68520,-5.20190,-1.86130,,,,,,,0.00000,
2012-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
