Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,114.30500,33.59100,80.71400,19.45100,57.27900,76.73000,3.98400,7.46900,11.45300,2.97800,8.47500,8.47500,8.47500,3.98400,3.98400,257.18200,262.86200,0.03000,0.03000,3.00560,70.61280,3.48540,3.48540,10.01970,7.41440,0.16340,11.37140,1.81100,1.82820,1.21180,1.81100,1.81370,0.00000,
2021-12-31,214.76810,65.83900,148.92910,22.62900,89.89900,150.51700,-1.58790,36.64500,35.05700,-0.00800,35.06500,35.06300,35.06300,-1.58790,-1.58790,256.05800,256.05800,0.13000,0.13000,2.23650,69.34410,-0.73940,-0.73940,16.32320,16.32600,0.27240,26.90600,7.75590,7.83360,4.44690,7.75590,1.75990,-2.5652,-2.7266
2021-09-30,173.02700,110.99300,62.03400,52.19100,153.82900,206.02000,-143.98600,-18.20600,-162.19200,-0.07000,-162.12200,-162.12200,-162.12200,-143.98600,-143.98600,256.44600,256.44600,-0.63000,-0.63000,1.81560,35.85220,-83.21590,-83.21590,-93.73800,-93.69750,0.21330,29.44110,-40.68060,-41.13520,-19.98260,-40.68060,1.55210,0,0
2021-06-30,345.73200,112.17600,233.55600,66.05700,291.64900,357.70600,-124.15000,-10.24700,-134.39700,8.00100,-142.39800,-142.30300,-142.30300,-124.15000,-124.15000,255.82300,255.82300,-0.55000,-0.55000,1.53650,67.55410,-35.90930,-35.90930,-38.87320,-41.15990,0.27770,11.54790,-25.57150,-25.77650,-11.42870,-25.57150,2.17150,0,0
2021-03-31,296.15400,87.22800,208.92600,55.72700,382.54000,438.26700,-229.34100,10.34600,-218.99500,-1.49700,-217.49800,-217.63800,-217.63800,-229.34100,-229.34100,255.49500,255.49500,-0.85000,-0.85000,1.80290,70.54640,-77.43980,-77.43980,-73.94630,-73.48810,0.22480,11.12890,-32.60870,-32.82470,-16.52180,-32.60870,2.61130,0.00000,
2020-12-31,385.54300,105.09400,280.44900,46.25500,347.56200,393.81700,-113.36800,13.75900,-99.60900,0.31400,-99.92300,-99.66500,-99.66500,-113.36800,-113.36800,239.58870,239.58870,-0.42000,-0.41000,2.01490,72.74130,-29.40480,-29.40480,-25.83600,-25.85060,0.23540,14.26360,-11.34960,-11.52220,-6.08580,-11.34960,3.44850,0.3859,0.2042
2020-09-30,289.53200,73.97700,215.55500,32.46700,328.91700,361.38400,-145.82900,10.05900,-135.77000,1.53700,-137.30700,-137.34500,-137.34500,-145.82900,-145.82900,238.28300,238.28300,-0.57000,-0.57000,0.73240,74.44950,-50.36710,-50.36710,-46.89290,-47.43690,0.46800,10.05400,-143.87400,-150.65700,-22.20020,-143.87400,0.40060,0,0
2020-06-30,233.58700,51.04800,182.53900,19.79800,185.49600,205.29400,-22.75500,15.83600,-6.91900,-9.69800,2.77900,2.63700,2.63700,-22.75500,-22.75500,238.70300,251.57700,0.01000,0.01000,1.07990,78.14600,-9.74160,-9.74160,-2.96210,1.12890,0.33750,5.22180,1.20060,1.22380,0.38100,1.20060,0.92160,0,0
2020-03-31,183.25300,40.00300,143.25000,14.03900,116.22900,130.26800,12.98200,10.52600,23.50800,2.54100,20.96700,20.89900,20.89900,12.98200,12.98200,238.55100,251.64800,0.09000,0.08000,1.06770,78.17060,7.08420,7.08420,12.82820,11.40450,0.30990,,8.57110,8.72050,3.53390,8.57110,1.02180,0.00000,
2019-12-31,134.23000,28.09200,106.13800,11.96000,70.40500,82.36500,23.77300,2.03900,25.81200,1.04600,24.76600,24.85800,23.01300,23.77300,23.77300,198.50200,209.11200,0.09330,0.10030,1.10480,79.07170,17.71070,17.71070,19.22970,17.14450,0.27530,,11.11220,11.11530,5.09810,11.11220,0.93780,0.8827,0.8408
2019-09-30,77.92600,21.92200,56.00400,7.99300,49.52500,57.51800,-1.51400,0.93000,-0.58400,-0.76500,0.18100,0.26500,0.26500,-1.51400,-1.51400,235.63500,250.05500,0.01000,0.01000,1.22510,71.86820,-1.94290,-1.94290,-0.74940,0.34010,0.21220,,0.12940,0.12940,0.07220,0.12940,0.86890,0,0
2019-06-30,51.51900,14.74000,36.77900,5.99100,28.42500,34.41600,2.36300,0.59400,2.95700,0.66100,2.29600,2.38400,1.11400,2.36300,2.36300,181.05300,194.42550,0.00670,0.00670,2.84380,71.38920,4.58670,4.58670,5.73960,2.16230,0.16220,,1.21190,1.21240,0.75050,1.21190,1.88360,-0.0605,-0.0594
2019-03-31,40.10500,12.22500,27.88000,4.53600,16.97800,21.51400,6.36600,0.24500,6.61100,1.49300,5.11800,5.04800,2.63700,6.60100,6.36600,146.91750,159.02100,0.02000,0.01300,0.86430,69.51750,15.87330,15.87330,16.48420,6.57520,0.56760,,-7.29910,-7.29090,7.14480,-7.29910,-0.42760,0.06050,0.05940
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
