Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,0.00220,0.00130,0.00090,0.00130,0.99630,,0.99760,-0.99670,-0.37830,-1.37500,,-1.37500,-1.37500,,-1.44400,-0.59380,-0.99670,35.12810,35.12810,-0.04000,-0.04000,34.92770,0.00500,0.00820,39.84660,-44977.12000,-44977.12000,-62050.13000,-65163.85000,0.00080,0.00860,-59.67230,-59.67230,-49.17860,-59.37230,0.02770,-0.0047,-0.0047
2020-03-31,0.00030,0.00010,0.00020,0.03500,0.12550,0.00100,0.15960,-0.15940,-0.07950,-0.23890,,-0.23890,-0.23890,,-0.23890,-0.07690,-0.15940,23.60420,23.60420,-0.01000,-0.01000,1.52050,,-0.60880,,,,,,0.00070,0.00050,91.25500,91.25490,-59.15480,91.25490,-0.01110,-0.00500,-0.00500
2019-12-31,0.04030,0.02730,0.01300,,0.24550,-0.02740,0.33650,-0.32350,-0.05860,-0.38210,,-0.38210,-0.38210,,-0.38210,-0.32350,-0.32350,23.46850,23.46850,-0.01000,-0.01000,4.23040,,-2.70290,32.24730,-802.60300,-802.60300,-948.06340,-948.06340,0.08160,0.17460,1669.06800,1669.05000,-77.36820,1669.05000,-0.00100,-0.0124,-0.0124
2019-09-30,0.00030,0.00010,0.00020,,0.24870,0.00600,0.24270,-0.24250,-0.02300,-0.26550,,-0.26550,-0.26550,,-0.26550,-0.24250,-0.24250,23.46760,23.46760,-0.01000,-0.01000,1.78850,,-0.24680,,,,,,0.00070,0.00080,262.07100,203.05870,-68.68320,262.07140,-0.00430,-0.0085,-0.0085
2019-06-30,,,,,0.19140,0.00150,,-0.18990,-0.05230,-0.24220,,-0.24220,-0.24220,,-0.24220,-0.18990,-0.18990,23.44280,23.44280,-0.01000,-0.01000,9.39180,,0.04930,,,,,,,,-235.28230,-329.51640,-45.22770,-235.28200,0.00440,-0.0065,-0.0065
2019-03-31,,,,,0.17860,0.00400,,-0.17460,0.05100,-0.12350,,-0.12350,-0.12350,,-0.12350,-0.17460,-0.17460,23.41780,23.41780,-0.01000,-0.01000,8.96130,,0.04280,,,,,,,,-42.20570,-46.92610,-16.45100,-42.20570,0.01250,-0.00640,-0.00640
2018-12-31,,,,0.00000,0.30190,-0.13940,,-0.30190,-0.17040,-0.47240,0.00000,-0.47240,-0.47240,0.00000,-0.47240,-0.30190,-0.30190,49.10140,49.10140,-0.01000,-0.01000,13.04800,,0.05480,,,,,,,,-115.94290,-124.97290,-55.22450,-115.94290,0.01740,-0.003,-0.003
2018-09-30,,,,,0.08120,,,-0.08120,-0.11700,-0.19820,,-0.19820,-0.19820,,-0.19820,-0.08120,-0.08120,50.10420,50.10420,0.00000,0.00000,,,,,,,,,,,,,,,,-0.001,-0.001
2018-06-30,,,,,0.07610,,,-0.07610,-0.23980,-0.31590,,-0.31590,-0.31590,,-0.31590,-0.07610,-0.07610,50.08240,50.08240,-0.01000,-0.01000,,,,,,,,,,,,,,,,0.0059,0.0059
2018-03-31,,,,,0.13990,0.00500,,-0.13490,0.15240,0.01750,,0.01750,0.01750,,0.01750,-0.13490,-0.13490,50.08240,52.08240,0.00000,0.00000,,,,,,,,,,,,,,,,0.00370,0.00370
2017-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
