Date,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1370.10000,1428.00000,-57.90000,0.00000,-57.90000,-57.80000,-115.70000,-29.40000,-86.30000,-86.30000,,-86.30000,-38.30000,-57.90000,63.74400,63.74400,-1.36000,-1.36000,0.28980,0.40810,-4.22600,-4.22600,-8.44460,-6.29880,0.09370,-2.54230,-4.14410,-0.59050,-1.80560,53.20530,-0.28550,-0.28550
2021-12-31,1403.40000,1514.60000,-111.20020,0.00000,-111.20020,-40.20000,-151.40000,-42.40000,-109.00000,-109.00000,,-109.00000,-90.60020,-111.20040,63.82600,63.82600,-1.65000,-1.62000,0.21870,0.27990,-7.92360,-7.92360,-10.78810,-7.76690,0.09410,-2.71980,-4.04350,-0.73070,-2.12490,62.93010,0.6602,0.6602
2021-09-30,1455.40000,1522.50000,-67.10000,0.00000,-67.10000,-62.70000,-129.80000,-54.50000,-75.30000,-75.30000,,-75.30000,22.80000,-67.10000,63.62800,63.62800,-1.18000,-1.18000,0.21280,0.27030,-4.61040,-4.61040,-8.91850,-5.17380,0.09720,-1.81390,-2.65220,-0.50280,-1.42790,65.21710,1.1421,6.0584
2021-06-30,1507.70000,1538.10000,-30.40000,0.00000,-30.40000,-59.30000,-89.70000,-27.10000,-62.60000,-62.60000,,-62.60000,-55.40000,-30.40000,64.37700,64.37700,-0.97000,-0.97000,0.20670,0.26060,-2.01630,-2.01630,-5.94950,-4.15200,0.10080,-1.45370,-2.09060,-0.41870,-1.15320,67.66920,1.5797,-3.3366
2021-03-31,1352.00000,1173.20000,178.80000,0.00000,178.80000,-57.20000,121.60000,-1.60000,123.20000,123.20000,,123.20000,193.10010,178.80000,65.42500,66.55300,1.88000,1.85000,0.20550,0.25870,13.22490,13.22490,8.99410,9.11240,0.09520,2.83930,3.82000,0.86740,2.25570,66.73900,2.11260,2.11260
2020-12-31,1392.10000,1142.70000,249.40000,0.00000,249.39990,-128.80000,120.60000,23.10000,97.50000,97.50000,,97.50000,263.69990,249.40020,65.63600,66.73000,1.48000,1.45000,0.20450,0.25700,17.91540,17.91540,8.66320,7.00380,0.09710,2.13660,2.82660,0.67980,1.69970,69.73840,2.9423,2.9423
2020-09-30,1353.70000,1154.40000,199.29990,0.00000,199.29990,-47.20000,152.10000,29.80000,122.30000,122.30000,,122.30000,213.69990,199.29990,65.36300,66.63400,1.87000,1.83000,0.21250,0.26980,14.72260,14.72260,11.23590,9.03450,0.09610,2.81310,3.78230,0.86800,2.21540,66.46940,-0.2244,-0.2244
2020-06-30,1230.90000,1020.20000,210.70000,0.00000,210.70000,-51.00000,159.70000,33.60000,126.10000,126.10000,,126.10000,224.30000,210.70000,65.25800,66.02100,1.93000,1.91000,0.15660,0.18570,17.11760,17.11760,12.97430,10.24450,0.09120,3.01110,4.10230,0.93480,2.53950,64.15090,3.0655,3.0655
2020-03-31,1229.00000,1106.80000,122.20000,0.00000,122.20000,-44.50000,77.70000,13.70000,64.00000,64.00000,,64.00000,134.89990,122.20000,66.51600,66.97400,0.96000,0.95000,0.17140,0.20690,9.94300,9.94300,6.32220,5.20750,0.09500,1.70180,2.41800,0.49490,1.41000,57.53540,0.93020,0.93020
2019-12-31,1283.70000,1080.30000,203.39980,0.00000,203.39990,-46.50000,156.90000,32.20000,124.70000,124.70000,,124.70000,152.99990,203.40010,65.88100,66.54800,1.89000,1.86000,0.16380,0.19600,15.84480,15.84480,12.22250,9.71410,0.09880,3.13920,4.36270,0.96000,2.62490,59.58510,2.5756,3.3939
2019-09-30,1243.80000,1038.60000,205.20010,0.00000,205.20010,-43.70000,161.50000,32.50000,129.00000,129.00000,,129.00000,264.90010,205.20010,66.62200,67.20800,1.93000,1.91000,0.19050,0.23530,16.49780,16.49780,12.98440,10.37140,0.09700,3.31260,4.64000,1.00620,2.68160,58.43460,1.8802,1.5257
2019-06-30,1275.40000,1088.90000,186.50000,0.00000,186.50000,-38.00000,148.50000,26.40000,122.10000,122.10000,,122.10000,188.60000,186.50000,65.40800,66.19000,1.87000,1.84000,0.21820,0.27910,14.62290,14.62290,11.64340,9.57350,0.10110,3.31460,4.75150,0.96780,2.59130,55.34070,2.2164,1.7587
2019-03-31,1236.30000,1000.20000,236.10000,0.00000,236.10000,-41.40000,194.70000,39.40000,155.30000,155.30000,,155.30000,220.30000,236.10000,64.81500,65.60600,2.35000,2.35000,0.24820,0.33020,19.09730,19.09730,15.74860,12.56170,0.10150,4.67760,7.03160,1.27480,3.51650,51.13270,1.35660,1.35050
2018-12-31,1094.70000,1046.00000,48.70020,0.00000,48.70010,-42.60000,6.10000,1.10000,5.00000,5.00000,1.50000,6.50000,72.90010,48.70010,58.14900,58.75200,0.07000,0.07000,0.22960,0.29800,4.44870,4.44870,0.55720,0.59380,0.09480,0.16390,0.25800,0.04330,0.12630,47.10070,3.8937,3.909
2018-09-30,1195.50000,1053.30000,142.20000,0.00000,142.20000,-61.70000,80.50000,-11.80000,92.30000,92.30000,-0.10000,92.20000,195.90000,142.20000,64.58000,65.35000,1.42000,1.40000,0.26830,0.36680,11.89460,11.89460,6.73360,7.71230,0.10150,3.01260,4.67910,0.78400,2.20420,47.32620,1.6085,1.5932
2018-06-30,741.90000,670.70000,71.20000,0.00000,71.20000,-25.70000,45.50000,8.00000,37.50000,37.50000,0.10000,37.60000,65.70000,71.20000,51.55000,52.07600,0.73000,0.73000,0.31750,0.46530,9.59700,9.59700,6.13290,5.06810,0.08390,1.83310,2.17680,0.42420,1.25100,39.67690,2.2487,2.2622
2018-03-31,693.00000,597.00000,96.00000,0.00000,96.00000,-29.00000,67.00000,13.40000,53.60000,53.60000,0.20000,53.80000,90.90000,96.00000,51.50300,51.86800,1.03000,1.02000,0.22300,0.28700,13.85280,13.85280,9.66810,7.76330,0.08280,2.59720,3.07900,0.64030,2.01800,40.04810,1.42670,1.41320
2017-12-31,697.29980,631.60000,65.69980,-0.00010,65.70000,-21.50000,44.20000,8.30000,35.90000,35.90000,1.00000,36.90000,70.40000,65.70000,51.34560,51.57790,0.72000,0.71000,0.21870,0.28000,9.42210,9.42210,6.33870,5.29180,0.08320,1.69690,2.00270,0.42860,1.32580,41.11000,1.4747,1.4456
2017-09-30,690.30000,603.80000,86.50000,0.00000,86.50000,-18.20000,68.30000,20.50000,47.80000,47.80000,-0.10000,47.70000,82.40000,86.50000,51.36700,51.56600,0.92000,0.92000,0.22140,0.28440,12.53080,12.53080,9.89430,6.91000,0.08320,2.29540,2.71680,0.57580,1.78720,40.47580,1.1672,1.1672
2017-06-30,684.40000,610.90000,73.50000,0.00000,73.50000,-21.40000,52.10000,15.50000,36.60000,36.60000,,36.60000,73.20000,73.50000,51.28600,51.41100,0.71000,0.71000,0.22550,0.29120,10.73930,10.73930,7.61250,5.34780,0.08330,1.79990,2.13990,0.44570,1.39400,39.64210,1.0809,1.0809
2017-03-31,651.40000,635.40000,16.00000,0.00000,16.00000,-19.50000,-3.50000,-3.10000,-0.40000,-0.40000,0.10000,-0.30000,17.30000,16.00000,51.27300,51.27300,-0.01000,-0.01000,0.27480,0.37900,2.45620,2.45620,-0.53730,-0.04610,0.07840,-0.02020,-0.02410,-0.00480,-0.01460,38.67040,0.94200,0.94200
2016-12-31,642.70000,576.80010,65.89990,-0.00010,65.90000,-25.30000,40.60000,11.50000,29.10000,29.10000,2.10000,31.20000,71.10000,65.89980,51.15600,51.21500,0.61000,0.61000,0.27560,0.38050,10.25360,10.25360,6.31710,4.85450,0.07830,1.47330,1.76130,0.35440,1.06720,38.52470,1.3608,1.3608
2016-09-30,640.70000,651.90000,-11.20000,0.00000,-11.20000,-22.00000,-33.20000,-14.90000,-18.30000,-18.30000,2.00000,-16.30000,-9.60000,-11.20000,51.12300,51.12300,-0.32000,-0.32000,0.26600,0.36230,-1.74810,-1.74810,-5.18180,-2.54410,0.07640,-0.88250,-1.04540,-0.21810,-0.64780,40.51190,1.0483,1.0483
2016-06-30,627.20000,603.90000,23.30000,0.00000,23.30000,-20.70000,2.60000,-1.50000,4.10000,4.10000,-0.10000,4.00000,29.60000,23.30000,51.10800,51.11900,0.08000,0.08000,0.26300,0.35680,3.71490,3.71490,0.41450,0.63780,0.07550,0.19480,0.23010,0.04940,0.14350,41.17110,0.7788,0.7788
2016-03-31,611.30000,595.50000,15.80000,0.00000,15.80000,-22.30000,-6.50000,-4.30000,-2.20000,-2.20000,0.10000,-2.10000,22.80000,15.80000,51.19200,51.19200,-0.04000,-0.04000,0.26890,0.36790,2.58470,2.58470,-1.06330,-0.34350,0.07480,-0.10780,-0.12800,-0.02690,-0.07880,39.91750,1.50800,1.50800
2015-12-31,616.99990,593.00000,23.99990,-0.00010,24.00010,-25.60000,-1.60000,-2.90000,1.30000,1.30000,3.30000,4.60000,43.90010,24.00010,51.60700,51.68400,0.09000,0.09000,0.27360,0.37670,3.88980,3.88980,-0.25930,0.74550,0.07680,0.06520,0.07790,0.01620,0.04740,38.81780,0.9164,0.8816
2015-09-30,615.40000,539.90000,75.50000,0.00000,75.50000,-25.70000,49.80000,11.80000,38.00000,38.00000,-0.10000,37.90000,83.70000,75.50000,51.61200,51.67200,0.73000,0.73000,0.27040,0.37060,12.26840,12.26840,8.09230,6.15860,0.07620,1.87690,2.23320,0.47060,1.36940,39.45200,1.6858,1.6858
2015-06-30,609.20000,537.20000,72.00000,0.00000,72.00000,-37.70000,34.30000,6.90000,27.40000,27.40000,2.30000,29.70000,70.60000,72.00000,51.72800,51.80600,0.57000,0.57000,0.27160,0.37280,11.81880,11.81880,5.63030,4.87520,0.07560,1.36160,1.61770,0.34020,0.99190,38.84520,0.9997,0.9997
2015-03-31,499.20000,442.60000,56.60000,0.00000,56.60000,-38.80000,17.80000,4.30000,13.50000,13.50000,,13.50000,61.80000,56.60000,51.87300,51.96900,0.26000,0.26000,0.26220,0.35550,11.33810,11.33810,3.56570,2.70430,0.06330,0.63980,0.75080,0.17120,0.47200,40.71120,0.55800,0.55800
2014-12-31,559.70010,442.20000,117.50010,0.00000,117.50010,-24.40000,93.10000,29.80000,63.30000,63.30000,2.10000,65.40000,129.80010,117.50020,53.76300,53.86800,1.23000,1.23000,0.26460,0.35970,20.99340,20.99340,16.63390,11.68480,0.07150,3.02770,3.55840,0.80810,2.22670,39.88520,0.594,0.5551
2014-09-30,539.80000,459.10000,80.70000,0.00000,80.70000,-76.70000,4.00000,-0.80000,4.80000,4.80000,-0.10000,4.70000,88.70000,80.70000,52.60500,52.70000,0.09000,0.09000,0.26320,0.35730,14.95000,14.95000,0.74100,0.87070,0.06830,0.22810,0.26780,0.06070,0.16800,39.95940,0.5606,0.5606
2014-06-30,542.50000,508.80000,33.70000,0.00000,33.70000,-22.50000,11.20000,1.90000,9.30000,9.30000,,9.30000,41.70000,33.70000,54.66700,54.77300,0.17000,0.17000,0.26010,0.35150,6.21200,6.21200,2.06450,1.71430,0.06810,0.43490,0.50910,0.11670,0.32180,39.97610,0.6563,0.6563
2014-03-31,554.60000,480.00000,74.60000,0.00000,74.60000,-22.70000,51.90000,16.70000,35.20000,35.20000,-0.10000,35.10000,84.50000,74.60000,55.31300,55.44300,0.63000,0.63000,0.25950,0.35040,13.45110,13.45110,9.35810,6.32890,0.06980,1.64130,1.92050,0.44310,1.21540,38.70740,0.66920,0.66920
2013-12-31,586.00000,478.40000,107.60000,-0.00010,107.60010,-26.20000,81.40000,26.60000,54.80000,54.80000,0.40000,55.20000,123.70010,107.60000,56.85700,56.98400,0.98000,0.98000,0.22830,0.29580,18.36180,18.36180,13.89080,9.41980,0.07650,2.67120,3.15000,0.71570,2.06140,36.86230,0.4985,0.4037
2013-09-30,635.70000,508.40000,127.30000,0.00000,127.30000,-25.30000,102.00000,33.40000,68.60000,68.60000,1.50000,70.10000,137.20000,127.30000,56.36600,56.50200,1.24000,1.23000,0.23190,0.30200,20.02520,20.02520,16.04530,11.02720,0.08210,3.41450,4.04170,0.88560,2.62250,35.86080,0.315,0.315
2013-06-30,588.90000,517.30000,71.60000,0.00000,71.60000,-25.20000,46.40000,13.90000,32.50000,32.50000,1.50000,34.00000,78.20000,71.60000,57.51900,57.62900,0.59000,0.59000,0.23380,0.30520,12.15830,12.15830,7.87910,5.77350,0.07530,1.62090,1.91940,0.41560,1.24190,35.13780,-0.0667,-0.0667
2013-03-31,615.90000,507.50000,108.40000,0.00000,108.40000,-23.80000,84.60000,26.00000,58.60000,58.60000,-0.20000,58.40000,118.20000,108.40000,58.13100,58.24100,1.00000,1.00000,0.21970,0.28150,17.60030,17.60030,13.73600,9.48210,0.07650,2.69750,3.14950,0.72740,2.10490,37.24840,1.39590,1.39590
2012-12-31,596.60000,582.49990,14.10020,0.00000,14.10020,-20.10000,-6.00000,-4.30000,-1.70000,-1.70000,3.60000,1.90000,27.60020,14.10020,58.85700,58.99900,0.03000,0.03000,0.22050,0.28280,2.36340,2.36340,-1.00570,0.31850,0.07450,-0.07860,-0.09190,-0.02120,-0.06130,36.98120,-0.5898,-0.683
2012-09-30,645.60000,541.40000,104.20000,0.00000,104.20000,-22.70000,81.50000,25.90000,55.60000,55.60000,0.00000,55.60000,111.89990,104.20000,58.30000,58.47200,0.95000,0.95000,0.21710,0.27730,16.14000,16.14000,12.62390,8.61210,0.07950,2.52210,2.93760,0.68470,1.97460,37.77870,0.7478,0.7478
2012-06-30,608.90000,591.50000,17.40000,0.00000,17.40000,-20.90000,-3.50000,-5.10000,1.60000,1.60000,0.70000,2.30000,19.80000,17.40000,59.19700,59.33400,0.04000,0.04000,0.22140,0.28440,2.85760,2.85760,-0.57480,0.37770,0.07600,0.07450,0.08710,0.02000,0.05800,36.41860,0.0289,0.0289
2012-03-31,611.20000,539.00000,72.20000,0.00000,72.20000,-21.80000,50.40000,14.10000,36.30000,36.30000,7.30000,43.60000,77.70000,72.20000,59.86600,59.99600,0.73000,0.72000,0.22270,0.28650,11.81280,11.81280,8.24610,7.13350,0.07670,1.70280,1.99450,0.45540,1.32360,35.69480,0.92670,0.92670
2011-12-31,613.30000,546.80000,66.50000,13.49970,53.00030,-21.90000,31.10000,6.10000,25.00000,25.00000,-0.70000,24.30000,62.50030,53.00020,60.26300,60.36700,0.41000,0.42000,0.22390,0.28850,8.64180,8.64180,5.07090,3.96220,0.07730,1.18110,1.38520,0.31510,0.91670,35.13090,-0.2464,-0.3525
2011-09-30,592.80000,576.40000,16.40000,0.00000,16.40000,-21.40000,-5.00000,-6.10000,1.10000,1.10000,0.90000,2.00000,24.70000,16.40000,60.14100,60.22900,0.03000,0.03000,0.23330,0.30420,2.76650,2.76650,-0.84350,0.33740,0.07230,0.04950,0.05760,0.01340,0.03800,36.72260,-0.5203,-0.5203
2011-06-30,647.70000,647.70000,,0.00000,,-20.90000,-20.90000,-11.50000,-9.40000,-9.40000,6.10000,-3.30000,5.50000,,60.11900,60.11900,-0.06000,-0.06000,0.22220,0.28560,,,-3.22680,-0.50950,0.07920,-0.44000,-0.51520,-0.11490,-0.34230,35.33250,-0.8517,-0.8517
2011-03-31,641.20000,558.40000,82.80000,0.00000,82.80000,-19.70000,63.10000,18.10000,45.00000,45.00000,6.50000,51.50000,90.00000,82.80000,60.67800,60.78200,0.85000,0.84000,0.22370,0.36980,12.91330,12.91330,9.84090,8.03180,0.07790,2.12620,2.49350,0.54680,1.65050,35.01070,1.20430,1.20430
2010-12-31,612.50000,552.59990,59.90020,0.00020,59.89990,-3.10000,56.80000,13.50000,43.30000,43.30000,12.90000,56.20000,81.19990,59.89980,61.68100,61.76700,0.91000,0.91000,0.22390,0.44060,9.77960,9.77960,9.27350,9.17550,0.07330,2.04880,2.40340,0.51800,1.59000,34.60790,-0.0311,-0.0584
2010-09-30,650.60000,572.80000,77.80000,14.80000,63.00000,-16.10000,46.90000,14.30000,32.60000,32.30000,3.40000,35.70000,83.30000,63.00000,61.45800,61.54300,0.58000,0.58000,0.20340,0.44130,9.68340,9.68340,7.20870,5.48720,0.07620,1.46800,1.71040,0.37820,1.16940,35.80640,0.1728,0.1644
2010-06-30,684.90000,603.70000,81.20000,0.00000,81.20000,-24.80000,56.40000,16.80000,39.60000,39.10000,-1.30000,37.80000,86.30000,81.20000,61.98500,62.08400,0.61000,0.61000,0.21360,0.51950,11.85580,11.85580,8.23480,5.51910,0.08050,1.89050,2.22610,0.45960,1.48670,33.39850,0.3957,0.3683
2010-03-31,694.50000,604.00000,90.50000,0.00000,90.50000,-24.30000,66.20000,19.20000,47.00000,47.70000,0.50000,48.20000,97.00000,90.50000,62.15500,62.23600,0.77000,0.77000,0.22120,0.58540,13.03100,13.03100,9.53200,6.94020,0.08160,2.41200,2.87250,0.56040,1.87850,31.65980,0.40970,0.40970
2009-12-31,615.80010,538.49990,77.30020,1.50000,75.80020,21.70000,97.50000,23.10000,74.40000,74.50000,-8.20000,66.30000,80.60020,75.80020,62.13300,62.15600,1.06000,1.06000,0.22650,0.64860,12.30920,12.30920,15.83310,10.76650,0.07180,3.88510,4.69790,0.86900,3.00520,30.75200,0.377,0.3239
2009-09-30,750.60000,641.30000,109.29990,0.00000,109.29990,-25.60000,83.70000,21.70000,62.00000,61.00000,1.10000,62.10000,123.89990,109.29990,62.14000,62.17100,1.00000,1.00000,0.22870,0.69710,14.56170,14.56170,11.15110,8.27340,0.08570,3.22210,3.90680,0.69650,2.48530,30.36070,0.8545,0.8337
2009-06-30,729.90000,643.10000,86.80010,0.00000,86.80010,-30.20000,56.60000,15.80000,40.80000,39.50000,2.40000,41.90000,87.40010,86.80010,62.11800,62.11800,0.67000,0.67000,0.24890,0.86830,11.89210,11.89210,7.75450,5.74050,0.08370,2.33230,2.90060,0.45270,1.75190,27.14450,0.9708,0.9015
2009-03-31,655.80000,637.80000,18.00000,0.00000,18.00000,-27.80000,-9.80000,-1.10000,-8.70000,-7.50000,1.90000,-5.60000,27.30000,18.00000,62.11800,62.11800,-0.09000,-0.09000,0.29850,1.09940,2.74470,2.74470,-1.49440,-0.85390,0.07380,-0.47930,-0.60970,-0.08440,-0.33620,25.05890,0.42820,0.42820
