Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,46.05800,46.05800,107.40300,,-61.34500,2.98400,-58.36100,-7.72200,-50.63900,-50.63900,-13.35600,-8.49300,-61.34500,-61.34500,6.07740,18.94490,-1.40000,-3.00000,2.00870,0.91090,19.78000,100.00000,-133.19080,-133.19080,-126.71200,-18.43980,0.00210,-4.90640,-11.43090,-0.22940,-0.43730,169.70780,17.08860,16.86810
2021-12-31,382.95400,382.95400,371.12620,,11.82780,-1374.31300,-1362.48500,-26.19700,-1336.28800,-1336.28800,,-395.44900,11.82780,11.82790,5.98500,19.05970,-46.10000,-14.90000,2.02250,0.90590,18.68350,100.00000,3.08860,3.08860,-355.78290,-103.26280,0.01760,-123.38650,-278.32970,-6.13290,-11.61450,178.25850,-7.4441,-7.725
2021-09-30,456.50000,456.50000,411.87800,,44.62200,9.92800,54.55000,4.44000,50.11000,50.11000,,21.38400,44.62200,44.62200,5.98610,19.11610,3.60000,2.20000,2.02920,0.80770,8.11050,100.00000,9.77480,9.77480,11.94960,4.68430,0.02010,2.06030,11.37050,0.22110,0.39620,412.67350,-3.2925,-3.4872
2021-06-30,389.11700,389.11700,400.75200,,-11.63500,-2.10300,-13.73800,1.08600,-14.82400,-14.82400,,2.26500,-11.63500,-11.63500,5.98820,19.12000,0.40000,-0.50000,2.05530,0.81040,8.13680,100.00000,-2.99010,-2.99010,-3.53060,0.58210,0.01750,-0.62300,-3.93490,-0.06670,-0.11810,397.33050,5.669,5.1934
2021-03-31,507.66300,507.66300,373.31400,,134.34900,-8.89200,125.45700,1.13700,124.32000,124.32000,,119.85900,134.34900,134.34900,,,,0.00000,0.05260,,,100.00000,26.46420,26.46420,24.71270,23.61000,1.72750,-320.84030,-320.84020,42.30360,-320.84030,-53.90690,0.00000,
2020-12-31,727.42800,727.42800,612.52390,,114.90410,-10.52550,104.37860,1.08800,103.29060,103.29060,,117.03960,114.90410,114.90400,,,,0.00000,2.12540,0.93970,29.25110,100.00000,15.79590,15.79590,14.34900,16.08950,0.03720,16.44650,21.08510,0.52790,0.99160,,0,0
2020-09-30,607.25800,607.25800,362.36900,,244.88900,-2.47000,242.41900,0.80800,241.61100,241.61100,,246.28800,244.88900,244.88900,,,,0.00000,1.29980,,,100.00000,40.32700,40.32700,39.92030,40.55740,2.06360,-994.58670,-994.58670,82.10330,-994.58670,-33.79610,0,0
2020-06-30,465.45900,465.45900,318.69700,,146.76200,-0.02800,146.73400,0.44800,146.28600,146.28600,,148.33500,146.76200,146.76200,,,,0.00000,26.33180,,,100.00000,31.53060,31.53060,31.52460,31.86850,1.58040,-658.50490,-658.50470,49.67040,-658.50490,-30.90550,0.0272,0.0272
2020-03-31,,,0.16710,,-0.16710,6.89250,6.72540,,6.72540,6.72540,,6.72540,-0.16710,-0.16710,3.59380,3.59380,1.90000,1.90000,7.56620,,,,,,,,,134.50720,134.50740,2.28150,134.50730,6.32990,-0.02720,-0.02720
2019-12-31,,,818.03200,,-818.03200,-1.00850,72.48450,,71.53550,71.53550,,49.31750,-818.03200,73.49300,,,,0.00000,17.31220,,,,,,,,,1430.70900,1430.71000,24.35610,1430.70900,6.25390,0.2788,0.2788
2019-09-30,,,0.11180,,-0.11180,0.61060,0.49890,,0.49890,0.49890,,0.49890,-0.11180,-0.11180,3.59380,3.59380,0.10000,0.10000,20.92820,,,,,,,,,9.97710,9.97710,0.17050,9.97710,6.16520,-0.0461,-0.0461
2019-06-30,,,0.12050,,-0.12050,4.72990,4.60940,,4.60940,4.60940,,4.60940,-0.12050,-0.12050,3.59380,3.59380,1.30000,1.30000,11.12470,,,,,,,,,92.18730,92.18620,1.58300,92.18730,6.05690,-0.23,-0.23
2019-03-31,,,0.01370,,-0.01370,,-0.01370,,-0.01370,-0.01370,,-0.01370,-0.01370,-0.01370,0.71880,0.71880,-0.02000,-0.02000,0.33520,,29.18170,,,,,,,-160.37120,-160.37160,-2.03370,-160.37120,0.01190,-0.00270,-0.00270
2018-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
