Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,76.52600,76.52600,39.47700,37.04900,37.04900,0.00200,37.04700,37.04700,36.19200,98.41300,111.67100,0.37000,0.34000,0.58680,1.42010,48.41360,47.29370,0.02280,2.70840,2.70840,1.10200,1.11910,13.74730,-0.40450,-0.40450
2021-12-31,91.51800,91.51800,38.17700,53.34100,53.34100,0.09700,53.24400,53.24400,52.25000,96.95300,110.21100,0.54000,0.49000,0.58690,1.42050,58.28470,57.09260,0.02780,3.96570,3.96570,1.61550,1.63840,13.71310,-0.9689,-0.9689
2021-09-30,60.74600,60.74600,37.84200,22.90400,22.90400,-0.00100,22.90500,22.90500,21.84700,96.90700,110.16500,0.23000,0.22000,0.58090,1.38590,37.70450,35.96450,0.01920,1.75520,1.75520,0.72300,0.73570,13.46610,0.8537,0.8537
2021-06-30,116.54900,116.54900,37.34900,79.20000,79.20000,0.02200,79.17800,79.17800,75.81200,96.82800,110.08600,0.78000,0.71000,0.58080,1.38560,67.95430,65.04730,0.03660,6.03910,6.03910,2.48980,2.53150,13.52930,-0.4872,-0.4872
2021-03-31,90.56900,90.56900,38.71400,51.85500,51.85500,,51.85500,51.85500,51.49000,96.82700,110.08500,0.53000,0.49000,0.58130,1.38810,57.25470,56.85170,0.02900,4.10640,4.10640,1.65760,1.71950,13.04180,0.40230,0.40230
2020-12-31,146.86400,146.86400,45.83100,101.03310,101.03310,0.28600,100.74700,100.74700,66.15900,96.82700,110.08500,0.68000,0.84000,0.59240,1.45330,68.79360,45.04780,0.04740,8.14520,8.14520,3.25250,3.32010,12.77420,0.2856,0.2856
2020-09-30,85.86700,85.86700,29.34400,56.52300,56.52300,-0.25700,56.78000,56.78000,88.19000,96.82700,110.08500,0.91000,0.82000,0.59900,1.49370,65.82620,102.70530,0.02830,4.74290,4.74290,1.87240,1.90190,12.36390,-0.1295,-0.1295
2020-06-30,115.11600,115.11600,38.39100,76.72500,76.72500,-0.00700,76.73200,76.73200,76.48100,96.82700,110.08500,0.79000,0.72000,0.60360,1.52280,66.65020,66.43820,0.03910,6.74940,6.74940,2.60680,2.67540,11.74120,2.7016,2.7016
2020-03-31,-129.64300,-129.64300,42.77900,-172.42200,-172.42200,,-172.42200,-172.42200,-172.35700,96.82700,110.08500,-1.78000,-1.78000,0.64320,1.80290,132.99750,132.94740,-0.04180,-15.82670,-15.82670,-5.55570,-5.64650,11.25140,-0.12290,-0.12290
2019-12-31,64.40100,64.40100,42.59100,21.81000,21.81000,0.36200,21.44800,21.44800,21.44800,85.20900,100.46400,0.20000,0.20000,0.60210,1.51330,33.86600,33.30380,0.01970,1.67110,1.67110,0.65670,0.66490,13.25530,-2.4275,-2.4275
2019-09-30,64.59300,64.59300,41.42400,23.16900,23.16900,-0.28100,23.45000,23.45000,23.45000,86.98800,100.24500,0.27000,0.26000,0.60760,1.54860,35.86920,36.30420,0.02060,2.00550,2.00550,0.74870,0.78690,13.35270,-2.9869,-2.9869
2019-06-30,62.26200,62.26200,38.52100,23.74100,23.74100,-0.00400,23.74500,23.74500,23.74500,80.52200,97.69300,0.29000,0.27000,0.59490,1.46870,38.13080,38.13720,0.02230,2.19670,2.19670,0.85070,0.88980,13.40920,-0.2848,-0.2848
2019-03-31,80.66100,80.66100,36.72400,43.93700,43.93700,0.01700,43.92000,43.92000,43.92000,78.45800,95.85800,0.56000,0.49000,0.58190,1.39200,54.47120,54.45010,0.03040,4.05440,4.05440,1.65730,1.69500,13.45370,-1.45270,-1.45270
2018-12-31,34.89000,34.89000,36.04600,-1.15600,-1.15600,0.22800,-1.38400,-1.38400,-1.38400,76.02200,88.62800,-0.01000,0.00000,0.57900,1.37550,-3.31320,-3.96680,0.01420,-0.13750,-0.13750,-0.05650,-0.05790,13.22190,-1.1428,-1.1428
2018-09-30,59.88900,59.88900,33.12700,26.76200,26.76200,0.00200,26.76000,26.76000,26.76000,76.10600,89.38900,0.35000,0.32000,0.56720,1.31040,44.68600,44.68270,0.02370,2.58920,2.58920,1.06120,1.12060,13.58010,-1.4509,-1.4509
2018-06-30,52.01000,52.01000,28.83200,23.17800,23.17800,0.04500,23.13300,23.13300,23.13300,75.93900,85.76300,0.30000,0.29000,0.51090,1.04460,44.56450,44.47800,0.02360,2.24020,2.24020,1.04870,1.09560,13.56850,-0.8688,-0.8688
2018-03-31,50.99700,50.99700,27.13700,23.86000,23.86000,0.01600,23.84400,23.84400,23.84400,75.93500,85.75900,0.31000,0.30000,0.48560,0.94390,46.78710,46.75570,0.02450,2.30820,2.30820,1.14720,1.18740,13.60380,-0.97730,-0.97730
2017-12-31,53.15000,53.15000,26.34600,26.80400,26.80400,-0.07300,26.87700,26.87700,26.87700,74.17100,83.99500,0.34000,0.33000,0.45660,0.84010,50.43090,50.56820,0.02760,2.59690,2.59690,1.39400,1.41130,13.62980,-0.2906,-0.2906
2017-09-30,50.00800,50.00800,24.83800,25.17000,25.17000,0.39400,24.77600,24.77600,24.77600,75.68800,85.51300,0.33000,0.31000,0.44490,0.80140,50.33200,49.54410,0.02560,2.40060,2.40060,1.27020,1.33260,13.61500,0.7893,0.7893
2017-06-30,51.54900,51.54900,24.06600,27.48300,27.48300,0.15500,27.32800,27.32800,27.32800,75.38300,85.20700,0.36000,0.34000,0.45620,0.83900,53.31430,53.01360,0.02640,2.64980,2.64980,1.40160,1.44080,13.62660,-0.6956,-0.6956
2017-03-31,50.29300,50.29300,19.79600,30.49700,30.49700,0.08000,30.41700,30.41700,30.41700,69.71900,79.54300,0.44000,0.40000,0.47410,0.90160,60.63870,60.47960,0.02670,3.21280,3.21280,1.61710,1.68950,13.55940,-1.78310,-1.78310
2016-12-31,54.69200,54.69200,20.76500,33.92700,33.92700,0.07200,33.85500,33.85500,33.85500,64.91800,72.86300,0.50000,0.46000,0.42610,0.74230,62.03280,61.90120,0.03300,3.60710,3.60710,2.04440,2.07030,13.46230,-0.7556,-0.7556
2016-09-30,45.15100,45.15100,20.08300,25.06800,25.06800,-0.01100,25.07900,25.07900,25.07900,63.75800,71.14600,0.39000,0.37000,0.45340,0.82960,55.52040,55.54470,0.02790,2.95670,2.95670,1.55080,1.61600,13.28130,0.5656,0.5656
2016-06-30,64.35100,64.35100,19.60800,44.74300,44.74300,0.05000,44.69300,44.69300,44.69300,63.84000,71.11700,0.70000,0.64000,0.45630,0.83930,69.52960,69.45190,0.04060,5.29960,5.29960,2.82050,2.88120,13.22720,0.4429,0.4429
2016-03-31,27.46000,27.46000,19.36800,8.09200,8.09200,0.04100,8.05100,8.05100,8.05100,63.93400,71.21100,0.13000,0.13000,0.46470,0.86820,29.46830,29.31900,0.01750,0.97960,0.97960,0.51210,0.52440,12.86550,0.57750,0.57750
2015-12-31,-1.33400,-1.33400,19.41600,-20.75000,-20.75000,-0.72300,-20.02700,-20.02700,-20.02700,59.71500,66.96800,-0.37000,-0.32000,0.46520,0.86990,1555.47200,1501.27500,-0.00080,-2.39300,-2.39300,-1.26100,-1.27970,13.07570,-0.629,-0.629
2015-09-30,27.34500,27.34500,16.96000,10.38500,10.38500,0.58100,9.80400,9.80400,9.80400,58.72500,66.00200,0.17000,0.17000,0.43330,0.76460,37.97770,35.85300,0.01740,1.11570,1.11570,0.62450,0.63230,13.72860,-2.4953,-2.4953
2015-06-30,37.91600,37.91600,17.49900,20.41700,20.41700,0.15300,20.26400,20.26400,20.26400,58.07600,65.31300,0.35000,0.33000,0.41260,0.70250,53.84800,53.44450,0.02720,2.50690,2.50690,1.45560,1.47250,13.89780,1.8062,1.8062
2015-03-31,40.38800,40.38800,17.32500,23.06300,23.06300,0.14900,22.91400,22.91400,22.91400,57.99900,65.21800,0.40000,0.37000,0.45150,0.82320,57.10360,56.73470,0.02720,2.84120,2.84120,1.54040,1.55830,13.88700,0.37220,0.37220
2014-12-31,2.22800,2.22800,10.62300,-8.39500,-8.39500,0.55100,-8.94600,-8.94600,-8.94600,51.84600,56.15800,-0.22000,-0.22000,0.45530,0.83600,-376.79680,-401.52730,0.00150,-1.11520,-1.11520,-0.59050,-0.60740,13.83100,-2.3286,-2.3286
2014-09-30,20.97200,20.97200,13.67600,7.29600,7.29600,-0.11500,7.41100,7.41100,7.41100,52.07100,59.29000,0.14000,0.14000,0.44560,0.80380,34.78930,35.33760,0.01500,0.99150,0.99150,0.53010,0.54970,14.32790,0.019,0.019
2014-06-30,40.08100,40.08100,16.41900,23.66200,23.66200,,23.66200,23.66200,23.66200,51.59600,54.29300,0.46000,0.44000,0.42690,0.74500,59.03550,59.03550,0.02950,3.10300,3.10300,1.74230,1.77820,14.64710,-3.1707,-3.1707
2014-03-31,37.82900,37.82900,14.38100,23.44800,23.44800,,23.44800,23.44800,23.44800,47.06600,47.06600,0.50000,0.50000,,,61.98420,61.98420,0.05430,3.36340,3.36340,3.36340,3.36340,14.53360,0.32390,0.32390
2013-12-31,29.90200,29.90200,11.95700,17.94500,17.94500,,17.94500,17.94500,17.94500,35.09300,35.09300,0.35000,0.36000,,,60.01270,60.01270,0.04600,2.76030,2.76030,2.76030,2.76030,14.37500,-0.9465,-0.9465
2013-09-30,28.67600,28.67600,11.20900,17.46700,17.46700,,17.46700,17.46700,17.46700,38.15900,44.73100,0.46000,0.46000,,,60.91160,60.91160,0.05240,3.18900,3.18900,3.18900,3.18900,14.31580,0.6767,0.6767
2013-06-30,19.71800,19.71800,8.72600,10.99200,10.99200,,10.99200,10.99200,10.99200,32.29000,32.29000,0.34000,0.34000,,,55.74600,55.74600,0.03610,2.01250,2.01250,2.01250,2.01250,14.31750,-0.7066,-0.7066
2013-03-31,23.97900,23.97900,8.46300,15.51600,15.51600,,15.51600,15.51600,15.51600,25.26700,40.83600,0.61000,0.60000,,,64.70660,64.70660,0.05350,3.46030,3.46030,3.46030,3.46030,14.31460,-0.44480,-0.44480
2012-12-31,16.21100,16.21100,6.40500,9.80600,9.80600,,9.80600,9.80600,9.80600,14.86100,14.86100,0.39000,0.39000,,,60.48980,60.48980,0.04690,2.86790,2.86790,2.83960,2.86790,14.05600,-5.5521,-5.5521
2012-09-30,15.12400,15.12400,5.16900,9.95500,9.95500,,9.95500,9.95500,9.95500,16.17700,36.13900,0.62000,0.62000,,,65.82250,65.82250,0.05190,3.41300,3.41300,3.41300,3.41300,14.09670,-2.1654,-2.1654
2012-06-30,6.82800,6.82800,2.99300,3.83500,3.83500,,3.83500,3.83500,3.83500,10.69800,30.92000,0.36000,0.36000,,,56.16580,56.16580,0.04610,2.59140,2.59140,2.59140,2.59140,13.83340,0.1972,0.1972
2012-03-31,11.34000,11.34000,3.15200,8.18800,8.18800,,8.18800,8.18800,8.18800,10.69800,30.92000,0.77000,0.77000,,,72.20460,72.20460,0.07550,5.44950,5.44950,5.44950,5.44950,14.04490,0.11070,0.11070
2011-09-30,-2.14030,-2.14030,1.75310,-3.89330,-3.89330,,-3.89330,-3.89330,-3.89330,10.69800,30.92000,-0.36000,-0.36000,,,181.90870,181.90880,-0.01500,-2.73180,-2.73180,-2.73180,-2.73180,13.32190,0,0
2011-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
