Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,10.01390,10.01390,2.29510,0.21460,3.00650,3.00650,0.05170,2.95480,2.95480,1.76980,8.48700,7.93330,36.46500,36.46500,0.05000,0.05000,7.16320,0.77830,3.50970,100.00000,30.02290,79.22320,30.02290,17.67380,0.00890,,,0.87010,1.18630,0.26150,0.26310,4.76940,0.12490,0.12490
2021-12-31,11.00460,11.00460,2.40640,0.00560,3.77320,3.77320,0.10930,3.66390,3.66390,2.47890,9.35090,8.60380,24.94580,24.94580,0.10000,0.10000,3.08780,0.83760,5.15790,100.00000,34.28750,78.18360,34.28750,22.52610,0.01050,,,3.26780,2.16320,0.34930,0.35130,6.78910,0.0771,0.0771
2021-09-30,9.47110,9.47110,2.39730,0.04660,2.38230,2.38230,0.00790,2.37450,2.37450,1.17630,8.05900,7.12040,24.94800,24.94800,0.05000,0.05000,24.30470,0.83770,5.16050,100.00000,25.15370,75.18070,25.15370,12.42000,0.00900,,,2.12190,1.40370,0.22610,0.22790,6.78060,0.1949,0.1949
2021-06-30,8.24080,8.24080,1.83960,-1.78860,1.62620,1.62620,-0.05400,1.68020,1.68020,0.95460,5.00660,4.61250,24.94410,24.94410,0.04000,0.04000,57.27800,0.83570,5.08530,100.00000,19.73400,55.97230,19.73400,11.58360,0.00790,,,1.48720,0.98700,0.16130,0.16220,6.82370,0.1559,0.1559
2021-03-31,7.47440,7.47440,1.79770,0.10370,2.82340,2.82340,0.01470,2.80860,2.80860,2.80490,6.24150,5.78050,24.94340,24.94340,0.11000,0.11000,10.60450,0.79710,3.92950,100.00000,37.77360,77.33660,37.77360,37.52710,0.01320,,,2.45800,2.45800,0.49500,0.49860,4.58110,0.12720,0.12720
2020-12-31,7.82600,7.82600,2.46440,0.25470,2.42950,2.42950,-0.03890,2.46840,2.46840,2.46470,6.13950,5.61630,24.93500,24.93500,0.10000,0.10000,13.41800,0.81550,4.42040,100.00000,31.04440,71.76500,31.04430,31.49350,0.01260,,,2.17090,2.17090,0.39720,0.40050,4.55850,0.1442,0.1442
2020-09-30,8.11700,8.11700,1.95230,-0.47130,2.40840,2.40840,-0.14260,2.55100,2.55100,2.54720,6.24180,5.69340,24.94340,24.94340,0.10000,0.10000,5.87380,0.81930,4.53550,100.00000,29.67130,70.14210,29.67130,31.38130,0.01270,,,2.22840,2.22840,0.40000,0.40260,4.58960,0.1393,0.1393
2020-06-30,8.47980,8.47980,2.80250,-0.17080,1.81040,1.81040,-0.06830,1.87870,1.87870,1.87500,6.04610,5.50650,24.93960,24.93960,0.08000,0.08000,4.27120,0.82500,4.71480,100.00000,21.35000,64.93700,21.35000,22.11090,0.01290,,,1.64710,1.64710,0.28650,0.28820,4.57290,0.1113,0.1113
2020-03-31,9.19400,9.19400,2.16690,-0.68360,1.32520,1.32520,-0.22650,1.55170,1.55170,1.54790,6.85940,6.34350,24.91100,24.91100,0.06000,0.06000,4.44030,0.82720,4.78540,100.00000,14.41330,68.99610,14.41330,16.83630,0.01380,,,1.36030,1.36030,0.23370,0.23510,4.57370,0.09520,0.09520
2019-12-31,8.95380,8.95380,2.25670,0.19770,1.30570,1.30570,0.08350,1.22220,1.22220,1.21850,7.40270,6.89480,23.68800,23.68800,0.05000,0.05000,4.06060,0.83390,5.01920,100.00000,14.58240,77.00410,14.58240,13.60870,0.01360,,,1.12500,1.12500,0.18580,0.18690,4.58570,0.0896,0.0896
2019-09-30,9.83200,9.83200,1.68400,-0.22080,1.89110,1.89110,-0.26670,2.15770,2.15770,2.15400,8.44300,7.92720,23.68770,23.68770,0.09000,0.09000,26.73890,0.83300,4.98720,100.00000,19.23380,80.62640,19.23380,21.90760,0.01500,,,1.97560,1.97560,0.32820,0.33000,4.61100,0.1192,0.1192
2019-06-30,10.28910,10.28910,2.17610,-0.27370,1.59690,1.59690,0.20270,1.39420,1.39420,1.39040,8.35190,7.83930,23.68770,23.68770,0.06000,0.06000,11.60360,0.83330,4.99860,100.00000,15.52040,76.19040,15.52040,13.51310,0.01570,,,1.28060,1.28060,0.21210,0.21350,4.59580,-0.0068,-0.0068
2019-03-31,9.98250,9.98250,2.64800,-0.14690,1.41170,1.41170,-0.06310,1.47480,1.47480,-2.09870,7.66750,7.18770,23.68800,23.68800,-0.09000,-0.09000,10.35040,0.83270,4.97630,100.00000,14.14170,72.00270,14.14170,-21.02400,0.01510,,,1.34960,1.34960,0.22370,0.22580,4.61290,0.10540,0.10540
2018-12-31,10.16930,10.16930,2.45130,-0.27500,1.87230,1.87230,,0.35060,0.35060,-0.54630,7.93480,7.44300,23.61360,23.61360,-0.04000,-0.04000,14.07290,0.77700,3.48330,100.00000,18.41150,73.19100,18.41150,-5.37180,0.01500,0.41750,215.56690,0.31010,0.23340,0.05160,0.05210,6.34090,0.052,0.052
2018-09-30,9.71920,9.71920,2.12270,1.36110,4.35300,4.35300,,4.35300,4.35300,3.47250,9.33230,8.95760,23.68700,23.68700,0.15000,0.15000,20.80490,0.77470,3.43910,100.00000,44.78770,92.16390,44.78770,35.72830,0.01430,,,3.78840,2.86270,0.63940,0.64490,6.41940,0.2225,0.2225
2018-06-30,17.55100,17.55100,2.18840,-23.87160,-21.49010,-21.49010,,-21.49010,-21.49010,-22.36080,-8.16320,-8.50900,23.68320,23.68320,-0.94000,-0.94000,53.47100,0.67190,2.04770,100.00000,-122.44380,-48.48180,-122.44390,-127.40500,0.03820,,,-19.03830,-14.32340,-4.67650,-4.69980,6.33510,0.1644,0.1644
2018-03-31,21.51550,21.51550,3.21280,11.41020,11.31500,11.31500,,11.31500,11.31500,10.43450,30.95660,29.71290,23.39200,23.39200,0.45000,0.45000,59.67720,0.94030,15.76220,100.00000,52.59010,138.10020,52.59010,48.49760,0.00850,,,9.99520,7.52520,0.44510,0.44890,6.34890,0.08080,0.08080
2017-12-31,22.72040,22.72040,3.05510,7.16370,8.89070,8.89070,,8.89070,8.89070,8.00040,27.00650,26.82910,20.04810,20.04810,0.38000,0.38000,154.64250,0.94400,16.86070,100.00000,39.13100,118.08340,39.13100,35.21250,0.00870,,,8.18410,6.09830,0.34030,0.34140,6.58390,0.1691,0.1691
2017-09-30,22.62650,22.62650,3.05290,-5.94920,-4.25630,-4.25630,,-4.25630,-4.25630,-5.13680,13.66760,13.62440,22.13900,22.13900,-0.23000,-0.23000,216.77300,0.94290,16.51970,100.00000,-18.81130,60.21430,-18.81130,-22.70280,0.00860,,,-3.75400,-2.82740,-0.16100,-0.16140,6.79970,0.0896,0.0896
2017-06-30,21.59510,21.59510,3.13520,-3.98930,-2.29660,-2.29660,,-2.29660,-2.29660,-3.16730,14.17410,14.47060,18.29750,18.29750,-0.17000,-0.17000,26.60240,0.93920,15.46050,100.00000,-10.63470,67.00870,-10.63470,-14.66680,0.00820,,,-1.91820,-1.46390,-0.08720,-0.08890,7.08620,0.0276,0.0276
2017-03-31,22.19130,22.19130,3.61540,0.20080,2.36910,2.36910,,2.36910,2.36910,1.48860,17.37690,18.77670,17.53930,17.53930,0.08000,0.08000,183.22970,0.94060,15.82970,100.00000,10.67600,84.61280,10.67600,6.70820,0.00910,,,2.19940,1.63530,0.09690,0.09720,8.26000,-0.07490,-0.07490
2016-12-31,22.16240,22.16240,3.29750,9.86460,12.47010,12.47010,,12.47010,12.47010,11.57980,27.23530,28.72950,14.64170,14.64170,0.79000,0.79000,110.47830,0.93770,15.05080,100.00000,56.26680,129.63160,56.26680,52.24970,0.00960,,,11.84130,8.75300,0.54230,0.54530,8.12290,0.1313,0.1313
2016-09-30,22.73260,22.73260,3.19090,-1.11120,1.85070,1.85070,,1.85070,1.85070,0.97020,16.70770,18.43040,14.60020,14.60020,0.07000,0.07000,179.59050,0.93490,14.35620,100.00000,8.14110,81.07490,8.14110,4.26780,0.00990,,,1.64580,1.23700,0.08030,0.08060,10.24580,0.093,0.093
2016-06-30,23.60960,23.60960,3.86440,-9.70740,-7.79980,-7.79980,,-7.79980,-7.79980,-8.67050,8.35880,10.03770,14.59790,14.59790,-0.59000,-0.59000,232.03540,0.93370,14.08640,100.00000,-33.03670,42.51530,-33.03670,-36.72470,0.01030,,,-6.77990,-5.12470,-0.33870,-0.33970,10.42600,-0.1092,-0.1092
2016-03-31,24.61720,24.61720,4.41240,-18.29570,-16.94760,-16.94760,,-16.94760,-16.94760,-17.82810,0.05330,1.90920,14.60550,14.60550,-1.22000,-1.22000,220.59030,0.93360,14.06670,100.00000,-68.84460,7.75540,-68.84460,-72.42140,0.01050,,,-14.30040,-10.88700,-0.72000,-0.72260,10.66370,0.04480,0.04480
2015-12-31,26.34260,26.34260,5.36340,2.30520,3.48290,3.48280,,3.48280,3.48280,2.58820,21.18540,23.28430,14.72110,14.72110,0.18000,0.18000,245.45720,0.92870,13.03220,100.00000,13.22140,88.39050,13.22130,9.82510,0.01050,,,2.48170,1.96220,0.13940,0.13980,12.11070,-0.0528,-0.0528
2015-09-30,27.40130,27.40130,3.50450,-5.29440,-1.69870,-1.69870,,-1.69870,-1.69870,-2.57920,15.37330,18.60240,14.72480,14.72480,-0.18000,-0.18000,242.12190,0.92680,12.65980,100.00000,-6.19940,67.88850,-6.19940,-9.41280,0.01060,1053.00600,0.08550,-1.12390,-0.91140,-0.06580,-0.06600,12.78800,-0.0053,-0.0053
2015-06-30,29.63250,29.63250,4.11970,-0.64920,3.80100,3.80100,,3.80100,3.80100,2.93030,21.03530,24.86350,14.72100,14.72100,0.20000,0.20000,230.69000,0.92740,12.78070,100.00000,12.82730,83.90630,12.82730,9.88890,0.01100,,,2.41050,1.97570,0.14110,0.14160,13.23230,0.0453,0.0453
2015-03-31,31.03870,31.03870,4.13310,-10.10000,-5.13470,-5.13470,,-5.13470,-5.13470,-6.01080,12.75100,16.80560,14.71880,14.71880,-0.41000,-0.41000,227.02600,0.93000,13.27700,100.00000,-16.54280,54.14410,-16.54280,-19.36560,0.01040,,,-2.99480,-2.46130,-0.17160,-0.17240,14.17300,0.15300,0.15300
2014-12-31,29.14510,29.14510,4.77920,-5.06540,-3.77570,-3.78270,,-3.60360,-3.60360,-4.49390,18.16300,19.30050,12.35860,12.35860,-0.25000,-0.25000,251.72760,0.92690,12.68700,100.00000,-12.95480,66.22220,-12.97890,-15.41890,0.01000,,,-2.05170,-1.69340,-0.12330,-0.12370,14.45740,0.8605,0.8605
2014-09-30,8.26720,8.26720,2.85320,3.39530,5.21320,5.21320,0.17910,5.03400,5.03400,4.15350,7.55800,8.80930,14.64010,14.64010,0.28000,0.28000,330.02700,0.90130,9.12900,100.00000,63.05850,106.55690,63.05850,50.24100,0.00370,,,2.73710,2.27710,0.22440,0.22480,15.01970,0.1861,0.1861
2014-06-30,4.49170,4.49170,2.30440,2.83820,4.41760,4.42460,,4.42460,4.42460,3.78870,3.82280,5.02540,11.15080,11.15080,0.34000,0.34000,5.86930,0.70550,2.39600,100.00000,98.35120,111.88310,98.50720,84.34940,0.00590,,,2.44290,2.02700,0.58360,0.59690,15.38410,0.3109,0.3109
2014-03-31,3.90860,3.90860,1.59780,-4.29090,-2.54130,-2.54130,,-2.54130,-2.54130,-3.02180,-3.09440,-1.98010,8.87260,8.87260,-0.34000,-0.34000,0.12440,0.03200,2.78650,100.00000,-65.01710,-50.66020,-65.01710,-77.31230,0.00650,,,-1.85150,-1.60750,-0.42290,-1.55610,14.79000,0.32100,0.32100
2013-12-31,3.69850,3.69850,1.52690,8.90220,10.74250,10.74250,,10.74250,10.74250,10.70000,10.00680,11.07380,6.13270,6.13270,1.08000,1.08000,36.69540,0.78380,3.62530,100.00000,290.45740,299.41380,290.45740,289.30820,0.00700,,,11.20590,9.42940,2.03380,2.03870,15.41820,0.7277,0.7277
2013-09-30,4.34160,4.34160,1.45460,-19.10840,-17.01460,-17.01460,,-17.01460,-17.01460,-17.01460,-17.04250,-16.22140,7.36040,7.36040,-2.31000,-2.31000,0.08010,0.04700,4.17050,100.00000,-391.89610,-373.62770,-391.89610,-391.89610,0.00920,18.19010,4.94770,-18.59760,-18.59760,-3.59160,-17.72390,12.38170,0.7808,0.7808
2013-06-30,7.35640,7.35640,1.49170,3.09810,7.97040,7.97040,,7.97040,7.97040,7.97040,9.07140,8.96280,7.38930,7.38930,1.08000,1.08000,0.07890,,5.89990,100.00000,108.34570,121.83630,108.34570,108.34580,0.01120,,,8.34470,8.34470,1.20820,8.34470,12.92480,1.7585,1.7585
2013-03-31,1.02710,1.02710,0.42850,1.05630,1.52810,1.52810,,1.52810,1.52810,1.52580,1.45950,1.65490,2.29330,2.29330,0.67000,0.67000,0.06130,0.00710,7.90340,100.00000,148.78500,161.12580,148.78500,148.55850,0.00100,,,1.31100,1.31100,0.14720,1.30170,15.77290,-1.09370,-1.09370
2012-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.4098,-0.4098
2012-09-30,0.73010,0.73010,0.39930,3.45140,3.65620,3.65620,,3.65620,3.65620,3.65620,3.63010,3.78220,1.65630,1.65630,2.21000,2.21000,,,,100.00000,500.77470,518.03960,500.77470,500.77470,,,,,,,,,-5.4213,-5.4213
2012-06-30,0.15820,0.15820,0.21880,-0.06240,-0.20890,-0.20890,,-0.20890,-0.20890,-0.20890,-0.12300,-0.12300,1.65630,1.65630,-0.13000,-0.13000,,,,100.00000,-132.04720,-77.75380,-132.04720,-132.04710,,,,,,,,,5.8311,5.8311
