Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.98970,1.65710,,-2.66070,0.08920,-2.57150,-2.57150,-2.57150,-2.57150,-2.66070,-2.66070,0.95900,0.95900,-2.68000,-2.68000,10.33620,-32.61480,-32.61470,-28.74720,-32.61470,8.22160,-2.22780,-2.22780
2021-12-31,1.95650,1.40940,,-3.38010,-0.10000,-3.48010,-3.48010,-3.48010,-3.48010,-3.38010,-3.38010,0.89300,0.89300,-3.07000,-3.07000,12.18630,-35.21550,-35.21550,-31.68020,-35.21550,10.30480,-4.974,-4.974
2021-09-30,2.16250,1.08440,,-3.25320,-0.04290,-3.29600,-3.29600,-3.29600,-3.29600,-3.25320,-3.25320,0.95600,0.95600,-3.45000,-3.45000,9.19780,-24.69680,-24.69680,-21.70210,-24.69680,13.91720,-2.7774,-2.7774
2021-06-30,1.78360,1.39650,,-3.19900,-0.07690,-3.27590,-3.27590,-3.27590,-3.27590,-3.19900,-3.19900,0.94780,0.94780,-3.50000,-3.50000,14.40930,-19.76440,-19.76440,-18.17020,-19.76440,17.35710,-1.9369,-1.9369
2021-03-31,1.62690,2.63480,,-4.26910,0.00740,-4.26170,-4.26170,-4.26170,-4.26170,-4.26910,-4.26910,0.70710,0.70710,-6.00000,-6.00000,27.04840,-21.36420,-21.36420,-20.30160,-21.36420,21.58670,-3.85050,-3.85050
2020-12-31,0.17060,0.53120,-0.09380,-0.80290,0.04610,-0.75680,-0.75680,-0.75680,-0.75680,-0.80280,-0.80290,0.49450,0.49450,-1.00000,-1.00000,15.32200,-16.29040,-16.29040,-14.43500,-16.29040,8.64200,-2.2126,-2.2126
2020-09-30,0.74890,1.28830,-0.12210,-2.16680,0.04990,-2.11690,-2.11690,-2.11690,-2.11690,-2.16650,-2.16680,0.53740,0.53740,-4.00000,-4.00000,19.07160,-39.36700,-39.36700,-35.57690,-39.36700,10.00560,-2.1023,-2.1023
2020-06-30,1.28240,1.14170,-0.08910,-2.51580,0.01830,-2.49750,-2.49750,-2.49750,-2.49750,-2.51550,-2.51580,0.49220,0.49220,-5.00000,-5.00000,19.75730,-36.53480,-36.53480,-33.63170,-36.53480,12.72240,-4.2271,-4.2271
2020-03-31,0.68710,0.97170,-0.14920,-1.81650,-0.01010,-1.82660,-1.82660,-1.82660,-1.82660,-1.81610,-1.81650,0.41000,0.41000,-4.50000,-4.50000,9.35760,-37.86130,-37.86130,-34.15630,-37.86130,10.40280,-3.86030,-3.86030
2019-12-31,1.03620,2.75120,-0.12220,-3.91760,0.00590,-3.91170,-3.91170,-3.91170,-3.91170,-3.91730,-3.91760,0.36660,0.36660,-10.50000,-10.50000,5.98720,-163.25710,-163.25710,-137.92230,-163.25710,5.91900,-4.776,-4.776
2019-09-30,0.54030,0.98010,-0.17170,-1.70040,0.00440,-1.69600,-1.69600,-1.69600,-1.69600,-1.70010,-1.70040,0.39550,0.39550,-4.25000,-4.25000,163.28520,-39.35770,-39.35770,-39.12780,-39.35770,10.64760,-4.0062,-4.0062
2019-06-30,0.39890,0.67830,-0.18210,-1.26760,,-1.26760,-1.26760,-1.26760,-1.26760,-1.26730,-1.26760,0.38410,0.38410,-3.25000,-3.25000,17.65360,-30.26410,-30.26410,-28.62780,-30.26410,10.83060,-1.987,-1.987
2019-03-31,0.14480,0.61500,-0.06260,-0.82940,,-0.82940,-0.82940,-0.82940,-0.82940,-0.82910,-0.82940,0.28030,0.28030,-3.00000,-3.00000,59.76040,-15.44880,-15.44880,-15.19990,-15.44880,14.23850,-2.72570,-2.72570
2018-12-31,0.22760,0.35700,-0.10200,-0.58460,,-0.58500,-0.58500,-0.58500,-0.58500,-0.58430,-0.58460,0.20120,0.20120,-3.00000,-3.00000,1.43760,-378.26130,-377.50460,-116.09080,-377.50460,0.76400,-2.3421,-2.3421
2018-09-30,0.36600,0.20400,-0.04200,-0.62020,,-0.62020,-0.62020,-0.62020,-0.62020,-0.61990,-0.62020,0.20320,0.20320,-3.00000,-3.00000,,,,,,,-3.3961,-3.3961
2018-06-30,0.24870,0.44040,-0.06810,-0.76340,,-0.76340,-0.76340,-0.76340,-0.76340,-0.76310,-0.76340,0.20160,0.20160,-3.75000,-3.75000,,,,,,,-2.9241,-2.9241
2018-03-31,0.17340,0.30130,-0.04670,-0.52750,,-0.52750,-0.52750,-0.52750,-0.52750,-0.52720,-0.52750,0.19730,0.19730,-2.75000,-2.75000,,,,,,,-1.78790,-1.78790
2017-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
