Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2017-09-30,42.64800,42.64800,13.33700,1.69100,25.08000,0.46300,25.54300,25.54300,25.54300,25.54300,30.94600,31.00200,61.84000,61.84000,0.41000,0.41000,0.89320,0.43050,0.75580,100.00000,58.80700,72.69270,59.89260,59.89260,0.02120,2.27180,2.27180,1.26860,1.29390,18.17580,-2.5576,-2.5576
2017-06-30,38.74400,38.74400,12.78400,1.22600,21.44800,-5.94700,15.50100,15.50100,15.50100,15.50100,33.15900,27.18600,45.97800,45.97800,0.34000,0.34000,0.64780,0.35110,0.54100,100.00000,55.35830,70.16830,40.00880,40.00880,0.02200,1.39180,1.39180,0.88090,0.90320,18.13740,-5.5357,-5.5357
2017-03-31,34.09900,34.09900,10.89100,1.10200,19.27600,-3.10300,16.17300,16.17300,16.17300,16.17300,19.78100,24.31000,41.70700,41.70700,0.39000,0.39000,1.31340,0.46430,0.86660,100.00000,56.52950,71.29240,47.42960,47.42960,0.02340,2.11880,2.11880,1.10850,1.13510,18.30150,1.38260,1.38260
2016-12-31,33.15600,33.15600,10.95200,1.20800,18.42500,-1.02900,17.39600,17.39600,17.39600,17.39600,24.01300,23.41200,36.15200,36.15200,0.48000,0.48000,1.15640,0.47550,0.90660,100.00000,55.57060,70.61160,52.46710,52.46710,0.02230,2.27660,2.27660,1.16740,1.19410,18.32380,-1.8522,-1.8522
2016-09-30,28.95700,28.95700,9.79900,0.73900,15.84600,13.32400,29.17000,29.17000,29.17000,29.17000,7.47300,19.89700,37.48900,37.48900,0.78000,0.78000,0.87940,0.47660,0.91050,100.00000,54.72250,68.71220,100.73560,100.73560,0.01990,3.98910,3.98910,2.00660,2.08800,18.37700,-2.8529,-2.8529
2016-06-30,25.74800,25.74800,8.90300,0.44600,13.46600,12.48500,25.95100,25.95100,25.95100,25.95100,-0.65600,17.29100,34.40300,34.40300,0.75000,0.75000,1.07800,0.46680,0.87560,100.00000,52.29920,67.15470,100.78840,100.78840,0.02040,3.94440,3.94440,2.05150,2.10300,18.01680,-1.8044,-1.8044
2016-03-31,23.11000,23.11000,8.21200,0.66100,11.96000,-14.66800,-2.70800,-2.70800,-2.70800,-2.70800,26.91400,15.55900,31.94600,31.94600,-0.08000,-0.08000,0.71060,0.48300,0.93420,100.00000,51.75250,67.32580,-11.71790,-11.71790,0.01950,-0.46000,-0.46000,-0.22890,-0.23780,17.65750,-2.19300,-2.19300
2015-12-31,20.68500,20.68500,7.59300,0.68800,10.76500,-20.74800,-9.98300,-9.98300,-9.98300,-9.98300,34.80900,13.78000,24.83000,24.83000,-0.50000,-0.50000,1.52970,0.46900,0.88320,100.00000,52.04260,66.61830,-48.26200,-48.26200,0.01870,-1.74610,-1.74610,-0.90420,-0.92720,18.13620,-4.8024,-4.8024
2015-09-30,19.60100,19.60100,7.20500,0.59600,10.33400,-0.68100,9.65300,9.65300,9.65300,9.65300,14.76200,12.99200,27.21900,27.21900,0.35000,0.35000,0.92250,0.46020,0.85260,100.00000,52.72180,66.28230,49.24750,49.24750,0.01950,1.81900,1.81900,0.95790,0.98190,19.02430,-1.4439,-1.4439
2015-06-30,15.92500,15.92500,6.32500,0.47400,7.94500,1.27000,9.21500,9.21500,9.21500,9.21500,9.68100,10.07400,23.06300,23.06300,0.40000,0.40000,0.90980,0.44410,0.79890,100.00000,49.89010,63.25900,57.86500,57.86500,0.01640,1.80460,1.80460,0.95030,1.00310,19.08550,-3.8469,-3.8469
2015-03-31,12.97900,12.97900,5.09800,0.37900,6.48000,3.30800,9.78800,9.78800,9.78800,9.78800,4.92000,8.26000,19.57800,19.57800,0.50000,0.50000,0.26340,0.47380,0.90060,100.00000,49.92680,63.64130,75.41410,75.41410,0.01610,2.42740,2.42740,1.21490,1.27720,19.04670,-5.61140,-5.61140
2014-12-31,5.88500,5.88500,3.65300,0.27700,0.97900,-4.91000,-3.93100,-3.93100,-3.93100,-3.93100,7.58400,2.50900,13.09100,13.09100,-0.37000,-0.37000,0.12500,0.47690,0.91190,100.00000,16.63550,42.63380,-66.79690,-66.79690,0.00820,-1.16210,-1.16210,-0.54850,-0.60790,18.86230,-11.9099,-11.9099
2014-09-30,10.52200,10.52200,3.62900,-0.05200,5.70600,-4.76900,0.93700,0.93700,0.93700,0.93700,11.79900,6.84100,12.99000,12.99000,0.07000,0.07000,0.35590,0.47000,0.88680,100.00000,54.22920,65.01620,8.90520,8.90520,0.02010,0.35770,0.35770,0.17930,0.18960,19.35260,-7.9956,-7.9956
2014-06-30,9.94400,9.94400,3.59600,-1.17800,4.53600,0.05600,4.59200,4.59200,4.59200,4.59200,6.38700,5.17000,12.89200,12.89200,0.36000,0.36000,0.56590,0.37690,0.60490,100.00000,45.61550,51.99120,46.17860,46.17860,0.02180,1.80680,1.80680,1.00660,1.12580,19.71420,-3.9005,-3.9005
2014-03-31,6.63300,6.63300,2.93700,-0.30800,3.03900,0.97700,4.01600,4.01600,4.01600,4.01600,2.67600,3.38800,10.73500,10.73500,0.37000,0.37000,1.06660,0.23080,0.30000,100.00000,45.81640,51.07800,60.54580,60.54580,0.01890,1.58710,1.58710,1.14600,1.22080,19.62930,-8.71730,-8.71730
2013-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,23.9952,23.9952
2013-09-30,1.14500,1.14500,3.32500,-0.54500,-2.80600,-0.36500,-3.17100,-3.17100,-3.17100,-1.17100,-2.14500,-2.72500,3.99300,3.99300,-0.29000,-0.29000,26.94930,0.22500,0.29040,100.00000,-245.06550,-237.99130,-276.94330,-102.27070,0.00710,-2.56160,-2.56160,-1.95660,-1.98510,19.11240,9.825,9.825
2013-06-30,0.02000,0.02000,0.84500,-1.75000,-2.57500,0.06400,-2.51100,-2.51100,-2.51100,-2.51100,-2.57500,-2.57500,0.31700,0.31700,-7.92000,-7.92000,1.89500,,,100.00000,-12875.00000,-12875.00000,-12555.00000,-12555.00000,0.00040,-6.61450,-6.61450,-4.67590,-6.61450,18.72820,-33.8202,-33.8202
2013-03-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0.00000,
2012-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2012-09-30,1.16500,1.16500,2.17000,-2.29500,-3.38100,-0.30100,-3.68200,-3.68200,-3.68200,-3.68200,-3.30000,-3.30000,1.45100,1.45100,-2.54000,-2.54000,,,,100.00000,-290.21460,-283.26180,-316.05150,-316.05150,,,,,,,0,0
