Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,8.22400,4.89190,3.33210,3.53790,6.16460,,10.12080,-6.78870,-0.21110,-6.99970,-6.99970,-6.99970,-7.01040,-5.90370,-6.78870,1.13770,1.13770,-5.51000,-5.51000,2.69930,40.51680,-82.54730,-82.54720,-85.11360,-85.24320,0.16220,1.49790,60.08320,-18.42910,-55.42720,-13.80530,-18.42910,16.25940,-4.0405,-4.132
2021-09-30,2.13850,0.94910,1.18930,3.01520,4.47970,,7.57690,-6.38750,-0.27110,-6.65860,-6.65860,-6.65860,-6.55950,-5.82960,-6.38750,1.16400,1.16400,-5.64000,-5.64000,4.50610,55.61590,-298.69530,-298.69530,-311.37410,-306.73930,0.03890,0.71070,126.63690,-14.78070,-35.87180,-12.09910,-14.78070,24.17340,-4.5673,-4.836
2021-06-30,2.23890,0.90630,1.33260,1.81820,5.42140,,7.30600,-5.97340,0.01250,-5.96090,-5.96090,-5.96090,-5.78010,-5.45070,-5.97340,1.14950,1.14950,-5.00000,-5.00000,5.77300,59.52070,-266.79760,-266.79760,-266.24110,-258.16360,0.03820,0.58290,154.39350,-11.47360,-21.91800,-10.16070,-11.47360,27.87800,-3.3741,-3.5982
2021-03-31,2.47410,0.78180,1.69230,1.25040,15.78830,,17.06940,-15.37710,1.29160,-14.08540,-14.08540,-14.08540,-13.81200,-15.24050,-15.37710,1.06370,1.06370,-13.00000,-13.00000,14.73920,68.40070,-621.51360,-621.51360,-569.30760,-558.25530,0.03750,0.44400,202.68370,-23.00280,-27.24140,-21.35640,-23.00280,34.43760,-6.42550,-6.50420
2020-12-31,2.93400,1.33500,1.59900,2.51100,3.20500,,5.71210,-4.11310,-0.24100,-3.05350,-3.05350,-3.05350,-2.63170,-3.85080,-4.11310,,,,0.00000,0.70220,261.31560,-140.18750,-140.18750,-104.07290,-89.69670,0.16870,0.49100,183.29490,-188.97450,74.65150,-17.56200,-188.97450,,0,0
2020-09-30,8.98820,2.92070,6.06750,1.30030,1.89830,,3.23660,2.83090,-0.22520,2.60570,2.60570,2.60570,1.19340,2.98530,2.83090,,,,0.00000,0.92700,67.50460,31.49520,31.49520,28.99020,13.27700,0.48350,1.07630,83.61970,54.45550,-223.85690,14.01660,54.44410,,0,0
2020-06-30,3.88880,1.27220,2.61660,1.20230,1.30450,,2.51530,0.10130,-0.13280,-0.03150,-0.03150,-0.03150,-0.07830,0.27060,0.10130,,,,0.00000,,67.28470,2.60410,2.60410,-0.81090,-2.01390,,,,,,,,,0,0
2020-03-31,3.23460,1.06850,2.16610,0.93580,1.33090,,2.28560,-0.11960,-0.08090,-0.20050,-0.20050,-0.20050,-0.23960,0.01440,-0.11960,,,,0.00000,,66.96630,-3.69680,-3.69680,-6.19890,-7.40840,,,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2019-09-30,,,,0.00000,,,,,,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
