Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,91.69100,9.05000,82.64100,4.56400,-184.58900,276.87000,-194.22900,16.61400,-177.61500,1.33900,-178.95400,-178.95400,-50.70500,-228.98400,-74.00500,-150.09000,99.36690,99.36690,-2.30000,-2.30000,0.12940,4.46700,90.12990,-211.83000,-163.69110,-193.71040,-249.73440,0.01930,0.87230,103.17450,-23.51990,-44.56440,-3.76070,-23.51580,7.67220,0.01940,-2.19160
2021-12-31,67.58100,-47.23900,114.82000,-6.85600,-56.90000,165.72900,-50.90900,37.09100,-13.81800,4.09700,-17.91500,-17.91500,,-104.45600,160.94500,33.03000,89.92200,89.92200,-1.07500,-1.07500,0.10160,2.22540,169.89980,-75.33030,48.87470,-20.44660,-154.56410,0.01390,0.54100,166.36570,-1.59390,-1.63890,-0.36830,-1.59370,11.33390,-1.5634,-5.648
2021-09-30,93.93800,5.36700,88.57100,4.97800,-10.98900,52.50800,36.06300,10.97500,47.03800,0.50000,46.53800,46.53800,,46.53800,48.88900,36.64700,100.00000,100.00000,0.46500,0.46500,0.20800,2.47830,94.28670,38.39020,39.01190,50.07350,49.54120,0.02010,0.45670,197.05760,3.86560,5.26830,0.99390,3.86510,12.29910,2.0613,2.1368
2021-06-30,96.91500,31.18300,65.73200,7.76800,-0.08900,97.13100,-31.39900,-6.84900,-38.24800,-1.64000,-36.60800,-36.60800,,-36.53400,62.49400,6.10500,86.03100,86.03100,-0.42000,-0.42000,0.14020,2.04330,67.82440,-32.39850,6.29930,-39.46550,-37.69700,0.02730,0.55120,163.28150,-3.51700,-4.05050,-1.03010,-3.51660,12.15550,-0.1742,-0.7275
2021-03-31,77.14900,24.99700,52.15200,8.24200,-2.10000,89.51000,-37.35800,2.65100,-34.70700,0.16900,-34.87600,-34.87600,,-34.54000,50.54300,-4.36800,86.02800,86.02800,-0.40000,-0.40000,0.14020,1.81650,67.59910,-48.42320,-5.66180,-44.98700,-44.77050,0.02150,0.68950,130.53730,-3.04990,-3.47330,-0.97090,-3.04950,13.35560,-0.56880,-2.30670
2020-12-31,7.07600,,7.07600,-7.85300,-59.70800,,5.16800,3.10000,8.26800,1.99100,6.27700,6.27700,-65.97200,-60.52300,75.01900,21.05100,86.01600,86.01600,-0.71100,-0.71100,0.12540,1.73270,1246.75000,73.03540,297.49860,116.84570,-855.32840,0.00210,0.07720,1166.22300,0.57100,0.65540,0.18530,0.57100,12.84000,0.4036,-0.8226
2020-09-30,83.70900,23.12800,60.58100,8.83200,-3.91500,84.71900,-24.13800,-3.55700,-27.69500,-2.48600,-25.20900,-25.20900,,-25.95800,57.44400,2.76600,86.02200,86.02200,-0.30000,-0.30000,0.12780,1.50030,72.37100,-28.83560,3.30430,-33.08490,-31.00980,0.02480,1.07250,83.92000,-2.09940,-2.38500,-0.74690,-2.09930,14.02580,-0.189,-1.4689
2020-06-30,94.30900,24.57200,69.73700,9.14400,-10.47600,86.79500,-17.05800,-2.42000,-19.47800,-3.75000,-15.72800,-15.72800,,-15.69500,55.02200,4.73600,86.01000,86.01000,-0.18000,-0.18000,0.09530,1.28030,73.94520,-18.08740,5.02180,-20.65340,-16.64210,0.02870,1.49780,60.08910,-1.25680,-1.42330,-0.47840,-1.25670,14.61830,0.6564,-1.7767
2020-03-31,112.84000,33.44400,79.39600,9.42900,,77.68100,1.71500,-6.20400,-4.48900,-0.09800,-4.39100,-4.39100,1.33100,-2.86300,75.70500,24.57600,86.00810,86.00810,-0.03000,-0.03000,0.11860,1.10210,70.36160,1.51980,21.77950,-3.97820,-2.53720,0.03550,1.94740,46.21630,-0.33470,-0.37720,-0.13820,-0.33470,15.41240,-0.13730,-1.17680
2019-12-31,161.33200,68.76000,92.57200,22.76800,,105.10200,-12.53000,141.06100,128.53100,18.99900,109.53200,109.53200,71.57900,183.64700,65.57700,11.73700,85.99200,86.02900,2.12000,2.12000,0.18650,1.06130,57.37980,-7.76660,7.27510,79.66870,113.83180,0.04980,3.26120,27.59710,8.18150,9.21580,3.38380,8.18100,15.76670,0.6777,-2.6498
2019-09-30,152.70000,82.71900,69.98100,12.91300,0.00000,86.71100,-16.73000,37.33800,20.60800,0.87200,19.73600,19.73600,0.94000,25.67100,60.87600,8.46000,85.99600,86.00600,0.30000,0.30000,0.12380,1.43110,45.82910,-10.95610,5.54030,13.49570,16.81140,0.04870,2.46410,36.52460,1.78510,2.05820,0.62950,1.78500,13.02250,0.4022,-0.3878
2019-06-30,149.84800,85.78300,64.06500,9.26100,,79.01500,-14.95000,27.63000,12.68000,-2.32800,15.00800,15.00800,0.78500,20.33200,64.01600,10.44400,85.98800,85.98900,0.24000,0.24000,0.13510,1.57110,42.75330,-9.97680,6.96970,8.46190,13.56840,0.04850,2.42170,37.16450,1.44550,1.68770,0.48590,1.44550,12.23670,0.4401,-1.1189
2019-03-31,114.89400,54.31000,60.58400,8.02200,,69.09300,-8.50900,-1.17800,-9.68700,0.26700,-9.95400,-9.95400,0.15800,-6.38000,62.11700,12.22500,85.98650,85.98650,-0.07000,-0.07000,0.17050,1.58270,52.73030,-7.40600,10.64020,-8.43130,-5.55290,0.03900,2.27130,39.62560,-1.02300,-1.21260,-0.33770,-1.02300,11.51840,0.23570,-1.65830
2018-12-31,100.13400,41.56700,58.56700,6.76500,,63.02900,-4.46200,0.28400,-4.17800,0.86900,-5.04700,-5.04700,,1.03700,62.31000,12.51300,83.65400,83.66500,0.02000,0.02000,0.12710,1.15310,58.48860,-4.45600,12.49630,-4.17240,1.03560,0.03790,2.15740,41.71670,-0.47890,-0.56120,-0.19130,-0.47890,12.53740,0.5779,-1.9466
2018-09-30,101.15500,41.66700,59.48800,7.85800,,58.88200,0.60600,0.66800,1.27400,0.55100,0.72300,0.72300,,4.57800,56.53700,15.74800,84.70800,84.71000,0.05000,0.05000,0.19280,1.07110,58.80880,0.59910,15.56820,1.25950,4.52570,0.04090,2.02300,44.48800,0.06810,0.07940,0.02920,0.06810,12.83200,0.3088,-1.6931
2018-06-30,71.97900,27.59300,44.38600,9.06800,,56.27700,-11.89100,5.97600,-5.91500,0.53400,-6.44900,-6.44900,,0.83900,40.85900,0.96600,83.16000,83.16000,0.01000,0.01000,0.12220,0.79200,61.66520,-16.52010,1.34200,-8.21770,1.16560,0.03260,1.71860,52.36780,-0.59200,-0.68850,-0.29160,-0.59200,13.15820,0.5706,-2.85
2018-03-31,68.84400,27.57900,41.26500,7.32500,,50.54900,-9.28400,0.44600,-8.83800,0.49500,-9.33300,-9.33300,,-0.57200,40.55100,2.58700,81.53450,81.53450,-0.01000,-0.01000,0.18730,0.63080,59.93990,-13.48560,3.75780,-12.83770,-0.83090,0.03360,1.86840,48.17020,-0.82850,-0.96030,-0.45580,-0.82850,13.60850,0.14070,-0.08620
2017-12-31,28.82300,-3.60600,32.42900,8.15800,,50.59700,-18.16800,12.72600,-5.44200,0.36900,-5.81100,-5.81100,,3.01000,28.26100,-1.66200,75.76700,75.76700,0.04000,0.04000,0.16060,0.67940,112.51080,-63.03300,-5.76620,-18.88080,10.44310,0.01470,0.92750,97.03500,-0.56140,-0.66150,-0.29710,-0.56140,13.66040,0.2119,-2.2149
2017-09-30,60.36200,23.68800,36.67400,7.21000,,42.64000,-5.96600,5.20400,-0.76200,0.90900,-1.67100,-1.67100,,2.99800,30.69000,2.94800,75.77100,75.77100,0.04000,0.04000,0.34040,0.60820,60.75680,-9.88370,4.88390,-1.26240,4.96670,0.03160,2.16150,41.63780,-0.15500,-0.18020,-0.08750,-0.15500,14.22590,0.2529,-0.041
2017-06-30,51.19400,21.32400,29.87000,7.20600,,36.99100,-7.12100,1.77600,-5.34500,0.46400,-5.80900,-5.80900,,-1.46000,23.05700,0.56300,75.76300,75.76300,-0.02000,-0.02000,0.20390,0.44930,58.34670,-13.90980,1.09970,-10.44070,-2.85190,0.02940,1.91770,46.93030,-0.52750,-0.61150,-0.33310,-0.52750,14.53550,0.2058,-2.0625
2017-03-31,44.67300,21.01300,23.66000,7.72800,,31.25100,-7.59100,-1.40900,-9.00000,0.21200,-9.21200,-9.21200,,-4.41400,17.56200,-2.89700,75.76230,75.76230,-0.06000,-0.06000,0.56700,0.43590,52.96260,-16.99240,-6.48490,-20.14640,-9.88070,0.02540,1.97530,45.56310,-0.81050,-0.93680,-0.52370,-0.81050,15.00150,0.23340,-0.72500
2016-12-31,42.34600,17.23200,25.11400,7.17700,,28.90500,-3.79100,-1.95500,-5.74600,0.07300,-5.81900,-5.81900,,-1.81300,17.55600,-0.67300,75.73900,75.73900,-0.01000,-0.01000,0.52010,0.22260,59.30670,-8.95240,-1.58930,-13.56920,-4.28140,0.02740,1.98270,45.39320,-0.49920,-0.57610,-0.37610,-0.49920,15.38830,0.2012,-0.9766
2016-09-30,41.72600,17.02800,24.69800,7.35100,,29.83100,-5.13300,-0.43000,-5.56300,0.08300,-5.64600,-5.64600,,-1.27600,17.84100,0.28300,75.74600,75.74600,-0.02000,-0.02000,0.96470,0.22070,59.19090,-12.30170,0.67820,-13.33220,-3.05800,0.02680,1.91420,47.01670,-0.47640,-0.54750,-0.36320,-0.47640,15.64580,0.1937,-0.6566
2016-06-30,33.19500,17.55100,15.64400,7.59200,,29.28800,-13.64400,-6.23400,-19.87800,0.17800,-20.05600,-20.05600,,-11.19300,8.48300,-8.52400,75.73000,75.73000,-0.15000,-0.15000,1.22990,0.21640,47.12760,-41.10260,-25.67860,-59.88250,-33.71890,0.02110,1.76320,51.04470,-1.65080,-1.89450,-1.27380,-1.65080,16.04320,0.0633,-0.5904
2016-03-31,31.45300,14.35800,17.09500,6.93600,,26.51500,-9.42000,0.27700,-9.14300,-0.06600,-9.07700,-9.07700,,-5.78200,11.32200,-4.11700,75.72700,75.72700,-0.08000,-0.08000,1.45590,0.20990,54.35090,-29.94950,-13.08940,-29.06880,-18.38300,0.01960,1.94150,46.35490,-0.72090,-0.82450,-0.56500,-0.72090,16.62590,-0.05020,-0.46630
2015-12-31,33.79800,18.59500,15.20300,7.17600,,26.19100,-10.98800,1.68100,-9.30700,-0.06000,-9.24700,-9.24700,,-4.69900,8.52000,-5.91700,67.03940,67.03940,-0.11000,-0.11000,1.38700,0.20630,44.98190,-32.51080,-17.50700,-27.53710,-13.90320,0.02050,2.33640,38.52120,-0.71640,-0.81830,-0.56220,-0.71640,17.04600,-0.0039,-0.8365
2015-09-30,35.23300,17.87900,17.35400,7.17400,,25.59600,-8.24200,-7.66400,-15.90600,0.15000,-16.05600,-16.05600,,-11.73800,9.80900,-3.57400,75.71820,75.71820,-0.16000,-0.16000,1.55000,0.20820,49.25500,-23.39280,-10.14390,-45.14520,-33.31540,0.02090,2.97350,30.26740,-1.21560,-1.38700,-0.95450,-1.21560,17.44380,0.1222,-1.2092
2015-06-30,33.56400,17.60000,15.96400,5.47400,,22.59400,-6.63000,1.62600,-5.00400,0.26600,-5.27000,-5.27000,,-0.83700,11.01600,-1.87300,62.87900,62.87900,-0.01000,-0.01000,0.98170,0.43520,47.56290,-19.75330,-5.58040,-14.90880,-2.49370,0.01670,2.52860,35.59350,-0.39260,-0.44640,-0.26210,-0.39260,17.72960,0.1164,-0.5718
2015-03-31,33.97300,14.71900,19.25400,2.76200,,18.50700,0.74700,1.42500,2.17200,0.23000,1.94200,1.94200,,5.44800,18.64600,5.56200,53.50300,53.50300,0.10000,0.10000,0.10340,0.76760,56.67440,2.19880,16.37180,6.39330,16.03630,0.02360,3.35600,26.81750,0.25330,0.32230,0.13500,0.25330,14.33200,0.11630,-0.71000
2014-12-31,23.41900,14.53300,8.88600,2.77000,,10.03800,-1.15200,1.82300,0.71200,0.18400,0.52800,3.67500,0.00000,3.67500,10.45500,-1.15200,53.50300,53.50300,0.07000,0.07000,0.08300,0.83090,38.07590,-4.91910,-4.91910,3.04030,15.69240,0.01670,2.44250,36.84700,0.51510,0.67460,0.26160,0.51510,13.33570,-0.0704,-3.6536
2014-09-30,16.08000,9.36000,6.72000,2.09900,,8.37300,-1.65300,3.75500,2.10200,0.15600,1.94600,1.94600,,4.03100,4.72400,-0.30500,53.50300,53.50300,0.08000,0.08000,,,41.79110,-10.27990,-1.89680,13.07210,25.06840,,,,,,,,,-0.6422,-3.7822
2014-06-30,10.73500,2.80800,7.92700,1.80700,,12.49400,-4.56700,3.77900,-0.78800,0.39900,-1.18700,-1.18700,,-1.35200,-0.27900,-3.81200,53.50300,53.50300,-0.03000,-0.03000,,,73.84260,-42.54310,-35.51000,-7.34050,-12.59430,,,,,,,,,0.0365,-0.3186
2014-03-31,7.69600,0.53700,7.15900,0.97800,,6.95900,0.20000,1.56100,1.76100,0.15900,1.60200,1.60200,,1.42600,3.03600,1.01700,53.50300,53.50300,0.03000,0.03000,,,93.02240,2.59880,13.21470,22.88200,18.52910,,,,,,,,,0.08640,-0.38850
2013-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
