Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,0.22070,0.22070,0.04150,0.17930,,0.17930,,0.17930,0.17930,0.17930,0.17930,0.17930,2.00000,2.00000,0.09000,0.09000,,100.00000,81.21760,81.21770,81.21760,81.21760,0.23570,78.83540,1.14160,,19.14250,19.14250,19.14250,0.46830,0.0897,0.0897
2020-03-31,0.21810,0.21810,0.06730,0.15080,,0.15080,,0.15080,0.15080,0.15080,0.15080,0.15080,2.00000,2.00000,0.08000,0.08000,,100.00000,69.15950,69.15950,69.15950,69.15950,0.22610,77.89500,1.15540,15.63390,15.63390,15.63390,15.63390,0.48240,0.0754,0.0754
2019-12-31,0.14560,0.14560,0.03720,0.10850,,0.10850,,0.10850,0.10850,0.10850,0.10850,0.10850,2.00000,2.00000,0.05000,0.05000,,100.00000,74.46170,74.46170,74.46170,74.46170,0.15410,52.01720,1.73020,11.47760,11.47760,11.47760,11.47760,0.47240,0.0542,0.0542
2019-09-30,0.20370,0.20370,0.06820,0.13550,,0.13550,,0.13550,0.13550,0.13550,0.13550,0.13550,2.00000,2.00000,0.07000,0.07000,,100.00000,66.54070,66.54070,66.54070,66.54070,0.21810,72.74720,1.23720,14.51210,14.51210,14.51210,14.51210,0.46700,0.06780,0.06780
2019-06-30,0.19890,0.19890,0.03670,0.16220,,0.16220,,0.16220,0.16220,0.16220,0.16220,0.16220,2.00000,2.00000,0.09000,0.09000,,100.00000,81.54800,81.54800,81.54900,81.54900,0.20520,71.03180,1.26700,16.73070,16.73070,16.73070,16.73070,0.48470,0.0811,0.0811
2019-03-31,0.18110,0.18110,0.07370,0.10740,,0.10740,,0.10740,0.10740,0.10740,0.10740,0.10740,2.00000,2.00000,0.05000,0.05000,,100.00000,59.31140,59.31140,59.31030,59.31030,0.19540,64.68470,1.39140,11.58740,11.58740,11.58740,11.58740,0.46350,0.0537,0.0537
2018-12-31,0.23730,0.23730,0.09490,0.14250,,0.14250,,0.14250,0.14250,0.14250,0.14250,0.14250,2.00000,2.00000,0.07000,0.07000,,100.00000,60.02850,60.02850,60.02850,60.02850,0.24230,84.75140,1.06190,14.54470,14.54470,14.54470,14.54470,0.48970,0.0712,0.0712
2018-09-30,0.24320,0.24320,0.02120,0.22200,,0.22200,,0.22200,0.22200,0.22200,0.22200,0.22200,2.00000,2.00000,0.11000,0.11000,,100.00000,91.27420,91.27420,91.27420,91.27420,0.23640,86.86890,1.03600,21.57920,21.57920,21.57920,21.57920,0.51440,0.11100,0.11100
2018-06-30,0.24930,0.24930,0.05260,0.19670,,0.19670,,0.19670,0.19670,0.19670,0.19670,0.19670,2.00000,2.00000,0.10000,0.10000,,100.00000,78.88530,78.88530,78.88530,78.88530,0.25260,89.04070,1.01080,19.92580,19.92580,19.92580,19.92580,0.49350,0.0984,0.0984
2018-03-31,0.23990,0.23990,0.05460,0.18530,,0.18530,,0.18530,0.18530,0.18530,0.18530,0.18530,2.00000,2.00000,0.09000,0.09000,,100.00000,77.23410,77.23410,77.23410,77.23410,0.24570,85.66390,1.05060,18.97870,18.97870,18.97870,18.97870,0.48810,0.0926,0.0926
2017-12-31,0.17460,0.17460,0.08150,0.09310,,0.09310,,0.09310,0.09310,0.09310,0.09310,0.09310,2.00000,2.00000,0.05000,0.05000,,100.00000,53.30320,53.30320,53.30320,53.30320,0.18560,62.35360,1.44340,9.89560,9.89560,9.89560,9.89560,0.47020,0.0465,0.0465
2017-09-30,0.20890,0.20890,0.02190,0.18690,,0.18690,,0.18690,0.18690,0.18690,0.18690,0.18690,2.00000,2.00000,0.09000,0.09000,,100.00000,89.49300,89.49300,89.49300,89.49300,0.21900,74.59960,1.20640,19.59760,19.59760,19.59760,19.59760,0.47690,0.09350,0.09350
2017-06-30,0.33150,0.33150,0.03200,0.29950,,0.29950,,0.29950,0.29950,0.29950,0.29950,0.29950,2.00000,2.00000,0.15000,0.15000,,100.00000,90.34810,90.34810,90.34810,90.34810,0.32510,118.38220,0.76020,29.37520,29.37520,29.37520,29.37520,0.50970,0.1498,0.1498
2017-03-31,0.21760,0.21760,0.07170,0.14590,,0.14590,,0.14590,0.14590,0.14590,0.14590,0.14590,2.00000,2.00000,0.07000,0.07000,,100.00000,67.03590,67.03590,67.03590,67.03590,0.23870,77.70890,1.15820,16.00250,16.00250,16.00250,16.00250,0.45570,0.0729,0.0729
2016-12-31,0.21180,0.21180,0.07700,0.13480,,0.13480,,0.13480,0.13480,0.13480,0.13480,0.13480,2.00000,2.00000,0.07000,0.07000,,100.00000,63.64290,63.64290,63.64290,63.64290,0.24710,75.63960,1.18990,15.72500,15.72500,15.72500,15.72500,0.42860,0.0674,0.0674
2016-09-30,0.18870,0.18870,0.01730,0.17140,,0.17140,,0.17140,0.17140,0.17140,0.17140,0.17140,2.00000,2.00000,0.09000,0.09000,,100.00000,90.82470,90.82470,90.82470,90.82470,0.20860,67.39000,1.33550,18.94630,18.94630,18.94630,18.94630,0.45230,0.08570,0.08570
2016-06-30,0.18020,0.18020,0.03970,0.14050,,0.14050,,0.14050,0.14050,0.14050,0.14050,0.14050,2.00000,2.00000,0.07000,0.07000,,100.00000,77.95400,77.95400,77.95400,77.95400,0.21970,64.34930,1.39860,17.12490,17.12490,17.12490,17.12490,0.41010,0.0703,0.0703
2016-03-31,0.23770,0.23770,0.05840,0.17930,,0.17930,,0.17930,0.17930,0.17930,0.17930,0.17930,2.00000,2.00000,0.09000,0.09000,,100.00000,75.42800,75.42800,75.42800,75.42800,0.28770,84.90360,1.06000,21.70120,21.70120,21.70120,21.70120,0.41310,0.0896,0.0896
2015-12-31,0.19550,0.19550,0.07550,0.12010,,0.12010,,0.12010,0.12010,0.12010,0.12010,0.12010,2.00000,2.00000,0.06000,0.06000,,100.00000,61.40920,61.40920,61.40920,61.40920,0.23660,69.83070,1.28880,14.52640,14.52640,14.52640,14.52640,0.41330,0.06,0.06
2015-09-30,0.29220,0.29220,0.02390,0.26830,,0.26830,,0.26830,0.26830,0.26830,0.26830,0.26830,2.00000,2.00000,0.13000,0.13000,,100.00000,91.82070,91.82070,91.82070,91.82070,0.34810,104.35710,0.86240,31.96120,31.96120,31.96120,31.96120,0.41970,0.13420,0.13420
2015-06-30,0.27990,0.27990,0.03560,0.24440,,0.24440,,0.24440,0.24440,0.24440,0.24440,0.24440,2.00000,2.00000,0.12000,0.29000,,100.00000,87.29870,87.29870,87.29880,87.29880,0.35210,99.97890,0.90020,30.73750,30.73750,30.73750,30.73750,0.39750,0.1221,0.1221
2015-03-31,0.40980,0.40980,0.06280,0.34690,,0.34690,,0.34690,0.34690,0.34690,0.34690,0.34690,2.00000,2.00000,0.17000,0.17000,,100.00000,84.66680,84.66680,84.66680,84.66680,0.48760,146.34930,0.61500,41.27990,41.27990,41.27990,41.27990,0.42020,0.1735,0.1735
2014-12-31,0.69320,0.69320,0.07700,0.61620,,0.61620,,0.61620,0.61620,0.61620,0.61620,0.61620,2.00000,2.00000,0.31000,0.31000,,100.00000,88.88670,88.88670,88.88670,88.88670,0.62240,247.57110,0.36350,55.32470,55.32470,55.32470,55.32470,0.55690,0.3081,0.3081
2014-09-30,0.73240,0.73240,0.05120,0.68120,,0.68120,,0.68120,0.68120,0.68120,0.68120,0.68120,2.00000,2.00000,0.34000,0.34000,,100.00000,93.01240,93.01240,93.01240,93.01240,0.67720,261.56140,0.34410,62.98740,62.98740,62.98740,62.98740,0.54070,0.34060,0.34060
2014-06-30,0.80190,0.80190,0.09160,0.71030,,0.71030,,0.71030,0.71030,0.71030,0.71030,0.71030,2.00000,2.00000,0.36000,0.36000,,100.00000,88.57790,88.57790,88.57800,88.57800,0.70660,286.37850,0.31430,62.59310,62.59310,62.59310,62.59310,0.56740,0.3551,0.3551
2014-03-31,0.57130,0.57130,0.08430,0.48700,,0.48700,,0.48700,0.48700,0.48700,0.48700,0.48700,2.00000,2.00000,0.24000,0.24000,,100.00000,85.24830,85.24830,85.24830,85.24830,0.56120,204.02960,0.44110,47.83940,47.83940,47.83940,47.83940,0.50900,0.2436,0.2436
2013-12-31,0.97060,0.97060,0.06960,0.90100,,0.90100,,0.90100,0.90100,0.90100,0.90100,0.90100,2.00000,2.00000,0.45000,0.45000,,100.00000,92.83030,92.83030,92.83020,92.83020,0.77400,346.64470,0.25960,71.84600,71.84600,71.84600,71.84600,0.62700,0.4505,0.4505
2013-09-30,0.78180,0.78180,0.06460,0.71730,,0.71730,,0.71730,0.71730,0.71730,0.71730,0.71730,2.00000,2.00000,0.36000,0.36000,,100.00000,91.74330,91.74330,91.74330,91.74330,0.70430,279.22680,0.32230,64.61710,64.61710,64.61710,64.61710,0.55500,0.35860,0.35860
2013-06-30,0.78020,0.78020,0.05470,0.72550,,0.72550,,0.72550,0.72550,0.72550,0.72550,0.72550,2.00000,2.00000,0.36000,0.36000,,100.00000,92.98600,92.98600,92.98600,92.98600,0.71220,278.64960,0.32300,66.22340,66.22340,66.22340,66.22340,0.54780,-0.6679,-0.6679
2013-03-31,0.81170,0.81170,0.07870,0.73300,,0.73300,,0.73300,0.73300,0.73300,0.73300,0.73300,2.00000,2.00000,0.37000,0.37000,,100.00000,90.30050,90.30050,90.30050,90.30050,0.70020,289.90790,0.31040,63.23130,63.23130,63.23130,63.23130,0.57960,0.3665,0.3665
2012-12-31,0.70760,0.70760,0.10480,0.60280,,0.60280,,0.60280,0.60280,0.60280,0.60280,0.60280,2.00000,2.00000,0.30000,0.30000,,100.00000,85.18940,85.18940,85.18940,85.18940,0.64530,252.70500,0.35610,54.96990,54.96990,54.96990,54.96990,0.54830,0.3014,0.3014
2012-09-30,0.69630,0.69630,0.03550,0.66090,,0.66090,,0.66090,0.66090,0.66090,0.66090,0.66090,2.00000,2.00000,0.33000,0.33000,,100.00000,94.90480,94.90480,94.90480,94.90480,0.64450,248.69360,0.36190,61.16950,61.16950,61.16950,61.16950,0.54020,0.33040,0.33040
2012-06-30,0.83290,0.83290,0.06230,0.77060,,0.77060,,0.77340,0.77340,0.77340,0.77060,0.77060,2.00000,2.00000,0.38000,0.38000,,100.00000,92.52190,92.52190,92.52200,92.85810,0.70170,297.47380,0.30250,65.15640,65.15640,65.15640,65.15640,0.59350,0.3868,0.3868
2012-03-31,1.05960,1.05960,0.08640,0.97320,,0.97320,,0.97320,0.97320,0.97320,0.97320,0.97320,2.00000,2.00000,0.49000,0.49000,,100.00000,91.84960,91.84960,91.84960,91.84960,0.83060,73.45330,1.22530,76.28690,76.28690,76.28690,76.28690,0.63790,0.4866,0.4866
2011-12-31,1.08520,1.08520,0.10920,0.97600,,0.97600,0.00280,0.97320,0.97320,0.97320,0.97600,0.97600,2.00000,2.00000,0.49000,0.49000,,100.00000,89.93580,89.93580,89.93580,89.67780,0.83020,75.22900,1.19630,74.44700,74.44700,74.44700,74.44700,0.65360,0.4865,0.4865
2011-09-30,1.13360,1.13360,0.03670,1.09690,,1.09690,,1.09690,1.09690,1.09690,1.09690,1.09690,2.00000,2.00000,0.55000,0.55000,,100.00000,96.76620,96.76620,96.76620,96.76620,0.82310,78.58310,1.14530,79.64680,79.64680,79.64680,79.64680,0.68860,0.54850,0.54850
2011-06-30,0.97400,0.97400,0.06000,0.91400,,0.94000,0.00000,0.94000,0.92200,0.92200,0.91400,0.91400,2.00000,2.00000,0.46000,0.46000,,100.61600,93.83980,93.83980,96.50920,94.66120,0.71600,67.52170,1.33290,67.77460,67.77460,67.77460,67.77460,0.68020,0.4609,0.4609
2011-03-31,0.90190,0.90190,0.10210,0.79990,,0.79990,,0.79990,0.79990,0.79990,0.79990,0.79990,2.00000,2.00000,0.40000,0.40000,,100.00000,88.68190,88.68190,88.68190,88.68190,0.71580,,,63.48060,63.48060,63.48060,63.48060,,0.3999,0.3999
2010-12-31,0.75520,0.75520,0.05570,0.69950,,0.69950,,0.69950,0.69950,0.69950,0.69950,0.69950,2.00000,2.00000,0.35000,0.35000,,100.00000,92.63000,92.63000,92.63000,92.63000,0.64000,,,,59.28200,59.28200,59.28200,,0.3498,0.3498
2010-09-30,0.81270,0.81270,0.04610,0.76660,,0.76660,,0.76660,0.76660,0.76660,0.76660,0.76660,2.00000,2.00000,0.38000,0.38000,,100.00000,94.32620,94.32620,94.32620,94.32620,0.69460,,,,65.52000,65.52000,65.52000,,0.38330,0.38330
2010-06-30,0.79000,0.79000,0.10000,0.69000,,0.71000,0.00000,0.71000,0.69300,0.69300,0.69000,0.69000,1.98000,1.98000,0.35000,0.35000,,100.00000,87.34180,87.34180,89.87340,87.72150,0.68700,,,,60.26090,60.26090,60.26090,,1.3336,1.3336
2010-03-31,0.80300,0.80300,0.06000,0.74300,,0.74000,0.00000,0.74000,0.74300,0.74300,0.74300,0.74300,2.00000,2.00000,0.37000,0.37000,,99.62640,92.52800,92.52800,92.15440,92.52800,0.66360,,,,61.40500,61.40500,61.40500,,0,0
2009-12-31,0.66200,0.66200,0.08000,0.58200,,0.57000,0.00000,0.57000,0.57600,0.57600,0.58200,0.58200,2.00000,2.00000,0.29000,0.29000,,99.69790,87.91540,87.91540,86.10270,87.00910,0.59110,,,51.42860,51.42860,51.42860,51.42860,,0,0
2009-09-30,0.69700,0.69700,0.06000,0.63700,,0.62000,0.00000,0.62000,0.62900,0.62900,0.63700,0.63700,2.00000,2.00000,0.32000,0.32000,,98.99570,91.39170,91.39170,88.95270,90.24390,0.58570,,,,52.85710,52.85710,52.85710,,0.00000,
2009-06-30,0.64000,0.64000,0.09000,0.55000,0.00600,0.58000,-0.01400,0.59400,0.59400,0.59400,0.55000,0.55000,2.04800,2.04800,0.29000,0.29000,,100.00000,85.93750,85.93750,90.62500,92.81250,0.60950,,,,56.57140,56.57140,56.57140,,0,0
2009-03-31,0.69100,0.69100,0.10000,0.59100,0.00100,0.59000,0.00000,0.59000,0.59000,0.59000,0.59100,0.59100,2.00000,2.00000,0.29000,0.29000,123.75000,99.85530,85.52820,85.52820,85.38350,85.38350,0.69800,,,,60.08150,59.59600,60.20410,,0,0
