Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2020-03-31,0.37830,0.37830,0.01760,,0.36500,0.36500,0.36500,0.36500,0.36500,0.36930,0.36930,1.86400,1.86400,0.19580,0.19580,2.86910,100.00000,96.48120,97.62530,96.48120,96.48120,0.12970,14.90120,14.90120,12.51150,14.90120,1.31400
2019-12-31,0.28990,0.28990,0.06260,,0.23220,0.23220,0.23220,0.23220,0.23220,0.23730,0.23730,1.86400,1.86400,0.12470,0.12470,4.81950,100.00000,80.12200,81.85700,80.12200,80.12200,0.10210,8.98610,8.98610,8.17670,8.98610,1.38650
2019-09-30,0.20320,0.20320,0.04240,,0.16820,0.16820,0.16820,0.16820,0.16820,0.17560,0.17560,1.86400,1.86400,0.09020,0.09020,6.99120,100.00000,82.78010,86.42350,82.78010,82.78010,0.07240,6.37720,6.37720,5.99730,6.37720,1.41480
2019-06-30,0.58850,0.58850,0.05020,,0.54730,0.54730,0.54730,0.54730,0.54730,0.55630,0.55630,1.86360,1.86360,0.29370,0.29370,2.65510,100.00000,93.00670,94.53810,93.00670,93.00670,0.18020,20.55680,20.55680,16.75570,20.55680,1.42840
2019-03-31,0.72690,0.72690,0.04750,,0.68730,0.68730,0.68730,0.68730,0.68730,0.69530,0.69530,1.86400,1.86400,0.36880,0.36880,2.57830,100.00000,94.55560,95.65230,94.55560,94.55560,0.21210,24.92060,24.92070,20.05390,24.92060,1.47960
2018-12-31,0.60490,0.60490,0.00360,,0.60790,0.60790,0.60790,0.60790,0.60790,0.61440,0.61440,1.86400,1.86400,0.32620,0.32620,2.83290,100.00000,100.49510,101.57750,100.49520,100.49510,0.18010,21.77220,21.77220,18.09960,21.77220,1.49790
2018-09-30,0.44960,0.44960,0.04470,,0.41080,0.41080,0.41080,0.41080,0.41080,0.41680,0.41680,1.86400,1.86400,0.22040,0.22040,3.47420,100.00000,91.38510,92.72060,91.38510,91.38510,0.14040,14.68130,14.68130,12.83330,14.68130,1.50120
2018-06-30,0.53030,0.53030,0.05210,,0.48400,0.48400,0.48400,0.48400,0.48400,0.48980,0.48980,1.86360,1.86360,0.25970,0.25970,2.79640,100.00000,91.27730,92.37920,91.27730,91.27730,0.15640,17.03960,17.03960,14.27290,17.03960,1.52390
2018-03-31,0.74760,0.74760,0.11680,,0.63540,0.63540,0.63540,0.63540,0.63540,0.64000,0.64000,1.86400,1.86400,0.34100,0.34100,2.50960,100.00000,84.99230,85.60190,84.99230,84.99230,0.20410,21.44220,21.44220,17.34810,21.44220,1.58980
2017-12-31,0.76660,0.76660,-0.03290,,0.80290,0.80290,0.80290,0.80290,0.80290,0.80630,0.80630,1.86400,1.86400,0.43080,0.43080,2.64190,100.00000,104.73220,105.17480,104.73220,104.73220,0.20280,25.91790,25.91790,21.24200,25.91790,1.66200
2017-09-30,0.62640,0.62640,0.03560,,0.59400,0.59400,0.59400,0.59400,0.59400,0.59710,0.59710,1.86400,1.86400,0.31870,0.31870,2.55290,100.00000,94.82310,95.33110,94.82310,94.82310,0.16940,19.45010,19.45010,16.06660,19.45010,1.63830
2017-06-30,0.71720,0.71720,0.04980,,0.66970,0.66970,0.66970,0.66970,0.66970,0.67200,0.67200,1.86400,1.86400,0.35940,0.35940,2.48820,100.00000,93.37270,93.69180,93.37270,93.37270,0.18310,20.84620,20.84620,17.09870,20.84620,1.72350
2017-03-31,0.91850,0.91850,0.04830,,0.87160,0.87160,0.87160,0.87160,0.87160,0.87300,0.87300,1.86400,1.86400,0.46770,0.46770,2.37100,100.00000,94.89480,95.04260,94.89480,94.89480,0.22050,25.81600,25.81600,20.92390,25.81600,1.81140
2016-12-31,0.52540,0.52540,0.02960,,0.49650,0.49650,0.49650,0.49650,0.49650,0.49710,0.49710,1.86400,1.86400,0.26640,0.26640,2.65530,100.00000,94.49480,94.61740,94.49480,94.49480,0.12990,14.43460,14.43460,12.27800,14.43460,1.84510
2016-09-30,0.45180,0.45180,0.03620,,0.41610,0.41610,0.41610,0.41610,0.41610,0.41670,0.41670,1.86360,1.86360,0.22330,0.22330,4.59940,100.00000,92.10240,92.22370,92.10240,92.10240,0.11410,11.39780,11.39780,10.51170,11.39780,1.95850
2016-06-30,0.18300,0.18300,0.03830,,0.14510,0.14510,0.14510,0.14510,0.14510,0.14560,0.14560,1.86400,1.86400,0.07790,0.07790,7.85170,100.00000,79.31400,79.55990,79.31400,79.31400,0.04830,3.98000,3.98000,3.82700,3.98000,1.95630
2016-03-31,0.20460,0.20460,0.04870,,0.15620,0.15620,0.15620,0.15620,0.15620,0.15650,0.15650,1.86400,1.86400,0.08380,0.08380,7.68970,100.00000,76.33800,76.46360,76.33800,76.33810,0.05320,4.22950,4.22950,4.06500,4.22950,1.98160
2015-12-31,0.42980,0.42980,0.03090,,0.39880,0.39880,0.39880,0.39880,0.39880,0.39880,0.39880,1.86400,1.86400,0.21390,0.21390,3.39250,100.00000,92.80200,92.80300,92.80200,92.80200,0.10370,10.69850,10.69850,9.62650,10.69850,2.00000
2015-09-30,0.40110,0.40110,-0.01080,,0.41200,0.41200,0.41200,0.41200,0.41200,0.41200,0.41200,1.86400,1.86400,0.22110,0.22110,3.90150,100.00000,102.69810,102.69810,102.69810,102.69810,0.09670,10.83920,10.83920,9.93010,10.83920,2.03900
2015-06-30,0.45580,0.45580,-0.02380,,0.47970,0.47970,0.47970,0.47970,0.47970,0.47970,0.47970,1.86360,1.86360,0.25740,0.25740,3.27010,100.00000,105.23540,105.24090,105.23540,105.23540,0.10800,12.60830,12.60830,11.36420,12.60830,2.04110
2015-03-31,0.79010,0.79010,0.16490,,0.62520,0.62520,0.62520,0.62520,0.62520,0.62520,0.62520,1.86360,1.86360,0.33550,0.33550,2.18800,100.00000,79.12500,79.12500,79.12500,79.12500,0.17370,16.42600,16.42600,13.74370,16.42600,2.04180
2014-12-31,1.14920,1.14920,0.03210,,1.11710,1.11710,1.11710,1.11710,1.11710,1.11720,1.11720,1.86400,1.86400,0.59950,0.59950,1.89520,100.00000,97.20600,97.20910,97.20610,97.20600,0.22400,27.83160,27.83160,21.77210,27.83160,2.15330
2014-09-30,1.81060,1.81060,0.03660,,1.77400,1.77400,1.77400,1.77400,1.77400,1.77400,1.77400,1.86400,1.86400,0.95190,0.95190,1.56370,100.00000,97.98100,97.98100,97.98100,97.98100,0.30720,43.05610,43.05610,30.09740,43.05610,2.21040
2014-06-30,2.48770,2.48770,0.04640,,2.44130,2.44130,2.44130,2.44130,2.44130,2.44130,2.44130,1.86400,1.86400,1.31000,1.31000,1.40960,100.00000,98.13500,98.13500,98.13500,98.13500,0.36530,55.88510,55.88510,35.85020,55.88510,2.34350
2014-03-31,1.24460,1.24460,0.04340,,1.20120,1.20120,1.20120,1.20120,1.20120,1.20120,1.20120,1.86400,1.86400,0.64450,0.64450,1.83250,100.00000,96.51180,96.51470,96.51180,96.51190,0.21620,26.36020,26.36020,20.86110,26.36020,2.44460
2013-12-31,0.97890,0.97890,0.03970,,0.93930,0.93930,0.93930,0.93930,0.93930,0.93930,0.93930,1.86400,1.86400,0.50400,0.50400,2.06470,100.00000,95.94630,95.94630,95.94630,95.94630,0.17270,19.85760,19.85760,16.56760,19.85760,2.53750
2013-09-30,0.91700,0.91700,0.03320,,0.88380,0.88380,0.88380,0.88380,0.88380,0.88390,0.88390,1.86400,1.86400,0.47430,0.47430,2.13140,100.00000,96.37920,96.38170,96.37920,96.37920,0.15890,18.08860,18.08860,15.31780,18.08860,2.62130
2013-06-30,0.69040,0.69040,0.03710,,0.65330,0.65330,0.65330,0.65330,0.65330,0.65330,0.65330,1.86400,1.86400,0.35050,0.35050,2.53070,100.00000,94.62560,94.63180,94.62560,94.62560,0.12010,12.81690,12.81690,11.36080,12.81690,2.73450
2013-03-31,1.03910,1.03910,0.05300,,0.98610,0.98610,0.98610,0.98610,0.98610,0.98620,0.98620,1.86360,1.86360,0.52920,0.52920,2.02040,100.00000,94.90470,94.90870,94.90470,94.90470,0.16680,,18.78350,15.82880,18.78350,
2012-12-31,0.85500,0.85500,0.05000,,0.80500,0.84000,0.84000,0.83000,0.83000,0.80500,0.80500,1.86300,1.86300,0.45000,0.45000,2.20430,101.75440,94.15210,94.15210,98.24560,97.07600,0.13540,15.13270,15.13270,13.14290,15.13270,2.94250
2012-09-30,0.73720,0.73720,0.12850,,0.68880,0.68880,0.68880,0.68880,0.68880,0.76880,0.76880,1.86400,1.86400,0.36960,0.36960,2.47060,100.00000,93.43220,104.28900,93.43220,93.43220,0.11540,,12.06320,10.77950,12.08440,
2012-06-30,0.91970,0.91970,0.03870,,0.88110,0.88110,0.88110,0.88110,0.88110,0.88110,0.88110,1.86360,1.86360,0.47280,0.47280,2.13640,100.00000,95.79820,95.80460,95.79820,95.79820,0.13730,,15.13830,13.15000,15.13830,
2012-03-31,1.26900,1.26900,0.06000,,1.20900,1.20000,1.20000,1.20100,1.20100,1.20900,1.20900,1.86400,1.86400,0.64000,0.64000,1.83330,99.29080,95.27190,95.27190,94.56270,94.64140,0.17770,,20.21890,16.82070,20.21890,
2011-12-31,1.63700,1.63700,-0.20000,,1.83700,1.85000,1.85000,1.60200,1.60200,1.83700,1.83700,2.20800,2.20800,0.72000,0.72000,1.74070,100.79410,112.21750,112.21750,113.01160,97.86200,0.22030,,26.34870,21.56120,26.34870,
2011-09-30,2.08100,2.08100,0.02000,,2.06100,2.05000,2.05000,1.80200,1.80200,2.06100,2.06100,1.86400,1.86400,0.97000,0.97000,1.41670,99.95190,99.03890,99.03890,98.51030,86.59300,0.26680,,30.03330,23.10260,30.08350,
2011-06-30,1.50400,1.50400,0.04000,,1.46400,1.46000,1.46000,1.46000,1.46000,1.46400,1.46400,1.86400,1.86400,0.78000,0.78000,1.41320,99.73410,97.34040,97.34040,97.07450,97.07450,0.21270,,24.91470,20.65060,24.91470,
2011-03-31,1.43900,1.43900,0.29000,,1.14900,1.14000,1.14000,1.14300,1.14300,1.14900,1.14900,1.86400,1.86400,0.61000,0.61000,1.00000,99.37460,79.84710,79.84710,79.22170,79.43020,0.21800,,20.93410,17.31820,20.93410,
2010-12-31,1.41800,1.41800,0.04000,,1.37800,1.40000,1.40000,1.39100,1.39100,1.37800,1.37800,1.86400,1.86400,0.75000,0.75000,1.00000,100.14100,97.17910,97.17910,98.73060,98.09590,0.20430,,25.06310,20.04320,25.06310,
2010-09-30,1.45400,1.45400,0.03000,,1.42400,1.41000,1.41000,1.41500,1.41500,1.42400,1.42400,1.86400,1.86400,0.76000,0.76000,1.00000,99.72490,97.93670,97.93670,96.97390,97.31770,0.20590,,25.04430,20.04250,25.04430,
2010-06-30,2.04300,2.04300,0.05000,,1.99300,1.98000,1.98000,1.98500,1.98500,1.99300,1.99300,1.86400,1.86400,1.06000,1.06000,1.00000,99.85320,97.55260,97.55260,96.91630,97.16100,0.26060,,33.87370,25.31890,33.93160,
2010-03-31,1.77100,1.77100,0.04000,,1.73100,1.73000,1.73000,1.73000,1.73000,1.73100,1.73100,1.86400,1.86400,0.93000,0.93000,1.00000,99.94350,97.74140,97.74140,97.68490,97.68490,0.22450,,28.08440,21.92650,28.08440,
2009-12-31,1.24900,1.24900,0.06000,,1.18900,1.20000,1.20000,1.19500,1.19500,1.18900,1.18900,1.86400,1.86400,0.64000,0.64000,1.00000,100.88070,95.19620,95.19620,96.07690,95.67650,0.16480,,18.70110,15.76520,18.73040,
2009-09-30,0.92300,0.92300,0.06000,,0.86300,0.86000,0.86000,0.86300,0.86300,0.86300,0.86300,1.86400,1.86400,0.46000,0.46000,1.00000,99.67500,93.49950,93.49950,93.17440,93.49950,0.12360,,13.05600,11.55290,13.05600,
2009-06-30,0.74500,0.74500,0.04000,,0.70500,0.70000,0.70000,0.70100,0.70100,0.70500,0.70500,1.86400,1.86400,0.38000,0.38000,1.00000,99.32890,94.63090,94.63090,93.95970,94.09400,0.09970,,10.35450,9.38420,10.36980,
2009-03-31,1.13500,1.13500,0.04000,,1.09500,1.08000,1.08000,1.08600,1.08600,1.09500,1.09500,1.86400,1.86400,0.58000,0.58000,1.00000,99.55950,96.47580,96.47580,95.15420,95.68280,0.14240,,15.76200,13.62610,15.76200,
