Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,42.15090,42.15090,12.39340,-0.65840,19.75390,19.75390,,19.75390,-7.22640,12.44900,12.44900,34.20170,29.09910,57.76700,57.76700,0.22000,0.22000,0.55490,1.24680,46.86480,69.03560,46.86480,29.53430,0.02260,1.50990,1.50990,0.66610,0.67210,14.27220,0.46190,0.46190
2021-12-31,39.58110,39.58110,-6.10860,-0.66730,35.36980,17.64290,,17.64290,21.44830,32.58270,32.58270,22.26210,45.02230,57.76700,57.76700,0.57000,0.57000,0.54970,1.22060,89.36050,113.74720,44.57420,82.31900,0.02090,3.92820,3.92820,1.72010,1.76900,14.35870,-0.5773,-0.5773
2021-09-30,42.71610,42.71610,12.89610,-0.61040,18.69160,18.69160,,18.69160,-15.72040,10.89670,10.89670,36.74700,29.20960,57.76700,57.76700,0.19000,0.19000,0.54570,1.20100,43.75780,68.38080,43.75780,25.50960,0.02330,1.33830,1.33830,0.59430,0.60810,14.09460,0.9772,0.9772
2021-06-30,41.64470,41.64470,12.51300,-0.65210,17.76720,17.76720,,17.76720,37.29600,54.82660,54.82660,-10.02670,28.47960,57.76700,57.76700,0.95000,0.95000,0.54700,1.20770,42.66380,68.38700,42.66380,131.65320,0.02210,6.68100,6.68100,2.91170,3.02620,14.20600,0.2548,0.2548
2021-03-31,41.16390,41.16390,11.90930,-0.70730,18.44140,18.44140,,18.44140,13.93610,35.48480,35.48480,13.92910,28.54730,57.76700,57.76700,0.61000,0.61000,0.55660,1.25520,44.79990,69.35030,44.79990,86.20370,0.02280,4.53110,4.53110,1.96930,2.00920,13.55690,-2.08470,-2.08470
2020-12-31,42.89040,42.89040,12.42130,-0.56840,19.99400,19.99400,,19.99400,20.05230,47.98830,47.98830,7.82050,29.90070,57.99100,57.99100,0.80000,0.80000,0.52630,1.11120,46.61640,69.71420,46.61640,111.88600,0.02570,6.27310,6.27310,2.87010,2.97140,13.24260,1.4551,1.4551
2020-09-30,42.84770,42.84770,12.41050,-0.58520,20.12270,20.12270,,20.12270,44.38910,46.51630,46.51630,-18.63730,29.85200,57.76700,57.76700,0.81000,0.81000,0.55920,1.26880,46.96330,69.66990,46.96330,108.56200,0.02540,6.33450,6.33450,2.75440,2.79200,12.71190,0.5222,0.5222
2020-06-30,45.11440,45.11440,12.58690,-0.82970,21.05240,21.05240,,21.05240,25.71480,46.35130,46.35130,5.03490,31.69780,57.76700,57.76700,0.80000,0.80000,0.56790,1.31410,46.66440,70.26090,46.66440,102.74160,0.02720,6.57330,6.57330,2.79880,2.84060,12.20670,1.2551,1.2551
2020-03-31,41.25120,41.25120,7.67440,-0.56820,22.05290,22.05290,,22.05290,-96.49080,-69.48140,-69.48140,128.83420,33.00860,58.66800,58.66800,-1.18000,-1.18000,0.58690,1.42070,53.46010,80.01850,53.46010,-168.43490,0.02480,-10.22410,-10.22410,-4.17710,-4.22370,11.76420,-1.12300,-1.12300
2019-12-31,47.81040,47.81040,12.51950,-0.73350,22.41020,22.41020,,22.41020,52.58000,-1.15520,-1.15520,-19.17970,34.55740,58.76600,58.76600,-0.02000,-0.02000,0.53900,1.16940,46.87300,72.28000,46.87300,-2.41620,0.02780,-0.14880,-0.14880,-0.06710,-0.06860,13.21030,1.0872,1.0872
2019-09-30,51.64040,51.64040,13.27860,-0.62820,25.31420,25.31420,,25.31420,-6.65150,18.43810,18.43810,42.05830,37.73350,58.76600,58.76600,0.31000,0.31000,0.55230,1.23340,49.02020,73.06980,49.02020,35.70470,0.02870,2.30870,2.30870,1.02390,1.03370,13.58990,0.0522,0.0522
2019-06-30,48.17460,48.17460,12.40960,-0.80680,23.81360,23.81360,,23.81360,-34.63750,-10.82390,-10.82390,66.96480,34.95830,58.76600,58.76600,-0.18000,-0.18000,0.53100,1.13230,49.43190,72.56570,49.43190,-22.46800,0.02760,-1.35070,-1.35070,-0.62120,-0.63340,13.63610,-1.4102,-1.4102
2019-03-31,47.54050,47.54050,12.84060,-0.69220,23.32010,23.32010,,23.32010,1.05870,24.12180,24.12180,31.21130,34.00770,58.76700,58.76700,0.41000,0.41000,0.49150,0.96670,49.05310,71.53420,49.05310,50.73950,0.02860,2.89470,2.89470,1.45040,1.47190,14.18030,0.35070,0.35070
2018-12-31,48.38260,48.38260,13.61550,-0.66190,23.45410,23.45410,,23.36140,5.64560,-1.02190,-1.02190,27.40540,34.10520,58.81500,58.81500,-0.02000,-0.02000,0.49230,0.96960,48.47620,70.49060,48.47620,-2.11220,0.02920,-0.12310,-0.12310,-0.06160,-0.06250,14.12970,-1.3677,-1.3677
2018-09-30,49.48060,49.48060,14.04910,-0.84800,24.51190,24.51190,,24.51190,-10.42700,15.19140,15.19140,43.25780,34.58350,58.80600,58.80600,0.26000,0.26000,0.47260,0.89610,49.53850,69.89310,49.53850,30.70170,0.02940,1.78090,1.78090,0.90150,0.93930,14.50700,2.0913,2.0913
2018-06-30,48.42090,48.42090,13.71720,-0.65330,23.94620,23.94620,,23.94620,-20.53610,4.11760,4.11760,53.60540,34.05040,58.82300,58.82300,0.07000,0.07000,0.48280,0.93360,49.45430,70.32160,49.45430,8.50390,0.02870,0.47930,0.47930,0.24440,0.24790,14.60870,0.0612,0.0612
2018-03-31,44.21510,44.21510,12.48460,-0.52350,21.56510,21.56510,,21.56510,6.25640,27.18880,27.18880,23.71960,31.20700,58.84400,58.84400,0.46000,0.46000,0.46720,0.87690,48.77320,70.58010,48.77330,61.49220,0.02650,3.10170,3.10170,1.63240,1.65260,14.89860,-1.57320,-1.57320
2017-12-31,47.10690,47.10690,7.21900,-0.70840,29.95210,29.95210,,29.91570,-1.15580,19.63310,13.65000,37.10680,39.17950,57.00100,57.00100,0.22000,0.22000,0.45440,0.83290,63.58310,83.17140,63.58320,28.97660,0.02890,2.25480,2.25480,1.20490,1.23020,14.79650,-0.4753,-0.4753
2017-09-30,43.28890,43.28890,6.80740,-0.70080,27.56770,27.56770,,27.56770,-2.77230,20.13150,14.61800,37.43150,35.78080,58.79200,58.79200,0.25000,0.25000,0.43130,0.75840,63.68310,82.65570,63.68310,33.76830,0.02640,2.29450,2.29450,1.22590,1.30490,14.92380,-0.4134,-0.4134
2017-06-30,46.23060,46.23060,6.54090,-0.75780,31.03630,31.03630,,31.03630,-2.81240,26.43480,20.22750,38.94860,38.93190,57.27600,57.27600,0.35000,0.35000,0.39900,0.66380,67.13370,84.21250,67.13370,43.75350,0.03030,2.99060,2.99060,1.73260,1.79750,15.03510,-1.0869,-1.0869
2017-03-31,39.34300,39.34300,6.15110,-0.55500,24.88190,24.88190,,24.88190,4.61750,24.41190,19.43560,24.78270,32.63690,53.04200,53.04200,0.37000,0.37000,0.43470,0.76880,63.24350,82.95480,63.24350,49.40030,0.02780,3.08510,3.08510,1.72630,1.74420,14.91800,-0.27380,-0.27380
2016-12-31,39.52730,39.52730,6.17870,-1.57980,24.15370,24.15370,,23.58420,15.06280,27.63780,22.92100,11.94430,31.76880,50.94800,50.94800,0.44000,0.44000,0.41950,0.72280,61.10630,80.37180,61.10630,57.98770,0.02850,3.49430,3.49430,1.99180,2.02830,14.91150,-0.1719,-0.1719
2016-09-30,38.46900,38.46900,6.04910,-0.55590,25.66510,25.66510,,25.66510,0.87000,25.87380,20.74080,28.49940,31.86390,52.73700,52.73700,0.39000,0.39000,0.44520,0.80260,66.71620,82.83010,66.71620,53.91560,0.02670,3.28720,3.28720,1.79450,1.82360,14.83930,-0.582,-0.582
2016-06-30,35.59520,35.59520,6.06940,-0.55830,23.13370,23.13370,,23.13370,3.37840,25.80910,21.18230,23.05340,28.96750,49.22400,49.22400,0.43000,0.43000,0.40880,0.69150,64.99120,81.38030,64.99120,59.50900,0.02710,3.45410,3.45410,1.96180,2.04210,14.73600,0.5592,0.5592
2016-03-31,34.58930,34.58930,5.71790,-0.45570,22.87040,22.87040,,22.87040,-4.19460,16.04710,11.47310,30.86130,28.41570,48.74600,48.74600,0.24000,0.24000,0.43040,0.75570,66.11980,82.15160,66.11980,33.16940,0.02720,2.24730,2.24730,1.26230,1.28000,14.66420,-0.70980,-0.70980
2015-12-31,39.61600,39.61600,6.45440,-0.38220,26.91470,26.91470,,26.03800,-4.76160,7.29860,2.14500,32.42630,32.77940,48.86300,48.86300,0.04000,0.04000,0.40830,0.69010,67.93900,82.74270,67.93910,5.41440,0.03200,1.01090,1.01090,0.58900,0.59820,14.78400,1.9099,1.9099
2015-09-30,35.49910,35.49910,5.76710,-0.86620,24.25500,24.25500,,24.25500,-7.62190,22.36880,17.46790,33.31790,28.86570,48.95800,48.95800,0.36000,0.36000,0.43780,0.77860,68.32570,81.31400,68.32570,49.20680,0.02660,3.02730,3.02730,1.67700,1.70210,15.09990,-0.7829,-0.7829
2015-06-30,38.93780,38.93780,6.50960,-0.84280,27.26930,27.26930,,27.26930,7.12820,25.05430,20.94160,20.91470,31.58540,48.90310,48.90310,0.43000,0.43000,0.33160,0.49610,70.03300,81.11740,70.03300,53.78200,0.03040,3.38830,2.98150,1.95600,1.99280,17.16390,0.4819,0.4819
2015-03-31,32.81540,32.81540,5.29690,-0.47340,22.94050,22.94050,,22.94050,0.52190,23.37600,18.51440,25.56850,27.04510,48.71100,48.71100,0.38000,0.38000,0.30630,0.44160,69.90780,82.41600,69.90780,56.41990,0.02600,3.19210,2.69690,1.85450,1.87070,17.78980,-0.77000,-0.77000
2014-12-31,32.13500,32.13500,4.66140,-0.32710,22.68430,22.68430,,21.87550,-8.78230,-3.09200,-7.05410,36.06130,28.49390,39.39600,39.39600,-0.24000,-0.24000,0.27520,0.37970,70.59060,88.66930,70.59060,-21.95160,0.02660,-0.42290,-0.35720,-0.25640,-0.25890,17.77070,-2.3768,-2.3768
2014-09-30,27.19050,27.19050,4.64460,-0.26480,19.20020,19.20020,,19.20020,-5.43310,14.69500,11.46630,26.38490,21.73570,40.08000,40.08000,0.29000,0.29000,0.28780,0.40410,70.61370,79.93890,70.61370,42.17020,0.02430,2.24270,1.86080,1.31250,1.32530,18.62140,-3.7112,-3.7112
2014-06-30,24.58730,24.58730,4.26290,-0.44910,18.42620,18.42620,,18.42620,-3.94570,15.41430,12.04580,21.78030,19.44600,36.20000,36.20000,0.33000,0.33000,0.26620,0.36280,74.94200,79.08950,74.94200,48.99180,0.02560,2.77240,2.23240,1.60800,1.63810,19.07430,-2.0482,-2.0482
2014-03-31,22.66860,22.66860,3.72880,-0.31960,17.79070,17.79070,,17.79070,11.97540,22.97070,18.08960,5.91470,18.24750,36.20000,36.20000,0.50000,0.50000,0.18510,0.22710,78.48130,80.49670,78.48130,79.80020,0.02640,4.12490,3.32250,2.67920,2.70760,19.09860,-1.20660,-1.20660
2013-12-31,20.98570,20.98570,3.29550,-0.22260,16.26230,16.26230,,15.28460,47.73230,18.40520,14.43970,-30.65020,17.93790,25.92600,25.92600,0.43000,0.43000,0.12180,0.13860,77.49200,85.47660,77.49200,68.80710,0.02610,3.34170,2.68580,2.29110,2.35880,18.93050,-2.7498,-2.7498
2013-09-30,17.28840,17.28840,2.91360,-0.22730,13.58800,13.58800,,13.58800,2.13260,16.52500,12.90960,11.03060,13.92870,26.65500,26.65500,0.48000,0.48000,0.21840,0.27940,78.59610,80.56680,78.59610,74.67240,0.02370,4.10680,3.07780,2.26600,2.40570,20.14310,-4.985,-4.985
2013-06-30,14.46920,14.46920,2.45350,-0.22450,11.46150,11.46150,,11.46150,4.75350,12.11990,9.39710,6.56250,11.64820,23.64000,23.64000,0.40000,0.40000,0.05830,0.06190,79.21330,80.50370,79.21330,64.94530,0.02320,3.04110,2.27380,1.94410,2.14120,19.99710,-0.0906,-0.0906
2013-03-31,16.86570,16.86570,2.43170,-0.19300,13.99610,13.99610,,13.99610,1.83770,16.35150,12.77930,11.53450,14.13250,21.47800,21.47800,0.60000,0.60000,0.13330,0.15380,82.98550,83.79420,82.98550,75.77060,0.03180,5.09930,3.59240,3.08510,3.11350,21.19160,0.28440,0.28440
2012-12-31,17.18100,17.18100,2.58910,-0.34270,14.03750,14.03760,0.97700,13.06060,16.31710,7.31700,6.92560,-3.86230,14.13820,21.47600,21.47600,0.49000,0.49000,0.14110,0.16430,81.70390,82.28990,81.70390,40.30940,0.03130,2.31560,1.62410,1.33220,1.39500,20.97560,-0.4891,-0.4891
2012-09-30,12.11100,12.11100,2.19390,-0.16890,9.60370,9.60370,,9.60370,-8.05960,9.94810,9.54890,17.01980,9.63720,21.47600,21.47600,0.44000,0.44000,0.09600,0.10620,79.29710,79.57440,79.29710,78.84530,0.02320,3.13190,2.20010,1.90840,1.98890,21.05470,-1.06,-1.06
2012-06-30,11.08650,11.08650,1.99110,-0.05470,8.92100,8.92100,,8.92100,-5.42630,6.42370,6.02620,14.18120,8.93100,21.47600,21.47600,0.28000,0.28000,0.03640,0.03780,80.46790,80.55740,80.46790,54.35640,0.02350,2.03530,1.42700,1.36110,1.37510,20.96070,-2.5688,-2.5688
2012-03-31,11.81430,11.81430,2.36670,-0.05320,9.23810,9.23810,0.50300,8.73510,0.37470,3.84740,3.43260,8.17900,9.28460,,,,0.00000,,0.17800,78.19410,78.58780,78.19410,29.05480,0.02650,1.63100,1.63090,0.86280,1.63100,,0.00000,
2011-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2011-09-30,10.50980,10.50980,1.97940,-0.02670,8.31900,8.31900,,8.31900,-18.57270,-11.69560,-12.08530,25.43760,8.39270,,,,0.00000,,,79.15470,79.85630,79.15470,-114.99110,,,,,,,0,0
2011-06-30,17.25720,17.25720,1.73360,-0.08060,15.23580,15.23580,,15.23580,-24.16010,5.67890,5.28650,15.33330,15.33330,,,,0.00000,,,88.28640,88.85130,88.28640,30.63370,,,,,,,0,0
2010-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
