Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,30.45600,30.45600,9.67200,-55.27400,-34.49000,-34.49000,0.08200,-34.57200,-34.57200,-35.16400,-33.43500,-34.49000,57.34700,57.34700,-0.61000,-0.61000,0.80720,4.18630,-113.24530,-113.24530,-113.24530,-115.45840,0.00560,-3.35590,-3.35590,-0.63370,-0.64710,19.68770,0.47740,0.47740
2019-12-31,32.85600,32.85600,8.13000,,24.72600,24.72600,0.21300,24.51300,24.51300,24.78900,23.45400,24.72600,57.42700,57.53200,0.44000,0.43000,0.77330,3.41110,75.25570,75.25570,75.25570,75.44740,0.00650,2.18470,2.18470,0.48470,0.49530,20.17150,0.4082,0.4082
2019-09-30,30.91600,30.91600,6.98400,,23.93200,23.93200,0.07700,23.85500,23.85500,23.61700,23.80100,23.93200,57.42000,57.54900,0.41000,0.41000,0.78010,3.54730,77.40980,77.40980,77.40980,76.39090,0.00590,2.12620,2.12620,0.45770,0.46760,20.19350,0.4872,0.4872
2019-06-30,25.84300,25.84300,8.21400,,17.62900,17.62900,0.28000,17.34900,17.34900,17.38100,17.66700,17.62900,57.41300,57.50700,0.30000,0.30000,0.77350,3.41570,68.21580,68.21580,68.21580,67.25610,0.00420,1.54630,1.54630,0.28050,0.35020,20.19810,0.2531,0.2531
2019-03-31,31.85800,31.85800,7.60100,,24.25700,24.25700,0.00900,24.24800,24.24800,24.70500,22.17000,24.25700,57.38700,57.47700,0.43000,0.43000,0.71290,2.48260,76.14100,76.14100,76.14100,77.54720,0.00630,2.14840,2.14840,0.47600,0.61690,20.32840,0.44560,0.44560
2018-12-31,28.74100,28.74100,7.61000,,21.13100,21.13100,-0.29700,21.42800,21.42800,19.70900,22.06500,21.13100,55.13700,55.17100,0.33000,0.33000,0.71840,2.55140,73.52210,73.52220,73.52220,68.57450,0.00550,1.89240,1.89240,0.40960,0.53280,20.23990,0.3657,0.3657
2018-09-30,30.16000,30.16000,9.10300,,21.05700,21.05700,0.08500,20.97200,20.97200,20.82100,18.92400,21.05700,55.90300,55.92200,0.37000,0.37000,0.66280,1.96570,69.81760,69.81760,69.81760,69.03510,0.00650,1.82950,1.82950,0.45470,0.61690,19.75600,0.385,0.385
2018-06-30,29.54800,29.54800,5.59900,,23.94900,23.94900,-0.03300,23.98200,23.98200,23.48300,24.01200,23.94900,53.06500,53.07000,0.44000,0.44000,0.62700,1.68100,81.05120,81.05120,81.05120,79.47410,0.00730,2.28160,2.28160,0.59480,0.85100,19.82030,0.3034,0.3034
2018-03-31,30.20200,30.20200,6.60200,,23.60000,23.60000,0.17500,23.42500,23.42500,23.28000,22.80200,23.60000,53.33800,53.37800,0.44000,0.44000,0.54980,1.22120,78.14050,78.14050,78.14050,77.08100,0.00400,2.23030,2.23030,0.30800,1.00410,19.78850,0.33850,0.33850
2017-12-31,23.55400,23.55400,5.66100,,17.89300,17.89300,0.71400,17.17900,17.17900,17.03400,18.01700,17.89300,45.32000,45.32100,0.29000,0.29000,0.47670,0.91090,75.96590,75.96590,75.96590,72.31890,0.00320,1.62200,1.62200,0.23230,0.84880,19.73840,2.0051,2.0051
2017-09-30,23.31100,23.31100,5.32800,,17.98300,17.98300,0.12000,17.86300,17.86300,17.33900,17.64500,17.98300,53.69700,53.69700,0.32000,0.32000,0.41580,0.71190,77.14380,77.14380,77.14380,74.38120,0.00330,1.68210,1.68210,0.24930,0.98260,19.78110,-1.3032,-1.3032
2017-06-30,19.00100,19.00100,4.45100,,14.55000,14.55000,0.14600,14.40400,14.40400,14.08100,14.41600,14.55000,46.63300,46.63300,0.30000,0.30000,0.14180,0.16520,76.57490,76.57490,76.57490,74.10660,0.00290,1.34280,1.34280,0.21720,1.15240,19.97120,0.1998,0.1998
2017-03-31,13.74300,13.74300,2.98800,,10.75500,10.75500,0.12200,10.63300,10.63300,10.36400,10.65700,10.75500,26.87900,26.87900,0.39000,0.39000,0.47290,0.89700,78.25800,78.25800,78.25800,75.41290,0.00210,1.62540,1.62510,0.16150,0.85660,20.74220,0.28540,0.28540
2016-12-31,14.19000,14.19000,2.38000,0.00000,11.81000,11.83000,0.14000,11.69000,11.69000,11.41000,12.31600,11.81000,19.30000,19.30000,0.56000,0.56000,0.46510,0.86950,83.22760,83.22760,83.36860,80.40870,0.00230,2.31530,2.31470,0.18660,1.23810,20.90560,0.425,0.4469
2016-09-30,12.55300,12.55300,2.16900,,10.38400,10.38400,0.07100,10.31300,10.31300,10.01200,10.49400,10.38400,20.81000,20.81000,0.48000,0.48000,,,82.72130,82.72130,82.72130,79.75780,,,,,,,0.267,0.2701
2016-06-30,11.36200,11.36200,2.13300,,9.22900,9.22900,0.07200,9.15700,9.15700,8.86600,9.39400,9.22900,17.24900,17.24900,0.51000,0.51000,,,81.22690,81.22690,81.22690,78.03200,,,,,,,0.3261,0.3267
2016-03-31,3.09600,3.09600,1.89900,,1.19700,1.19700,0.07100,1.12600,1.12600,0.85700,1.43600,1.19700,14.91100,14.91100,0.06000,0.06000,,,38.66280,38.66280,38.66280,27.68090,,,,,,,0.29800,0.27240
2015-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
