Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,0.88800,0.93080,-1.81880,0.00770,-1.81110,-1.81110,-1.81110,,-1.81110,-1.81870,-1.81880,0.45170,0.45170,-4.00000,-4.00000,13.88630,,-20.59730,-20.61110,-19.11490,-20.59730,16.34380,-1.875,-1.875
2020-03-31,1.05960,1.24070,-2.30020,0.02340,-2.27680,-2.27680,-2.27680,,-2.27680,-2.30010,-2.30020,0.41990,0.41990,-5.50000,-5.50000,15.22520,,-41.01330,-41.05790,-38.32220,-41.01330,13.05600,-4.34750,-4.34750
2019-12-31,1.20390,0.88700,-2.09090,0.03240,-2.05850,-2.05850,-2.05850,,-2.05850,-2.09070,-2.09090,0.39410,0.39410,-4.00000,-4.00000,14.23510,,-28.82800,-28.85290,-26.80450,-28.82800,17.21790,-4.9017,-4.9017
2019-09-30,0.86430,0.88150,-1.74570,0.02990,-1.71590,-1.71590,-1.71590,,-1.71590,-1.74560,-1.74570,0.41010,0.41010,-4.25000,-4.25000,12.22820,,-19.65510,-19.66930,-18.04880,-19.65510,21.19960,-4.1862,-4.1862
2019-06-30,1.21040,0.94860,-2.15900,0.02460,-2.13440,-2.13440,-2.13440,,-2.13440,-2.15890,-2.15900,0.40900,0.40900,-5.25000,-5.25000,17.04710,,-21.21510,-21.22870,-19.97130,-21.21510,24.55770,-1.7819,-1.7819
2019-03-31,0.68690,1.56240,-2.24930,-0.43340,-2.68270,-2.68270,-2.68270,,-2.68270,-2.24910,-2.24930,0.33000,0.33000,-8.25000,-8.25000,36.61490,,-22.86860,-22.88140,-22.24430,-22.86860,28.83950,-5.21480,-5.21480
2018-12-31,0.04760,1.04250,-1.09010,-0.17900,-1.26910,-1.26910,-1.26910,,-1.26910,-0.90360,-1.09010,0.19040,0.19040,-8.50000,-8.50000,18.19000,,-28.57600,-28.61940,-27.00730,-28.57600,16.18080,-6.8387,-6.8387
2018-09-30,0.18840,3.62770,-3.81610,-4.37480,-8.19090,-8.19090,-8.19090,,-8.19090,-3.71070,-3.81610,0.22190,0.22190,-37.00000,-37.00000,16.24910,0.02810,-166.16580,-166.39790,-155.95300,-166.16580,18.79720,-3.4508,-3.4508
2018-06-30,0.07690,1.66460,-1.74150,-0.05090,-1.79240,-1.79240,-1.79240,,-1.79240,-1.71260,-1.74150,0.14230,0.14230,-12.50000,-12.50000,0.12160,-0.77160,138.56450,137.81690,-958.03340,138.56450,-9.08370,-1.1948,-1.1948
2018-03-31,0.05550,0.28400,-0.33950,-0.03940,-0.37900,-0.37900,-0.37900,,-0.37900,-0.30710,-0.33950,0.13070,0.13070,-3.00000,-3.00000,,,,,,,,-1.63920,-1.63920
2017-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,2.8525,2.8525
2017-09-30,0.02780,0.23460,-0.26240,-0.03020,-0.29260,-0.29260,-0.29260,,-0.29260,-0.21720,-0.26240,0.13070,0.13070,-2.25000,-2.25000,,,,,,,,-1.0473,-1.0473
2017-06-30,0.05790,0.18360,-0.24150,-0.02280,-0.26430,-0.26430,-0.26430,,-0.26430,-0.24150,-0.24150,0.13070,0.13070,-2.00000,-2.00000,,,,,,,,-1.8052,-1.8052
2016-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
