Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,8.93070,6.73460,2.19620,,2.25290,-0.00840,2.26120,-0.06510,0.04080,-0.02430,0.09570,-0.11990,-0.11990,-0.11990,4.93800,-0.06510,10.47200,10.47200,-0.01000,-0.01000,3.12440,0.00610,0.00710,24.59120,-0.72880,-0.72880,-0.27150,-1.34310,0.02640,13.06260,0.80440,111.88790,-0.04160,-0.04160,-0.03550,-0.04140,27.50840,0.80650,0.76880
2021-12-31,20.86970,13.31890,7.55080,,1.39320,-2.38050,3.77360,3.77710,0.04500,3.82220,4.93520,-1.11300,-1.11300,-1.11300,11.90070,3.77710,10.47200,10.47200,-0.10000,-0.10000,8.31090,0.00610,0.00700,36.18080,18.09870,18.09870,18.31450,-5.33300,0.06740,19.27170,1.43670,62.64500,-0.38830,-0.38830,-0.35920,-0.38590,27.37200,1.1693,-0.8866
2021-09-30,17.75370,9.42680,8.32690,,1.22890,-0.00010,1.22890,7.09800,0.04590,7.14390,1.75030,5.39360,5.39360,5.39360,11.29300,7.09800,10.46900,10.46900,0.52000,0.52000,8.98960,0.00610,0.00680,46.90250,39.98030,39.98030,40.23900,30.38030,0.05830,19.25790,1.32160,68.10030,1.91110,1.91110,1.77170,1.89940,26.95800,0.3856,0.1225
2021-06-30,11.14800,8.31050,2.83750,,5.22030,,5.22030,-2.38280,0.03610,-2.34670,0.35650,-2.70320,-2.70320,-2.70320,1.73770,-2.38280,10.46900,10.46900,-0.26000,-0.26000,11.39580,0.00620,0.00690,25.45310,-21.37430,-21.37430,-21.05080,-24.24850,0.03760,12.26790,2.35050,38.29020,-0.97200,-0.97200,-0.91190,-0.96600,26.56440,0.3369,-0.2177
2021-03-31,5.25920,6.79490,-1.53560,,1.74580,,1.74580,-3.28140,0.03560,-3.24580,-0.74370,-2.50210,-2.50210,-2.50210,0.82290,-3.28140,9.99700,9.99700,-0.25000,-0.25000,9.93800,0.00680,0.00780,-29.19870,-62.39350,-62.39350,-61.71670,-47.57570,0.01800,11.78420,1.08210,83.17240,-0.91880,-0.91880,-0.85520,-0.91250,27.24190,0.33420,0.33420
2020-12-31,11.80770,8.00490,3.80270,,2.95670,-0.00660,2.96340,0.83940,0.04080,0.88020,0.60330,0.27690,0.27690,0.27690,4.91960,0.83940,9.65200,9.65200,0.04000,0.04000,15.10930,0.00680,0.00760,32.20570,7.10900,7.10900,7.45440,2.34520,0.04020,19.07710,1.81030,49.71440,0.10000,0.10000,0.09420,0.09930,27.71070,0.6235,-0.5959
2020-09-30,10.48220,8.28820,2.19390,,4.92780,,4.92780,-2.73380,0.03860,-2.69530,0.21730,-2.91260,-2.91260,-2.91260,1.61470,-2.73380,9.56600,9.56600,-0.30000,-0.30000,21.34730,0.00680,0.00750,20.93020,-26.08060,-26.08060,-25.71270,-27.78600,0.03770,21.02370,1.43030,62.92450,-1.10500,-1.10500,-1.04810,-1.09740,26.36660,0.2168,0.2221
2020-06-30,5.35950,6.76050,-1.40100,,1.55250,,1.55250,-2.95360,0.03630,-2.91730,-0.67260,-2.24460,-2.24460,-2.24460,1.15080,-2.95360,9.51700,9.51700,-0.24000,-0.24000,35.22860,0.00680,0.00740,-26.14080,-55.10890,-55.10890,-54.43160,-41.88130,0.02020,12.91090,1.75080,51.40440,-0.88710,-0.88710,-0.84770,-0.88100,26.58710,-0.1076,-0.3645
2020-03-31,0.55770,4.53170,-3.97410,,0.84560,-0.01580,0.86140,-4.83540,0.03920,-4.79620,-1.25640,-3.53980,-3.53980,-3.53980,-1.38050,-4.83540,9.51700,9.51700,-0.37000,-0.37000,38.85120,0.00730,0.00830,-712.62080,-867.07710,-867.07710,-860.04280,-634.74060,0.00210,6.71390,0.89770,100.25740,-1.38790,-1.38790,-1.32520,-1.37770,26.79960,0.23140,-0.54780
2019-12-31,0.00000,4.52160,-4.52160,,4.81220,,4.81220,-9.33380,0.04330,-9.29050,-2.16130,-7.12920,-7.12920,-7.12920,-5.87190,-9.33380,9.46500,9.46500,-0.76000,-0.76000,16.99940,0.00720,0.00800,,,,,,0.00000,6.55220,0.00000,,-2.70960,-2.70960,-2.55300,-2.69010,27.64600,-0.3228,-0.704
