Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,32.05000,15.47000,16.58000,2.94200,-0.42400,10.07100,6.50900,-9.98500,-3.47600,-3.47600,-3.47600,-1.48000,13.63800,6.50900,16.06300,16.06300,-0.09000,-0.09000,20.07680,20.30890,20.30890,-10.84560,-4.61780,0.02610,-6.12680,-6.12680,-0.28330,-6.12680,3.53200,0.41010,-0.45430
2021-12-31,30.77600,14.37100,16.40500,2.79100,-2.73000,12.31500,4.09000,-10.32600,-6.23600,-6.23600,-6.23600,-2.52500,9.36300,4.09000,16.06300,16.06300,-0.15000,-0.15000,16.17110,13.28950,13.28960,-20.26260,-8.20440,0.02490,-8.91510,-8.91510,-0.50550,-8.91510,4.35470,-0.1661,-1.083
2021-09-30,30.63100,14.53700,16.09400,2.68400,,9.13600,6.95800,-10.37500,-3.41700,-3.41700,-3.41700,-1.45600,15.75600,6.95800,16.06300,16.06300,-0.09000,-0.09000,13.83160,22.71560,22.71560,-11.15540,-4.75340,0.02530,-4.28690,-4.28690,-0.28200,-4.28690,4.96220,0.2791,-0.2218
2021-06-30,30.67100,14.58400,16.08700,2.80200,,9.09100,6.99600,-10.22700,-3.23100,-3.23100,-3.23100,-1.39000,13.68700,6.99600,16.06300,16.06300,-0.09000,-0.09000,12.74740,22.80980,22.80980,-10.53440,-4.53200,0.02530,-3.72890,-3.72890,-0.26620,-3.72890,5.39430,0.0977,-0.2143
2021-03-31,30.65100,15.95400,14.69700,2.29300,-0.06000,8.58000,6.11700,-13.25100,-7.13400,-7.13400,-7.13400,-2.86900,12.74100,6.11700,16.06300,16.06300,-0.18000,-0.18000,11.84110,19.95690,19.95690,-23.27490,-9.36020,0.02510,-7.64840,-7.64830,-0.58310,-7.64840,5.80680,0.46300,-0.01920
2020-12-31,30.33700,15.18900,15.14800,2.40400,,8.67000,6.47800,-10.25400,-3.77600,-3.77600,-3.77600,-1.62700,13.13500,6.47800,17.62900,17.62900,-0.10000,-0.10000,10.36800,21.35350,21.35350,-12.44690,-5.36310,0.02510,-3.62680,-3.62680,-0.31260,-3.62680,6.48160,0.3317,-0.0755
2020-09-30,30.04000,15.33000,14.71000,2.29700,0.83800,7.39300,7.31700,-10.20700,-2.89000,-2.89000,-2.89000,-1.30100,13.54300,7.31700,17.81100,17.81100,-0.08000,-0.08000,8.89380,24.35750,24.35750,-9.62050,-4.33090,0.02450,-2.38080,-2.38080,-0.23610,-2.38080,6.81370,0.29,-0.3425
2020-06-30,31.15800,13.64600,17.51200,2.70400,,8.57600,8.93600,-14.12200,-5.18600,-5.18600,-5.18600,-2.22000,15.10400,8.93600,17.81500,17.81500,-0.12000,-0.12000,8.41410,28.67960,28.67960,-16.64420,-7.12500,0.02530,-4.04150,-4.04150,-0.42120,-4.04150,7.20280,-0.2227,-0.5888
2020-03-31,31.31500,14.02300,17.29200,2.32300,,7.88100,9.41100,-9.78800,-0.37700,-0.37700,-0.37700,-0.23600,15.29300,9.41100,17.81500,17.81500,-0.01000,-0.01000,7.29040,30.05270,30.05270,-1.20390,-0.75360,0.02700,-0.27550,-0.27550,-0.03260,-0.27550,7.68220,0.50800,0.10940
2019-12-31,30.62700,14.00800,16.61900,3.01600,,8.59700,8.02200,-10.67200,-2.65000,-2.65000,-2.65000,-1.15400,14.04800,8.02200,17.81400,17.81400,-0.06000,-0.06000,7.03820,26.19260,26.19260,-8.65250,-3.76790,0.02630,-1.86910,-1.86900,-0.22720,-1.86910,7.95860,0.3022,-0.1926
2019-09-30,29.44000,14.09700,15.34300,1.90400,,6.83300,8.51000,-8.69200,-0.18200,-0.18200,-0.18200,-0.15700,13.64600,8.51000,17.81500,17.81500,-0.01000,-0.01000,6.49140,28.90630,28.90630,-0.61820,-0.53330,0.02590,-0.12270,-0.12270,-0.01600,-0.12270,8.32920,0.4461,-0.3161
2019-06-30,28.44600,12.45400,15.99200,2.57900,,7.16900,8.82300,-9.98100,-1.15800,-1.15800,-1.15800,-0.55000,13.55100,8.82300,17.81500,17.81500,-0.03000,-0.03000,6.31630,31.01670,31.01670,-4.07090,-1.93350,0.02490,-0.75930,-0.75930,-0.10150,-0.75930,8.56110,-0.0847,-0.7119
2019-03-31,27.65200,13.29400,14.35800,1.66800,,6.21700,8.14100,-8.27400,-0.13300,-0.13300,-0.13300,-0.12300,12.88900,8.14100,17.81300,17.81300,-0.01000,-0.01000,5.81050,29.44090,29.44090,-0.48100,-0.44480,0.02520,-0.08460,-0.08460,-0.01210,-0.08460,8.82770,0.67090,0.09780
2018-12-31,27.88100,12.38300,15.49800,2.27100,,6.99500,8.50300,-10.06900,-1.56600,-1.56600,-1.56600,-0.70100,13.07200,8.50300,17.81300,17.81300,-0.03000,-0.03000,5.65730,30.49750,30.49750,-5.61670,-2.51430,0.02530,-0.96970,-0.96970,-0.14220,-0.96970,9.06560,-0.0811,-0.7224
2018-09-30,27.94800,12.63000,15.31800,1.85800,,6.20900,9.10900,-7.85800,1.25100,1.25100,1.25100,0.43600,13.33200,9.10900,17.81300,17.81300,0.02000,0.02000,5.22690,32.59270,32.59270,4.47620,1.56000,0.02620,0.74890,0.74890,0.11720,0.74890,9.37760,0.5671,0.0502
2018-06-30,27.30000,11.94300,15.35700,2.60600,,7.04100,8.31600,-8.00800,0.30800,0.30800,0.30800,0.05500,12.62000,8.31600,17.81300,17.81300,0.00000,0.00000,5.14370,30.46150,30.46150,1.12820,0.20150,0.02560,0.18160,0.18160,0.02880,0.18160,9.52350,0.1624,-0.3504
2018-03-31,26.86800,12.60400,14.26400,3.13800,,7.73400,6.53000,-15.52400,-8.99400,-8.99400,-8.99400,-3.69200,11.28600,6.53000,17.81300,17.81300,-0.21000,-0.21000,5.03930,24.30400,24.30400,-33.47480,-13.74130,0.02510,-5.20170,-5.20170,-0.84160,-5.20170,9.70670,0.60700,0.03930
2017-12-31,27.32300,12.52100,14.80200,2.65900,,7.32800,7.47400,-8.99700,-1.52300,-1.52300,-1.52300,-0.73900,12.80800,7.47400,17.02100,17.02100,-0.04000,-0.04000,4.54730,27.35430,27.35430,-5.57400,-2.70470,0.02600,-0.82060,-0.82060,-0.14480,-0.82060,10.41890,0.3174,-0.0821
2017-09-30,26.00800,12.05500,13.95300,2.50100,,6.59700,7.35600,-8.92500,-1.56900,-1.56900,-1.56900,-0.69300,12.12500,7.35600,17.81300,17.81300,-0.04000,-0.04000,4.25810,28.28360,28.28360,-6.03280,-2.66460,0.02540,-0.82480,-0.82480,-0.15330,-0.82480,10.67960,0.2072,-0.103
2017-06-30,25.35800,11.38100,13.97700,2.58800,,6.65700,7.32000,-8.93100,-1.61100,-1.61100,-1.61100,-0.65000,12.05000,7.32000,17.81300,17.81300,-0.04000,-0.04000,4.14910,28.86660,28.86660,-6.35300,-2.56330,0.02470,-0.82470,-0.82470,-0.15680,-0.82470,10.96650,0.1644,-0.1054
2017-03-31,25.26300,11.75700,13.50600,2.19600,,6.15200,7.35400,-8.65200,-1.29800,-1.29800,-1.29800,-0.51200,11.98100,7.35400,14.64400,14.64400,-0.03000,-0.03000,3.76330,29.10980,29.10980,-5.13800,-2.02670,0.02570,-0.64720,-0.64720,-0.13230,-0.64720,11.25980,0.07860,-0.13320
2016-12-31,24.23800,22.55600,1.68200,2.02100,0.00000,-4.58800,6.27000,-9.39600,-3.09900,-3.09900,-0.93200,-0.93200,11.78200,6.27000,37.74000,37.74000,-0.09000,-0.09000,5.97750,25.86850,25.86850,-12.78570,-3.84520,0.02680,-0.73840,-0.73840,-0.10300,-0.73840,11.04930,-0.2122,0.9248
2016-09-30,24.83600,11.08400,13.75200,2.39500,,6.40300,7.34900,-9.88600,-2.53700,-2.53700,-2.53700,-0.80400,12.59400,7.34900,11.42300,11.42300,-0.07000,-0.07000,,29.59010,29.59010,-10.21500,-3.23720,,,,,,,0.023,-0.3665
2016-06-30,22.20500,10.23100,11.97400,2.09000,,5.83900,6.13500,-9.65200,-3.51700,-3.51700,-3.51700,-1.08400,10.91200,6.13500,11.42300,11.42300,-0.10000,-0.10000,,27.62890,27.62890,-15.83880,-4.88180,,,,,,,0.3502,-0.1033
2016-03-31,21.72600,10.59300,11.13300,1.83200,,5.12800,6.00500,-9.21100,-3.20600,-3.20600,-3.20600,-1.01400,10.71100,6.00500,11.42300,11.42300,-0.09000,-0.09000,,27.63970,27.63970,-14.75650,-4.66720,,,,,,,0.08670,-0.20730
2015-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
2014-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
