Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,31.84500,31.84500,8.76400,16.28300,-25.34800,-9.06500,-9.06500,-9.06500,-9.06500,23.88900,23.08100,27.41700,30.76800,-0.33000,-0.33000,0.09650,0.10100,1.17690,100.00000,51.13200,72.47920,-28.46600,-28.46600,0.03300,4.91280,18.31940,-2.13780,-2.13780,-0.93850,-1.92190,15.15350,-1.70200,-1.70000
2021-12-31,23.60600,23.60600,6.59200,10.77300,44.33700,55.11000,55.11000,55.11000,55.11000,18.19300,17.01400,25.98100,29.32100,2.06000,1.69000,0.14720,0.09610,1.01970,100.00000,45.63670,72.07490,233.45760,233.45760,0.02520,4.25260,21.16370,12.34180,12.34180,5.88080,11.15550,16.39860,-4.7626,-4.7651
2021-09-30,21.79000,21.79000,5.55500,11.12300,16.05800,27.18100,27.18100,27.18100,27.18100,16.23500,16.23500,26.64100,29.97400,1.02000,0.94000,0.17850,0.10610,0.77210,100.00000,51.04640,74.50670,124.74070,124.74070,0.03000,4.86280,18.50800,6.81220,6.81220,3.73670,6.08950,14.69740,-1.4064,-1.414
2021-06-30,19.47600,19.47600,4.97100,10.08000,14.62500,24.70500,24.70500,24.70500,24.70500,14.50500,14.50500,26.47900,26.47900,0.93000,0.93000,0.20400,0.11060,0.64730,100.00000,51.75600,74.47630,126.84840,126.84840,0.03040,4.79110,18.78470,6.50610,6.50610,3.85140,5.78660,14.33390,-1.2358,-1.246
2021-03-31,17.32000,17.32000,5.39300,7.31100,18.01300,25.32400,25.32400,25.32400,25.32400,12.84400,11.92700,23.55500,23.55500,1.08000,1.08000,0.31430,0.11530,0.61190,100.00000,42.21130,68.86260,146.21250,146.21250,0.02920,4.41390,20.39030,7.00400,7.00400,4.26340,6.19660,13.68780,-0.83750,-0.85830
2020-12-31,15.34300,15.34300,5.71500,5.28800,3.96300,9.25100,9.25100,9.25100,9.72300,10.52100,9.62800,18.09200,18.09200,0.57000,0.57000,0.24780,0.16320,1.25550,100.00000,34.46520,62.75180,60.29460,63.37090,0.02740,4.42420,20.34280,3.87480,3.87480,1.65280,3.24260,13.03140,-3.0035,-3.0141
2020-09-30,13.52600,13.52600,4.01800,5.61500,6.71900,12.33400,12.33400,12.33400,12.33400,10.27400,9.50800,18.16600,18.16600,0.68000,0.68000,0.23230,,1.01150,100.00000,41.51260,70.29420,91.18730,91.18730,0.02800,4.28310,21.01290,5.19710,5.19710,2.55670,5.19710,13.01410,0.4573,0.4558
2020-06-30,13.84700,13.84700,2.80500,6.76100,0.12100,6.88200,6.88200,6.88200,6.88200,11.78300,11.04200,18.07500,18.07500,0.38000,0.38000,0.18260,,1.00020,100.00000,48.82650,79.74290,49.70030,49.70030,0.03000,4.34620,20.70770,3.00990,3.00990,1.49170,3.00990,12.60590,-0.7343,-0.7356
2020-03-31,12.24800,12.24800,2.28200,5.70700,-25.17200,-19.46500,-19.46500,-19.46500,-35.05100,10.64100,9.96600,17.82200,17.82200,-1.97000,-1.97000,0.32440,,1.12570,100.00000,46.59540,81.36840,-158.92390,-286.17730,0.02540,3.85160,23.36710,-8.66790,-8.66790,-4.03690,-8.66790,12.44120,0.06220,0.06160
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
