Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-09-30,3892.00000,1195.00000,2697.00000,894.00000,-598.00000,1771.00000,926.00000,926.00000,213.00000,713.00000,740.00000,-3.00000,732.00000,1205.00000,953.00000,283.00000,285.00000,2.59000,2.57000,0.24830,0.33040,23.79240,24.48610,23.79240,18.80780,0.06650,7.89420,35.93980,1.26480,5.93380,32.92090,3.8589,3.7097
2021-06-30,3854.00000,1545.00000,2309.00000,890.00000,-573.00000,1596.00000,713.00000,713.00000,176.00000,537.00000,551.00000,6.00000,552.00000,846.00000,741.00000,286.00000,288.00000,1.93000,1.92000,0.23050,0.29960,18.50030,19.22680,18.50030,14.32280,0.07070,6.19940,34.39450,1.01060,4.77020,31.11080,2.9787,2.8772
2021-03-31,3100.00000,781.00000,2319.00000,812.00000,-539.00000,1562.00000,757.00000,757.00000,166.00000,591.00000,604.00000,5.00000,605.00000,968.00000,785.00000,289.00000,291.00000,2.09000,2.08000,0.24460,0.32370,24.41940,25.32260,24.41940,19.51610,0.06020,7.34260,64.66810,1.17310,5.54690,28.43130,2.28520,2.20960
2020-12-31,3770.00000,1302.00000,2468.00000,863.00000,-540.00000,1538.00000,930.00000,930.00000,128.00000,802.00000,808.00000,-2.00000,801.00000,1065.00000,958.00000,284.00000,286.00000,2.82000,2.81000,0.24080,0.31720,24.66840,25.41110,24.66840,21.24670,0.07470,9.62820,65.74450,1.60140,7.30960,28.79410,2.224,2.0646
2020-09-30,2976.00000,1000.00000,1976.00000,782.00000,-526.00000,1437.00000,539.00000,539.00000,133.00000,406.00000,413.00000,-28.00000,378.00000,668.00000,568.00000,291.00000,293.00000,1.30000,1.29000,0.27060,0.37090,18.11160,19.08600,18.11160,12.70160,0.05970,5.75050,2753.33300,0.82790,4.19460,24.45770,1.3114,1.226
2020-06-30,2420.00000,753.00000,1667.00000,692.00000,-507.00000,1266.00000,401.00000,401.00000,89.00000,312.00000,313.00000,5.00000,309.00000,468.00000,422.00000,277.00000,279.00000,1.12000,1.11000,0.27680,0.38270,16.57030,17.43800,16.57030,12.76860,0.05040,4.92990,-33.22720,0.65210,3.56530,21.76310,1.5989,1.5284
2020-03-31,1612.00000,560.00000,1052.00000,614.00000,-469.00000,1138.00000,-86.00000,-86.00000,-28.00000,-58.00000,-57.00000,,-61.00000,-31.00000,-74.00000,274.00000,274.00000,-0.22000,-0.22000,0.14090,0.16400,-5.33500,-4.59060,-5.33500,-3.78410,0.15800,-1.11420,-3.58490,-0.55860,-0.95720,18.78000,0.38320,0.31390
2019-12-31,2362.00000,628.00000,1734.00000,717.00000,-521.00000,1295.00000,439.00000,439.00000,98.00000,341.00000,344.00000,,340.00000,496.00000,450.00000,273.00000,277.00000,1.25000,1.23000,0.13510,0.15620,18.58600,19.05170,18.58600,14.39460,0.22120,6.41190,18.98460,3.22190,5.54570,19.46920,1.5198,1.4332
2019-09-30,2241.00000,630.00000,1611.00000,702.00000,-540.00000,1298.00000,313.00000,313.00000,59.00000,254.00000,256.00000,,250.00000,369.00000,325.00000,273.00000,277.00000,0.92000,0.90000,0.14060,0.16360,13.96700,14.50250,13.96700,11.15570,0.21510,4.99900,16.58030,2.45710,4.29600,18.61650,1.1841,1.1083
2019-06-30,2144.00000,579.00000,1565.00000,685.00000,-471.00000,1212.00000,353.00000,353.00000,86.00000,267.00000,270.00000,,266.00000,409.00000,365.00000,273.00000,277.00000,0.97000,0.96000,0.14470,0.16920,16.46460,17.02430,16.46460,12.40670,0.21040,5.45230,20.00000,2.64990,4.66320,18.04550,1.3574,1.2672
2019-03-31,1722.00000,421.00000,1301.00000,592.00000,-389.00000,1037.00000,264.00000,264.00000,65.00000,199.00000,206.00000,,206.00000,320.00000,276.00000,273.00000,277.00000,0.75000,0.74000,0.14940,0.17570,15.33100,16.02790,15.33100,11.96280,0.17850,4.32320,18.08600,2.13540,3.67730,17.33310,-0.01440,-0.09390
2018-12-31,1693.00000,513.00000,1180.00000,612.00000,-451.00000,1119.00000,61.00000,61.00000,16.00000,45.00000,46.00000,,44.00000,117.00000,73.00000,273.00000,278.00000,0.16000,0.16000,0.15300,0.18060,3.60310,4.31190,3.60310,2.59890,0.18200,0.99390,4.67480,0.49460,0.84190,16.80620,0.9784,0.8813
2018-09-30,2085.00000,554.00000,1531.00000,654.00000,-535.00000,1244.00000,287.00000,287.00000,51.00000,236.00000,237.00000,,236.00000,342.00000,296.00000,273.00000,278.00000,0.86000,0.85000,0.15130,0.17830,13.76500,14.19660,13.76500,11.31890,0.22250,5.05550,22.59300,2.52910,4.29040,17.03330,1.1547,1.0936
2018-06-30,2123.00000,561.00000,1562.00000,665.00000,-566.00000,1287.00000,275.00000,275.00000,22.00000,253.00000,254.00000,,251.00000,331.00000,286.00000,273.00000,278.00000,0.92000,0.90000,0.13690,0.15860,12.95340,13.47150,12.95340,11.82290,0.22940,5.48710,28.12850,2.74480,4.73620,16.85060,1.1947,1.1263
2018-03-31,1693.00000,431.00000,1262.00000,607.00000,-470.00000,1135.00000,127.00000,127.00000,31.00000,96.00000,98.00000,,97.00000,185.00000,138.00000,273.00000,280.00000,0.36000,0.35000,0.14310,0.16700,7.50150,8.15120,7.50150,5.72950,0.18770,2.18800,13.35150,1.08670,1.87490,16.31240,0.06430,0.06790
2017-12-31,1975.00000,532.00000,1443.00000,638.00000,-526.00000,1223.00000,220.00000,220.00000,-23.00000,243.00000,246.00000,-10.00000,238.00000,287.00000,229.00000,336.00000,345.00000,0.86000,0.83000,0.14520,0.16990,11.13920,11.59490,11.13920,12.05060,0.21580,5.50710,34.89360,2.68820,4.70720,16.27730,0.4852,0.4461
2017-09-30,1986.00000,553.00000,1433.00000,627.00000,-508.00000,1191.00000,242.00000,242.00000,88.00000,154.00000,157.00000,18.00000,165.00000,361.00000,252.00000,337.00000,341.00000,0.49000,0.48000,0.14220,0.16580,12.18530,12.68880,12.18530,8.30820,0.18910,2.92420,9.83710,1.49510,2.50840,15.88370,0.8051,0.6797
2017-06-30,2059.00000,558.00000,1501.00000,626.00000,-544.00000,1227.00000,274.00000,274.00000,101.00000,173.00000,176.00000,126.00000,296.00000,397.00000,287.00000,337.00000,344.00000,0.88000,0.86000,0.26060,0.35240,13.30740,13.93880,13.30740,14.37590,0.14500,2.54370,26.74770,1.23930,1.88090,20.47320,0.8344,0.7111
2017-03-31,1643.00000,446.00000,1197.00000,569.00000,-441.00000,1069.00000,128.00000,128.00000,69.00000,59.00000,60.00000,21.00000,72.00000,256.00000,144.00000,337.00000,347.00000,0.21000,0.21000,0.28320,0.39510,7.79060,8.76450,7.79060,4.38220,0.11590,0.87080,15.00000,0.42320,0.62420,20.34450,0.01150,-0.12100
2016-12-31,460.00000,525.00000,-65.00000,286.00000,501.00000,-334.00000,269.00000,269.00000,109.00000,160.00000,180.00000,53.00000,223.00000,364.00000,248.00000,339.00000,350.00000,0.66200,0.64200,0.12520,0.14310,58.47830,53.91300,58.47830,48.47830,0.03170,2.60950,5.35240,1.23960,2.28280,19.55290,1.1792,1.0287
2016-09-30,2267.00000,545.00000,1722.00000,630.00000,-771.00000,1475.00000,247.00000,247.00000,88.00000,159.00000,152.00000,17.00000,156.00000,378.00000,265.00000,337.00000,348.00000,0.46300,0.44800,0.28930,0.40720,10.89550,11.68950,10.89550,6.88130,0.15760,2.24720,50.33110,1.05660,1.59700,19.98030,1.0753,0.9272
2016-06-30,2482.00000,526.00000,1956.00000,707.00000,-806.00000,1648.00000,308.00000,308.00000,101.00000,207.00000,206.00000,,197.00000,443.00000,341.00000,339.00000,351.00000,0.58000,0.56000,0.29460,0.41760,12.40940,13.73890,12.40940,7.93710,0.17190,3.08890,47.57510,1.42680,2.17900,19.61790,0.8049,0.4337
2016-03-31,2048.00000,402.00000,1646.00000,652.00000,-729.00000,1515.00000,131.00000,131.00000,49.00000,82.00000,84.00000,,74.00000,265.00000,165.00000,344.00000,353.00000,0.21500,0.21000,0.29430,0.41700,6.39650,8.05660,6.39650,3.61330,0.14690,1.27760,17.35540,0.60250,0.90160,19.14930,0.26060,0.11900
2015-12-31,-184.00000,452.00000,-636.00000,144.00000,727.00000,-763.00000,127.00000,127.00000,55.00000,72.00000,93.00000,,139.00000,207.00000,103.00000,356.00000,368.00000,0.40000,0.39000,0.29770,0.42400,-69.02170,-55.97830,-69.02170,-75.54350,-0.01320,1.41170,19.87180,0.66760,0.99140,18.93110,0.7302,0.5161
2015-09-30,2392.00000,495.00000,1897.00000,680.00000,-843.00000,1659.00000,238.00000,238.00000,81.00000,157.00000,138.00000,,132.00000,374.00000,272.00000,353.00000,363.00000,0.37000,0.36000,0.29850,0.42560,9.94980,11.37120,9.94980,5.51840,0.17040,2.08930,29.36170,0.98320,1.46560,18.69400,0.7941,0.6013
2015-06-30,2395.00000,451.00000,1944.00000,690.00000,-864.00000,1690.00000,254.00000,254.00000,88.00000,166.00000,170.00000,,170.00000,390.00000,286.00000,357.00000,367.00000,0.48000,0.46000,0.29480,0.41810,10.60540,11.94150,10.60540,7.09810,0.16640,2.51220,30.24910,1.18080,1.77160,18.91610,0.952,0.7858
2015-03-31,2061.00000,333.00000,1728.00000,623.00000,-823.00000,1577.00000,151.00000,151.00000,50.00000,101.00000,100.00000,,86.00000,282.00000,182.00000,368.00000,380.00000,0.23000,0.22000,0.32970,0.49200,7.32650,8.83070,7.32650,4.17270,0.15020,1.69290,-28.98550,0.72880,1.13470,16.43170,0.10790,0.03160
2014-12-31,2086.00000,373.00000,1713.00000,642.00000,-787.00000,1561.00000,152.00000,152.00000,233.00000,-81.00000,394.00000,8.00000,391.00000,303.00000,183.00000,184.00000,189.00000,2.56200,2.48900,0.31580,0.46160,7.28670,8.77280,7.28670,18.74400,0.15070,6.48770,-260.92720,2.84580,4.43890,16.31340,2.3763,1.6683
2014-09-30,2093.00000,396.00000,1697.00000,626.00000,-766.00000,1525.00000,172.00000,172.00000,65.00000,107.00000,100.00000,-13.00000,102.00000,325.00000,204.00000,367.00000,377.00000,0.27800,0.27100,0.33810,0.51080,8.21790,9.74680,8.21790,4.87340,0.14170,1.57650,-19.84130,0.67680,1.04350,17.10550,0.8055,0.715
2014-06-30,2059.00000,395.00000,1664.00000,623.00000,-767.00000,1507.00000,157.00000,157.00000,54.00000,103.00000,98.00000,5.00000,112.00000,293.00000,190.00000,275.00000,283.00000,0.41000,0.40000,0.34420,0.52490,7.62510,9.22780,7.62510,5.43950,0.13870,1.53870,-21.30440,0.66020,1.00910,17.25230,0.8193,0.6536
2014-03-31,1786.00000,307.00000,1479.00000,649.00000,-771.00000,1568.00000,-89.00000,-89.00000,-40.00000,-49.00000,-80.00000,7.00000,-22.00000,74.00000,-58.00000,274.00000,282.00000,-0.08000,-0.08000,0.34760,0.53280,-4.98320,-3.24750,-4.98320,-1.23180,0.12160,-1.27470,14.73300,-0.54470,-0.83160,22.67470,-0.85820,-0.97870
2013-12-31,946.00000,437.00000,509.00000,450.00000,66.00000,415.00000,94.00000,94.00000,25.00000,69.00000,63.00000,18.00000,72.00000,146.00000,96.00000,230.00000,235.00000,0.29000,0.28000,0.19290,0.23900,9.93660,10.14800,9.93660,7.61100,0.08990,1.13820,2.38190,0.59840,0.91860,22.10980,0.5639,0.4555
2013-09-30,2174.00000,482.00000,1692.00000,546.00000,-921.00000,1530.00000,162.00000,162.00000,52.00000,110.00000,96.00000,0.00000,94.00000,244.00000,189.00000,226.00000,230.00000,0.41000,0.41000,0.21440,0.27290,7.45170,8.69370,7.45170,4.32380,0.21570,1.94330,4.73140,0.95270,1.52670,21.50300,0.5612,0.393
2013-06-30,2279.00000,473.00000,1806.00000,546.00000,-981.00000,1583.00000,223.00000,223.00000,72.00000,151.00000,148.00000,-3.00000,138.00000,296.00000,244.00000,225.00000,229.00000,0.61000,0.60000,0.21770,0.27820,9.78500,10.70650,9.78500,6.05530,0.22760,3.06160,7.65250,1.47780,2.39520,21.18260,1.0903,0.884
2013-03-31,2041.00000,397.00000,1644.00000,519.00000,-932.00000,1507.00000,137.00000,137.00000,46.00000,91.00000,88.00000,1.00000,90.00000,212.00000,160.00000,225.00000,231.00000,0.40000,0.39000,0.22100,0.28370,6.71240,7.83930,6.71240,4.40960,0.21080,1.84370,4.70840,0.90890,1.43630,20.99210,-0.15580,-0.28570
2012-12-31,1718.00000,456.00000,1262.00000,509.00000,-586.00000,1141.00000,121.00000,121.00000,54.00000,67.00000,64.00000,89.00000,152.00000,190.00000,135.00000,221.00000,226.00000,0.68000,0.67000,0.22060,0.28300,7.04310,7.85800,7.04310,8.84750,0.17350,1.34770,3.52420,0.64630,1.05040,20.77920,1.0753,0.916
2012-09-30,2033.00000,432.00000,1601.00000,470.00000,-783.00000,1300.00000,301.00000,301.00000,70.00000,231.00000,236.00000,-1.00000,234.00000,354.00000,320.00000,221.00000,226.00000,1.06000,1.04000,0.22640,0.29260,14.80570,15.74030,14.80570,11.51010,0.20880,5.11240,13.06540,2.42400,3.95520,20.49800,0.8103,0.74
2012-06-30,1727.00000,396.00000,1331.00000,447.00000,-623.00000,1112.00000,219.00000,219.00000,81.00000,138.00000,140.00000,7.00000,147.00000,261.00000,235.00000,220.00000,225.00000,0.67000,0.65000,0.19030,0.23500,12.68100,13.60740,12.68100,8.51190,0.20290,3.45440,7.49460,1.64450,2.79710,18.07360,1.0596,0.9889
2012-03-31,1190.00000,316.00000,874.00000,408.00000,-329.00000,769.00000,105.00000,105.00000,37.00000,68.00000,74.00000,3.00000,74.00000,137.00000,120.00000,219.00000,223.00000,0.34000,0.33000,0.22100,0.28380,8.82350,10.08400,8.82350,6.21850,0.14870,1.96900,4.15120,0.92480,1.53370,16.86830,-0.20180,-0.24220
2011-12-31,1233.30000,377.90000,855.40000,398.20000,-317.80000,748.30000,107.10000,107.10000,23.70000,83.40000,85.70000,89.30000,172.20000,139.70000,122.00010,219.00000,223.00000,0.79000,0.77000,0.20030,0.25050,8.68400,9.89220,8.68400,13.96250,0.15690,2.34420,5.08210,1.09000,1.87460,16.56680,0.2442,0.1628
2011-09-30,1201.10000,326.30000,874.80000,397.00000,-334.70000,763.20000,111.60000,111.60000,38.90000,72.70000,76.40000,0.50000,74.30000,144.10000,125.60000,217.70000,222.00000,0.34000,0.33000,0.22410,0.28890,9.29150,10.45710,9.29150,6.18600,0.15250,2.17430,5.07540,0.96980,1.68700,16.03160,0.3075,0.3331
2011-06-30,1233.70000,379.10000,854.60000,389.20000,-324.00000,745.40000,109.20000,109.20000,40.40000,68.80000,81.40000,1.60000,80.00000,142.30000,123.00000,220.70000,224.50000,0.36000,0.36000,0.21230,0.26950,8.85140,9.97000,8.85140,6.48460,0.15750,2.30450,5.33600,1.03890,1.81530,15.80450,0.239,0.2072
2011-03-31,1131.90000,327.70000,804.20000,383.60000,-309.50000,727.10000,77.10000,77.10000,28.00000,49.10000,40.50000,3.60000,42.50000,111.90000,91.40000,220.70000,223.60000,0.19000,0.19000,0.21620,0.27580,6.81160,8.07490,6.81160,3.75470,0.14510,1.17330,2.81050,0.51920,0.91970,15.46140,-0.29740,-0.34440
2010-12-31,1331.10000,510.89990,820.19980,408.49990,-202.70010,644.80010,175.40000,175.40000,59.50000,115.90000,120.90000,11.60000,130.80000,211.70000,189.10000,226.20000,229.30000,0.59000,0.57000,0.21650,0.27640,13.17710,14.20630,13.17710,9.82650,0.16880,3.51000,8.46820,1.53280,2.75000,15.39410,0.5206,0.4513
2010-09-30,1373.30000,427.50000,945.80000,401.70000,-392.60000,828.50000,117.30000,117.30000,40.70000,76.60000,77.50000,6.30000,83.20000,152.50000,130.20000,225.90000,229.20000,0.37000,0.36000,0.18740,0.23060,8.54150,9.48080,8.54150,6.05840,0.17430,2.22830,5.36890,0.98360,1.81070,15.25000,0.0937,0.0481
2010-06-30,1495.50000,435.90000,1059.60000,397.70000,-413.80000,846.50000,213.10010,213.10000,76.30000,136.80000,140.40000,,139.60000,248.10010,225.60010,227.50000,230.50000,0.61000,0.61000,0.18050,0.22020,14.24940,15.08530,14.24940,9.33470,0.18890,4.10800,9.97160,1.77380,3.36670,14.97800,0.5903,0.5418
2010-03-31,1213.40000,384.40000,829.00000,370.70000,-385.30000,786.10000,42.90000,42.90000,13.30000,29.60000,18.90000,,16.50000,73.00000,50.00000,227.50000,230.30000,0.07000,0.07000,0.20600,0.25940,3.53550,4.12070,3.53550,1.35980,0.15570,0.56900,1.44670,0.24250,0.45180,14.46280,-0.38250,-0.36650
2009-12-31,1148.10000,505.19990,642.90000,359.60000,-178.59990,566.80010,76.10020,76.10000,28.70000,47.40000,49.70000,19.80000,69.30000,109.00020,84.40020,224.70000,228.50000,0.33000,0.31000,0.20490,0.25770,6.62840,7.35130,6.62830,6.03610,0.14470,1.48580,3.77860,0.62640,1.18140,14.52930,0.0801,0.2617
2009-09-30,1467.20000,480.80000,986.40000,410.50000,-436.40000,878.00000,108.39990,108.40000,34.40000,74.00000,76.70000,-1.80000,73.40000,145.99990,116.39990,228.70000,232.10000,0.32000,0.32000,0.21080,0.26720,7.38820,7.93350,7.38820,5.00270,0.18150,2.36080,6.80340,0.94880,1.86300,14.08670,0.364,0.2817
2009-06-30,1559.50000,504.20000,1055.30000,428.70000,-455.70000,923.60000,131.70000,131.70000,34.20000,97.50000,92.90000,-0.40000,92.00000,176.90000,140.30000,228.10000,232.10000,0.40000,0.40000,0.25780,0.34730,8.44500,8.99650,8.44500,5.89930,0.18710,2.96500,8.99460,1.11470,2.20070,13.38430,0.6184,0.5598
2009-03-31,1346.50000,461.50000,885.00000,421.20000,-422.10000,886.10000,-1.10000,-1.10000,-0.50000,-0.60000,-12.70000,0.30000,-12.40000,47.50000,10.70000,213.20000,213.20000,-0.06000,-0.06000,0.32140,0.47360,-0.08170,0.79470,-0.08170,-0.92090,0.16490,-0.46110,-1.93110,-0.15550,-0.31290,12.72300,0.60180,0.54320
