Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,25.89300,25.89300,1.90300,-5.50000,18.49000,-2.01100,16.47900,16.47900,16.47900,16.47900,18.49000,18.49000,13.44200,13.44200,1.41000,1.46000,,,71.40930,71.40930,63.64270,63.64270,0.00640,3.96810,3.96810,0.40610,3.96810,27.29560,1.8253,1.8253
2020-09-30,27.22300,27.22300,1.82400,4.72000,30.11900,-2.04300,28.07600,28.07600,28.07600,28.07600,30.11900,30.11900,13.46040,13.46040,2.10000,2.10000,,,110.63810,110.63810,103.13340,103.13340,0.00710,7.45230,7.45230,0.73630,7.45230,27.18350,1.3846,1.3846
2020-06-30,27.25800,27.25800,1.92000,27.91300,53.25100,-4.47900,48.77200,48.77200,48.77200,48.77200,53.25100,53.25100,13.26200,13.26200,3.70000,3.65000,0.28790,0.40420,195.35920,195.35920,178.92730,178.92730,0.00740,14.09730,14.09730,1.31800,10.03930,26.12220,1.4589,1.4589
2020-03-31,35.67100,35.67100,1.32800,-109.01900,-74.67600,-16.52300,-91.19900,-91.19900,-91.19900,-91.19900,-74.67600,-74.67600,12.91800,12.91800,-7.05000,-7.05000,,,-209.34660,-209.34660,-255.66710,-255.66700,0.01130,-29.59620,-29.59620,-2.88390,-29.59620,23.26070,-0.54930,-0.54930
2019-12-31,37.52900,37.52900,1.90200,3.00700,38.63400,-20.02200,18.61200,18.61200,18.61200,18.61200,38.63400,38.63400,11.26560,11.26560,1.40000,0.77000,,,102.94440,102.94440,49.59370,49.59360,0.00970,4.70590,4.70590,0.47940,4.70590,31.35860,2.2573,2.2573
2019-09-30,35.90700,35.90700,1.89100,-20.17200,13.84400,-22.32100,-8.47700,-8.47700,-8.47700,-8.47700,13.84400,13.84400,12.08380,12.08380,-0.70000,-0.07000,,,38.55520,38.55520,-23.60820,-23.60820,0.00840,-2.16260,-2.16260,-0.19930,-2.16260,31.08150,0.5374,0.5374
2019-06-30,36.45500,36.45500,1.97200,-8.51900,25.96400,-22.43100,3.53300,3.53300,3.53300,3.53300,25.96400,25.96400,10.52020,10.52020,0.35000,0.35000,,,71.22210,71.22210,9.69140,9.69140,0.00980,0.98230,0.98230,0.09480,0.98230,33.12810,1.6431,1.6431
2019-03-31,32.43300,32.43300,1.24500,-1.69900,29.48900,-18.89200,10.59700,10.59700,10.59700,10.59700,29.48900,29.48900,9.78100,9.78100,1.10000,1.10000,,,90.92280,90.92280,32.67350,32.67350,0.01000,3.11300,3.11300,0.32530,3.11300,34.08370,-0.16270,-0.16270
2018-12-31,37.00100,37.00100,1.88900,-41.77100,-6.65900,-19.74000,-26.39900,-26.39900,-26.39900,-26.39900,-6.65900,-6.65900,10.43960,10.43960,-2.55000,-2.55000,,,-17.99690,-17.99680,-71.34680,-71.34670,0.01090,-7.85500,-7.85500,-0.77740,-7.85500,34.20160,-0.1313,-0.1313
2018-09-30,39.05400,39.05400,1.92200,-21.19800,15.93400,-18.89200,-2.95800,-2.95800,-2.95800,-2.95800,15.93400,15.93400,10.40700,10.40700,-0.30000,-0.30000,,,40.79990,40.79990,-7.57410,-7.57410,0.01040,-0.75210,-0.75210,-0.07860,-0.75210,37.78930,1.7754,1.7754
2018-06-30,38.59100,38.59100,1.91500,-18.75000,17.92600,-16.57900,1.34700,1.34700,1.34700,1.34700,17.92600,17.92600,10.51740,10.51740,0.15000,0.15000,,,46.45120,46.45120,3.49040,3.49050,0.00990,0.32920,0.32920,0.03450,0.32920,39.31960,3.4452,3.4452
2018-03-31,39.93500,39.93500,2.07000,-39.09300,-1.22800,-15.14900,-16.37700,-16.37700,-16.37700,-16.37700,-1.22800,-1.22800,10.61320,10.61320,-1.55000,-1.55000,,,-3.07500,-3.07500,-41.00910,-41.00910,0.00970,-3.81350,-3.81350,-0.39720,-3.81350,40.45930,3.91490,3.91490
2017-12-31,40.09800,40.09800,2.04300,-30.48200,7.57300,-13.55500,-5.98200,-5.98200,-5.98200,-5.98200,7.57300,7.57300,8.21240,8.21240,-0.45000,-0.45000,,,18.88630,18.88630,-14.91840,-14.91840,0.01000,-1.29420,-1.29420,-0.14870,-1.29420,43.55390,5.5426,5.5426
2017-09-30,38.97400,38.97400,1.95200,-9.20100,27.82100,-12.63800,15.18300,15.18300,15.18300,15.18300,27.82100,27.82100,9.07100,9.07100,1.65000,1.65000,,,71.38350,71.38350,38.95670,38.95670,0.00940,3.66380,3.66380,0.36640,3.66380,45.73160,1.5969,1.5969
2017-06-30,34.57900,34.57900,1.97700,-33.48200,-0.88000,-8.76300,-9.64300,-9.64300,-9.64300,-9.64300,-0.88000,-0.88000,7.44220,7.44220,-1.30000,-1.30000,,,-2.54490,-2.54490,-27.88690,-27.88690,0.00870,-2.30600,-2.30600,-0.24210,-2.30600,46.15610,0.5479,0.5479
2017-03-31,32.31100,32.31100,1.54500,-21.60200,9.16400,-6.71500,2.44900,2.44900,2.44900,2.44900,9.16400,9.16400,6.61380,6.61380,0.35000,0.35000,,,28.36190,28.36190,7.57950,7.57950,0.00950,0.73280,0.73280,0.07200,0.73280,48.76160,2.66380,2.66380
2016-12-31,25.06800,25.06800,1.70000,-38.81100,-15.44300,-4.97600,-20.41900,-20.41900,-20.41900,-20.41900,-15.44300,-15.44300,4.82000,4.82000,-4.25000,-4.25000,,,-61.60450,-61.60440,-81.45450,-81.45450,0.00800,-6.13590,-6.13590,-0.65060,-6.13590,50.47770,6.8449,6.8449
2016-09-30,22.35800,22.35800,1.51200,3.65900,24.50500,-3.97900,20.52600,20.52600,20.52600,20.52600,24.50500,24.50500,4.82660,4.82660,4.25000,4.25000,,,109.60280,109.60280,91.80610,91.80610,0.00840,6.97220,6.97220,0.76920,6.97220,56.07120,3.5582,3.5582
2016-06-30,19.23500,19.23500,1.46100,-7.98100,9.79300,-3.33000,6.46300,6.46300,6.46300,6.46300,9.79300,9.79300,4.38420,4.38420,1.45000,1.45000,,,50.91240,50.91240,33.60020,33.60020,0.00830,2.65220,2.65220,0.27890,2.65220,54.31840,2.0924,2.0924
2016-03-31,20.46600,20.46600,1.46100,-20.27700,-1.27200,-3.31900,-4.59100,-4.59100,-4.59100,-4.59100,-1.27200,-1.27200,4.35120,4.35120,-1.05000,-1.05000,,,-6.21520,-6.21520,-22.43230,-22.43230,0.00930,-1.91470,-1.91470,-0.20830,-1.91470,55.06570,-2.73490,-2.73490
2015-12-31,19.09200,19.09200,1.48900,-7.42100,10.18200,-2.37100,7.81100,7.81100,7.81100,7.81100,10.18200,10.18200,4.05340,4.05340,1.40000,1.40000,,0.74040,53.33130,53.33120,40.91240,40.91240,0.00850,3.08420,3.08420,0.34840,3.08420,58.22220,7.0468,7.0468
2015-09-30,18.35200,18.35200,1.45400,-24.27800,-7.38000,-2.03700,-9.41700,-9.41700,-9.41700,-9.41700,-7.38000,-7.38000,4.50900,4.50900,-2.10000,-2.10000,,,-40.21360,-40.21360,-51.31320,-51.31320,0.00800,-3.68040,-3.68040,-0.41070,-3.68040,58.43630,-2.0851,-2.0851
2015-06-30,16.75300,16.75300,1.44700,-16.57100,-1.26500,-1.56700,-2.83200,-2.83200,-2.83200,-2.83200,-1.26500,-1.26500,3.95040,3.95040,-0.70000,-0.70000,,,-7.55090,-7.55090,-16.90440,-16.90440,0.00730,-0.99670,-0.99670,-0.12270,-0.99670,61.87910,3.3331,3.3331
2015-03-31,14.61400,14.61400,1.21600,-6.59300,6.80500,-1.29600,5.50900,5.50900,5.50900,5.50900,6.80500,6.80500,3.36940,3.36940,1.65000,1.65000,,,46.56490,46.56490,37.69670,37.69670,0.00830,2.38750,2.38750,0.31110,2.38750,64.36790,-0.71970,-0.71970
2014-12-31,12.14600,12.14600,0.83500,-6.66400,4.64700,-1.12600,3.52100,3.52100,3.52100,3.52100,4.64700,4.64700,1.97800,1.97800,-0.15000,-0.15000,,,38.25950,38.25950,28.98900,28.98900,0.00730,1.61460,1.61460,0.21240,1.61460,65.29280,1.9774,1.9774
2014-09-30,9.28600,9.28600,1.19200,-0.50800,7.58600,-0.81800,6.76800,6.76800,6.76800,6.76800,7.58600,7.58600,2.14200,2.14200,3.15000,3.15000,,,81.69290,81.69290,72.88390,72.88390,0.00620,3.91700,3.91700,0.45100,3.91700,66.33390,4.1158,4.1158
2014-06-30,6.58900,6.58900,0.91400,5.63600,11.31100,-0.67600,10.63500,10.63500,10.63500,10.63500,11.31100,11.31100,1.81560,1.81560,5.85000,5.85000,,,171.66490,171.66490,161.40540,161.40540,0.00720,8.46140,8.46140,1.15800,8.46140,65.24550,-0.2928,-0.2928
2014-03-31,3.78300,3.78300,0.40600,0.62900,4.00600,-0.41100,3.59500,3.59500,3.59500,3.59500,4.00600,4.00600,1.01880,1.01880,3.55000,3.55000,,,105.89480,105.89480,95.03040,95.03040,0.00470,3.34700,3.34700,0.44930,3.34700,62.36050,0.08740,0.08740
2013-12-31,2.80580,2.80580,0.29330,-0.75890,1.75370,-0.30880,1.44490,1.44490,1.44490,1.44490,1.75370,1.75370,0.60240,0.60240,1.65000,1.65000,,,62.50110,62.50110,51.49620,51.49610,0.00770,3.22770,3.22780,0.39740,3.22770,66.97340,5.5089,5.5089
2013-09-30,2.55120,2.55120,0.28190,-2.97250,-0.70320,-0.29390,-0.99710,-0.99710,-0.99710,-0.99710,-0.70320,-0.70320,0.66840,0.66840,-1.50000,-1.50000,,,-27.56330,-27.56330,-39.08390,-39.08390,0.00660,-2.22450,-2.22450,-0.25870,-2.22450,67.06190,-0.4375,-0.4375
2013-06-30,2.42870,2.42870,0.33230,-3.32070,-1.22430,-0.32190,-1.54620,-1.54620,-1.54620,-1.54620,-1.22430,-1.22430,0.66840,0.66840,-2.30000,-2.30000,,,-50.40830,-50.40830,-63.66170,-63.66170,0.00680,-3.27750,-3.27750,-0.43410,-3.27750,70.57850,14.0103,14.0103
2013-03-31,1.41330,1.41330,0.29250,-0.51900,0.60180,-0.20140,0.40040,0.40040,0.40040,0.40040,0.60180,0.60180,0.40080,0.40080,1.00000,1.00000,,,42.58090,42.58090,28.32870,28.32870,0.00390,0.79950,0.79950,0.10920,0.79950,74.91650,-2.31710,-2.31710
2012-12-31,0.49000,0.49000,0.65000,,-0.16000,-0.10000,-0.26000,-0.26000,-0.26000,-0.26000,-0.16000,-0.16000,0.19640,0.19640,-1.40000,-1.40000,,,-32.65310,-32.65310,-53.06120,-53.06120,0.00410,-1.76570,-1.76570,-0.21870,-1.76570,478.08360,0.9501,0.9501
2012-09-30,0.69690,0.69690,0.18480,0.09160,0.60380,-0.05840,0.54540,0.54540,0.54540,0.54540,0.60380,0.60380,0.19640,0.19640,2.80000,2.80000,,,86.63860,86.63860,78.26150,78.26150,,,,,,,2.4991,2.4991
2012-06-30,0.76910,0.76910,0.10750,-0.94890,-0.28730,-0.07380,-0.36110,-0.36110,-0.36110,-0.36110,-0.28730,-0.28730,0.19640,0.19640,-1.85000,-1.85000,,,-37.35980,-37.35980,-46.95110,-46.95110,,,,,,,3.209,3.209
2012-03-31,0.75880,0.75880,0.11620,0.02530,0.66790,-0.05070,0.61720,0.61720,0.61720,0.61720,0.66790,0.66790,0.19640,0.19640,3.15000,3.15000,,,88.02700,88.02700,81.34940,81.34940,,,,,,,2.86320,2.86320
2011-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
