Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,168.95100,,168.95100,109.75900,1.12300,,60.31500,-293.55700,-233.24200,6.44500,-239.68700,,-232.89600,-233.00800,60.31500,60.31500,62.04000,62.04000,-3.77000,-3.76000,3.56350,,,100.00000,35.69970,35.69970,-138.05300,-137.91450,0.11730,,2.53740,35.46920,-20.88180,-20.88180,-16.16720,-20.88180,18.25710,1.9672,1.8397
2020-09-30,126.52500,,126.52500,72.76900,-2.61400,,51.14200,2.48500,53.62700,12.51100,41.11600,,41.80100,42.06400,51.14200,51.14200,61.72400,62.07500,0.68000,0.68000,5.85120,,,100.00000,40.42050,40.42050,42.38450,33.24560,0.09190,,2.38500,37.73560,,3.58820,3.03740,3.58820,18.86500,0,0
2020-06-30,105.79200,,105.79200,65.38800,4.81700,,45.22100,2.76500,47.98600,11.01300,36.97300,,42.73300,42.41000,45.22100,45.22100,61.66200,61.92200,0.69000,0.69000,5.83970,,,100.00000,42.74520,42.74520,45.35880,40.08810,0.08120,,2.23510,40.26740,,3.89900,3.28030,3.89900,17.76410,0,0
2020-03-31,105.37100,,105.37100,66.80900,-2.37100,,36.19100,5.73300,41.92400,9.64200,32.28200,,34.41100,34.32200,36.19100,36.19100,61.62000,61.99100,0.56000,0.55000,4.79090,,,100.00000,34.34630,34.34630,39.78700,32.57250,0.08210,,2.50800,35.88520,,3.28040,2.68100,3.28040,17.01940,0.00000,
2019-12-31,109.84600,,109.84600,69.97800,-22.98800,,16.88000,0.22800,17.10800,3.65100,13.45700,,15.64200,13.44700,16.88000,16.88000,61.16000,61.84800,0.21000,0.23000,4.47240,,,100.00000,15.36700,15.36700,15.57450,12.24170,0.07800,,3.48290,25.84080,1.38280,1.38280,1.11090,1.38280,18.36340,2.9919,2.8402
2019-09-30,117.79700,,117.79700,81.55000,-3.46800,,32.77900,-5.56000,27.21900,6.25900,20.96000,,28.51100,26.80400,32.77900,32.77900,61.30900,61.75900,0.44000,0.43000,5.76500,,,100.00000,27.82670,27.82670,23.10670,22.75440,0.09170,,2.42080,37.17830,,2.65300,2.21880,2.65300,17.48000,0,0
2019-06-30,126.96200,,126.96200,87.58400,-2.69100,,36.68700,6.02800,42.71500,9.85000,32.86500,,37.06400,36.44300,36.68700,36.68700,61.21100,61.96600,0.60000,0.59000,4.35480,,,100.00000,28.89610,28.89610,33.64390,28.70390,0.09610,,2.40610,37.40440,,3.48360,2.80630,3.48360,17.36800,0,0
2019-03-31,132.59800,,132.59800,82.44500,-5.07400,,45.07900,6.91800,51.99700,11.84500,40.15200,,42.85200,42.40400,45.07900,45.07900,60.57100,62.35600,0.70000,0.68000,3.50980,,,100.00000,33.99680,33.99680,39.21400,31.97940,0.10310,,2.58100,34.86980,,4.29760,3.33310,4.29760,16.29790,0.00000,
2018-12-31,103.29000,,103.29000,80.63000,-4.57000,,18.09000,1.77500,19.86500,2.88100,16.98400,,17.27300,17.82600,18.09000,18.09000,58.57600,61.42200,0.28000,0.28000,3.20790,0.02290,0.02350,100.00000,17.51380,17.51380,19.23230,17.25820,0.08860,,2.35680,38.18710,1.92310,1.92310,1.48190,1.87900,14.86770,2.4375,2.1339
2018-09-30,122.15900,,122.15900,76.63500,-6.05500,,39.46900,-0.47500,38.99400,8.99900,29.99500,,29.87900,30.24400,39.46900,39.46900,59.17300,61.61600,0.51000,0.50000,3.76810,0.03870,0.04030,100.00000,32.30950,32.30950,31.92070,24.75790,0.11570,,3.00720,29.92810,,3.62100,2.83070,3.48090,13.88470,0,0
2018-06-30,120.53800,,120.53800,87.53800,0.43000,,33.43000,1.61900,35.04900,8.71200,26.33700,,28.16400,27.12600,33.43000,33.43000,57.29550,60.74730,0.47000,0.45000,4.02500,0.06010,0.06390,100.00000,27.73400,27.73400,29.07710,22.50410,0.11850,,2.56090,35.14420,,3.60070,2.76810,3.38430,13.83180,0,0
2018-03-31,132.46800,,132.46800,83.36200,-5.33700,,43.76900,9.45300,53.22200,11.74300,41.47900,,41.58300,42.80100,43.76900,43.76900,57.16610,61.38490,0.75000,0.71000,3.17170,0.08890,0.09760,100.00000,33.04120,33.04120,40.17730,32.31040,0.12120,,2.76820,32.51250,,5.40890,3.80600,4.92810,13.43560,0.00000,
2017-12-31,123.68780,,123.68780,96.02100,-2.72980,,24.93710,6.29260,31.22960,6.42890,24.80070,,27.82080,27.25470,24.93710,24.93710,56.55100,60.46800,0.48500,0.46000,2.21360,,0.10830,100.00000,20.16130,20.16130,25.24870,22.03500,0.12390,,1.86080,48.36540,4.01550,4.01550,2.78700,4.01550,12.12960,1.5972,1.2091
2017-09-30,102.85500,,102.85500,74.23100,-4.52300,,24.10100,2.88700,26.98800,6.28900,20.69900,,27.57000,27.94100,24.10100,24.10100,56.59500,60.74900,0.49000,0.47000,2.23310,,0.12300,100.00000,23.43200,23.43200,26.23890,27.16540,0.11260,,1.16880,77.00510,,4.52210,3.01890,4.52210,10.75190,0,0
2017-06-30,104.33500,,104.33500,66.61300,-4.64300,,33.07900,2.73500,35.81400,8.88600,26.92800,,30.36600,30.54000,33.07900,33.07900,56.54740,56.54740,0.54000,0.52000,2.43390,,0.13050,100.00000,31.70460,31.70460,34.32600,29.27110,0.11650,,0.96030,93.71780,,4.95410,3.39090,4.95410,10.83970,0,0
2017-03-31,103.61020,,103.61020,66.94900,0.65180,,37.31300,2.19040,39.50340,8.99510,30.50830,,31.34020,31.52530,37.31300,37.31300,56.36500,60.10800,0.56000,0.54000,2.25060,,0.14010,100.00000,36.01280,36.01280,38.12690,30.42690,0.11560,,0.91390,98.48080,,5.48970,3.49680,5.48970,10.11950,0.00000,
2016-12-31,78.55960,,78.55960,63.06520,-8.21170,,7.28280,2.28230,9.56510,2.08740,7.47770,,7.63190,11.16950,7.28280,7.28280,56.30000,60.07400,0.19500,0.20000,3.00340,0.12990,0.14920,100.00000,9.27040,9.27040,12.17550,14.21780,0.09160,,0.67480,133.37450,1.42370,1.42370,0.88960,1.23880,9.49420,1.6453,1.4023
2016-09-30,91.24380,,91.24380,67.65040,0.76960,,24.36300,2.09090,26.45390,5.09470,21.35920,,22.12910,23.27530,24.36300,24.36300,56.38200,60.44500,0.41000,0.40000,3.48720,0.14580,0.17060,100.00000,26.70100,26.70100,28.99250,25.50890,0.12540,,2.70130,33.31720,,4.72020,3.04170,4.03220,8.30760,0,0
2016-06-30,98.06420,,98.06420,69.91460,1.05710,,29.20670,3.19580,32.40240,7.29330,25.10910,,26.48750,27.42370,29.20670,29.20670,56.27150,60.17430,0.49000,0.47000,2.92750,0.15330,0.18110,100.00000,29.78320,29.78320,33.04210,27.96500,0.13420,,3.66250,24.57330,,5.99580,3.62460,5.07650,7.83970,0,0
2016-03-31,94.16220,,94.16220,66.91400,8.00920,,35.25740,1.97380,37.23110,8.28080,28.95030,,29.86580,30.86220,35.25740,35.25740,56.11300,59.35030,0.55000,0.52000,2.42880,0.15820,0.18790,100.00000,37.44320,37.44320,39.53940,32.77560,0.12320,,3.83240,23.48430,,7.01590,3.90880,5.90590,,0.00000,
2015-12-31,93.00500,-131.77000,224.77500,193.32000,,193.32000,31.45500,-8.94000,9.22000,0.40000,8.82000,-3.14000,12.89600,12.89600,31.45500,31.45500,56.07800,60.20400,0.23000,0.23000,3.37380,0.16980,0.20450,227.36410,33.82080,33.82080,9.91340,13.86590,0.14710,,4.92610,18.27000,3.29690,3.29670,2.03900,2.73700,,1.7311,1.3818
2015-09-30,82.63000,47.07000,35.56000,21.40000,,21.40000,14.16000,15.42000,29.56000,6.15000,23.41000,0.72000,23.94100,23.94100,14.16000,14.16000,56.23100,60.19300,0.43000,0.41000,3.99190,0.17280,0.20890,43.02310,17.13660,17.13660,35.77390,28.97370,0.13830,,3.69050,24.38700,,6.25090,4.00640,5.17080,,0,0
2015-06-30,93.16300,49.42000,43.74300,12.55000,,12.55000,31.19300,2.84000,34.02000,7.40000,26.62000,0.94000,27.30200,27.30200,31.19300,31.19300,56.24900,60.56500,0.49000,0.46000,4.61930,0.19270,0.23860,46.95000,33.48220,33.48220,36.51660,29.30560,0.18080,,4.37390,20.57680,,8.14430,5.29800,6.57520,,0,0
2015-03-31,75.45800,35.28000,40.17800,13.73000,,13.73000,26.44800,2.42000,25.20000,6.10000,19.10000,1.48000,21.18400,21.18400,26.44800,26.44800,56.15800,58.81600,0.38000,0.37000,4.61930,0.19270,0.23860,48.38450,35.05000,35.05000,33.39610,28.07390,0.14640,,3.54260,25.40490,,6.31920,4.11080,5.10180,,0.00000,
2014-12-31,63.27300,76.05000,-12.77700,-19.83000,,-19.83000,7.05300,13.23000,20.30000,5.40000,14.90000,2.20000,14.75400,14.75500,7.05300,7.05300,56.57400,56.11100,0.26000,0.26000,3.28130,,0.02570,-20.16660,11.14690,11.14690,32.08320,23.31960,0.14680,,5.76780,15.60380,4.71920,4.71890,3.42240,4.71900,,1.6954,1.5243
2014-09-30,62.89200,14.46000,48.43200,28.72000,,28.72000,19.71200,3.76000,23.46000,5.86000,17.60000,,17.90500,17.90500,19.71200,19.71200,55.82500,56.48900,0.32000,0.32000,3.78150,,0.02720,76.98910,31.34260,31.34260,37.30200,28.46940,0.15860,1.68730,2.75360,32.68460,,5.98230,4.51450,5.98230,,0,0
2014-06-30,71.44400,17.97000,53.47400,26.04000,,26.04000,27.43400,3.66000,31.09000,7.70000,23.39000,,22.87100,22.87100,27.43400,27.43400,55.66800,56.37900,0.41000,0.41000,3.79200,,0.02930,74.84180,38.39930,38.39930,43.51660,32.01250,0.19520,,4.02960,22.33500,,8.30560,6.24750,8.30590,,0,0
2014-03-31,53.13400,11.13000,42.00400,18.44000,,18.44000,23.56400,2.00000,22.69000,5.57000,17.12000,,16.87500,16.87500,23.56400,23.56400,55.46900,56.37400,0.30000,0.30000,4.16960,,0.03240,73.62520,44.34830,44.34830,42.70340,31.75930,0.16690,,3.88410,23.17160,,6.78120,5.30060,6.78150,,0.00000,
2013-12-31,45.44500,10.05000,35.39500,22.11000,,22.11000,13.28500,2.20000,15.52000,2.01000,13.51000,1.19000,13.39300,13.39300,13.28500,13.28500,55.18800,56.45600,0.24000,0.24000,4.18250,,,77.96240,29.23310,29.23310,34.15120,29.47080,0.14990,,5.36540,16.77410,5.69480,5.69450,4.41650,5.69450,,1.6645,1.5447
2013-09-30,41.45900,8.92000,32.53900,15.54000,,15.54000,16.99900,1.94000,18.93000,4.93000,14.00000,,13.98500,13.98500,16.99900,16.99900,54.99400,56.19100,0.25000,0.25000,4.75350,,,78.46310,41.00200,41.00200,45.65960,33.73210,0.15140,,2.27300,39.59580,,6.42840,5.10660,6.42870,,0,0
2013-06-30,44.26400,9.20000,35.06400,16.64000,,16.64000,18.42400,1.55000,19.96000,5.39000,14.57000,,14.44800,14.44800,18.42400,18.42400,54.80900,55.74600,0.26000,0.26000,5.21020,,,79.18400,41.62300,41.62300,45.09310,32.64050,0.17800,,2.53660,35.48030,,7.18810,5.80920,7.18840,,0,0
2013-03-31,32.60400,6.00000,26.60400,14.74000,,14.74000,11.86400,1.84000,13.69000,3.93000,9.76000,,9.61000,9.61000,11.86400,11.86400,54.82800,55.65100,0.18000,0.17000,5.18480,,,81.55440,36.38820,36.38820,41.98870,29.47490,0.14470,,2.08070,43.25540,,5.28020,4.26580,5.28020,,0.00000,
2012-12-31,25.08900,4.79000,20.29900,13.54000,,13.54000,6.75900,2.83200,8.51000,2.75000,5.76000,0.61000,6.34700,6.34700,6.75900,6.75900,54.97700,55.45700,0.12000,0.12000,7.20670,,,76.60730,26.94010,26.94010,33.91930,25.29790,0.12220,,2.49640,36.05170,3.61670,3.61650,3.09070,3.61650,,0.5401,0.5062
2012-09-30,25.75500,5.12000,20.63500,11.37000,,11.37000,9.26500,1.39000,10.65000,2.94000,7.71000,,7.54700,7.54700,9.26500,9.26500,55.25900,55.76900,0.14000,0.14000,7.45710,,,80.06210,35.97360,35.97360,41.35120,29.30310,0.13100,,1.97960,45.46300,,4.48000,3.83840,4.48030,,0,0
2012-06-30,20.18000,4.21000,15.97000,7.67000,,7.67000,8.30000,-0.00200,8.28000,2.25000,6.03000,,6.19900,6.19900,8.30000,8.30000,55.84300,56.69800,0.11000,0.11000,9.96240,,,79.08820,41.12980,41.12980,41.03070,30.71850,0.11190,,2.20070,40.89690,,3.87390,3.43780,3.87390,,0,0
