Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,0.17380,0.60070,-0.42690,0.14880,0.14880,-0.57570,-0.05270,-0.62830,,-0.62830,-0.62830,-0.62830,-0.53220,-0.57570,31.65000,31.65000,-0.02000,-0.02000,11.49190,-245.57030,-331.18660,-331.18660,-361.47680,-361.47680,0.04500,0.23070,390.15290,-19.91230,-19.91230,-16.27880,-19.91230,0.09970,-0.01570,-0.01580
2021-12-31,0.21250,0.82220,-0.60960,0.15980,0.15970,-0.76940,-0.01330,-0.78270,,-0.78270,-0.78270,-0.78270,-0.72530,-0.76940,31.64700,31.64700,-0.02000,-0.02000,13.25670,-286.87830,-362.07360,-362.07360,-368.32510,-368.32510,0.04670,0.25550,352.20750,-20.68550,-20.68550,-17.21790,-20.68550,0.11960,0.002,0.002
2021-09-30,0.72350,0.57100,0.15240,0.13520,0.13520,0.01720,0.00440,0.02160,,0.02160,0.02160,0.02160,0.06140,0.01720,31.65000,31.65000,0.00000,0.00000,16.28960,21.07100,2.38100,2.38100,2.98760,2.98760,0.14080,0.53470,168.31140,0.49690,0.49690,0.42080,0.49690,0.13740,-0.0152,-0.0152
2021-06-30,0.11390,0.50310,-0.38910,0.13980,0.13980,-0.52900,0.00100,-0.52790,,-0.52790,-0.52790,-0.52790,-0.44520,-0.52900,31.65000,31.65000,-0.02000,-0.02000,14.97380,-341.54050,-464.24860,-464.24860,-463.35700,-463.35700,0.02200,0.13730,655.51890,-12.19810,-12.19810,-10.18030,-12.19810,0.13670,-0.0235,-0.0235
2021-03-31,0.21310,0.62560,-0.41250,0.14520,0.14520,-0.55770,0.00030,-0.55730,,-0.55730,-0.55730,-0.55730,-0.55320,-0.55770,31.63500,31.63500,-0.02000,-0.02000,16.34080,-193.53750,-261.65690,-261.65690,-261.49550,-261.49550,0.03700,0.28880,311.59610,-11.47680,-11.47680,-9.66350,-11.47680,0.15340,-0.02030,-0.02030
2020-12-31,0.13050,0.85270,-0.72220,0.16160,0.16160,-0.88380,0.00070,-0.88310,,-0.88310,-0.88310,-0.88310,-0.88090,-0.88380,31.48800,31.48800,-0.03000,-0.03000,24.00850,-553.23520,-677.03720,-677.03700,-676.49240,-676.49240,0.02110,0.21820,412.50140,-16.57720,-16.57720,-14.24460,-16.57720,0.16870,-0.0196,-0.0213
2020-09-30,0.16560,0.47240,-0.30680,0.13660,0.13670,-0.44340,0.00920,-0.43420,,-0.43420,-0.43420,-0.43420,-0.46650,-0.44340,31.57600,31.57600,-0.01000,-0.01000,21.06540,-185.23200,-267.73550,-267.73550,-262.16760,-262.16760,0.02410,0.29860,301.36700,-7.38160,-7.38160,-6.32860,-7.38160,0.18630,-0.0125,-0.0126
2020-06-30,0.17610,0.63200,-0.45590,0.14670,0.14670,-0.60260,0.20360,-0.39900,,-0.39900,-0.39900,-0.39900,-0.55990,-0.60260,31.47400,31.47400,-0.01000,-0.01000,18.31140,-258.83950,-342.15590,-342.15590,-226.54830,-226.54830,0.02380,0.26990,333.46090,-6.31620,-6.31620,-5.38420,-6.31620,0.20000,-0.0152,-0.0152
2020-03-31,0.35620,0.82040,-0.46430,0.18330,0.18340,-0.64760,0.02300,-0.62460,,-0.62460,-0.62460,-0.62460,-0.60300,-0.64760,31.32300,31.32300,-0.02000,-0.02000,15.99590,-130.34900,-181.81780,-181.81780,-175.36250,-175.36250,0.04670,0.47700,188.66890,-9.71150,-9.71150,-8.18870,-9.71150,0.20480,-0.02420,-0.02410
2019-12-31,0.38150,1.32090,-0.93940,0.28430,0.28430,-1.22370,-0.03320,-1.25690,,-1.25690,-1.25690,-1.25690,-1.17480,-1.22370,30.01200,30.01200,-0.04000,-0.04000,18.85990,-246.26240,-320.79420,-320.79420,-329.49220,-329.49220,0.04620,0.58140,154.78720,-17.81280,-17.81280,-15.22370,-17.81280,0.22580,-0.016,-0.0161
2019-09-30,0.46290,0.66640,-0.20350,0.20740,0.20730,-0.41090,0.01310,-0.39770,,-0.39770,-0.39770,-0.39770,-0.35980,-0.41090,31.06600,31.06600,-0.01000,-0.01000,25.72660,-43.96210,-88.76270,-88.76270,-85.92320,-85.92320,0.05150,0.59670,150.83840,-5.08090,-5.08090,-4.42580,-5.08090,0.25180,-0.009,-0.009
2019-06-30,0.30100,0.93940,-0.63830,0.31400,0.31390,-0.95230,-0.39820,-1.35050,,-1.35050,-1.35050,-1.35050,-0.90580,-0.95230,29.58900,29.58900,-0.05000,-0.05000,27.80260,-212.04180,-316.34230,-316.34230,-448.61160,-448.61160,0.03220,0.38950,231.03990,-16.54860,-16.54860,-14.44490,-16.54860,0.26300,-0.0184,-0.0205
2019-03-31,0.41870,0.75120,-0.33250,0.23000,0.22990,-0.56250,-0.24140,-0.80390,,-0.80390,-0.80390,-0.80390,-0.51360,-0.56250,28.22200,28.22200,-0.03000,-0.03000,11.45280,-79.42280,-134.35150,-134.35150,-192.01810,-192.01810,0.07680,0.54770,164.31730,-23.66230,-23.66230,-14.73950,-23.66230,0.11850,-0.02600,-0.02600
2018-12-31,0.37080,0.81470,-0.44390,0.20330,0.20330,-0.64720,0.01310,-0.63420,,-0.63420,-0.63420,-0.63420,-0.60160,-0.64720,25.95600,25.95600,-0.02000,-0.02000,8.11040,-119.71900,-174.55090,-174.55090,-171.02950,-171.02950,0.09140,0.53760,167.39960,-20.46040,-20.46040,-15.62540,-20.46040,0.11200,-0.0169,-0.0168
2018-09-30,0.35970,0.57300,-0.21320,0.19060,0.19060,-0.40390,-0.28440,-0.68830,,-0.68830,-0.68830,-0.68830,-0.35880,-0.40390,26.00200,26.00200,-0.03000,-0.03000,11.72030,-59.27950,-112.27740,-112.27740,-191.34090,-191.34090,0.07820,0.50680,177.58840,-18.45070,-18.45080,-14.96480,-18.45080,0.13490,-0.0191,-0.0191
2018-06-30,0.32490,0.64600,-0.32110,0.25080,0.25080,-0.57190,0.00200,-0.56990,,-0.56990,-0.56990,-0.56990,-0.52650,-0.57190,25.43300,25.43300,-0.02000,-0.02000,5.65970,-98.84690,-176.05840,-176.05840,-175.43040,-175.43040,0.10680,0.51210,175.74290,-22.07990,-22.07990,-18.73910,-22.07990,0.10150,-0.016,-0.0163
2018-03-31,0.43330,1.00980,-0.57660,0.21860,0.21860,-0.79520,0.00140,-0.79380,,-0.79380,-0.79380,-0.79380,-0.75030,-0.79520,24.69200,24.69200,-0.03000,-0.03000,6.01120,-133.07110,-183.52850,-183.52850,-183.20420,-183.20420,0.12030,0.58770,153.13410,-25.75820,-25.75810,-22.04020,-25.75810,0.12120,-0.02780,-0.02800
2017-12-31,0.27940,0.74770,-0.46820,0.20110,0.20100,-0.66930,0.00090,-0.66840,,-0.66840,-0.66840,-0.66840,-0.62540,-0.66930,24.04400,24.04400,-0.03000,-0.03000,7.53790,-167.55460,-239.50690,-239.50700,-239.17690,-239.17690,0.09700,0.46770,192.42010,-26.03270,-26.03270,-23.19780,-26.03270,0.10680,-0.0188,-0.0187
2017-09-30,0.48830,0.60730,-0.11900,0.18530,0.18530,-0.30430,0.00110,-0.30310,,-0.30310,-0.30310,-0.30310,-0.26030,-0.30430,24.04400,24.04400,-0.01000,-0.01000,7.16370,-24.35930,-62.30360,-62.30360,-62.07570,-62.07570,0.13640,0.62430,144.15730,-9.59470,-9.59470,-8.46480,-9.59470,0.13140,-0.009,-0.009
2017-06-30,0.34820,0.63680,-0.28860,0.20210,0.20200,-0.49070,0.00080,-0.48980,,-0.48980,-0.48980,-0.48980,-0.44670,-0.49070,24.04400,24.04400,-0.02000,-0.02000,8.09830,-82.88900,-140.91940,-140.91940,-140.67820,-140.67820,0.09010,0.43990,204.59510,-14.14590,-14.14600,-12.67180,-14.14600,0.14400,-0.0065,-0.07
2017-03-31,0.39310,1.13630,-0.74310,0.21130,0.21120,-0.95440,0.00190,-0.95260,,-0.95260,-0.95260,-0.95260,-0.91060,-0.95440,24.04400,24.04400,-0.04000,-0.04000,8.85990,-189.03810,-242.78640,-242.78640,-242.30890,-242.30890,0.08990,0.36280,248.07210,-24.10090,-24.10090,-21.78210,-24.10090,0.16440,-0.02690,0.03630
2016-12-31,0.27780,1.41020,-1.13250,0.25710,0.25710,-1.38960,0.00430,-1.38520,,-1.38520,-1.38520,-1.38520,-1.34250,-1.38960,24.04400,24.04400,-0.06000,-0.06000,12.42720,-407.71580,-500.27400,-500.27400,-498.71410,-498.71410,0.05270,0.24860,361.97850,-28.24160,-28.24160,-26.26430,-28.24160,0.20400,-0.0537,-0.0538
2016-09-30,0.30480,0.62410,-0.31930,0.24680,0.24670,-0.56610,0.00630,-0.55970,,-0.55970,-0.55970,-0.55970,-0.51930,-0.56610,24.04400,24.04400,-0.02000,-0.02000,9.94060,-104.76950,-185.73330,-185.73330,-183.65570,-183.65570,0.04460,0.19850,453.45800,-8.99510,-8.99510,-8.18660,-8.99510,0.25880,-0.0334,-0.0333
2016-06-30,0.24440,0.86560,-0.62120,0.50360,0.50360,-1.12470,0.00800,-1.11680,,-1.11680,-1.11680,-1.11680,-1.07740,-1.12470,24.04400,24.04400,-0.05000,-0.05000,9.44680,-254.12300,-460.14020,-460.14020,-456.87880,-456.87880,0.03260,0.18350,490.37910,-16.46570,-16.46560,-14.90230,-16.46560,0.28210,-0.0364,-0.0365
2016-03-31,0.40910,1.18650,-0.77740,0.41020,0.41020,-1.18760,0.01090,-1.17670,,-1.17670,-1.17670,-1.17670,-1.14020,-1.18760,24.04400,24.04400,-0.05000,-0.05000,13.49020,-190.00520,-290.27020,-290.27020,-287.60650,-287.60650,0.04830,0.29770,302.29600,-14.89650,-14.89650,-13.89980,-14.89650,0.32850,-0.04310,-0.04320
2015-12-31,0.37870,1.71280,-1.33400,0.49210,0.49210,-1.82610,0.01120,-1.81490,,-1.81490,-1.81490,-1.81490,-1.77790,-1.82610,24.00800,24.00800,-0.08000,-0.08000,18.52630,-352.22590,-482.14770,-482.14770,-479.18160,-479.18160,0.03970,0.28810,312.40290,-19.99680,-19.99680,-19.01580,-19.99680,0.37750,-0.0301,-0.0302
2015-09-30,0.44580,0.89510,-0.44930,0.32740,0.32750,-0.77670,0.00940,-0.76730,,-0.76730,-0.76730,-0.76730,-0.72870,-0.77670,23.99600,23.99600,-0.03000,-0.03000,27.00420,-100.76960,-174.21380,-174.21380,-172.10430,-172.10430,0.04170,0.25230,356.78800,-7.42360,-7.42360,-7.17220,-7.42360,0.42990,-0.0297,-0.0297
2015-06-30,0.80350,0.96170,-0.15820,0.33450,0.33450,-0.49280,0.01150,-0.48130,,-0.48130,-0.48130,-0.48130,-0.45740,-0.49280,24.00600,24.00600,-0.02000,-0.02000,22.94310,-19.69310,-61.32600,-61.32600,-59.89930,-59.89930,0.07050,0.46520,193.47420,-4.37490,-4.37490,-4.22560,-4.37490,0.45780,-0.043,-0.0487
2015-03-31,0.37940,1.17250,-0.79310,0.43450,0.43450,-1.22760,0.01120,-1.21640,,-1.21640,-1.21640,-1.21640,-1.21900,-1.22760,23.94400,23.94400,-0.05000,-0.05000,20.61300,-209.05200,-323.56340,-323.56340,-320.60710,-320.60710,0.03260,0.32860,273.85430,-10.88030,-10.88030,-10.45990,-10.88030,0.46630,-0.04640,-0.05370
2014-12-31,0.44190,1.41400,-0.97210,0.49820,0.49830,-1.47040,0.00830,-1.46210,,-1.46210,-1.46210,-1.46210,-1.46130,-1.47040,23.66300,23.66300,-0.06000,-0.06000,21.47900,-219.99340,-332.73900,-332.73890,-330.86360,-330.86360,0.03520,0.37600,239.35410,-12.10110,-12.10110,-11.63620,-12.10110,0.50500,-0.0277,-0.0497
2014-09-30,0.45290,0.77810,-0.32510,0.32430,0.32430,-0.64940,0.00960,-0.63980,,-0.63980,-0.63980,-0.63980,-0.63890,-0.64940,23.92400,23.92400,-0.03000,-0.03000,47.53350,-71.78440,-143.38510,-143.38510,-141.25720,-141.25720,0.03430,0.37080,242.74110,-4.94890,-4.94890,-4.84630,-4.94890,0.55910,-0.0318,-0.0344
2014-06-30,0.39560,1.19640,-0.80080,0.34960,0.34970,-1.15050,0.00860,-1.14190,,-1.14190,-1.14190,-1.14190,-1.14430,-1.15050,23.55500,23.55500,-0.05000,-0.05000,41.70770,-202.42350,-290.79820,-290.79820,-288.62570,-288.62570,0.02870,0.37960,237.08650,-8.47690,-8.47690,-8.27560,-8.47690,0.56300,-0.0461,-0.0462
2014-03-31,0.30830,1.03720,-0.72880,0.44980,0.44980,-1.17860,0.00860,-1.17000,,-1.17000,-1.17000,-1.17000,-1.17260,-1.17860,23.11700,23.11700,-0.05000,-0.05000,28.06410,-236.36130,-382.24020,-382.24020,-379.43780,-379.43780,0.02740,0.35840,251.14140,-10.77780,-10.77780,-10.39840,-10.77780,0.46940,-0.03490,-0.03670
2013-12-31,0.42560,2.44820,-2.02260,0.74780,0.74780,-2.77040,0.00960,-2.76080,,-2.76080,-2.76080,-2.76080,-2.75870,-2.77040,22.94600,22.94600,-0.12000,-0.12000,73.58740,-475.23900,-650.95590,-650.95590,-648.69760,-648.69760,0.03540,0.49080,183.37880,-23.25880,-23.25880,-22.94500,-23.25880,0.51360,-0.044,-0.0443
2013-09-30,0.50670,1.00260,-0.49590,0.42480,0.42480,-0.92070,0.00950,-0.91110,,-0.91110,-0.91110,-0.91110,-0.90910,-0.92070,22.91600,22.91600,-0.04000,-0.04000,47.83780,-97.87110,-181.70210,-181.70210,-179.82150,-179.82150,0.04120,0.52550,171.24920,-7.56530,-7.56530,-7.40840,-7.56530,0.52560,-0.0399,-0.0402
2013-06-30,0.52180,0.91820,-0.39630,0.39430,0.39430,-0.79060,0.01120,-0.77950,,-0.77950,-0.77950,-0.77950,-0.77910,-0.79060,22.91600,22.91600,-0.03000,-0.03000,35.37130,-75.95140,-151.50810,-151.50810,-149.37030,-149.37030,0.03990,0.62190,144.72760,-6.12730,-6.12730,-5.95530,-6.12730,0.55510,-0.0329,-0.034
2013-03-31,0.70720,1.66780,-0.96060,0.63640,0.63650,-1.59700,0.00790,-1.58920,,-1.58920,-1.58920,-1.58920,-1.58670,-1.59700,22.91600,22.91600,-0.07000,-0.07000,25.47630,-135.82550,-225.81530,-225.81530,-224.70510,-224.70510,0.05110,0.88600,101.58390,-11.95130,-11.95130,-11.48500,-11.95130,0.58030,-0.02460,-0.02510
2012-12-31,0.55200,0.83770,-0.28560,0.43310,0.43310,-0.71870,0.00850,-0.71020,,-0.71020,-0.71020,-0.71020,-0.70990,-0.71870,20.12500,20.12500,-0.04000,-0.04000,59.13320,-51.74190,-130.19730,-130.19730,-128.65030,-128.65020,0.03830,0.80200,112.21680,-5.01110,-5.01110,-4.92680,-5.01110,0.62580,-0.0416,-0.0417
2012-09-30,0.47190,0.97230,-0.50040,0.36940,0.36940,-0.86980,0.00330,-0.86650,,-0.86650,-0.86650,-0.86650,-0.86080,-0.86980,20.01300,20.01300,-0.04000,-0.04000,28.09880,-106.04550,-184.32160,-184.32160,-183.61720,-183.61720,0.04840,0.82240,109.43380,-9.20780,-9.20780,-8.88310,-9.20780,0.43980,-0.0391,-0.0394
2012-06-30,0.45080,0.85220,-0.40140,0.39170,0.39170,-0.79300,0.00350,-0.78960,,-0.78960,-0.78960,-0.78960,-0.78440,-0.79300,18.90800,18.90800,-0.04000,-0.04000,7.34630,-89.03370,-175.90770,-175.90770,-175.13350,-175.13350,0.12630,0.83910,107.25290,-25.50190,-25.50190,-22.12040,-25.50190,0.16370,-0.0105,-0.0106
2012-03-31,0.48260,1.43940,-0.95680,0.47770,0.47770,-1.43460,0.01780,-1.41670,-0.61340,-0.80330,-0.80330,-0.80330,-1.42610,-1.43460,18.90800,18.90800,-0.04000,-0.04000,7.59750,-198.27160,-297.26860,-297.26860,-293.57660,-166.46820,0.11160,1.09040,82.53690,-21.32150,-21.32150,-18.57940,-21.32150,0.19930,-0.04190,-0.04200
2011-12-31,0.35390,0.87760,-0.52370,0.31070,0.31070,-0.83430,0.01050,-0.82380,,-0.82380,-0.82380,-0.82380,-0.82410,-0.83430,18.53800,18.53800,-0.04000,-0.04000,13.91280,-147.95350,-235.72980,-235.72980,-232.76230,-232.76230,0.08010,1.05950,84.94380,-20.05810,-20.05810,-18.65070,-20.05810,0.22150,-0.0568,-0.057
2011-09-30,0.20720,0.67860,-0.47140,0.34100,0.34100,-0.81240,0.01060,-0.80180,,-0.80180,-0.80180,-0.80180,-0.80240,-0.81240,18.54400,18.54500,-0.04000,-0.04000,15.47600,-227.52900,-392.08500,-392.08500,-386.98840,-386.98840,0.03940,1.33720,67.30670,-16.28430,-16.28430,-15.25440,-16.28430,0.26550,-0.0435,-0.0437
2011-06-30,0.14040,0.73670,-0.59630,0.32710,0.32710,-0.92340,0.00430,-0.91910,,-0.91910,-0.91910,-0.91910,-0.91350,-0.92340,18.54400,18.54400,-0.05000,-0.05000,14.87710,-424.69820,-657.65530,-657.65530,-654.61270,-654.61270,0.02330,1.27460,70.60930,-16.35060,-16.35060,-15.27320,-16.35060,0.30310,-0.0444,-0.0446
2011-03-31,0.14440,1.32570,-1.18120,0.41200,0.41200,-1.59320,0.00390,-1.58930,,-1.58930,-1.58930,-1.58930,-1.58350,-1.59320,18.51900,18.51900,-0.09000,-0.09000,12.34070,-817.80730,-1103.02500,-1103.02500,-1100.29800,-1100.29800,0.02070,0.74160,121.35900,-24.73930,-24.73930,-22.82820,-24.73930,0.34640,-0.03610,-0.03620
2010-12-31,0.34160,0.77680,-0.43520,0.30500,0.30490,-0.74010,0.00410,-0.73610,,-0.73610,-0.73610,-0.73610,-0.72850,-0.74010,17.32100,17.32100,-0.04000,-0.04000,23.87860,-127.40230,-216.68190,-216.68190,-215.48540,-215.48540,0.04390,0.89850,100.16960,-9.85020,-9.85020,-9.45520,-9.85020,0.40870,-0.0486,-0.049
2010-09-30,0.13770,0.58550,-0.44780,0.30550,0.30550,-0.75330,0.00390,-0.74940,,-0.74940,-0.74940,-0.74940,-0.74240,-0.75330,17.06200,17.06200,-0.04000,-0.04000,26.94760,-325.19790,-547.07710,-547.07710,-544.21220,-544.21220,0.01990,1.01250,88.88890,-11.20430,-11.20430,-10.80830,-11.20430,0.37180,-0.0533,-0.0533
2010-06-30,0.16120,0.59080,-0.42960,0.29780,0.29780,-0.72740,0.00380,-0.72370,,-0.72370,-0.72370,-0.72370,-0.71650,-0.72740,17.15200,17.15200,-0.04000,-0.04000,10.47090,-266.43280,-451.16940,-451.16940,-448.83360,-448.83360,0.03620,1.59540,56.41290,-17.81920,-17.81920,-16.23100,-17.81920,0.23680,-0.0466,-0.0467
2010-03-31,0.12700,1.30020,-1.17320,0.49630,0.49630,-1.66950,0.00370,-1.66580,,-1.66580,-1.66580,-1.66580,-1.65860,-1.66950,16.76600,16.76600,-0.10000,-0.10000,8.94530,-923.68070,-1314.44400,-1314.44400,-1311.51600,-1311.51600,0.02400,1.38430,65.01480,-35.26010,-35.26010,-31.43520,-35.26010,0.27540,-0.03640,-0.03650
2009-12-31,0.24820,0.60140,-0.35320,0.39380,0.39380,-0.74690,0.00640,-0.74050,,-0.74050,-0.74050,-0.74050,-0.73680,-0.74690,16.06500,16.06500,-0.05000,-0.05000,13.96160,-142.26260,-300.88100,-300.88110,-298.29840,-298.29840,0.05550,1.09600,82.11450,-17.77760,-17.77770,-16.55170,-17.77760,0.25210,-0.0545,-0.0547
2009-09-30,0.13310,0.61710,-0.48400,0.36020,0.36010,-0.84420,0.00410,-0.84010,,-0.84010,-0.84010,-0.84010,-0.83420,-0.84420,16.24300,16.24300,-0.05000,-0.05000,18.63140,-363.65590,-634.29900,-634.29900,-631.21060,-631.21060,0.02610,2.07320,43.41150,-17.31650,-17.31650,-16.45080,-17.31650,0.29360,-0.0445,-0.0444
2009-06-30,0.14190,0.64870,-0.50690,0.32940,0.32940,-0.83630,0.00460,-0.83170,,-0.83170,-0.83170,-0.83170,-0.82620,-0.83630,15.74200,15.74200,-0.05000,-0.05000,10.14990,-357.33370,-589.53910,-589.53910,-586.28640,-586.28640,0.04620,1.37370,65.51600,-29.69190,-29.69190,-27.10560,-29.69190,0.17790,-0.0615,-0.0619
2009-03-31,0.18660,1.31630,-1.12970,0.46640,0.46640,-1.59600,0.00550,-1.59060,,-1.59060,-1.59060,-1.59060,-1.58620,-1.59600,15.74300,15.74300,-0.10000,-0.10000,6.83950,-605.29110,-855.18120,-855.18120,-852.23860,-852.23860,0.04540,1.31310,68.53830,-44.60650,-44.60650,-38.65080,-44.60650,0.22650,-0.07180,-0.07280
