Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,171.35900,128.30700,43.05200,16.79300,16.79300,26.25900,26.25900,6.62200,19.63700,19.63700,19.63700,32.27400,26.25900,17.75300,18.12700,1.12000,1.10000,1.54630,25.12390,15.32400,15.32400,15.32400,11.45960,0.41270,2.07490,43.37530,9.24550,11.29130,4.72900,9.24550,12.08910,0.9411,0.3087
2021-12-31,164.50800,129.32000,35.18800,17.50600,17.50600,17.68200,17.68200,3.82400,13.85800,13.85800,13.85800,23.73800,17.68200,17.78500,18.21100,0.78000,0.76000,1.57550,21.38980,10.74840,10.74840,10.74840,8.42390,0.38830,2.36550,38.04710,6.44780,7.85890,3.27060,6.44780,12.17460,0.8367,0.4613
2021-09-30,157.74300,121.08200,36.66100,16.65800,16.65800,20.00300,20.00300,3.93100,16.07200,16.07200,16.07200,25.94800,20.00300,17.84100,18.23200,0.90000,0.88000,1.67260,23.24100,12.68080,12.68080,12.68080,10.18870,0.37120,2.27170,39.61770,7.18160,8.68320,3.78250,7.18160,12.59850,1.137,0.8545
2021-06-30,152.62000,115.40700,37.21300,16.64500,16.64500,20.56800,20.56800,3.72500,16.84300,16.84300,16.84300,26.46800,20.56800,17.89700,18.22000,0.94000,0.92000,1.75280,24.38280,13.47660,13.47660,13.47660,11.03590,0.36120,2.26920,39.66150,7.33770,8.83090,3.98670,7.33780,12.84470,0.79360,0.43890
2021-03-31,145.51000,109.79100,35.71900,16.36700,16.36700,19.35200,19.35200,4.54300,14.80900,14.80900,14.80900,25.23800,19.35200,17.93000,18.16600,0.83000,0.81000,1.65540,24.54750,13.29940,13.29940,13.29940,10.17730,0.34260,2.24820,40.03150,6.71910,8.15990,3.48640,6.71910,12.32940,1.1376,0.9197
2020-12-31,141.50600,110.61300,30.89300,16.93700,16.93700,13.95600,13.95600,2.57600,11.38000,11.38000,11.38000,19.86300,13.95600,17.89900,18.18000,0.64000,0.63000,1.63220,21.83160,9.86250,9.86250,9.86250,8.04210,0.30910,2.22570,40.43720,5.42230,6.66100,2.48540,5.42230,11.73320,1.884,1.5344
2020-09-30,136.02800,105.52500,30.50300,15.56000,15.56000,14.94300,14.94300,3.07800,11.86500,11.86500,11.86500,20.75800,14.94300,17.93700,18.17400,0.66000,0.65000,1.62540,22.42410,10.98520,10.98520,10.98520,8.72250,0.30800,1.86100,48.36170,5.86220,7.26740,2.68690,5.86220,11.30200,1.323,1.1404
2020-06-30,129.60000,103.09100,26.50900,15.58500,15.58500,10.92400,10.92400,2.62200,8.30200,8.30200,8.30200,16.75200,10.92400,17.98300,18.11400,0.46000,0.46000,1.62010,20.45450,8.42900,8.42900,8.42900,6.40590,0.30490,1.92090,46.85350,4.19100,5.22640,1.95340,4.19100,11.01950,0.85080,0.65170
2020-03-31,147.02400,116.33300,30.69100,15.86500,15.86500,14.82600,14.82600,3.07900,11.74700,11.74700,11.74700,20.52400,14.82600,18.32600,18.60200,0.66000,0.65000,1.56330,20.87480,10.08410,10.08410,10.08410,7.98990,0.35320,2.23550,40.25890,6.19200,7.81270,2.82200,6.19200,10.55770,0.7664,0.5245
2019-12-31,148.09200,118.83900,29.25300,17.00000,17.00000,12.25300,12.25300,2.90100,9.35200,9.35200,9.35200,17.86200,12.25300,18.25300,18.52600,0.51000,0.50000,1.55130,19.75330,8.27390,8.27390,8.27390,6.31500,0.35090,2.23750,40.22390,4.83650,6.07660,2.21570,4.83640,10.65220,1.1046,0.5415
2019-09-30,146.97000,114.12700,32.84300,16.59300,16.59300,16.25000,16.25000,3.37900,12.87100,12.87100,12.87100,21.78100,16.25000,18.45200,18.77100,0.70000,0.69000,1.64800,22.34670,11.05670,11.05670,11.05670,8.75760,0.34440,2.05780,43.73610,6.40940,7.98230,3.01590,6.40940,10.93510,1.0708,0.5636
2019-06-30,150.13900,117.00500,33.13400,15.75200,15.75200,17.38200,17.38200,3.97500,13.40700,13.40700,13.40700,23.06000,17.38200,18.52400,18.78700,0.72000,0.71000,1.69510,22.06890,11.57730,11.57730,11.57730,8.92970,0.35090,2.24620,40.06810,6.57800,8.16820,3.13350,6.57800,10.99960,1.40320,0.97580
2019-03-31,151.08400,118.47200,32.61200,16.46200,16.46200,16.15000,16.15000,4.31200,11.83800,11.83800,11.83800,22.03800,16.15000,18.79400,19.00800,0.63000,0.63000,1.84310,21.58540,10.68940,10.68940,10.68940,7.83540,0.47510,2.11790,42.49450,6.07680,7.63660,3.72240,6.07680,10.49710,0.5603,0.2997
2018-12-31,146.08200,116.72800,29.35400,15.80300,15.80300,13.55100,13.55100,3.25300,10.29800,10.29800,10.29800,19.37200,13.55100,18.75800,18.98400,0.55000,0.54000,1.78870,20.09420,9.27630,9.27630,9.27630,7.04950,0.46560,2.33990,38.46270,5.35610,6.75850,3.28230,5.35610,10.28170,1.0309,0.827
2018-09-30,148.17600,116.68600,31.49000,15.09400,15.09400,16.39600,16.39600,3.60700,12.78900,12.78900,12.78900,22.03800,16.39600,18.87700,19.08900,0.68000,0.67000,1.76660,21.25180,11.06520,11.06520,11.06520,8.63100,0.47810,2.27740,39.51960,6.72880,8.52270,4.12630,6.72880,10.09560,1.3521,1.1684
2018-06-30,150.39800,119.04500,31.35300,15.93700,15.93700,15.41600,15.41600,3.63800,11.77800,11.77800,11.77800,21.04900,15.41600,18.92200,19.10200,0.62000,0.62000,1.74770,20.84670,10.25010,10.25010,10.25010,7.83120,0.51650,2.27450,39.56940,6.47620,8.30930,4.04450,6.47620,9.62660,1.19390,1.03850
2018-03-31,143.57300,116.42400,27.14900,15.55500,15.55500,11.59400,11.59400,2.63600,8.95800,8.95800,8.95800,17.35600,11.59400,18.82500,19.04200,0.47000,0.47000,1.66670,18.90960,8.07530,8.07530,8.07530,6.23930,0.52400,2.21090,40.70820,5.23320,6.84090,3.26930,5.23320,9.05070,0.6554,0.0556
2017-12-31,140.73400,115.16500,25.56900,15.49600,15.49600,10.07300,10.07300,0.50400,9.56900,9.56900,9.56900,15.54600,10.07300,18.84900,19.12100,0.51000,0.50000,1.51620,18.16830,7.15750,7.15750,7.15750,6.79940,0.51740,2.21670,40.60020,5.97390,7.98470,3.51810,5.97390,8.49040,0.9952,0.7435
2017-09-30,136.43100,110.67900,25.75200,13.67000,13.67000,12.08200,12.08200,3.68900,8.39300,8.39300,8.39300,17.31900,12.08200,18.75900,18.96600,0.45000,0.44000,1.45810,18.87550,8.85580,8.85580,8.85580,6.15180,0.53390,2.06730,43.53590,5.68260,7.82470,3.28460,5.68260,7.84580,0.4881,0.1644
2017-06-30,137.61200,108.82900,28.78300,14.62900,14.62900,14.15400,14.15400,5.37900,8.77500,8.77500,8.77500,19.45700,14.15400,18.81100,19.00000,0.47000,0.46000,1.40840,20.91610,10.28540,10.28540,10.28540,6.37660,0.57230,2.19240,41.05110,6.32840,8.94320,3.64930,6.32840,7.40000,1.12520,0.84630
2017-03-31,133.60500,105.88400,27.72100,15.00400,15.00400,12.71690,12.71700,4.73000,7.98700,7.98700,7.98700,18.04790,12.71700,19.41800,19.57000,0.42000,0.42000,1.43100,20.74850,9.51830,9.51830,9.51840,5.97810,0.56760,2.12610,42.33140,5.76070,8.15160,3.39320,5.76070,7.32140,0.7922,0.0845
2016-12-31,128.40300,102.82600,25.57700,14.13400,14.13400,11.44300,11.44300,4.39400,7.04900,7.04900,7.04900,16.65000,11.44300,19.42600,19.54900,0.36000,0.36000,1.54960,19.91930,8.91180,8.91180,8.91180,5.48970,0.54010,2.16970,41.48100,4.92930,6.89540,2.96520,4.92930,7.43330,0.8263,0.4973
2016-09-30,128.21900,102.30700,25.91200,14.64400,14.64400,11.26800,11.26800,4.31600,6.95200,6.95200,6.95200,16.62700,11.26800,19.58100,19.73300,0.36000,0.35000,1.60140,20.20920,8.78810,8.78810,8.78810,5.42200,0.53370,2.12130,42.42780,4.75680,6.60430,2.89380,4.75680,7.47480,0.6291,0.3471
2016-06-30,128.45900,102.87700,25.58200,13.46100,13.46100,12.12100,12.12100,4.63000,7.49100,7.49100,7.49100,17.17200,12.12100,19.57200,19.75400,0.38000,0.38000,1.61610,19.91450,9.43570,9.43570,9.43570,5.83140,0.56480,2.11620,42.52860,5.32960,7.52400,3.29360,5.32960,7.17220,0.41220,0.14470
2016-03-31,128.29400,101.84900,26.44500,15.81200,15.81200,10.63300,10.63300,3.96600,6.66700,6.66700,6.66700,15.67700,10.63300,19.82600,20.00400,0.34000,0.34000,1.53090,20.61280,8.28800,8.28800,8.28800,5.19670,0.58240,2.14730,41.91330,5.05280,7.33870,3.02680,5.05280,6.74510,0.7107,0.4726
2015-12-31,123.89100,98.65900,25.23200,14.50100,14.50100,10.73100,10.73100,4.04000,6.69100,6.69100,6.69100,15.72300,10.73100,19.67300,19.85200,0.34000,0.34000,1.63700,20.36630,8.66160,8.66160,8.66160,5.40070,0.56680,2.21720,40.59160,5.22490,7.70400,3.06110,5.22490,6.53110,0.6287,0.4292
2015-09-30,124.46000,97.77600,26.68400,13.20900,13.20900,13.47500,13.47500,5.20800,8.26700,8.26700,8.26700,18.44600,13.47500,19.90200,20.06300,0.42000,0.41000,1.58860,21.43980,10.82680,10.82680,10.82680,6.64230,0.56140,2.10150,42.82700,6.47890,9.58190,3.72900,6.47890,6.44860,0.4819,0.3128
2015-06-30,126.93900,100.75600,26.18300,14.96200,14.96200,11.22100,11.22100,4.32100,6.90000,6.90000,6.90000,16.16600,11.22100,20.14900,20.33500,0.34000,0.34000,1.60830,20.62640,8.83970,8.83970,8.83970,5.43570,0.58600,2.23050,40.34930,5.42470,8.04560,3.18530,5.42470,6.35210,0.74370,0.51280
2015-03-31,122.19500,99.52100,22.67400,13.61700,13.61700,9.05700,9.05700,3.48100,5.57600,5.57600,5.57600,13.79000,9.05700,20.66900,20.89000,0.27000,0.28000,1.51240,18.55560,7.41200,7.41190,7.41190,4.56320,0.57760,2.12380,42.37760,4.35890,6.45570,2.63550,4.35890,6.31690,0.5285,0.1461
2014-12-31,122.35200,98.22400,24.12800,13.83400,13.83400,10.29400,10.29400,3.46200,6.83200,6.83200,6.83200,14.83800,10.29400,20.59900,20.78600,0.33000,0.33000,1.77870,19.72020,8.41340,8.41340,8.41340,5.58390,0.57890,2.17600,41.35960,5.23970,7.70020,3.23270,5.23970,6.36830,0.85,0.6067
2014-09-30,123.71400,98.24700,25.46700,12.74900,12.74900,12.71800,12.71800,4.83500,7.88300,7.88300,7.88300,17.31900,12.71800,20.81900,21.05000,0.38000,0.37000,1.80200,20.58540,10.28020,10.28020,10.28020,6.37200,0.57700,2.05160,43.86730,5.96310,8.71840,3.67660,5.96310,6.37800,0.2868,0.0341
2014-06-30,124.36400,96.66400,27.70000,14.20500,14.20500,13.49500,13.49500,5.19600,8.29900,8.29900,8.29900,17.61200,13.49500,20.93500,21.21000,0.40000,0.39000,1.80650,22.27330,10.85120,10.85120,10.85120,6.67320,0.58920,2.17470,41.38450,6.35840,9.36390,3.93180,6.35840,6.25070,0.45610,0.23980
2014-03-31,120.24600,93.70900,26.53700,13.70400,13.70400,12.83300,12.83300,4.50000,8.33300,8.33300,8.33300,17.04300,12.83300,21.10400,21.37200,0.40000,0.39000,1.68370,22.06890,10.67230,10.67230,10.67230,6.93000,0.56060,2.10110,42.83390,6.58620,9.85980,3.88520,6.58620,6.03090,0.4183,0.1564
2013-12-31,121.09800,93.39200,27.70600,13.20400,13.20400,14.50200,14.50200,5.72700,8.77500,8.77500,8.77500,18.58400,14.50200,20.93600,21.25600,0.42000,0.41000,1.69160,22.87900,11.97540,11.97540,11.97540,7.24620,0.59690,2.18620,41.16660,7.37410,11.41480,4.32500,7.37410,5.68380,0.8117,0.6357
2013-09-30,119.35900,92.03900,27.32000,12.22400,12.22400,15.09600,15.09600,6.42100,8.67500,8.67500,8.67500,19.20300,15.09600,21.13800,21.37700,0.41000,0.41000,1.61520,22.88890,12.64760,12.64760,12.64760,7.26800,0.61920,2.19440,41.01310,7.71850,12.36600,4.50040,7.71850,5.35590,0.5561,0.3894
2013-06-30,118.11300,91.19500,26.91800,12.84200,12.84200,14.07600,14.07600,5.46700,8.60900,8.60900,8.60900,18.08800,14.07600,21.39600,21.58400,0.40000,0.40000,1.66990,22.79000,11.91740,11.91740,11.91740,7.28880,0.61720,2.32700,38.67670,7.53110,11.96480,4.49830,7.53110,5.36700,0.77800,0.52430
2013-03-31,111.95900,88.05000,23.90900,11.90000,11.90000,12.00900,12.00900,4.42900,7.58000,7.58000,7.58000,15.89400,12.00900,22.25600,22.45800,0.35000,0.35000,1.76100,21.35510,10.72630,10.72630,10.72630,6.77030,0.61390,2.28000,39.47380,6.80420,10.99750,4.15610,6.80420,5.17670,0.4973,0.2449
2012-12-31,107.28700,85.55300,21.73400,11.71000,11.71000,10.02400,10.02400,4.10000,5.92400,5.92400,5.92400,13.93400,10.02400,22.23400,22.42600,0.27000,0.26000,1.81490,20.25780,9.34320,9.34320,9.34320,5.52160,0.61310,2.47340,36.38770,5.38700,8.79270,3.38540,5.38700,5.06020,0.895,0.7629
2012-09-30,105.45800,82.62200,22.83600,11.98100,11.98100,10.85500,10.85500,4.22500,6.63000,6.63000,6.63000,14.44000,10.85500,22.54000,22.75200,0.29000,0.29000,2.11140,21.65410,10.29320,10.29320,10.29320,6.28690,0.58640,2.16340,41.60170,5.53020,8.59090,3.68630,5.53020,5.33350,0.4594,0.33
2012-06-30,104.60600,81.42500,23.18100,12.17400,12.17400,11.00700,11.00700,4.41100,6.59600,6.59600,6.59600,15.36600,11.00700,22.62600,22.85200,0.29000,0.29000,2.01670,22.16030,10.52230,10.52230,10.52230,6.30560,0.60250,2.25770,39.86270,5.72640,9.11620,3.79920,5.72640,5.10840,0.58930,0.44030
2012-03-31,104.42800,82.96700,21.46100,13.18700,13.18700,8.27400,8.27400,3.20100,5.07300,5.07300,5.07300,12.38400,8.27400,22.95200,23.25400,0.23000,0.21500,1.81510,20.55100,7.92320,7.92320,7.92320,4.85790,0.60760,2.11680,42.51790,4.59590,7.52430,2.95140,4.59590,4.88030,0.3233,0.0471
2011-12-31,101.38100,80.15500,21.22600,12.33200,12.33200,8.89400,8.89400,3.49400,5.40000,5.40000,5.40000,12.52000,8.89400,22.84200,23.14800,0.23500,0.23500,1.66510,20.93690,8.77280,8.77280,8.77280,5.32640,0.61110,2.19820,40.94170,4.93070,8.13010,3.25520,4.93070,4.81530,0.5307,0.308
2011-09-30,104.55200,78.94000,25.61200,12.59200,12.59200,13.02000,13.02000,5.13900,7.88100,7.88100,7.88100,16.61100,13.02000,23.05200,23.34400,0.34000,0.34000,1.66060,24.49690,12.45310,12.45310,12.45310,7.53790,0.62710,2.05710,43.75180,7.25040,12.03300,4.72690,7.25040,4.74040,0.0361,-0.1679
2011-06-30,102.30700,76.76400,25.54300,12.29400,12.29400,13.24900,13.24900,5.05100,8.19800,8.19800,8.19800,16.64500,13.24900,23.23400,23.57400,0.35500,0.35000,1.52120,24.96700,12.95020,12.95020,12.95020,8.01310,0.59330,2.09590,42.94110,7.76420,13.17220,4.75380,7.76420,4.55980,0.64390,0.34850
2011-03-31,100.49100,74.78400,25.70700,21.08500,21.08500,4.62200,4.62200,1.97600,2.64600,2.64600,2.64600,7.84600,4.62200,23.60200,24.05800,0.11500,0.11500,1.49950,25.58140,4.59940,4.59940,4.59940,2.63310,0.61190,2.05230,43.85230,2.65560,4.71310,1.61120,2.65560,4.28330,0.2797,0.0787
2010-12-31,95.28200,71.46100,23.82100,12.42500,12.42500,11.39600,11.39600,4.67200,6.72400,6.72400,6.72400,14.47400,11.39600,23.49800,23.96800,0.28500,0.28000,1.56390,25.00050,11.96030,11.96030,11.96030,7.05690,0.62290,2.19190,41.06120,6.60320,11.55700,4.39610,6.60320,4.36630,0.6071,0.412
2010-09-30,93.39200,70.15300,23.23900,14.17100,14.17100,9.06800,9.06800,1.53500,7.53300,7.53300,7.53300,12.15400,9.06800,23.72200,24.20800,0.32000,0.31000,1.72800,24.88330,9.70960,9.70960,9.70960,8.06600,0.62190,2.10810,42.69300,7.26800,12.33080,5.01610,7.26800,4.37920,0.5383,0.3741
2010-06-30,91.50300,67.70000,23.80300,11.48600,11.48600,12.31700,12.31700,4.55700,7.76000,7.76000,7.76000,15.17800,12.31700,23.91400,24.37400,0.32500,0.32000,1.67080,26.01340,13.46080,13.46080,13.46080,8.48060,0.63150,2.01670,44.62770,7.80300,13.67260,5.35540,7.80300,4.17610,0.44800,0.23910
2010-03-31,87.61100,65.82700,21.78400,10.68700,10.68700,11.09700,11.09700,4.48000,6.61700,6.61700,6.61700,14.31400,11.09700,24.99800,25.34400,0.27000,0.26500,1.68080,24.86450,12.66620,12.66620,12.66620,7.55270,0.62420,1.99430,45.12790,6.91230,12.52490,4.71400,6.91230,3.97970,0.4491,0.3381
2009-12-31,86.62900,64.82300,21.80600,10.71300,10.71300,11.09300,11.09300,4.41800,6.67500,6.67500,6.67500,13.94300,11.09300,24.47400,24.85200,0.27500,0.27000,1.63100,25.17170,12.80520,12.80520,12.80520,7.70530,0.62520,1.95030,46.14750,7.17700,13.36580,4.81720,7.17700,3.83060,0.3334,0.2026
2009-09-30,82.41600,61.60900,20.80700,10.20600,10.20600,10.60100,10.60100,4.20100,6.40000,6.40000,6.40000,13.57800,10.60100,25.51600,25.84000,0.25000,0.25000,1.73210,25.24630,12.86280,12.86280,12.86280,7.76550,0.59740,1.95740,45.97850,6.77600,12.31010,4.63910,6.77600,3.80670,0.4214,0.274
2009-06-30,81.31200,60.17000,21.14200,10.45000,10.45000,10.69200,10.69200,4.28800,6.40400,6.40400,6.40400,13.63600,10.69200,25.85000,26.11200,0.25000,0.24500,2.02830,26.00110,13.14940,13.14940,13.14940,7.87580,0.55800,1.89140,47.58450,6.22740,10.57130,4.39470,6.22740,3.97940,0.29780,0.22670
2009-03-31,77.05800,59.77000,17.28800,10.30800,10.30800,6.98000,6.98000,2.73800,4.24200,4.24200,4.24200,9.90600,6.98000,26.91600,27.24000,0.16500,0.16000,1.75510,22.43500,9.05810,9.05810,9.05810,5.50490,0.56020,1.86810,48.17680,4.40510,7.86280,3.08390,4.40510,3.72750,1.0956,0.7108
