Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-09-30,5450.00000,5450.00000,858.00000,4592.00000,3074.00000,1035.00000,2039.00000,2039.00000,1359.00000,3882.85700,3882.85700,0.35000,0.35000,0.33830,1.50600,27.83920,12.30760,0.00370,,1.01820,0.06900,0.67370,49.63590,0,0
2020-03-31,6495.00000,6495.00000,3026.00000,3469.00000,3229.00000,721.00000,2508.00000,2508.00000,1785.00000,3966.66700,3966.66700,0.45000,0.45000,0.33390,2.41710,29.14000,16.10870,0.00380,,1.26490,0.08600,0.84250,49.14510,0.00000,
2019-09-30,6299.00000,6299.00000,887.00000,5412.00000,4837.00000,1042.00000,3795.00000,3795.00000,2971.00000,3961.33300,3961.33300,0.75000,0.75000,0.33240,2.46800,37.26500,22.88910,0.00480,,1.91870,0.13910,1.28090,48.97900,0,0
2019-03-31,6967.00000,6967.00000,,6967.00000,6213.00000,1303.00000,4910.00000,4910.00000,4134.00000,4007.20000,4007.20000,1.05000,1.05000,0.33530,2.63480,43.04120,28.63870,0.00540,,2.50090,0.18470,1.66230,,0.00000,
2018-09-30,14395.00000,14395.00000,507.00000,13888.00000,5922.00000,1406.00000,4516.00000,4516.00000,3899.00000,4104.21000,4104.21000,0.95000,0.95000,0.29820,2.50420,42.64110,28.07460,0.00530,,2.33710,0.17350,1.64020,,0,0
2018-03-31,14308.00000,14308.00000,170.00000,14138.00000,4755.00000,1017.00000,3738.00000,3738.00000,3086.00000,4002.60000,4023.60000,0.75000,0.75000,0.25990,2.32590,33.63280,21.82770,0.00530,,1.83630,0.14090,1.35910,,0.00000,
2017-09-30,13614.00000,13614.00000,448.00000,13166.00000,4620.00000,1115.00000,3505.00000,3505.00000,2958.00000,3944.00000,3944.00000,0.75000,0.75000,0.23110,2.54150,35.09040,22.46700,0.00520,,1.76360,0.13870,1.35600,,0,0
2017-03-31,13525.00000,13525.00000,236.00000,13289.00000,4961.00000,1201.00000,3760.00000,3760.00000,3130.00000,3912.50000,3912.50000,0.80000,0.80000,0.26440,2.54930,37.33160,23.55330,0.00550,,2.02120,0.15560,1.48670,,0.00000,
2016-12-31,9482.00000,9482.00000,468.00000,9014.00000,-3445.00000,572.00000,-4017.00000,-5107.00000,-4583.00000,3950.60000,3969.00000,-1.12000,-1.12000,0.32250,2.28060,-38.21830,-50.84310,0.00380,-2.79720,-3.16750,-0.21500,-1.89520,45.21140,17.3744,17.0844
2016-09-30,10130.00000,10130.00000,566.00000,9564.00000,843.00000,803.00000,40.00000,40.00000,-617.00000,4113.33000,4113.33000,-0.15000,-0.15000,0.26840,2.44050,8.81430,-6.45130,0.00370,,0.02050,0.00160,0.01500,,-17.2435,-17.1541
2016-06-30,15177.00000,15177.00000,1205.00000,13972.00000,3608.00000,720.00000,2888.00000,2888.00000,2611.00000,4351.66700,4351.66700,0.60000,0.60000,0.35540,2.39670,25.82310,18.68740,0.00540,1.45640,1.65740,0.11070,0.93880,,17.2435,17.1541
2016-03-31,15531.00000,15531.00000,1161.00000,14370.00000,6106.00000,1571.00000,4535.00000,4535.00000,3888.00000,3888.00000,3888.00000,1.00000,1.00000,0.33090,2.25250,42.49130,27.05640,0.00550,,2.26330,0.17470,1.51440,,0.00000,
2015-12-31,12328.00000,12328.00000,1644.00000,10684.00000,-858.00000,230.00000,-1088.00000,-1088.00000,-1325.00000,3785.71400,3785.71400,-0.35000,-0.35000,0.36110,2.02550,-8.03070,-12.40170,0.00440,-0.55080,-0.62920,-0.04520,-0.35190,50.16940,-0.2964,-0.6263
2015-09-30,15774.00000,15774.00000,638.00000,15136.00000,6097.00000,634.00000,5463.00000,5463.00000,5229.00000,4183.20000,4183.20000,1.25000,1.25000,0.32300,2.12350,40.28150,34.54680,0.00590,,2.71210,0.21440,1.83610,,-3.6818,-3.5395
2015-06-30,17780.00000,17780.00000,869.00000,16911.00000,6569.00000,1540.00000,5029.00000,5029.00000,4359.00000,3962.72700,3962.72700,1.10000,1.10000,0.33760,2.16050,38.84450,25.77610,0.00660,,2.49720,0.19560,1.65410,,3.6818,3.5395
2015-03-31,16474.00000,16474.00000,570.00000,15904.00000,7059.00000,1367.00000,5692.00000,5692.00000,5259.00000,4045.38500,4045.38500,1.30000,1.30000,,,44.38510,33.06720,,,,,,,0.00000,
2014-12-31,14873.00000,14873.00000,1250.00000,13623.00000,1731.00000,966.00000,765.00000,765.00000,-62.00000,3792.00000,3811.20000,0.10000,0.10000,0.38010,2.48410,12.70650,-0.45510,0.00520,0.38250,0.44370,0.02900,0.23710,52.02920,-5.6077,-5.9721
2014-09-30,16460.00000,16460.00000,760.00000,15700.00000,4609.00000,987.00000,3622.00000,3622.00000,3431.00000,4036.47100,4036.47100,0.85000,0.85000,0.30860,2.64160,29.35670,21.85350,0.00580,,1.79160,0.13270,1.23870,,5.0319,5.1505
2014-06-30,16012.00000,16012.00000,1043.00000,14969.00000,5555.00000,747.00000,4808.00000,4808.00000,4535.00000,3943.47800,3943.47800,1.15000,1.15000,0.32660,2.88350,37.11000,30.29590,0.00540,,2.41950,0.17460,1.62920,,-5.0319,-5.1505
2014-03-31,16435.00000,16435.00000,798.00000,15637.00000,6785.00000,1275.00000,5510.00000,5510.00000,5211.00000,3860.00000,3860.00000,1.35000,1.35000,0.34730,3.37750,43.39070,33.32480,0.00570,,2.86310,0.19980,1.86880,,0.00000,
2013-12-31,15677.00000,15677.00000,1140.00000,14537.00000,3964.00000,995.00000,2969.00000,2969.00000,2720.00000,3885.71400,3885.71400,0.70000,0.70000,0.41130,3.11560,27.26840,18.71090,0.00540,1.55890,1.84940,0.11110,0.91770,50.57330,6.6114,6.4776
2013-09-30,15707.00000,15707.00000,1593.00000,14114.00000,4530.00000,1045.00000,3485.00000,3485.00000,3200.00000,4000.00000,4000.00000,0.80000,0.80000,0.37850,2.97480,32.09580,22.67250,0.00520,,1.85670,0.12800,1.15400,,-5.1517,-4.887
2013-06-30,16634.00000,16634.00000,1945.00000,14689.00000,5637.00000,1401.00000,4236.00000,4236.00000,3931.00000,3931.00000,3743.81000,1.00000,1.05000,0.43110,3.46280,38.37570,26.76150,0.00560,2.32290,2.75380,0.16010,1.32140,,5.1517,4.887
2013-03-31,18952.00000,18952.00000,1171.00000,17781.00000,8434.00000,1324.00000,7110.00000,7110.00000,6353.00000,3737.05900,3850.30300,1.70000,1.65000,0.38960,2.91640,47.43270,35.72920,0.00660,,3.86940,0.26520,2.36200,,0.00000,
2012-12-31,17667.00000,17667.00000,1792.00000,15875.00000,4431.00000,1028.00000,3403.00000,3403.00000,3091.00000,3863.75000,3863.75000,0.80000,0.80000,0.44850,2.95540,27.91180,19.47090,0.00590,1.85830,2.22020,0.12640,1.02480,49.55860,-5.0027,-5.1243
2012-09-30,15480.00000,15480.00000,1720.00000,13760.00000,3481.00000,658.00000,2823.00000,2823.00000,2498.00000,3843.07700,3843.07700,0.65000,0.65000,0.38830,2.97100,25.29800,18.15410,0.00510,,1.57040,0.10370,0.96060,,-2.779,-2.6132
2012-06-30,21699.00000,21699.00000,2433.00000,19266.00000,8415.00000,2244.00000,6171.00000,6171.00000,5857.00000,3660.62500,3660.62500,1.60000,1.60000,0.47180,3.17320,43.67800,30.40070,0.00730,3.55130,4.26030,0.23270,1.87570,,2.779,2.6132
2012-03-31,17041.00000,17041.00000,2366.00000,14675.00000,4322.00000,1385.00000,2937.00000,2937.00000,2581.00000,3970.76900,3970.76900,0.65000,0.65000,0.44370,3.10520,29.45150,17.58770,0.00560,,1.71560,0.11140,0.95430,,0.00000,
2011-12-31,17380.00000,17380.00000,2971.00000,14409.00000,3243.00000,582.00000,2661.00000,2661.00000,1787.00000,3526.95700,3565.71400,-10.80000,-10.30000,0.49320,3.08580,22.50680,12.40200,0.00560,1.60210,1.94150,0.10410,0.81200,46.47760,22.3692,22.0312
2011-09-30,20914.00000,20914.00000,3890.00000,17024.00000,7155.00000,1634.00000,5521.00000,5521.00000,5222.00000,720.27600,746.00000,7.25000,7.00000,0.44350,3.47540,42.02890,30.67430,0.00630,,3.32460,0.20330,1.85010,,-50.4623,-49.8343
2011-06-30,19591.00000,19591.00000,2882.00000,16709.00000,6568.00000,1221.00000,5347.00000,5347.00000,5062.00000,723.14300,749.92600,7.00000,6.75000,0.47210,3.78370,39.30820,30.29510,0.00620,,3.19150,0.19870,1.68490,,50.4623,49.8343
2011-03-31,17659.00000,17659.00000,2384.00000,15275.00000,4906.00000,491.00000,4415.00000,4415.00000,4153.00000,3611.30400,3775.45500,1.15000,1.10000,0.49030,3.29290,32.11780,27.18820,0.00590,2.76180,2.76180,0.17000,1.40780,,0.00000,
2010-12-31,17977.00000,17977.00000,3370.00000,14607.00000,4408.00000,892.00000,3516.00000,3784.00000,2829.00000,3492.05500,3540.55600,-7.10000,-7.15000,0.53580,3.66410,30.17730,19.36740,0.00600,2.44260,3.02740,0.15420,1.13390,43.79590,15.7439,16.2636
2010-09-30,16049.00000,16049.00000,3146.00000,12903.00000,3525.00000,98.00000,3427.00000,3427.00000,3154.00000,742.11800,742.11800,4.25000,4.25000,,,27.31920,24.44390,,,,,,,-64.2143,-67.8311
2010-06-30,18341.00000,18341.00000,3736.00000,14605.00000,5392.00000,1043.00000,4349.00000,4349.00000,4132.00000,718.60900,718.60900,5.75000,5.75000,0.55920,3.18640,36.91890,28.29170,0.00600,3.03440,3.76650,0.17980,1.33750,40.92600,64.2143,67.8311
2010-03-31,18397.00000,18397.00000,3787.00000,14610.00000,5712.00000,2813.00000,2899.00000,2631.00000,2631.00000,3508.00000,3508.00000,0.75000,0.75000,,,39.09650,18.00820,,,,,,,0.00000,
2009-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
