Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2016-09-30,4.54340,4.54340,0.49950,-0.01370,4.03030,4.03030,4.03030,4.03030,4.03030,4.03030,4.03030,46.60900,46.60900,0.08650,0.08650,,100.00000,88.70570,88.70570,88.70570,88.70570,0.41240,49.48910,49.48910,36.58280,49.48910,0.17470
2016-06-30,1.54230,1.54230,0.88610,-0.22500,0.43120,0.43120,0.43120,0.43120,0.43120,0.43120,0.43120,46.60900,46.60900,0.00930,0.00930,,100.00000,27.95580,27.95580,27.95580,27.95580,0.16180,5.12030,5.12030,4.52300,5.12030,0.18070
2016-03-31,3.03420,3.03420,1.02240,-0.22500,1.78670,1.78670,1.78670,1.78670,1.78670,1.78670,1.78670,46.60900,46.60900,0.03830,0.03830,,100.00000,58.88710,58.88710,58.88710,58.88710,0.31810,20.83930,20.83800,18.73360,20.83930,0.18400
2015-12-31,4.41370,4.41370,0.60600,,3.80770,3.80770,3.80770,3.80770,3.80770,3.80770,3.80770,46.60900,46.60900,0.08190,0.08190,,100.00000,86.27030,86.27030,86.27030,86.27030,0.41860,43.64400,43.64400,36.11350,43.64400,0.18720
2015-09-30,5.41550,5.41550,0.40200,,5.01350,5.01350,5.01350,5.01350,5.01350,5.01350,5.01350,46.60900,46.60900,0.10760,0.10760,,100.00000,92.57750,92.57750,92.57750,92.57750,0.45540,56.38250,56.38250,42.16110,56.38250,0.19080
2015-06-30,2.26500,2.26500,0.49880,-0.35010,1.41620,1.41620,1.41620,1.41620,1.41620,1.41620,1.41620,46.60900,46.60900,0.03040,0.03040,,100.00000,62.52510,62.52510,62.52510,62.52510,0.20530,15.59520,15.59520,12.83540,15.59520,0.19480
2015-03-31,7.42450,7.42450,0.66170,,6.76280,6.76280,6.76280,6.76280,6.76280,6.76280,6.76280,46.60900,46.60900,0.14510,0.14510,,100.00000,91.08720,91.08720,91.08720,91.08720,0.70080,73.80740,73.80740,63.83560,73.80740,0.19660
2014-12-31,12.78250,12.78250,0.40420,,12.37830,12.37830,12.37830,12.37830,12.37830,12.37830,12.37830,46.60900,46.60900,0.26270,0.26270,,100.00000,96.83810,96.83810,96.83810,96.83810,0.95580,132.20790,132.20790,92.55430,132.20790,0.20090
2014-09-30,16.07830,16.07830,0.38560,,15.69270,15.69270,15.69270,15.69270,15.69270,15.69270,15.69270,46.60900,46.60900,0.34000,0.34000,,100.00000,97.60160,97.60160,97.60160,97.60160,1.05490,161.15800,161.15800,102.95940,161.15800,0.20890
2014-06-30,18.19550,18.19550,0.48330,,17.71230,17.71230,17.71230,17.71230,17.71230,17.71230,17.71230,46.60900,46.60900,0.38000,0.38000,,100.00000,97.34410,97.34410,97.34410,97.34410,1.08450,174.26080,174.26080,105.56800,174.26080,0.21810
2014-03-31,14.52720,14.52720,0.43730,,14.08980,14.08980,14.08980,14.08980,14.08980,14.08980,14.08980,46.60900,46.60900,0.30230,0.30230,,100.00000,96.98950,96.98950,96.98950,96.98950,0.89020,133.26770,133.26770,86.33950,133.26770,0.22680
2013-12-31,14.23360,14.23360,0.28700,0.15670,14.10330,14.10330,14.10330,14.10330,14.10330,14.10330,14.10330,46.60900,46.60900,0.30130,0.30130,,100.00000,99.08500,99.08500,99.08500,99.08500,0.91130,128.57440,128.57440,90.29210,128.57440,0.23530
2013-09-30,13.74520,13.74520,0.28890,,13.45630,13.45630,13.45630,13.45630,13.45630,13.45630,13.45630,46.60900,46.60900,0.29000,0.29000,,100.00000,97.89830,97.89830,97.89830,97.89830,0.86040,118.26500,118.26500,84.23520,118.26500,0.24410
2013-06-30,6.23790,6.23790,0.51490,-0.18620,5.53670,5.53670,5.53670,5.53670,5.53670,5.53670,5.53670,46.60900,46.60900,0.11880,0.11880,,100.00000,88.75920,88.75920,88.75920,88.75920,0.39500,46.73120,46.73120,35.05810,46.73120,0.25420
2013-03-31,3.82940,3.82940,0.43310,,3.39630,3.39630,3.39630,3.39630,3.39630,3.39630,3.39630,46.60900,46.60900,0.07290,0.07290,,100.00000,88.68950,88.68950,88.68950,88.68950,0.31730,28.14310,28.14310,28.14310,28.14310,0.25890
2012-12-31,4.12720,4.12720,0.26620,,3.86100,3.86100,3.86100,3.86100,3.86100,3.86100,3.86100,46.60900,46.60900,0.08280,0.08280,,100.00000,93.55020,93.55010,93.55010,93.55010,0.30380,31.74240,31.74240,28.42390,31.74240,0.26100
2012-09-30,4.93800,4.93800,0.32070,,4.61730,4.61730,4.61730,4.61730,4.61730,4.61730,4.61730,46.60900,46.60900,0.09910,0.09910,,100.00000,93.50580,93.50580,93.50580,93.50580,0.38170,37.60770,37.60770,35.69290,37.60770,0.26340
2012-06-30,10.79270,10.79270,0.41400,,10.37870,10.37870,10.37870,10.37870,10.37870,10.37870,10.37870,46.60900,46.60900,0.22270,0.22270,,100.00000,96.16400,96.16400,96.16400,96.16400,0.67780,83.19600,83.19600,65.17610,83.19600,0.26770
2012-03-31,15.19820,15.19820,0.57350,,14.62470,14.62470,14.62470,14.62470,14.62470,14.62470,14.62470,46.60900,46.60900,0.31380,0.31380,,100.00000,96.22660,96.22660,96.22660,96.22660,0.89530,114.16560,114.16560,86.15170,114.16560,0.27480
2011-12-31,19.18020,19.18020,0.24370,,18.93660,18.93660,18.93660,18.93660,18.93660,18.93660,18.93660,46.60900,46.60900,0.40630,0.40630,,100.00000,98.72960,98.72960,98.72960,98.72960,0.94730,144.05840,144.05840,93.53060,144.05840,0.28200
2011-09-30,17.88760,17.88760,0.22750,,17.66010,17.66010,17.66010,17.66010,17.66010,17.66010,17.66010,46.60900,46.60900,0.37890,0.37890,,100.00000,98.72800,98.72800,98.72800,98.72800,0.89630,130.01770,130.01770,88.48760,130.01770,0.29140
2011-06-30,16.25130,16.25130,0.52680,,15.72450,15.72450,15.72450,15.72450,15.72450,15.72450,15.72450,46.60900,46.60900,0.33740,0.33740,,100.00000,96.75830,96.75830,96.75830,96.75830,0.81660,112.42950,112.42950,79.01480,112.42950,0.30010
2011-03-31,15.39060,15.39060,0.52170,,14.86890,14.86890,14.86890,14.86890,14.86890,14.86890,14.86890,46.60900,46.60900,0.31900,0.31900,,100.00000,96.61040,96.61040,96.61040,96.61040,0.81390,103.67190,103.67190,78.63100,103.67190,0.30770
2010-12-31,16.57860,16.57860,0.27070,,16.30790,16.30790,16.30790,16.30790,16.30790,16.30790,16.30790,46.60900,46.60900,0.34990,0.34990,,100.00000,98.36740,98.36740,98.36740,98.36740,0.83020,110.59320,110.59320,81.66630,110.59320,0.31640
2010-09-30,19.03680,19.03680,0.19880,,18.83800,18.83800,18.83800,18.83800,18.83800,18.83800,18.83800,46.60900,46.60900,0.40420,0.40420,,100.00000,98.95550,98.95550,98.95550,98.95550,0.82260,123.43580,123.43580,81.40050,123.43580,0.32740
2010-06-30,22.45490,22.45490,0.77430,,21.68060,21.68060,21.68060,21.68060,21.68060,21.68060,21.68060,46.60900,46.60900,0.46520,0.46520,,100.00000,96.55160,96.55160,96.55160,96.55160,1.05240,137.20170,137.20170,101.61170,137.20170,0.33900
2010-03-31,22.21080,22.21080,0.68150,,21.52930,21.52930,21.52930,21.52930,21.52930,21.52930,21.52930,46.60900,46.60900,0.46190,0.46190,,100.00000,96.93160,96.93160,96.93160,96.93160,0.89270,131.89160,131.89310,86.53490,131.89160,0.35020
2009-12-31,12.63100,12.63100,0.32000,,12.31100,12.44000,12.44000,12.42400,12.42400,12.31100,12.31100,46.61000,46.61000,0.27000,0.27000,,102.44640,97.46660,97.46660,98.48790,98.36120,0.56930,73.76040,73.76040,56.00130,73.76040,0.36140
2009-09-30,7.42740,7.42740,0.43570,,6.99170,6.99170,6.99170,6.99170,6.99170,6.99170,6.99170,46.60900,46.60900,0.15000,0.15000,1.06480,100.00000,94.13400,94.13400,94.13400,94.13400,0.37300,,40.46110,35.11640,40.48450,
2009-06-30,2.47490,2.47490,0.68670,,1.78820,1.78820,1.78820,1.78820,1.78820,1.78820,1.78820,46.60900,46.60900,0.03840,0.03840,1.59260,100.00000,72.25410,72.25410,72.25410,72.25410,0.13750,,10.17770,9.93460,10.17770,
2009-03-31,9.55320,9.55320,0.58370,,8.96940,8.96940,8.96940,8.96940,8.96940,8.96940,8.96940,46.60900,46.60900,0.19240,0.19240,1.06610,100.00000,93.88950,93.88950,93.88950,93.88950,0.47150,,50.73210,44.27170,50.73210,
