Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,8.82690,7.61050,1.21640,2.24190,3.43150,-2.21510,-0.09690,-2.31200,-2.31200,-2.31200,-2.86800,-1.06860,-2.21510,0.79180,0.79180,-3.30000,-3.30000,1.26050,,,13.78050,-25.09490,-25.09490,-26.19290,-32.49140,0.19390,13.15830,6.83980,-5.58720,-21.89790,-5.07810,-5.58720,34.52980,-2.3923,-6.8765
2021-09-30,2.82390,2.22370,0.60020,1.23110,1.50060,-0.90040,0.00000,-0.90040,-0.90040,-0.90040,-0.90040,-0.52980,-0.90040,0.78620,0.78620,-1.10000,-1.10000,2.25500,0.01140,0.01150,21.25420,-31.88350,-31.88350,-31.88310,-31.88310,0.13100,7.57340,11.88370,-4.39570,-12.64510,-4.17590,-4.34550,23.53810,-0.2403,-7.8761
2021-06-30,2.83360,2.09870,0.73480,1.18510,1.40100,-0.66610,0.00000,-0.66610,-0.66610,-0.66610,-0.66610,-0.44670,-0.66610,0.71170,0.71170,-0.90000,-0.90000,4.15750,0.02050,0.02090,25.93290,-23.50910,-23.50910,-23.50870,-23.50870,0.23100,7.29130,12.34350,-5.89470,-30.72000,-5.43020,-5.77400,15.53570,-0.3062,-0.3062
2021-03-31,2.22640,1.54730,0.67910,1.44640,1.66220,-0.98310,-0.11670,-1.09990,-1.09990,-1.09990,-1.09990,-0.82870,-0.98310,0.63000,0.63000,-1.70000,-1.70000,6.32210,0.01950,0.01990,30.50350,-44.15790,-44.15790,-49.40060,-49.40060,0.17420,6.47260,13.90470,-9.25240,-43.31600,-8.60670,-9.07210,16.70730,-1.49170,-1.49170
2020-12-31,2.84500,1.50300,1.34200,1.01400,1.23000,0.11200,-0.17900,-0.06800,-0.06800,-0.06700,-0.06700,0.35620,0.11200,1.91620,1.91620,,0.00000,4.20840,0.56400,1.37180,47.17050,3.93670,3.93670,-2.39020,-2.35500,0.19790,7.99170,11.26170,-1.16480,1.78820,-0.46600,-0.50780,9.32280,0.7338,0.7338
2020-09-30,2.30800,1.48630,0.82180,1.02510,1.24720,-0.42540,-0.23190,-0.65740,-0.65740,-0.65740,-0.65740,-0.22460,-0.42540,0.58500,0.58500,-1.10000,-1.10000,,,,35.60520,-18.43220,-18.43220,-28.48130,-28.48130,,,,,,,,,-0.7405,-0.7405
2020-06-30,2.00000,1.29460,0.70540,0.69810,0.90130,-0.19590,-0.31450,-0.51040,-0.51040,-0.51040,-0.51040,0.01140,-0.19590,0.55250,0.55250,-0.90000,-0.90000,,,,35.27090,-9.79330,-9.79330,-25.52000,-25.52000,,,,,,,,,-0.0722,-0.0722
2020-03-31,2.61400,1.72040,0.89360,0.91560,1.11880,-0.22520,-0.31700,-0.54220,-0.54220,-0.54220,-0.54220,-0.01650,-0.22520,0.54780,0.54780,-1.00000,-1.00000,,,,34.18450,-8.61480,-8.61480,-20.74250,-20.74250,,,,,,,,,-0.09180,-0.09180
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
