Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2022-03-31,8.71700,1.17840,7.53860,0.26680,-5.36360,5.63030,1.90830,,1.90830,1.90830,1.90830,1.68490,1.90830,1.90830,6.00000,6.00000,0.28080,0.28080,1.00000,86.48180,21.89160,21.89160,21.89160,19.32920,1.92090,,,59.39690,59.39690,42.05260,59.39690,0.53550
2021-12-31,-0.29190,1.14970,-1.44160,0.17310,3.69800,-3.52490,2.08330,,2.08320,2.08320,2.08320,1.66280,2.08330,2.08330,6.00000,6.00000,0.27740,0.27740,1.00000,493.81960,-713.65110,-713.65110,-713.61940,-569.59770,-0.05740,,,63.77830,63.77830,40.93480,63.77830,0.54440
2021-09-30,4.65360,1.11530,3.53830,0.15380,-0.71300,0.86680,2.67150,0.00000,2.67150,2.67150,2.67150,2.30170,2.67150,2.67150,6.00000,6.00000,0.38360,0.38360,1.00000,76.03440,57.40750,57.40750,57.40820,49.46070,0.88810,,,81.84120,81.84120,50.98630,81.84120,0.54410
2021-06-30,3.90240,1.18680,2.71560,0.12220,-0.64740,0.76960,1.94600,0.00000,1.94600,1.94600,1.94600,1.66950,1.94600,1.94600,6.00000,6.00000,0.27800,0.27800,1.00000,69.58750,49.86610,49.86610,49.86680,42.77980,0.78620,,,58.27460,58.27460,39.20490,58.27460,0.55660
2021-03-31,3.24980,1.10340,2.14640,0.31620,-0.75770,1.07390,1.07250,0.00000,1.07260,1.07260,1.07260,1.03940,1.07250,1.07250,6.00000,6.00000,0.17320,0.17320,1.00000,66.04570,33.00330,33.00330,33.00430,31.98190,0.37580,,,14.44950,14.44950,12.40440,14.44950,1.23720
2020-12-31,2.68530,1.01980,1.66540,0.08290,-0.32350,0.40640,1.25900,,1.25080,1.25080,1.25080,1.14280,1.25900,1.25900,6.00000,6.00000,0.19030,0.19030,1.00000,62.02150,46.88630,46.88630,46.58030,42.55670,0.30190,,,16.62620,16.62620,14.06040,16.62620,1.25380
2020-09-30,2.02910,0.97270,1.05640,0.21540,-0.13500,0.35040,0.70600,,0.70600,0.70600,0.70600,0.61400,0.70600,0.70600,6.00000,6.00000,0.10230,0.10230,1.00000,52.06130,34.79350,34.79350,34.79350,30.25920,0.22930,,,9.22200,9.22200,7.97930,9.22200,1.27590
2020-06-30,2.70210,1.24520,1.45690,0.12220,-0.04310,0.16540,1.29160,0.00000,1.29160,1.29160,1.29160,1.10900,1.29160,1.29160,6.00000,6.00000,0.18500,0.18500,1.00000,53.91630,47.79810,47.79810,47.79920,41.04150,0.30060,,,16.70130,16.70130,14.36780,16.70130,1.28890
2020-03-31,3.88570,1.08950,2.79630,0.21890,-0.42020,0.63900,2.15720,0.00820,2.16540,2.16540,2.16540,1.80890,2.15720,2.15720,6.00000,6.00000,0.30150,0.30150,1.00000,71.96280,55.51660,55.51660,55.72730,46.55330,0.41310,,,27.55460,27.55460,23.02030,27.55460,1.30980
2019-12-31,3.61490,1.54260,2.07230,,-0.43400,-0.12430,2.19650,,2.19650,2.19650,2.19650,1.32920,2.19650,2.19650,6.00000,6.00000,0.22150,0.22150,1.00000,57.32650,60.76370,60.76370,60.76380,36.77010,0.37400,,,26.91230,26.91230,22.72700,26.91230,1.36030
2019-09-30,2.99920,1.21270,1.78650,0.15430,-0.34830,0.50270,1.28380,,1.28380,1.28380,1.28380,1.12490,1.28380,1.28380,6.00000,6.00000,0.18750,0.18750,1.00000,59.56500,42.80580,42.80580,42.80580,37.50590,0.31470,1475.25400,0.06100,15.58470,15.58470,13.47010,15.58470,1.37300
2019-06-30,4.30860,1.72110,2.58750,0.14440,-0.50180,0.64620,1.94130,0.00690,1.94130,1.94130,1.94130,1.71990,1.94130,1.94130,6.00000,6.00000,0.28660,0.28660,1.00000,60.05430,45.05710,45.05710,45.05710,39.91770,0.43670,1716.57000,0.05240,23.31970,23.31970,19.67850,23.31970,1.38750
2019-03-31,3.49710,0.99030,2.50680,0.25960,-0.99270,1.25230,1.25450,,1.25450,1.25450,1.25450,1.08310,1.25450,1.25450,6.00000,6.00000,0.18050,0.18050,1.00000,71.68150,35.87250,35.87250,35.87250,30.97090,0.35420,,,14.86780,14.86780,12.70430,14.86780,1.40630
2018-12-31,4.75990,1.04730,3.71270,,-1.11000,0.82270,2.88990,,2.88640,2.88640,2.88640,2.21430,2.88990,2.88990,6.00000,6.00000,0.36910,0.36910,1.00000,77.99840,60.71320,60.71320,60.64040,46.52000,0.46990,2048.15500,0.04390,33.85240,33.85240,28.49520,33.85240,1.42110
2018-09-30,4.62200,1.09030,3.53170,0.11860,-0.90150,1.02010,2.51160,,2.51160,2.51160,2.51160,2.14470,2.51160,2.51160,6.00000,6.00000,0.35750,0.35750,1.00000,76.41060,54.34070,54.34070,54.34070,46.40220,0.44220,2284.72400,0.03940,28.85260,28.85260,24.02720,28.85260,1.45080
2018-06-30,4.76480,1.08340,3.68130,0.16870,-1.00480,1.17340,2.50790,,2.50790,2.50790,2.50790,2.16920,2.50790,2.50790,6.00000,6.00000,0.36150,0.36150,1.00000,77.26140,52.63450,52.63450,52.63450,45.52660,0.44750,,,28.10020,28.10020,23.55560,28.10020,1.48750
2018-03-31,4.89680,1.13200,3.76470,,-1.17300,1.17310,2.59170,0.00350,2.59520,2.59520,2.59520,2.03030,2.59170,2.59170,6.00000,6.00000,0.33840,0.33840,1.00000,76.88200,52.92660,52.92660,52.99730,41.46150,0.45940,,,28.45380,28.45380,24.34810,28.45380,1.52010
2017-12-31,3.94870,1.24830,2.70040,,-0.78900,0.28370,2.41670,,2.41670,2.41670,2.41670,1.62240,2.41670,2.41670,6.00000,6.00000,0.27040,0.27040,1.00000,68.38700,61.20340,61.20330,61.20330,41.08700,0.36620,,,25.95460,25.95460,22.41410,25.95460,1.55190
2017-09-30,3.83070,1.21520,2.61560,0.15000,-0.75540,0.90540,1.71020,,1.71020,1.71020,1.71020,1.52640,1.71020,1.71020,6.00000,6.00000,0.25440,0.25440,1.00000,68.27870,44.64330,44.64330,44.64330,39.84700,0.34590,,,17.86780,17.86780,15.44000,17.86780,1.59520
2017-06-30,4.11350,1.04250,3.07100,0.11310,-1.25640,1.36950,1.70150,,1.70150,1.70150,1.70150,1.52160,1.70150,1.70150,6.00000,6.00000,0.25360,0.25360,1.00000,74.65640,41.36370,41.36370,41.36370,36.98970,0.36750,,,17.57670,17.57670,15.20230,17.57670,1.61340
2017-03-31,4.08940,1.07210,3.01720,0.24220,-1.21200,1.45430,1.56300,,1.56300,1.56300,1.56300,1.38340,1.56300,1.56300,6.00000,6.00000,0.23060,0.23060,1.00000,73.78210,38.22000,38.22000,38.22000,33.82980,0.36110,,,15.97040,15.97040,13.80300,15.97040,1.63110
2016-12-31,3.99450,1.11010,2.88440,,-0.73890,0.64990,2.23450,,2.23450,2.23450,2.23450,1.90870,2.23450,2.23450,6.00000,6.00000,0.31810,0.31810,1.00000,72.21020,55.94030,55.94030,55.94030,47.78410,0.34890,,,22.56230,22.56230,19.51850,22.56230,1.65060
2016-09-30,3.64900,0.96600,2.68300,0.08900,-1.00130,1.09030,1.59270,,1.59270,1.59270,1.59270,1.29990,1.59270,1.59270,6.00000,6.00000,0.21670,0.21670,1.00000,73.52610,43.64800,43.64800,43.64800,35.62350,0.31710,,,15.82040,15.82040,13.83900,15.82040,1.67790
2016-06-30,3.06630,1.01480,2.05150,,-0.50590,0.50580,1.54560,,1.54560,1.54560,1.54560,0.97520,1.54560,1.54560,6.00000,6.00000,0.16250,0.16250,1.00000,66.90490,50.40770,50.40770,50.40770,31.80340,0.26820,,,,15.16450,13.51950,15.16450,1.69870
2016-03-31,5.08460,1.37190,3.71270,,-0.70590,0.70600,3.00680,,3.00680,3.00680,3.00680,2.18100,3.00680,3.00680,6.00000,6.00000,0.36350,0.36350,1.00000,73.01840,59.13470,59.13470,59.13470,42.89360,0.43680,,,,29.11270,25.83230,29.11270,1.72130
2015-12-31,4.85600,1.48220,3.37370,,-0.80240,0.80250,2.57130,,2.57130,2.57130,2.57130,2.06540,2.57130,2.57130,6.00000,6.00000,0.34420,0.34420,1.00000,69.47630,52.95140,52.95140,52.95140,42.53310,0.42180,,,24.39040,24.39040,22.33590,24.39040,1.75700
2015-09-30,4.60630,1.43110,3.17510,,-1.07020,1.07020,2.10500,,2.10500,2.10500,2.10500,1.76070,2.10500,2.10500,6.00000,6.00000,0.29340,0.29340,1.00000,68.93090,45.69810,45.69810,45.69810,38.22330,0.40520,,,,19.71630,18.51760,19.71630,1.77940
2015-06-30,4.22310,1.53100,2.69210,,-0.63510,0.63510,2.05700,,2.05700,2.05700,2.05700,1.73660,2.05700,2.05700,6.00000,6.00000,0.28940,0.28940,1.00000,63.74700,48.70900,48.70900,48.70900,41.12240,0.37100,,,19.08410,19.08410,18.06870,19.08410,1.79650
2015-03-31,5.86330,1.74500,4.11830,,-0.93260,0.93260,3.18570,,3.18570,3.18570,3.18570,2.56600,3.18570,3.18570,6.00000,6.00000,0.42770,0.42770,1.00000,70.23830,54.33280,54.33280,54.33280,43.76350,0.50280,,,29.31300,29.31300,27.31650,29.31300,1.81130
2014-12-31,7.29860,1.56980,5.72880,,-1.68270,1.68270,4.04620,,4.04620,4.04620,4.04620,3.43750,4.04620,4.04620,6.00000,6.00000,0.57290,0.57290,1.00000,78.49180,55.43720,55.43720,55.43720,47.09750,0.59470,,,36.80230,36.80230,32.96900,36.80230,1.83240
2014-09-30,8.48450,1.38590,7.09860,,-1.66520,1.66520,5.43340,,5.43340,5.43340,5.43340,4.53760,5.43340,5.43340,6.00000,6.00000,0.75630,0.75630,1.00000,83.66540,64.03900,64.03900,64.03900,53.48140,0.66380,,,48.66680,48.66680,42.50710,48.66680,1.86070
2014-06-30,7.78020,1.36370,6.41650,,-1.97460,1.97460,4.44190,,4.44190,4.44190,4.44190,3.76630,4.44190,4.44190,6.00000,6.00000,0.62770,0.62770,1.00000,82.47250,57.09260,57.09260,57.09260,48.40820,0.62630,,,38.91890,38.91890,35.75760,38.91890,1.90220
2014-03-31,8.10170,1.43460,6.66710,,-1.87950,1.87940,4.78760,0.21020,4.99790,4.99790,4.99790,4.20400,4.78760,4.78760,6.00000,6.00000,0.70070,0.70070,1.00000,82.29320,59.09450,59.09450,61.68950,51.89000,0.61540,,,43.10090,43.10090,37.96590,43.10090,1.93260
2013-12-31,8.51430,1.38460,7.12970,,-2.44870,2.44860,4.68100,,4.68100,4.68100,4.68100,3.96630,4.68100,4.68100,6.00000,6.00000,0.66160,0.66160,1.00000,83.73840,54.97860,54.97860,54.97860,46.58450,0.65820,,,39.69770,39.69770,36.18850,39.69770,1.96530
2013-09-30,8.01200,1.30280,6.70920,,-1.86700,1.86700,4.84220,,4.84220,4.84220,4.84220,4.16460,4.84220,4.84220,6.00000,6.00000,0.69400,0.69400,1.00000,83.73990,60.43700,60.43700,60.43700,51.97930,0.59210,,,40.35950,40.35950,35.78240,40.35950,1.99960
2013-06-30,6.58270,1.34420,5.23840,,-1.53170,1.53170,3.70680,,3.70680,3.70680,3.70680,3.09720,3.70680,3.70680,6.00000,6.00000,0.51600,0.51600,1.00000,79.57950,56.31090,56.31090,56.31090,47.05130,0.49120,,,30.36620,30.36620,27.65850,30.36620,2.03450
2013-03-31,5.97770,1.55210,4.42560,,-1.25540,1.25540,3.17020,,3.17020,3.17020,3.17020,2.65950,3.17020,3.17020,6.00000,6.00000,0.44300,0.44300,1.00000,74.03520,53.03420,53.03420,53.03420,44.48990,0.45400,,,25.60400,25.60400,24.07860,25.60400,2.06360
2012-12-31,7.36400,1.47580,5.88820,,-1.71750,1.71750,4.17070,,4.17070,4.17070,4.17070,3.54950,4.17070,4.17070,6.00000,6.00000,0.59000,0.59000,1.00000,79.95920,56.63610,56.63610,56.63610,48.20090,0.53210,,,33.27830,33.27830,30.13380,33.27830,2.08880
2012-09-30,6.43770,1.24440,5.19320,,-1.35000,1.35000,3.84320,,3.84320,3.84320,3.84320,3.26760,3.84320,3.84320,6.00000,6.00000,0.54500,0.54500,1.00000,80.66940,59.69930,59.69930,59.69930,50.75750,0.47310,,,30.12070,30.12070,28.24600,30.12070,2.12660
2012-06-30,7.18300,1.27030,5.91270,,-1.30830,1.30830,4.60440,,4.60440,4.60440,4.60440,3.82320,4.60440,4.60440,6.00000,6.00000,0.63700,0.63700,1.00000,82.31530,64.10150,64.10150,64.10150,53.22650,0.50400,,,35.48560,35.48560,32.30950,35.48560,2.16260
2012-03-31,7.61140,1.44610,6.16520,,-1.07500,1.07510,5.09020,,5.09020,5.09020,5.09020,4.24920,5.09020,5.09020,6.00000,6.00000,0.70800,0.70800,1.00000,81.00030,66.87630,66.87630,66.87630,55.82730,0.52450,,,38.59480,38.59480,35.07890,38.59480,2.19810
2011-12-31,7.46410,1.32370,6.14040,,-1.30800,1.30800,4.83240,,4.83240,4.83240,4.83240,4.13630,4.83240,4.83240,6.00000,6.00000,0.68970,0.68970,1.00000,82.26550,64.74140,64.74140,64.74140,55.41530,0.51020,,,36.02030,36.02030,33.03290,36.02030,2.23600
2011-09-30,8.48750,1.10310,7.38440,,-1.26040,1.26040,6.12400,,6.12400,6.12400,6.12400,5.16590,6.12400,6.12400,6.00000,6.00000,0.86100,0.86100,1.00000,87.00290,72.15310,72.15310,72.15310,60.86480,0.55570,,,44.84170,44.84170,40.09190,44.84170,2.27620
2011-06-30,7.53620,1.02930,6.50680,,-1.16580,1.16580,5.34100,,5.34100,5.34100,5.34100,4.43010,5.34100,5.34100,6.00000,6.00000,0.73800,0.73800,1.00000,86.34130,70.87210,70.87210,70.87210,58.78480,0.47470,,,38.26170,38.26170,33.64240,38.26170,2.32650
2011-03-31,7.32280,1.12400,6.19880,,-1.14870,1.14870,5.05010,,5.05010,5.05010,5.05010,4.22420,5.05010,5.05010,6.00000,6.00000,0.70400,0.70400,1.00000,84.65080,68.96390,68.96390,68.96390,57.68500,0.46680,,,35.45930,35.45930,32.19250,35.45930,2.37370
2010-12-31,7.11540,1.11490,6.00050,,-1.18990,1.18990,4.81060,,4.81060,4.81060,4.81060,4.08010,4.81060,4.81060,6.00000,6.00000,0.68050,0.68050,1.00000,84.33100,67.60830,67.60830,67.60830,57.34150,0.44650,,,33.12760,33.12760,30.18860,33.12760,2.42020
2010-09-30,7.00690,1.12240,5.88460,,-1.12760,1.12760,4.75700,,4.75700,4.75700,4.75700,4.06330,4.75700,4.75700,6.00000,6.00000,0.67700,0.67700,1.00000,83.98230,67.88930,67.88930,67.88930,57.98950,0.42730,,,31.74130,31.74130,29.00640,31.74130,2.49780
2010-06-30,7.67020,1.17750,6.49270,,-1.20330,1.20330,5.28940,,5.28940,5.28940,5.28940,4.48340,5.28940,5.28940,6.00000,6.00000,0.74700,0.74700,1.00000,84.64830,68.95990,68.95990,68.95990,58.45210,0.45930,,,34.39500,34.39500,31.67400,34.39500,2.56310
2010-03-31,7.17300,1.08770,6.08530,,-1.15450,1.15450,4.93080,,4.93080,4.93080,4.93080,4.09860,4.93080,4.93080,6.00000,6.00000,0.68310,0.68310,1.00000,84.83620,68.74110,68.74110,68.74110,57.13910,0.41470,,,31.27930,31.27930,28.50630,31.27930,2.62730
2009-12-31,6.45320,1.14700,5.30620,,-1.08070,1.08070,4.22550,,4.22550,4.22550,4.22550,3.59260,4.22550,4.22550,6.00000,6.00000,0.59880,0.59880,1.00000,82.22630,65.47960,65.47960,65.47960,55.67130,0.37400,,,26.10200,26.10200,24.48710,26.10200,2.69810
2009-09-30,5.87220,1.26810,4.60410,,-1.33910,1.33920,3.26500,,3.26500,3.26500,3.26500,2.76510,3.26500,3.26500,6.00000,6.00000,0.46080,0.46080,1.00000,78.40440,55.59990,55.59990,55.59990,47.08740,0.32930,,,19.58670,19.58670,18.30990,19.58670,2.77820
2009-06-30,4.70770,1.14980,3.55790,,-0.90320,0.90320,2.65470,,2.65470,2.65470,2.65470,2.28870,2.65470,2.65470,6.00000,6.00000,0.38140,0.38140,1.00000,75.57620,56.39050,56.39050,56.39050,48.61640,0.26510,,,15.68720,15.68720,14.95170,15.68720,2.82040
2009-03-31,5.43770,1.52760,3.91010,,-0.78090,0.78090,3.12920,,3.12920,3.12920,3.12920,2.66980,3.12920,3.12920,6.00000,6.00000,0.44500,0.44500,1.00000,71.90750,57.54680,57.54680,57.54680,49.09820,0.30590,,,18.33050,18.33050,17.60070,18.33050,2.84520
