Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,101.31400,26.55800,74.75600,6.08800,69.90400,-15.68300,91.67500,-16.91900,0.76100,-16.15800,0.09400,-16.25200,-16.25200,-16.25200,-14.20700,-16.91900,202.69600,202.69600,-0.08000,-0.08000,4.78240,,73.78650,-16.69960,-16.69960,-15.94840,-16.04120,0.26520,2.18710,-4.95920,-8.46520,-4.25400,-4.95920,1.59180,-0.09570,-0.09620
2021-12-31,84.69900,22.60100,62.09800,16.13700,32.74100,-34.78500,83.66300,-21.56500,-9.68300,-31.24800,-0.08700,-31.16100,-31.16100,-31.16100,-19.50100,-21.56500,186.78200,186.78200,-0.11000,-0.11000,3.40700,,73.31610,-25.46080,-25.46070,-36.89300,-36.79030,0.20140,1.66700,-9.31240,-15.75000,-7.40900,-9.31240,1.63390,-0.0277,-0.0308
2021-09-30,74.17300,19.30100,54.87200,6.24200,63.48300,-12.80800,82.53300,-27.66100,8.54700,-19.11400,-3.17300,-15.94100,-15.94100,-15.94100,-24.94300,-27.66100,200.03900,200.03900,-0.08000,-0.08000,5.22370,,73.97840,-37.29260,-37.29260,-25.76950,-21.49170,0.17660,1.77760,-4.48850,-7.33460,-3.79490,-4.48850,1.74250,-0.0765,-0.0773
2021-06-30,60.69200,13.41500,47.27700,,64.68400,,64.68400,-17.40700,8.28800,-9.11900,0.03400,-9.15300,-9.15300,-9.15300,-16.62900,-17.40700,191.92300,191.92300,-0.05000,-0.05000,12.30040,,77.89660,-28.68090,-28.68090,-15.02510,-15.08110,0.17460,2.03570,-3.12330,-3.15280,-2.63250,-3.12330,1.51650,0.0242,0.024
2021-03-31,52.31400,12.06700,40.24700,,88.65600,,88.65600,-48.40900,-2.90500,-51.31400,0.09000,-51.40400,-51.40400,-51.40400,-47.58400,-48.40900,153.08100,153.08100,-0.34000,-0.34000,17.28640,,76.93350,-92.53550,-92.53550,-98.08850,-98.26050,0.15120,2.66790,-17.57610,-17.57610,-14.86090,-17.57610,1.52840,-0.10420,-0.10460
2020-12-31,41.46600,9.57400,31.89200,,-3.05600,,36.51800,-4.62600,-0.57900,-5.20500,0.02400,-5.22900,-5.22900,-5.22900,-3.88600,-4.62600,35.35400,35.35400,-0.15000,-0.15000,7.42610,,76.91120,-11.15610,-11.15610,-12.55250,-12.61030,0.34930,2.70220,3.56020,3.55880,-4.40530,3.56020,-2.77290,-0.008,-0.0209
2020-09-30,41.32400,10.04700,31.27700,,34.59800,,34.59800,-3.32100,-2.51900,-5.84000,0.03100,-5.87100,-5.87100,-5.87100,-2.91600,-3.32100,35.61500,35.61500,-0.16000,-0.16000,0.43870,,75.68730,-8.03650,-8.03650,-14.13220,-14.20720,0.20080,,-117.41990,-117.41960,-2.85260,-117.41990,0.81990,0.0892,0.0756
2020-06-30,35.90400,10.24200,25.66200,,26.64100,,26.64100,-0.97900,0.03500,-0.94400,0.03700,-0.98100,-0.98100,-0.98100,-0.68400,-0.97900,35.33100,35.33100,-0.03000,-0.03000,1.26380,,71.47390,-2.72670,-2.72670,-2.62920,-2.73230,0.17410,,-19.62000,-19.62000,-0.47580,-19.62000,0.85150,-0.0013,-0.0161
2020-03-31,30.06300,9.44400,20.61900,,26.83700,,26.83700,-6.21800,0.22000,-5.99800,0.03500,-6.03300,-6.03300,-6.03300,-5.95400,-6.21800,34.61000,34.61000,-0.17000,-0.17000,1.36980,,68.58600,-20.68320,-20.68320,-19.95140,-20.06790,0.14570,,-120.65980,-120.66070,-2.92460,-120.66000,0.85280,-0.15000,-0.15790
2019-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0.0412,0.0412
2019-09-30,,,,,0.44990,,,-0.44990,0.88600,0.43600,,0.43600,0.43600,0.43600,-0.44990,-0.44990,5.03100,5.03100,-0.09000,-0.09000,1.88920,0.01230,,,,,,,,8.72090,8.72090,0.21360,8.72090,0.82370,-0.0412,-0.0412
2019-06-30,,,,,0.01660,,,-0.01660,,-0.01660,,-0.01660,-0.01660,-0.01660,-0.01660,-0.01660,5.03100,5.03100,-0.07000,-0.07000,,,,,,,,,,-197.83180,-197.83170,-3.09630,-197.83180,0.00170,0,0
