Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-03-31,70.79900,36.88900,33.91000,21.23800,21.23800,12.67200,12.67200,2.89000,9.78200,9.78200,,9.66900,27.02900,12.67200,21.46260,21.69900,0.45000,0.45000,17.89860,17.89860,17.89860,13.65700,0.11390,2.77430,2.92420,1.57420,2.77430,16.49700,0.49740,0.49210
2020-12-31,83.65000,31.85100,51.79900,23.14000,23.14000,28.65900,28.65900,6.21300,22.44600,22.44600,,21.57900,41.89000,28.65900,21.77250,21.94250,0.99000,0.98000,34.26060,34.26060,34.26060,25.79680,0.13540,6.43390,6.78790,3.63440,6.43390,16.36470,0.9023,0.9001
2020-09-30,80.85400,53.83600,27.01800,22.14400,22.14400,4.87400,4.87400,1.18800,3.68600,3.68600,,3.66400,21.65900,4.87400,21.56600,21.75500,0.17000,0.17000,6.02820,6.02820,6.02820,4.53160,0.12830,1.13240,1.20110,0.58500,1.13240,15.24940,0.4325,0.4301
2020-06-30,95.66700,52.36400,43.30300,19.62500,19.62500,23.67800,23.67800,4.91100,18.76700,18.76700,,18.73300,40.78900,23.67800,21.88700,22.02500,0.86000,0.85000,24.75040,24.75040,24.75040,19.58150,0.15320,5.77940,6.14830,3.00540,5.77940,15.01180,0.8271,0.821
2020-03-31,46.18600,30.42200,15.76400,20.15900,20.15900,-4.39500,-4.39500,-0.84000,-3.55500,-3.55500,,-3.58700,7.34300,-4.39500,22.21800,22.21800,-0.16000,-0.16000,-9.51590,-9.51590,-9.51590,-7.76640,0.08610,-1.17800,-1.26720,-0.66280,-1.17800,13.70840,0.16280,0.14880
2019-12-31,71.31100,33.72500,37.58600,16.33300,16.33300,21.25300,21.25300,4.10500,17.14800,17.14800,,17.12900,31.25800,21.25300,22.17980,22.26540,0.78000,0.77000,29.80320,29.80320,29.80330,24.02010,0.14030,5.53510,5.58770,3.37450,5.53510,14.00620,1.22,1.2075
2019-09-30,70.24800,61.55800,8.69000,17.29100,17.29100,-8.60100,-8.60100,-1.64200,-6.95900,-6.95900,,-6.97900,3.24000,-8.60100,22.13700,22.23200,-0.32000,-0.31000,-12.24380,-12.24380,-12.24380,-9.93480,0.13280,-2.38070,-2.40480,-1.31520,-2.38070,13.22960,-0.5624,-0.5735
2019-06-30,68.64800,48.19300,20.45500,16.94000,16.94000,3.51500,3.51500,1.00000,2.51500,2.51500,,2.47800,20.50300,3.51500,22.21780,22.29820,0.11000,0.11000,5.12030,5.12030,5.12030,3.60970,0.12760,0.84590,0.85460,0.46730,0.84590,13.90490,0.3052,0.2893
2019-03-31,60.57200,26.23400,34.33800,16.69400,16.69400,17.64400,17.64400,3.84800,13.79600,13.79600,,13.77300,28.39300,17.64400,22.22900,22.27900,0.62000,0.62000,29.12900,29.12900,29.12900,22.73820,0.12690,4.70120,4.75780,2.89050,4.70120,13.21330,0.18990,0.17150
2018-12-31,57.02300,22.06200,34.96100,15.70000,15.70000,19.26100,19.26100,4.30200,14.95900,14.95900,,14.88900,27.29500,19.26100,22.35900,22.38600,0.67000,0.67000,33.77760,33.77760,33.77760,26.11050,0.12440,5.42480,5.51730,3.26270,5.42480,12.42520,1.1466,1.1026
2018-09-30,64.10000,37.45600,26.64400,14.73800,14.73800,11.90600,11.90600,2.02900,9.87700,9.87700,,9.84400,24.34500,11.90600,22.38100,22.38100,0.44000,0.44000,18.57410,18.57410,18.57410,15.35730,0.13060,3.66640,3.76470,2.01210,3.66640,12.04790,-0.8668,-0.8751
2018-06-30,52.92000,40.72100,12.19900,11.80200,11.80200,0.39700,0.39700,0.14100,0.25600,0.25600,,0.22600,9.40100,0.39700,22.37700,22.39700,0.01000,0.01000,0.75020,0.75020,0.75020,0.42710,0.11990,0.09860,0.09960,0.05800,0.09860,11.60850,0.4624,0.4516
2018-03-31,38.32700,18.84900,19.47800,11.87700,11.87700,7.60100,7.60100,1.44900,6.15200,6.15200,,6.12200,15.12800,7.60100,22.36200,22.37400,0.27000,0.27000,19.83200,19.83200,19.83200,15.97310,0.10190,2.37850,2.40290,1.63560,2.37850,11.57110,0.19390,0.18760
2017-12-31,50.18700,19.16100,31.02600,12.88700,12.88700,18.13900,18.13900,4.70000,13.43900,13.43900,,13.90600,25.31500,18.13900,22.51200,22.51300,0.61000,0.61000,36.14280,36.14280,36.14280,27.70840,0.13310,5.25840,5.31300,3.56480,5.25840,11.44120,1.1677,1.1457
2017-09-30,56.56600,49.59900,6.96700,10.09200,10.09200,-3.12500,-3.12500,-0.43200,-2.69300,-2.69300,,-2.73300,7.18700,-3.12500,22.31300,22.31300,-0.12000,-0.12000,-5.52450,-5.52450,-5.52450,-4.83150,0.13510,-1.12250,-1.13490,-0.64320,-1.12250,10.75210,-0.8104,-0.8236
2017-06-30,47.61600,36.23000,11.38600,11.42500,11.42500,-0.03900,-0.03900,-0.15600,0.11700,0.11700,,0.12900,7.05200,-0.03900,22.66300,22.66300,0.01000,0.01000,-0.08190,-0.08190,-0.08190,0.27090,0.11080,0.04820,0.04870,0.02720,0.04820,10.88080,0.1903,0.1782
2017-03-31,34.77100,17.72100,17.05000,10.01900,10.01900,7.03100,7.03100,2.28200,4.74900,4.74900,,4.68900,12.11300,7.03100,22.76000,22.76000,0.21000,0.21000,20.22090,20.22090,20.22090,13.48540,0.09290,1.90740,1.92780,1.26820,1.90740,10.93920,0.27080,0.25890
2016-12-31,33.87700,25.26800,8.60900,10.52700,6.98200,1.62700,1.63700,0.39900,1.23800,1.22800,0.00000,1.09100,5.49600,1.62700,,,,0.00000,4.80270,4.80270,4.83220,3.22050,0.12160,0.80040,0.81440,0.44060,0.80040,6.67030,0,0
2016-09-30,59.28600,50.67500,8.61100,11.17200,11.17200,-2.56100,-2.56100,-1.56200,-0.99900,-0.99900,,-0.99700,4.49000,-2.56100,,,,0.00000,-4.31970,-4.31970,-4.31970,-1.68170,,,,,,,0,0
2016-06-30,38.95600,31.09600,7.86000,10.52600,10.52600,-2.66600,-2.66600,-0.84700,-1.81900,-1.81900,,-1.76200,12.14000,-2.66600,,,,0.00000,-6.84360,-6.84360,-6.84360,-4.52310,,,,,,,0,0
2016-03-31,31.64100,11.48900,20.15200,10.45000,10.45000,9.70200,9.70200,3.48300,6.21900,6.21900,,6.21400,5.78600,9.70200,,,,0.00000,30.66270,30.66270,30.66270,19.63910,,,,,,,0.00000,
2015-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
2014-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
