Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,691.22600,195.38600,495.84000,256.65600,-86.43500,349.94400,145.89600,145.89600,33.51200,112.38400,112.38400,,115.03900,226.01600,152.74900,39.22100,39.33200,2.92000,2.91000,,1.03220,21.10680,22.09830,21.10680,16.64280,0.04340,5.83450,7.23360,0.70530,5.83450,49.70540,5.44850,5.25330
2021-12-31,724.09590,105.54900,618.54690,248.86700,-86.22500,419.89520,198.65170,198.65200,60.14000,138.51190,138.51190,,136.91200,350.58570,207.45480,39.53000,39.65200,3.50000,3.49000,,0.95350,27.43440,28.65020,27.43450,18.90800,0.04490,6.65120,8.11180,0.85910,6.65120,52.89860,5.602,5.5195
2021-09-30,693.23900,215.36100,477.87800,243.38300,-79.86400,330.77600,147.10200,147.10200,35.66300,111.43900,111.43900,,112.45600,227.04500,154.63100,39.56100,39.67900,2.83000,2.82000,0.05620,0.90060,21.21950,22.30560,21.21950,16.22180,0.04380,5.30930,6.67220,0.70460,5.01090,53.17680,4.0361,3.8012
2021-06-30,654.68600,177.18500,477.50100,234.16800,-66.72600,308.03500,169.46590,169.46600,41.30400,128.16200,128.16200,,128.16200,237.66090,176.60690,39.53100,39.65300,3.23000,3.22000,0.05830,0.92520,25.88510,26.97580,25.88510,19.57610,0.04220,6.34850,6.49420,0.82580,5.97840,51.18050,3.9118,3.8639
2021-03-31,637.71100,192.52900,445.18200,236.76500,-72.96300,316.87300,128.30900,128.30900,30.43700,97.87200,97.87200,,97.87200,208.07900,135.45400,39.45600,39.58100,2.47000,2.46000,,0.92490,20.12020,21.24070,20.12020,15.34740,0.04220,5.21370,5.34260,0.64760,5.21370,47.62760,3.01810,2.76080
2020-12-31,598.32920,190.20700,408.12220,205.47500,-63.78200,276.48300,131.63920,131.63900,31.55500,100.08400,100.08400,,99.15900,197.39020,138.86500,40.06500,40.18500,2.51000,2.50000,,0.93700,22.00110,23.20880,22.00110,16.57270,0.04010,5.45150,5.58940,0.67150,5.45150,46.70750,5.8388,5.7168
2020-09-30,568.46100,169.86000,398.60100,185.55000,-59.34700,252.11800,146.48300,146.48300,34.38200,112.10100,112.10100,,112.10100,205.68100,153.70400,39.58800,39.71000,2.82000,2.81000,,0.98660,25.76840,27.03860,25.76830,19.72010,0.03980,6.51580,6.69190,0.78390,6.51580,43.69500,2.3103,2.2263
2020-06-30,525.81500,145.97900,379.83600,182.42200,-56.15200,245.77400,134.06200,134.06200,32.55200,101.51000,101.51000,,101.07400,198.78900,141.26200,40.13200,40.24600,2.52000,2.51000,,1.00580,25.49600,26.86530,25.49600,19.22240,0.03770,6.17950,6.35470,0.72690,6.17950,41.41180,4.673,4.4322
2020-03-31,524.93600,141.65700,383.27900,215.62700,-65.91400,288.73300,94.54600,94.54600,22.07700,72.46900,72.46900,,72.15900,176.47800,101.73800,41.13100,41.23900,1.75000,1.75000,,1.05270,18.01100,19.38100,18.01100,13.74630,0.03960,4.73620,4.88060,0.54610,4.73620,37.81790,3.18930,2.94870
2019-12-31,531.96190,134.40700,397.55490,207.50900,-60.68100,275.41110,122.14370,122.14400,28.58700,93.55700,93.55700,,91.90300,201.44170,129.36470,42.18100,42.31400,2.25000,2.23000,,0.94270,22.96100,24.31840,22.96100,17.27620,0.03890,5.66160,5.82110,0.68350,5.66160,40.10220,3.8415,3.7151
2019-09-30,520.65300,135.66400,384.98900,197.79800,-54.84300,259.85000,125.13900,125.13900,28.91600,96.22300,96.22300,,96.22300,200.93900,132.34800,41.96400,42.10000,2.28000,2.28000,,0.94140,24.03500,25.41960,24.03500,18.48120,0.03870,5.98470,6.15920,0.71530,5.98470,38.74990,3.2898,3.1882
2019-06-30,504.90200,120.89700,384.00500,193.43100,-55.91300,256.54500,127.46000,127.46000,30.01400,97.44600,97.44600,,97.44600,197.46100,134.66100,42.48300,42.61900,2.28000,2.28000,,0.92120,25.24450,26.67070,25.24450,19.30000,0.03790,6.14440,6.32970,0.73170,6.14440,37.75290,2.796,2.5764
2019-03-31,494.98700,127.90300,367.08400,191.82900,-65.70700,264.71600,102.36800,102.36800,23.20300,79.16500,79.16500,,79.16500,178.21200,109.54800,42.82400,42.94200,1.84000,1.83000,,0.92620,20.68100,22.13150,20.68100,15.99340,0.03790,5.20350,5.37030,0.60540,5.20350,35.88260,1.54680,1.39320
2018-12-31,487.32400,122.44900,364.87500,193.17800,-56.58500,256.95400,107.92100,107.92100,21.38100,86.54000,86.54000,,84.64700,184.09300,115.11200,43.85400,43.98500,1.98000,1.98000,,0.91910,22.14560,23.62120,22.14560,17.36980,0.03870,5.92130,6.12280,0.68710,5.92130,34.23230,4.3241,4.2695
2018-09-30,484.78100,125.37100,359.41000,186.04700,-54.71200,247.97500,111.43500,111.43500,26.29600,85.13900,85.13900,,85.13900,180.59300,118.65100,43.45200,43.58900,1.95000,1.94000,,0.87620,22.98670,24.47520,22.98670,17.56240,0.03810,5.89830,6.10540,0.67000,5.89830,33.58670,2.9198,2.8063
2018-06-30,467.81500,111.48600,356.32900,180.25200,-55.08300,242.56400,113.76500,113.76500,27.06500,86.70000,86.70000,,86.70000,177.24100,120.99400,44.06600,44.20700,1.96000,1.95000,,0.86860,24.31840,25.86360,24.31840,18.53300,0.03740,6.19030,6.41860,0.69380,6.19030,32.44500,2.6366,2.4974
2018-03-31,459.92300,122.76700,337.15600,183.79300,-63.22700,254.19300,82.96300,82.96300,17.24800,65.71500,65.71500,,65.71500,153.21900,90.13600,44.74000,44.85500,1.46000,1.46000,,0.81950,18.03850,19.59810,18.03850,14.28830,0.03680,4.60670,4.77640,0.52600,4.60670,32.45520,0.98840,0.98840
2017-12-31,442.94200,113.71700,329.22490,168.22800,-45.76300,221.13610,108.08890,108.08900,-60.35400,168.44300,168.44300,,168.44300,174.22190,115.23400,45.59800,45.68900,3.69000,3.68000,,0.78200,24.40250,26.01560,24.40250,38.02820,0.03550,11.86970,12.31680,1.35180,11.86970,32.06940,3.9495,3.9771
2017-09-30,427.30000,111.45700,315.84300,163.04300,-45.52700,215.64300,100.20000,100.20000,33.56500,66.63500,66.63500,,66.63500,163.61900,107.27300,45.31800,45.40800,1.46000,1.46000,,0.82880,23.44960,25.10480,23.44960,15.59440,0.03500,5.20370,5.42560,0.54590,5.20370,28.85380,2.0184,1.9775
2017-06-30,413.69600,104.66900,309.02700,160.22100,-45.27400,212.63800,96.38900,96.38900,33.28200,63.10700,63.10700,,63.10700,154.63300,103.53200,45.98400,46.07100,1.36000,1.36000,,0.79420,23.29950,25.02610,23.29950,15.25440,0.03460,4.97200,5.18960,0.52830,4.97200,28.18370,1.4688,1.3343
2017-03-31,405.16400,107.28400,297.88000,163.17500,-52.73600,223.03800,74.84200,74.84200,22.77200,52.07000,52.07000,,52.07000,136.88800,81.96900,46.30100,46.37400,1.12000,1.11000,,0.72800,18.47200,20.23110,18.47200,12.85160,0.03470,4.17730,4.36670,0.44620,4.17730,27.36550,1.13310,1.13310
2016-12-31,393.86400,99.12700,294.73700,156.10600,-44.40900,207.67100,87.06600,87.06600,30.19100,56.87500,56.87500,,57.24500,150.92290,94.22200,47.41100,47.45300,1.22000,1.22000,,0.71670,22.10560,23.92250,22.10560,14.53420,0.03440,4.65660,4.87590,0.49720,4.65660,26.71360,2.6644,2.6188
2016-09-30,383.62600,97.73100,285.89500,144.96500,-45.30900,197.45800,88.43700,88.43700,30.40000,58.03700,58.03700,,58.03700,144.45200,95.62100,47.00800,47.05100,1.22000,1.22000,,0.67660,23.05290,24.92560,23.05290,15.12850,0.03370,4.75370,4.98120,0.51050,4.75370,26.56310,1.332,1.3133
2016-06-30,378.99400,93.45600,285.53800,141.77200,-44.70800,193.65800,91.88000,91.88000,32.55400,59.32600,59.32600,,59.32600,141.62100,99.05800,47.65800,47.70800,1.23000,1.23000,,0.66500,24.24310,26.13710,24.24310,15.65360,0.03380,4.91330,5.15500,0.52950,4.91330,25.91020,1.4811,1.417
2016-03-31,362.60000,95.12400,267.47600,142.90200,-47.18900,197.26400,70.21200,70.21200,25.03600,45.17600,45.17600,,44.80600,123.05600,77.38500,48.55000,48.57400,0.92000,0.92000,,0.66230,19.36350,21.34170,19.36350,12.35690,0.03290,3.85210,4.05060,0.41020,3.85210,24.79670,0.72710,0.56740
2015-12-31,353.12700,90.08100,263.04600,141.54000,-41.64100,190.65200,72.39400,72.39400,24.44700,47.94700,47.94700,,46.75400,126.74800,79.86490,50.88100,50.91300,0.96000,0.96000,,0.64320,20.50080,22.61650,20.50080,13.24000,0.03330,4.18470,4.40910,0.45190,4.18470,23.72350,2.3762,2.3491
2015-09-30,355.70900,93.21800,262.49100,138.46500,-40.35500,187.53800,74.95300,74.95300,25.60300,49.35000,49.35000,,48.97100,127.18600,83.67100,50.08200,50.10400,0.98000,0.98000,,0.63710,21.07140,23.52230,21.07140,13.76720,0.03370,4.30370,4.53790,0.46720,4.30370,23.60840,1.1956,1.173
2015-06-30,350.51700,86.66600,263.85100,136.62700,-41.75700,187.02600,76.82500,76.82500,27.65200,49.17300,49.17300,,49.17300,124.04300,85.46700,51.78700,51.81200,0.94000,0.94000,,0.58660,21.91760,24.38310,21.91760,14.02870,0.03250,4.10590,4.32250,0.45610,4.10590,23.89950,0.4163,0.3518
2015-03-31,344.84600,85.69000,259.15600,139.01800,-44.65300,192.34700,66.80900,66.80900,23.40800,43.40100,43.40100,,43.40100,113.89300,75.48500,52.64300,52.69100,0.82000,0.82000,,0.49420,19.37360,21.88950,19.37360,12.58560,0.03220,3.50170,3.68260,0.40470,3.50170,24.04080,1.20210,1.17100
2014-12-31,342.79690,85.92300,256.87400,134.36300,-44.68100,187.74400,69.13000,69.13000,23.66500,45.46500,45.46500,0.00100,42.85600,118.23900,77.82990,54.56700,54.59800,0.84000,0.84000,,0.47750,20.16650,22.70440,20.16650,12.50190,0.03190,3.65140,3.84190,0.42340,3.65140,23.86720,1.9452,1.9182
2014-09-30,338.84100,85.28000,253.56100,135.59300,-45.23600,189.54100,64.02000,64.02000,22.40700,41.61300,41.61300,-0.01800,41.16600,111.54400,72.73200,54.71300,54.74400,0.75000,0.75000,,0.43600,18.89380,21.46490,18.89380,12.14910,0.03150,3.21460,3.38560,0.38740,3.21460,24.11390,1.1196,1.0855
2014-06-30,331.13000,76.29300,254.83700,128.25200,-42.29300,179.09700,75.74000,75.74000,26.46900,49.27100,49.27100,,49.27100,119.41000,84.29200,54.92700,54.95000,0.89000,0.89000,,0.28750,22.87320,25.45590,22.87320,14.87970,0.03130,3.78210,3.98570,0.46510,3.78210,24.03830,0.5988,0.5498
2014-03-31,324.32800,79.27400,245.05400,128.81600,-40.80000,178.22200,66.83200,66.83200,23.34700,43.48500,43.48500,1.59500,44.50300,112.91800,75.43800,55.21100,55.23300,0.81000,0.81000,,0.29880,20.60630,23.25980,20.60630,13.72160,0.03120,3.46900,3.66700,0.41860,3.46900,22.97150,0.68330,0.65630
2013-12-31,316.64900,74.48600,242.16310,122.07400,-55.24100,186.01900,56.14400,56.14400,19.47800,36.66600,36.66600,0.53400,32.69300,101.50200,64.84800,55.83400,56.62500,0.66000,0.66000,,0.30640,17.73070,20.47950,17.73070,10.32470,0.03070,3.00040,3.17960,0.35490,3.00040,22.28590,1.6669,1.5824
2013-09-30,310.40900,80.48200,229.92700,117.15600,-41.27300,167.15500,62.77200,62.77200,22.04000,40.73200,40.73200,2.45800,42.63300,105.36400,71.49800,54.95700,54.95800,0.78000,0.78000,,0.31320,20.22240,23.03350,20.22240,13.73450,0.03040,3.40710,3.61720,0.39930,3.40710,21.86090,0.7401,0.6791
2013-06-30,303.49000,68.45400,235.03600,114.26300,-45.03000,168.08600,66.95000,66.95000,23.78200,43.16800,43.16800,0.32200,42.94200,107.50500,75.74300,56.51100,57.84900,0.76000,0.74000,,0.32670,22.06000,24.95730,22.06000,14.14940,0.03030,3.76600,4.00960,0.43140,3.76600,21.03080,-0.1945,-0.3209
2013-03-31,298.45000,73.03900,225.41100,111.81200,-45.66400,166.27100,59.14000,59.14000,21.00500,38.13500,38.13500,0.71000,37.82800,101.08500,67.93500,56.59800,58.40700,0.67000,0.65000,,0.28630,19.81570,22.76260,19.81570,12.67480,0.02860,2.91580,3.07950,0.36550,2.91580,23.07350,1.10210,0.95340
2012-12-31,267.55790,46.53800,221.01990,108.75200,-43.23100,160.84000,60.18000,60.18000,20.40600,39.77400,39.77400,,43.85500,105.12490,69.03700,61.05900,62.40100,0.68000,0.66000,,0.29360,22.49230,25.80260,22.49230,16.39080,0.02590,3.11850,3.29910,0.38470,3.11850,22.62420,0.3248,0.2244
2012-09-30,299.08800,77.42200,221.66600,102.34800,-39.93400,151.11000,70.55600,70.55600,24.95700,45.59900,45.59900,,44.48300,109.88000,79.38400,60.06000,61.56300,0.74000,0.72000,,0.28000,23.59040,26.54200,23.59040,14.87290,0.02870,3.40950,3.59600,0.43700,3.40950,22.39360,1.4814,1.4039
2012-06-30,300.52500,75.38300,225.14200,104.26900,-40.44600,153.22100,71.92100,71.92100,25.74100,46.18000,46.18000,,45.06900,111.02600,80.42700,61.53100,62.68700,0.73000,0.72000,,0.23500,23.93180,26.76220,23.93180,14.99680,0.03020,3.61670,3.82720,0.46410,3.61670,21.32800,0.2583,0.2655
2012-03-31,286.60100,76.42900,210.17200,98.69200,-41.10500,146.70700,63.46500,63.46500,21.70900,41.75600,41.75600,,40.39900,99.11900,70.37500,65.13300,66.27500,0.62000,0.61000,,0.21620,22.14400,24.55510,22.14400,14.09590,0.02840,3.00980,3.17240,0.41450,3.00980,21.24400,-0.07200,-0.07680
2011-12-31,275.85500,73.23600,202.61900,98.33400,-40.63100,145.93800,56.68110,56.68100,19.47900,37.20200,37.20200,,36.27600,96.22610,63.65410,72.28300,73.10700,0.53000,0.51000,,0.22610,20.54740,23.07520,20.54740,13.15040,0.02800,2.80420,2.96500,0.37760,2.80420,20.44680,1.0133,0.9631
2011-09-30,275.79100,74.63900,201.15200,95.91300,-42.73200,145.64500,55.50700,55.50700,20.40900,35.09800,35.09800,,34.11000,91.32300,62.50700,73.65800,74.19900,0.46000,0.46000,,0.19090,20.12650,22.66460,20.12650,12.36810,0.02760,2.23320,2.34170,0.35070,2.23320,21.31320,0.2633,0.2633
2011-06-30,275.09500,66.80600,208.28900,101.23600,-41.59000,149.82400,58.46500,58.46500,20.84500,37.62000,37.62000,,36.52300,92.00300,65.46300,73.45700,74.20100,0.50000,0.49000,,0.19390,21.25270,23.79650,21.25270,13.27650,0.02700,2.43190,2.55340,0.36990,2.43190,21.01770,-0.1271,-0.1271
2011-03-31,276.35200,66.63300,209.71900,89.46500,-40.00100,136.46300,73.25600,73.25600,25.98500,47.27100,47.27100,,45.37600,104.27200,80.25300,72.67100,73.82600,0.62000,0.62000,,0.20130,26.50820,29.04010,26.50820,16.41960,0.02720,3.17120,3.33800,0.46460,3.17120,20.36730,0.04350,0.04350
2010-12-31,279.38600,84.51200,194.87400,105.26100,-39.78700,152.02400,42.85000,42.85000,15.28300,27.56700,27.56700,,18.15900,61.67700,49.82600,72.09900,72.88200,2.27000,2.25000,,0.20960,15.33720,17.83410,15.33720,6.49960,0.02830,1.92580,2.03280,0.27890,1.92580,19.65170,0.2659,0.3561
2010-09-30,241.23600,54.91000,186.32600,78.10700,-39.37200,124.44700,61.87900,61.87900,22.28400,39.59500,39.59500,,39.59500,94.80700,68.84700,72.25900,72.91900,0.53000,0.52000,,0.21490,25.65080,28.53930,25.65080,16.41340,0.02550,2.83570,2.99950,0.41880,2.83570,19.19940,-0.5193,-0.5547
2010-06-30,234.29900,49.35700,184.94200,76.49300,-65.18300,148.60400,36.33800,36.33800,14.33000,22.00800,22.00800,,22.00800,67.78300,43.26600,71.84400,72.73400,0.29000,0.29000,,0.22770,15.50920,18.46610,15.50920,9.39310,0.02570,1.67030,1.77420,0.24140,1.67030,18.11630,0.814,0.7592
2010-03-31,606.94200,177.10600,429.83600,173.16600,-36.26800,209.43400,220.40200,220.40200,77.11600,143.28600,143.28600,,143.28600,314.10000,220.40200,,,,0.00000,,,36.31350,36.31350,36.31350,23.60790,0.06090,8.20320,8.58670,1.43670,8.20320,,0.00000,
2009-12-31,578.60200,162.43800,416.16400,335.70700,,217.21200,198.95200,198.98000,72.90000,126.08000,126.08100,0.00000,126.08100,311.22500,198.95200,75.00000,75.00000,1.68000,1.68000,,,34.38500,34.38500,34.38980,21.79060,0.04220,2.55030,2.59170,0.91930,2.55030,,9.8544,9.7892
2009-09-30,551.37600,161.01500,390.36100,168.39300,-34.09300,202.48600,187.87500,187.87500,64.04400,123.83100,123.83100,,123.83100,275.28800,187.87500,,,,0.00000,,,34.07380,34.07380,34.07380,22.45850,,,,,,,0,0
2009-06-30,547.58700,157.84000,389.74700,162.82600,-28.58700,191.41300,198.33400,198.33400,66.21400,132.12000,132.12000,,132.12000,287.12490,198.33400,,,,0.00000,,,36.21960,36.21960,36.21960,24.12770,,,,,,,0,0
2009-03-31,542.83600,160.36900,382.46700,175.09100,-32.60100,207.69200,174.77500,174.77500,62.21800,112.55700,112.55700,,112.55700,269.69800,174.77500,,,,0.00000,,,32.19670,32.19670,32.19670,20.73500,,,,,,,0.00000,
